Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,39434,,595,,43143,91,24108,
2002-11-01,35503,,567,,38730,,22205,
2002-12-01,38529,,600,,46811,,27948,
2003-01-01,39999,,590,,36540,4,21965,
2003-02-01,35620,,518,,38476,64,23104,
2003-03-01,40906,,584,,40777,2,24186,
2003-04-01,39095,,562,,41485,,24174,
2003-05-01,40701,,586,,43239,,24806,
2003-06-01,38647,,574,,44180,44,25609,
2003-07-01,38995,,598,,45350,4,27441,
2003-08-01,38891,,553,,42006,,25787,
2003-09-01,42836,,564,,37572,46,22153,
2003-10-01,44860,,586,,40106,100,24904,
2003-11-01,42507,,465,,32394,91,24171,
2003-12-01,45406,,494,,39223,91,29524,
2004-01-01,43750,,477,,30088,37,22170,
2004-02-01,40822,,458,,34818,127,25167,
2004-03-01,44348,,493,,34721,180,25255,
2004-04-01,44629,,496,,38439,130,27857,
2004-05-01,42332,,470,,36465,2,24250,
2004-06-01,40733,46,456,1,38932,16,25185,35
2004-07-01,36259,,441,,40964,14,26327,
2004-08-01,36346,,438,,40345,4,24949,
2004-09-01,35083,,420,,39297,5,23186,
2004-10-01,36097,,429,,37353,121,22588,
2004-11-01,31228,,366,,33577,71,21320,
2004-12-01,35420,,398,,39636,79,26690,
2005-01-01,37323,,400,,33025,14,23138,
2005-02-01,34560,,366,,35033,32,24427,
2005-03-01,38791,,411,,41454,34,28774,
2005-04-01,36820,,396,,36717,8,24340,
2005-05-01,38613,,409,,41396,,27583,
2005-06-01,36169,,389,,42556,27,27951,
2005-07-01,40404,,422,,46260,33,31814,
2005-08-01,40049,63,421,2,44627,52,29434,48
2005-09-01,38476,,405,,39735,23,25529,
2005-10-01,38790,,410,,40738,47,26375,
2005-11-01,38781,,405,,42253,140,28886,
2005-12-01,38935,,382,,40498,114,29773,
2006-01-01,38493,,360,,32148,20,24369,
2006-02-01,34419,,324,,34931,51,26578,
2006-03-01,38628,,362,,38246,29,29699,
2006-04-01,33814,919,336,1,33764,,24818,783
2006-05-01,34360,,340,,35326,,25787,
2006-06-01,33089,,326,,37062,,27075,
2006-07-01,34708,,343,,36988,,28011,
2006-08-01,33952,,337,,35564,,26166,
2006-09-01,32873,,320,,31937,13,22605,
2006-10-01,34463,,334,,34717,12,24778,
2006-11-01,32179,,312,,33859,20,24408,
2006-12-01,36308,,336,,38139,135,28645,
2007-01-01,38631,,350,,32961,415,25639,
2007-02-01,35060,,315,,35715,480,28150,
2007-03-01,39441,,357,,39869,698,31291,
2007-04-01,31692,,303,,35205,259,25583,
2007-05-01,33461,,329,,36581,22,26158,
2007-06-01,31837,32,315,1,38685,17,27818,29
2007-07-01,33385,,325,,41114,88,29657,
2007-08-01,32894,,327,,40051,18,28494,
2007-09-01,31868,,308,,33141,2,24019,
2007-10-01,34107,,327,,35156,,26168,
2007-11-01,32597,,313,,34888,,25947,
2007-12-01,35796,,334,,38775,,30052,
2008-01-01,36788,,338,,34064,,27286,
2008-02-01,34673,,312,,35800,,28870,
2008-03-01,36536,,339,,39907,,31004,
2008-04-01,31271,,298,,32672,12,24534,
2008-05-01,34464,,338,,36789,31,26897,
2008-06-01,33181,,327,,37771,36,27952,
2008-07-01,33978,30,331,1,38081,23,28267,13
