Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,165579,20196,951,31,79882,3129,100563,12301
2002-11-01,157429,18836,903,29,81595,3751,104392,14617
2002-12-01,166073,19493,926,30,95612,3843,125941,15084
2003-01-01,153636,18314,855,28,75493,2374,98224,11362
2003-02-01,126421,,708,,68923,52,87942,
2003-03-01,163587,,867,,77692,164,102621,
2003-04-01,149357,,821,,79709,57,104350,
2003-05-01,148020,,820,,79628,223,101825,
2003-06-01,148534,,832,,86148,184,111707,
2003-07-01,160257,,878,,100566,330,134020,
2003-08-01,161294,,885,,103201,479,136421,
2003-09-01,145570,,779,,65406,97,84433,
2003-10-01,161563,,853,,78300,174,102085,
2003-11-01,149426,,717,,71244,213,98772,
2003-12-01,155254,,748,,84688,354,117970,
2004-01-01,158020,,746,,65333,664,91966,
2004-02-01,154555,,724,,69923,534,95885,
2004-03-01,162279,,754,,75023,486,102599,
2004-04-01,150224,,721,,78515,960,106930,
2004-05-01,136807,,716,,66778,,90790,
2004-06-01,141542,,736,,77258,227,105927,
2004-07-01,148634,,769,,89993,347,125346,
2004-08-01,153712,,796,,89051,858,123634,
2004-09-01,130839,,660,,61506,367,84179,
2004-10-01,134896,,672,,68930,5,95138,
2004-11-01,140791,,689,,72200,,100376,
2004-12-01,152163,,725,,80121,41,112508,
2005-01-01,152111,,712,,69527,78,98632,
2005-02-01,141859,,664,,67614,222,95206,
2005-03-01,159105,,748,,82066,253,114295,
2005-04-01,143561,,671,,76580,649,106367,
2005-05-01,148755,,694,,73469,528,101655,
2005-06-01,143626,,674,,78530,616,107144,
2005-07-01,150543,,704,,90248,855,125016,
2005-08-01,147406,,698,,86319,636,119450,
2005-09-01,132871,,633,,67265,252,90482,
2005-10-01,129083,,619,,72182,327,97823,
2005-11-01,124125,,625,,76843,731,98877,
2005-12-01,127721,,626,,78197,675,103050,
2006-01-01,131225,,623,,67151,682,89745,
2006-02-01,119790,,581,,65065,687,86247,
2006-03-01,138734,146,680,1,77108,712,101247,137
2006-04-01,123008,,618,,76472,294,99477,
2006-05-01,125328,,632,,75422,418,97982,
2006-06-01,124068,,627,,80136,348,104197,
2006-07-01,128966,146,652,1,86970,454,114751,126
2006-08-01,130088,,662,,84399,571,110284,
2006-09-01,112983,,572,,62355,402,80760,
2006-10-01,115303,,584,,69720,430,90763,
2006-11-01,108586,,550,,70490,595,90702,
2006-12-01,117381,,583,,72196,298,94726,
2007-01-01,120392,,600,,65992,47,85358,
2007-02-01,101877,,500,,58003,102,74713,
2007-03-01,115197,,572,,70158,147,90263,
2007-04-01,107757,,529,,68053,496,88216,
2007-05-01,112795,,559,,71025,306,91990,
2007-06-01,104539,,515,,70428,520,92574,
2007-07-01,112107,,562,,77797,752,102179,
2007-08-01,111912,,563,,76417,1076,100089,
2007-09-01,105335,146,536,1,62187,211,78237,102
2007-10-01,113705,,566,,70738,91,91731,
2007-11-01,107193,,531,,70119,60,90897,
2007-12-01,109100,,526,,67610,173,89170,
2008-01-01,110731,,530,,63845,,82487,
2008-02-01,99292,,468,,56245,,74607,
2008-03-01,107243,,512,,64222,,85516,
2008-04-01,98179,,467,,57374,429,76919,
2008-05-01,101985,,499,,62647,446,81931,
2008-06-01,100238,,485,,64895,344,85358,
2008-07-01,108770,,530,,73224,437,96965,
2008-08-01,107413,,522,,70058,676,93678,
2008-09-01,79886,,432,,47984,58,57878,
2008-10-01,80138,,442,,52848,,62212,
2008-11-01,76508,,419,,48478,,57553,
2008-12-01,76978,,418,,52748,,63628,
2009-01-01,74504,,413,,40698,,48696,
2009-02-01,66260,,367,,36993,,43689,
2009-03-01,76820,,425,,45527,,53950,
2009-04-01,74570,,410,,47857,70,57408,
2009-05-01,77610,,428,,48315,83,57131,
2009-06-01,76591,,419,,51050,26,60966,
2009-07-01,78759,,439,,58391,,69518,
2009-08-01,79664,,446,,58813,37,69312,
2009-09-01,76068,,425,,46047,47,54829,
2009-10-01,79539,,442,,51204,89,60966,
2009-11-01,75777,,416,,48468,48,57564,
2009-12-01,78519,,427,,52799,,63260,
2010-01-01,75765,,420,,40657,,48394,
2010-02-01,62263,,345,,34905,,41276,
2010-03-01,78323,,432,,49195,,58857,
2010-04-01,75864,,429,,47515,,55455,
2010-05-01,77300,,434,,51330,,60122,
2010-06-01,74115,,418,,52896,,62550,
2010-07-01,75078,,413,,54616,,66642,
2010-08-01,77189,,422,,55224,,67037,
2010-09-01,75223,,402,,43639,,53731,
2010-10-01,77261,,410,,48242,,59212,
2010-11-01,72791,,383,,43906,,54164,
2010-12-01,68486,,357,,43588,,54807,
2011-01-01,68786,,358,,34192,,43510,
2011-02-01,60912,,314,,32453,,40578,
2011-03-01,72129,,372,,39045,,48903,
2011-04-01,69326,,372,,44775,,54726,
2011-05-01,70837,,382,,46404,,56761,
2011-06-01,69232,206,386,1,47690,,56988,191
2011-07-01,73128,,405,,53169,,64319,
2011-08-01,63415,,349,,47329,,57040,
2011-09-01,57168,,296,,34260,,43585,
2011-10-01,57589,,297,,37386,105,47637,
2011-11-01,57437,,282,,35579,56,46880,
2011-12-01,60497,,287,,35588,,48266,
2012-01-01,56441,,262,,27543,,37720,
2012-02-01,53429,,245,,26885,,36336,
2012-03-01,62486,,290,,33681,14,45552,
2012-04-01,58775,,277,,32518,,44646,
2012-05-01,63158,,292,,36091,,49740,
2012-06-01,59066,,286,,35451,,48674,
2012-07-01,60580,,291,,39266,,54110,
2012-08-01,60729,,291,,38791,47,54209,
2012-09-01,55381,,264,,29465,86,41582,
2012-10-01,53812,,259,,31510,103,43988,
2012-11-01,57502,,268,,30915,60,42583,
2012-12-01,58574,,275,,34782,,47586,
2013-01-01,60350,,290,,31894,,43639,
2013-02-01,52704,,252,,27145,,36849,
2013-03-01,59868,,293,,34468,,46627,
2013-04-01,56133,,285,,30479,76,42795,
2013-05-01,57621,,294,,34334,79,47753,
2013-06-01,55604,,283,,33709,82,47375,
2013-07-01,57146,,291,,37287,79,52168,
2013-08-01,58303,,295,,35811,169,50420,
2013-09-01,55292,,280,,29110,,40771,
2013-10-01,57614,,290,,32241,,45311,
2013-11-01,55112,,272,,30654,,42394,
2013-12-01,57505,,273,,36140,,50053,
2014-01-01,58260,,280,,32087,,44260,
2014-02-01,51003,,243,,29193,,40157,
2014-03-01,50164,,260,,30055,,38250,
2014-04-01,48910,,262,,32209,,40524,
2014-05-01,47396,,259,,32582,,41124,
2014-06-01,46795,,258,,32919,,41814,
2014-07-01,56654,,290,,38686,,52586,
2014-08-01,60637,,311,,40930,,55401,
2014-09-01,51324,,257,,31971,,44559,
2014-10-01,51232,,256,,32070,,44906,
2014-11-01,56578,,277,,33157,,44690,
2014-12-01,65358,,314,,42925,,57310,
2015-01-01,62915,,303,,37139,,49853,
2015-02-01,56364,,275,,35457,,47488,
2015-03-01,57778,,297,,36901,,45960,
2015-04-01,65844,,358,,45717,,53140,
2015-05-01,63641,,338,,43609,,51742,
2015-06-01,59500,,323,,42196,,50827,
2015-07-01,118466,,744,,105316,365,108656,
2015-08-01,116057,,722,,102822,439,107175,
2015-09-01,107124,,638,,87330,78,91195,
2015-10-01,114459,,680,,97506,5,103146,
2015-11-01,107766,,646,,93206,71,96367,
2015-12-01,113487,,657,,97210,78,104231,
2016-01-01,98797,,616,,82876,97,85599,
2016-02-01,96189,,599,,73509,147,77981,
2016-03-01,111892,,689,,87096,6,93237,
2016-04-01,107873,,668,,90796,112,93983,
2016-05-01,124720,,772,,100509,7,104449,
2016-06-01,116187,,701,,91136,,98173,
2016-07-01,117135,,704,,100356,,107788,
2016-08-01,116551,,710,,98927,,103946,
2016-09-01,108712,,672,,82440,,87903,
2016-10-01,116262,,725,,94745,45,97876,
2016-11-01,111561,,687,,93780,,96691,
2016-12-01,122663,,726,,102980,,109428,
2017-01-01,105101,,637,,82316,,87516,
2017-02-01,86226,,535,,69111,,72816,
2017-03-01,96995,,597,,82782,,86150,
