Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,114005,,619,,64249,23,85672,
2002-11-01,114374,,620,,68365,23,90284,
2002-12-01,123278,,680,,76361,38,100452,
2003-01-01,131327,,737,,82510,27,106718,
2003-02-01,121855,,685,,75039,68,96523,
2003-03-01,137514,,775,,86417,94,110697,
2003-04-01,132369,,742,,84826,60,109541,
2003-05-01,122548,,676,,78447,,102154,
2003-06-01,122045,,660,,81205,,107541,
2003-07-01,135396,,742,,89256,10,118415,
2003-08-01,133993,,737,,83367,15,110539,
2003-09-01,125133,,662,,64492,,86764,
2003-10-01,128545,,689,,72290,,96494,
2003-11-01,147430,6017,748,55,80172,2756,112393,2035
2003-12-01,153170,9253,784,74,85895,6016,120566,5078
2004-01-01,162799,11187,782,83,92060,5444,127641,5492
2004-02-01,163026,10026,761,74,92867,3820,125813,3737
2004-03-01,175325,9561,811,68,107429,3344,146515,3176
2004-04-01,169310,9067,786,65,105685,4669,145768,4530
2004-05-01,171142,6688,777,45,96475,3496,128805,3698
2004-06-01,160732,8100,726,57,100990,5341,134642,5167
2004-07-01,158719,12946,716,93,103464,8172,140675,7562
2004-08-01,158844,12825,718,92,97216,7618,133510,7216
2004-09-01,123541,6159,543,42,63767,4382,86236,4637
2004-10-01,165317,7523,741,51,92711,4238,125669,4338
2004-11-01,169789,8770,778,63,99126,5267,133373,5294
2004-12-01,180807,11165,822,80,104445,8806,140527,8682
2005-01-01,153335,5785,716,47,100909,4579,130003,4186
2005-02-01,139890,2862,686,28,87086,2587,109104,1863
2005-03-01,154951,3067,759,30,107908,3109,134261,2138
2005-04-01,127022,3076,623,30,87173,2623,109877,1889
2005-05-01,128005,3243,634,31,87450,2727,109954,1963
2005-06-01,112718,3197,567,30,81002,2477,102584,1739
2005-07-01,112840,3303,571,31,79988,2776,101985,1927
2005-08-01,105796,1172,534,11,67534,1339,87721,868
2005-09-01,95923,1492,477,14,60131,1552,78712,1117
2005-10-01,87245,1172,438,11,53787,833,70646,597
2005-11-01,108791,1279,572,12,68117,1021,87747,606
2005-12-01,116760,3303,613,31,78768,3305,100493,2273
2006-01-01,121145,3464,637,32,84003,2242,106207,1638
2006-02-01,115237,533,613,5,78865,242,99461,161
2006-03-01,129407,1066,689,10,92396,1308,115884,935
2006-04-01,114334,852,578,8,82805,1023,104583,737
2006-05-01,116985,3197,595,30,79138,2660,101141,1915
2006-06-01,107788,3090,547,29,74856,3304,96138,2379
2006-07-01,104346,3303,523,31,69331,4128,90112,2972
2006-08-01,101405,3197,508,30,59133,3386,78276,2438
2006-09-01,98049,3197,485,30,52374,3012,69197,2127
2006-10-01,100338,3197,493,30,58405,2601,77944,1814
2006-11-01,96716,3197,473,30,61380,3063,82418,2150
2006-12-01,108682,3303,536,31,68824,3611,90446,2562
2007-01-01,116711,3303,579,31,72668,2557,95076,1841
2007-02-01,104603,2984,520,28,64547,2468,84156,1777
2007-03-01,115925,3303,581,31,77715,3035,100074,2185
2007-04-01,99761,3090,477,29,65232,3435,86527,2452
2007-05-01,95790,3303,457,31,60539,3287,81626,2288
2007-06-01,90952,3197,441,30,61807,3497,82791,2494
2007-07-01,94473,3303,463,31,62988,4034,85047,2839
2007-08-01,95242,3197,462,30,58691,4129,79872,2865
2007-09-01,91938,3197,441,30,49258,3507,67060,2403
2007-10-01,96216,3090,462,29,57413,2809,78398,1967
2007-11-01,93217,3197,447,30,58657,3383,79407,2321
2007-12-01,102094,10396,488,68,61458,9126,82466,7560
2008-01-01,106672,14444,515,89,68433,8258,90144,7202
2008-02-01,99228,14106,475,87,58514,9657,78265,7927
2008-03-01,105336,14321,503,88,68909,12020,90811,10155
2008-04-01,87516,13831,416,85,54514,7794,69884,6575
2008-05-01,89317,14280,427,88,57571,9074,72171,7819
2008-06-01,72764,12985,359,87,53322,13181,66671,10859
2008-07-01,74944,13830,370,92,53407,15328,66767,12352
2008-08-01,72821,13057,363,88,45337,13137,58405,10135
2008-09-01,43199,11559,248,88,25642,6889,29535,5610
2008-10-01,42696,12166,247,93,31285,7228,35489,5878
2008-11-01,45436,11773,257,90,33128,8683,37703,7322
2008-12-01,47353,12074,267,92,33507,12124,38050,10047
2009-01-01,46890,12137,265,93,36812,10342,41897,8975
2009-02-01,42418,10180,247,84,31722,8474,36166,7483
2009-03-01,46928,11273,272,93,36631,8580,41736,7521
2009-04-01,36301,10909,223,90,30064,8922,34271,7460
2009-05-01,35832,11182,220,92,28126,8223,32219,6579
2009-06-01,30687,10741,187,89,24556,9966,27925,8329
2009-07-01,31062,11273,186,93,24803,10699,28014,9220
2009-08-01,30280,10468,187,85,23203,9056,26202,7483
2009-09-01,28641,7997,174,59,20010,5493,22555,4670
2009-10-01,29988,8352,183,61,23062,5141,26055,4487
2009-11-01,34909,8342,210,59,27796,6589,31582,6059
2009-12-01,46899,9211,275,62,33000,8811,37660,8162
2010-01-01,46414,7022,277,43,36226,6340,41365,6535
2010-02-01,41237,2963,250,20,31383,2581,35748,2347
2010-03-01,45988,3554,281,31,36412,4394,41532,3164
2010-04-01,35260,3240,220,30,29199,3469,32947,2498
2010-05-01,35757,6607,216,62,28587,6511,32511,4688
2010-06-01,30724,6756,193,60,25288,8138,28643,5854
2010-07-01,29567,6797,183,59,23815,8619,26927,6165
2010-08-01,30653,6204,189,54,23485,6698,26576,4800
2010-09-01,31783,3456,181,30,22186,3773,25049,2717
2010-10-01,32885,3571,186,31,25501,3667,28782,2640
