Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,86389,,487,,35633,214,45941,
2002-11-01,80871,,449,,33072,193,43198,
2002-12-01,84211,,471,,41377,163,56243,
2003-01-01,73051,,422,,29886,307,40593,
2003-02-01,56171,,332,,26013,43,34009,
2003-03-01,79431,,440,,32937,85,44456,
2003-04-01,77951,,426,,34949,161,47730,
2003-05-01,80784,,435,,38280,207,51805,
2003-06-01,84494,,445,,41355,169,56144,
2003-07-01,90236,,476,,44708,143,61915,
2003-08-01,88527,,470,,42428,182,58281,
2003-09-01,77480,,399,,28176,148,37646,
2003-10-01,82256,,427,,35863,185,47636,
2003-11-01,74163,45,337,1,28456,69,42573,38
2003-12-01,78582,,361,,34948,124,52461,
2004-01-01,73892,,347,,27834,233,41307,
2004-02-01,75138,,345,,30249,255,45659,
2004-03-01,81409,,383,,34205,319,50548,
2004-04-01,77060,,356,,36036,241,53859,
2004-05-01,71194,,332,,32778,33,50877,
2004-06-01,69626,,331,,34807,57,53437,
2004-07-01,71065,,341,,35951,91,55391,
2004-08-01,69569,,332,,33194,96,50800,
2004-09-01,63407,,305,,27420,28,42694,
2004-10-01,69433,,327,,31147,144,48478,
2004-11-01,67548,,323,,30064,181,46667,
2004-12-01,74513,397,360,1,35883,241,54609,381
2005-01-01,73618,,369,,30945,225,46561,
2005-02-01,70689,,338,,30825,116,46162,
2005-03-01,79374,,389,,40538,165,60031,
2005-04-01,74601,,362,,36776,246,55326,
2005-05-01,77767,,364,,39394,321,59659,
2005-06-01,78626,,371,,43047,293,64466,
2005-07-01,81169,,374,,47139,507,70638,
2005-08-01,80197,,371,,41966,397,63526,
2005-09-01,71584,,320,,33376,434,52804,
2005-10-01,71539,,319,,35653,320,56633,
2005-11-01,69916,,314,,36639,163,56145,
2005-12-01,72402,,321,,38545,336,57691,
2006-01-01,73679,,343,,32461,340,48143,
2006-02-01,62492,,283,,29697,399,43465,
2006-03-01,73937,,335,,36803,384,54104,
2006-04-01,73629,,331,,38840,148,59180,
2006-05-01,75196,,343,,39198,272,59622,
2006-06-01,73813,,337,,42410,362,64418,
2006-07-01,75551,,345,,43564,258,66611,
2006-08-01,76083,,342,,39401,352,60884,
2006-09-01,70913,,327,,30373,314,47249,
2006-10-01,72004,,329,,34160,319,52598,
2006-11-01,69048,,316,,34116,320,52407,
2006-12-01,70809,,320,,34621,413,52698,
2007-01-01,70563,,315,,28021,498,42299,
2007-02-01,56519,,248,,24977,528,37775,
2007-03-01,70508,,316,,33421,551,50556,
2007-04-01,70389,,300,,34937,429,55212,
