Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,41103,,628,,39339,63,21806,
2002-11-01,38272,,595,,36647,84,21460,
2002-12-01,34028,,554,,39524,121,22989,
2003-01-01,32244,,528,,32407,76,17977,
2003-02-01,29970,,467,,30181,37,17263,
2003-03-01,33524,,522,,37317,37,21280,
2003-04-01,30594,,493,,31696,128,17948,
2003-05-01,31541,545,510,1,34208,97,19725,301
2003-06-01,26582,161,399,1,30568,140,19421,142
2003-07-01,25206,,388,,31125,130,19117,
2003-08-01,24870,,384,,27346,90,16131,
2003-09-01,24765,,378,,23844,41,13817,
2003-10-01,25901,,393,,27870,41,16198,
2003-11-01,27414,,447,,33282,87,17933,
2003-12-01,29522,,482,,36737,134,20487,
2004-01-01,29268,,472,,30921,45,15958,
2004-02-01,27478,,443,,32896,58,17060,
2004-03-01,27456,,394,,31536,57,18892,
2004-04-01,26716,,382,,30581,39,18292,
2004-05-01,31389,,440,,35051,45,21487,
2004-06-01,34169,,444,,38999,93,24149,
2004-07-01,35998,,452,,40412,,25524,
2004-08-01,35816,,449,,32707,,19482,
2004-09-01,31993,,410,,30135,,16727,
2004-10-01,34999,,438,,32974,,19126,
2004-11-01,34698,,431,,35043,46,20586,
2004-12-01,35606,,456,,39229,61,23571,
2005-01-01,35756,,472,,33636,19,19400,
2005-02-01,32087,,398,,30844,119,17989,
2005-03-01,37506,,457,,41808,165,26256,
2005-04-01,37604,,463,,39600,7,23438,
2005-05-01,39748,,481,,44107,9,26521,
2005-06-01,40198,,518,,48242,116,28540,
2005-07-01,42424,,572,,48378,253,27751,
2005-08-01,41266,,551,,37849,107,20813,
2005-09-01,36138,,467,,34794,27,19100,
2005-10-01,35539,,456,,37284,25,19320,
2005-11-01,37585,,481,,43890,69,24019,
2005-12-01,37004,,428,,41138,49,25103,
2006-01-01,35247,,398,,34515,41,19788,
2006-02-01,31549,,372,,33089,29,18363,
2006-03-01,36998,,436,,44403,51,25944,
2006-04-01,38347,,466,,43679,88,24982,
2006-05-01,39432,,481,,47292,185,27903,
2006-06-01,38408,,468,,48757,337,29140,
2006-07-01,39189,,482,,46761,300,27108,
2006-08-01,39590,,485,,38513,212,21690,
2006-09-01,34766,,425,,33056,54,18342,
2006-10-01,35070,,423,,34139,54,19063,
2006-11-01,34371,,410,,37696,75,22368,
2006-12-01,33940,,411,,41543,96,24472,
2007-01-01,35527,,417,,33664,95,19478,
2007-02-01,30356,230,372,1,31928,51,17870,178
2007-03-01,35478,,430,,42176,54,24781,
2007-04-01,30652,,375,,37427,14,22308,
2007-05-01,31256,143,379,1,40881,,25052,139
2007-06-01,29786,,362,,41183,,24894,
2007-07-01,30515,,365,,42536,,25679,
2007-08-01,30299,,366,,40019,,23066,
2007-09-01,29570,,358,,34641,11,20019,
2007-10-01,30677,,365,,39655,36,22371,
2007-11-01,29388,,351,,39488,107,22460,
2007-12-01,29642,,357,,39196,23,22854,
2008-01-01,29240,200,355,1,36395,21,19884,112
2008-02-01,26891,,333,,32804,29,17687,
2008-03-01,28810,,344,,39429,11,22996,
2008-04-01,28382,,341,,34773,33,20515,
2008-05-01,30544,,369,,40518,48,23709,
2008-06-01,29871,,362,,42696,66,25535,
2008-07-01,30827,,373,,42950,101,25416,
2008-08-01,30371,,366,,36640,101,21196,
2008-09-01,26029,,311,,23276,35,13332,
2008-10-01,30712,,363,,34249,19,19428,
2008-11-01,29646,,348,,32567,2,18972,
2008-12-01,30184,,357,,37088,,21829,
2009-01-01,29968,,355,,30163,,17001,
2009-02-01,26707,,319,,27018,,14639,
2009-03-01,30634,,361,,36567,,21212,
2009-04-01,23812,,309,,31376,43,16741,
