Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,444179,444980,1325,808,154380,104670,296928,274410
2002-11-01,414309,435408,1245,819,148213,117387,275766,299237
2002-12-01,424948,461917,1282,872,179259,143727,336531,366049
2003-01-01,421032,468351,1269,862,149249,111282,277250,300611
2003-02-01,343684,392221,1062,707,132171,106612,239936,274382
2003-03-01,400321,451427,1230,836,143043,115279,256354,297502
2003-04-01,401769,400084,1205,748,156314,112901,288247,266197
2003-05-01,414516,413079,1138,753,151167,110774,295923,283391
2003-06-01,412717,454800,1147,805,158877,128908,315502,342797
2003-07-01,446233,515302,1228,946,194357,160971,383128,381666
2003-08-01,425255,497680,1170,918,181646,160862,358283,391118
2003-09-01,411975,440990,1139,732,128705,102427,259830,294057
2003-10-01,441748,463433,1208,759,149697,109824,299268,310391
2003-11-01,423801,457747,1157,796,150641,123358,293757,328913
2003-12-01,426899,482311,1167,864,175434,159530,336763,401912
2004-01-01,441913,499948,1198,901,151418,118497,296153,317002
2004-02-01,452559,480105,1193,849,157206,124982,310018,324825
2004-03-01,485984,509628,1285,901,173458,139410,343852,376981
2004-04-01,486151,518415,1281,904,184063,145355,365733,382772
2004-05-01,492933,529784,1304,874,168182,136098,336604,388037
2004-06-01,490590,525451,1287,861,178861,156407,360411,433525
2004-07-01,499725,615566,1319,1105,206692,203675,406542,490588
2004-08-01,511043,615716,1339,1108,209903,201003,420344,491064
2004-09-01,433035,520439,1136,853,145542,138960,301562,394340
2004-10-01,444838,525532,1169,853,166815,131072,338704,372311
2004-11-01,405409,505828,1096,890,154229,137115,294981,369380
2004-12-01,423682,560669,1145,1014,179328,185392,336508,460342
2005-01-01,398511,560981,1080,1011,156038,141165,294302,370043
2005-02-01,381470,522081,1025,934,152781,145543,290079,364236
2005-03-01,438088,585840,1176,1046,187913,178915,354781,458191
2005-04-01,405310,582895,1094,1004,176420,166372,337854,435894
2005-05-01,418897,573622,1125,955,172876,159333,334814,443027
2005-06-01,425576,571405,1136,953,179042,169955,349682,459108
2005-07-01,451908,625456,1208,1081,215201,211550,411759,514353
2005-08-01,433046,615159,1141,1056,189572,200710,371435,502976
2005-09-01,377315,548195,1005,893,142711,139423,289630,399872
2005-10-01,380440,547076,1029,868,156207,134916,312611,385119
2005-11-01,397274,510351,1046,828,168402,134803,324750,377975
2005-12-01,414106,549204,1091,917,181712,176754,344875,453682
2006-01-01,422732,523321,1114,891,165262,129328,315930,347279
2006-02-01,356863,473970,950,804,146309,131332,276002,332590
2006-03-01,419239,556599,1109,944,173915,161819,330578,427367
2006-04-01,397587,566539,1053,934,177595,178068,342665,463954
2006-05-01,411743,571133,1072,912,168189,162279,329587,453292
2006-06-01,406843,573726,1038,931,170767,177824,334134,486282
2006-07-01,414748,611790,1078,1002,195846,200571,382274,502391
2006-08-01,407275,602990,1060,987,180171,193480,355276,493738
2006-09-01,364798,531601,933,825,139231,133910,283225,391187
2006-10-01,373341,547166,951,844,154644,133324,312816,385606
2006-11-01,363664,513772,929,816,160167,145512,314787,393877
2006-12-01,378283,553480,970,907,163186,174091,319376,448745
2007-01-01,378136,560017,976,921,145478,140983,288178,376316
2007-02-01,321822,473718,832,774,129975,130356,254168,341929
2007-03-01,369993,536912,953,883,154584,160699,302746,425696
2007-04-01,360915,554333,926,890,154491,163494,304784,433808
2007-05-01,371405,560023,952,882,158425,158624,312170,443807
