Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,123768,1255,827,1,96645,1514,105602,994
2002-11-01,112477,,782,,85873,878,91796,
2002-12-01,120807,,819,,84169,627,91482,
2003-01-01,125278,,816,,92713,551,103039,
2003-02-01,121436,,755,,87099,655,100982,
2003-03-01,135304,,841,,102008,590,119615,
2003-04-01,128980,,794,,95151,533,110092,
2003-05-01,134048,,817,,101043,648,117216,
2003-06-01,128008,,764,,98344,772,113858,
2003-07-01,124675,,757,,95744,748,108558,
2003-08-01,125233,,763,,95875,626,108479,
2003-09-01,122078,,731,,85359,1059,96596,
2003-10-01,127840,,763,,93171,1277,107132,
2003-11-01,119093,,740,,83979,1193,91842,
2003-12-01,123571,,769,,76741,727,85295,
2004-01-01,139425,,775,,91431,1003,102186,
2004-02-01,141639,,740,,95429,1046,109854,
2004-03-01,148544,,791,,109930,828,126406,
2004-04-01,147324,,775,,103878,1040,123084,
2004-05-01,150427,,791,,105503,1285,124976,
2004-06-01,148875,,765,,104865,1299,122467,
2004-07-01,154482,,783,,107252,833,125906,
2004-08-01,155377,,792,,105302,631,124066,
2004-09-01,142541,,739,,102308,173,117503,
2004-10-01,155354,,770,,115797,,134847,
2004-11-01,144228,,736,,103569,,118404,
2004-12-01,144366,,763,,98480,,111827,
2005-01-01,139493,,713,,98293,12,112800,
2005-02-01,124748,,639,,87944,25,102479,
2005-03-01,138824,,708,,106770,73,126092,
2005-04-01,140352,,684,,105144,3,123959,
2005-05-01,145822,,709,,113902,,133569,
2005-06-01,137395,,690,,107860,,126781,
2005-07-01,139443,,710,,109430,,128075,
2005-08-01,140585,,718,,102263,1,119892,
2005-09-01,140036,,711,,101423,13,118065,
2005-10-01,141947,,727,,109109,9,125906,
2005-11-01,139253,,706,,101561,16,118556,
2005-12-01,138757,,709,,98305,14,115690,
2006-01-01,136585,,700,,93434,,108544,
2006-02-01,123429,,632,,92090,,107753,
2006-03-01,137245,,704,,108287,,126453,
2006-04-01,128557,,603,,92295,,118687,
2006-05-01,132584,,618,,92745,,120023,
2006-06-01,127732,,596,,92022,,119304,
2006-07-01,131077,,613,,94672,,121877,
2006-08-01,130602,,610,,92064,,118556,
2006-09-01,127005,,593,,85509,50,110267,
2006-10-01,132133,,615,,90243,149,117011,
2006-11-01,126092,288,587,1,85263,374,111148,255
2006-12-01,128351,,603,,82463,128,106737,
2007-01-01,128143,,599,,84017,29,109377,
2007-02-01,114970,,536,,77069,43,100256,
2007-03-01,129795,,605,,92422,36,120121,
2007-04-01,122774,,561,,86273,5,111722,
2007-05-01,125518,,577,,87811,,112922,
2007-06-01,118442,,554,,84843,2,109514,
2007-07-01,121006,,580,,85439,15,110279,
2007-08-01,120785,,576,,86171,11,110672,
2007-09-01,133837,,583,,85422,,112671,
2007-10-01,143947,,615,,93984,5,124138,
2007-11-01,137468,,586,,87895,8,116400,
2007-12-01,138932,,613,,82818,48,110321,
2008-01-01,136579,,619,,80399,39,107402,
2008-02-01,126757,,572,,77861,12,103644,
2008-03-01,135593,,612,,91997,6,123069,
2008-04-01,130556,,575,,86159,51,116879,
2008-05-01,138475,,615,,93602,75,126716,
2008-06-01,118450,,566,,82414,44,110160,
2008-07-01,130481,,639,,87582,61,116410,
