Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,746365,64371,2848,143,306382,13167,523188,43292
2002-11-01,698393,61241,2692,132,287725,11534,489197,38974
2002-12-01,707999,63805,2645,134,309845,14520,537032,46241
2003-01-01,681607,63304,2467,132,273077,11622,485689,41089
2003-02-01,594233,52664,2145,96,238492,8627,426122,31936
2003-03-01,704550,60085,2485,120,291673,12062,523994,40228
2003-04-01,679974,58998,2415,118,289406,11414,522829,39834
2003-05-01,704122,51386,2439,90,298530,11165,539575,40975
2003-06-01,712360,50445,2460,86,330996,12134,606327,45439
2003-07-01,760319,49929,2586,86,355582,12293,652162,42009
2003-08-01,759337,51814,2571,87,358821,13047,659979,47548
2003-09-01,713872,50187,2407,79,261785,10553,478317,43531
2003-10-01,733298,50594,2456,82,285784,10632,526969,40288
2003-11-01,716560,49326,2339,80,282927,10514,521679,41100
2003-12-01,749246,51644,2463,86,304890,11286,562717,42271
2004-01-01,753446,52735,2542,85,284717,9723,534828,39361
2004-02-01,717798,48866,2421,86,277892,9264,523147,32570
2004-03-01,786075,53475,2643,92,331519,12625,621247,45924
2004-04-01,776015,117310,2585,135,329290,19444,625367,86687
2004-05-01,764535,130179,2620,147,312156,24459,591883,112738
2004-06-01,804151,142121,2753,188,359853,29749,683289,124046
2004-07-01,840884,153327,2875,216,380427,30903,720907,120821
2004-08-01,843265,151001,2899,215,385145,31704,731194,121592
2004-09-01,730720,145379,2582,200,312784,26347,581989,109265
2004-10-01,773041,148278,2725,205,339115,26784,630049,106696
2004-11-01,765428,111795,2627,180,330782,22895,618929,82555
2004-12-01,799717,122836,2763,202,350513,28215,651735,97930
2005-01-01,754140,121559,2613,189,316463,25487,585024,92336
2005-02-01,673180,109160,2317,167,287548,22074,529946,80484
2005-03-01,763574,120721,2620,185,359427,29614,668783,102212
2005-04-01,734037,163052,2563,236,341265,31680,626932,121400
2005-05-01,768377,155937,2694,216,358414,32261,656082,132373
2005-06-01,786385,152500,2667,229,386135,35801,719987,133179
2005-07-01,833253,159988,2798,246,410349,37137,767210,132678
2005-08-01,813452,157485,2754,236,403097,37237,748551,134721
2005-09-01,757162,150774,2564,207,341054,29657,632596,119316
2005-10-01,762855,151055,2604,210,346211,28882,642705,108758
2005-11-01,735274,112560,2522,176,344431,24586,634273,85498
2005-12-01,756131,121491,2581,183,348423,27736,644010,97686
2006-01-01,753818,125868,2607,186,325003,27347,592298,95948
2006-02-01,667553,112357,2311,167,295629,24735,535358,86461
2006-03-01,759469,125541,2601,185,359757,30449,655392,108226
2006-04-01,764759,146748,2542,206,359575,31970,674439,117864
2006-05-01,793898,152415,2639,215,361390,33922,681712,130503
2006-06-01,780001,145915,2574,206,378222,36054,714474,136167
2006-07-01,809483,153294,2662,215,396167,35754,746800,132148
2006-08-01,807348,151048,2660,214,385416,33625,729487,124710
2006-09-01,763218,146778,2498,203,325335,28390,614496,114655
2006-10-01,788943,148486,2585,212,345171,29600,652043,109156
2006-11-01,766549,107698,2497,178,348192,27408,649800,93162
2006-12-01,800792,122779,2605,202,364722,31439,680402,106217
2007-01-01,789712,129482,2585,216,330243,29511,611062,102629
2007-02-01,699378,115589,2298,194,304374,26070,560967,90615
2007-03-01,787447,138520,2589,223,372267,36303,685103,124793
2007-04-01,773359,163667,2505,238,369693,37037,683112,135661
2007-05-01,793746,153825,2579,216,366730,34720,681586,132487
2007-06-01,772429,149732,2514,209,385154,36584,715842,136933
2007-07-01,809241,152397,2636,214,400870,35998,743638,129538
2007-08-01,811687,152535,2636,215,396627,36586,736283,131110
2007-09-01,754883,140587,2467,191,328334,30188,605584,117823
2007-10-01,791916,145242,2584,197,352819,30253,651725,114296
2007-11-01,769460,115823,2477,189,346107,29650,640126,99147
2007-12-01,783838,129290,2513,215,347203,33727,643596,110230
2008-01-01,780981,127525,2517,198,328494,27864,607142,95735
