Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,260893,6254,1931,186,175018,9607,174821,3307
2002-11-01,271253,5639,1998,170,182205,8562,183341,2951
2002-12-01,277273,5145,2016,155,201904,8066,206526,2718
2003-01-01,276264,4968,1954,158,168528,7044,173298,2363
2003-02-01,234144,3977,1653,126,157524,6690,162800,2126
2003-03-01,275947,5668,1932,169,175080,7635,181991,2531
2003-04-01,265841,5544,1867,165,181183,6456,187327,1966
2003-05-01,268552,5404,1888,160,190858,7415,194466,2457
2003-06-01,266312,5355,1877,156,192341,8843,194887,2932
2003-07-01,280939,5218,1960,152,212363,10426,217494,3640
2003-08-01,269460,5197,1883,149,211302,10941,215720,3961
2003-09-01,256742,4928,1792,148,158560,9269,160126,3268
2003-10-01,283112,5268,1966,159,192235,8892,196903,3111
2003-11-01,258586,4480,1809,135,184349,7361,191507,2583
2003-12-01,262365,4542,1844,137,198413,7191,207881,2480
2004-01-01,272146,3313,1843,78,170969,3941,179491,1358
2004-02-01,264417,3031,1770,66,179229,3525,186941,1190
2004-03-01,287164,3398,1915,74,207770,4876,217459,1655
2004-04-01,284580,3307,1915,72,211545,5827,219466,1968
2004-05-01,276879,4026,1875,79,195759,6784,202114,2404
2004-06-01,269444,4163,1854,82,202152,7174,207340,2510
2004-07-01,272034,5491,1863,92,214281,7874,221861,3331
2004-08-01,277747,5093,1911,92,221436,9743,227729,3976
2004-09-01,251149,3628,1718,79,172212,8212,175895,2789
2004-10-01,278633,3582,1882,78,203369,7132,209114,2349
2004-11-01,272377,3468,1855,73,194963,4886,200739,1724
2004-12-01,284541,4120,1929,80,210318,5826,218950,2207
2005-01-01,265458,4542,1788,80,180542,4959,189209,1908
2005-02-01,252186,4191,1706,74,184362,4736,192340,2067
2005-03-01,283275,4564,1909,81,217666,5562,227886,2620
2005-04-01,280013,5106,1856,85,216956,6151,224826,2759
2005-05-01,290805,5357,1906,88,218874,7209,227303,2886
2005-06-01,265904,5217,1798,86,214090,7851,217689,3180
2005-07-01,266544,5926,1818,96,218818,8967,224827,3811
2005-08-01,271324,5114,1856,88,217873,9023,222465,3563
2005-09-01,259398,3643,1762,71,188238,5816,190299,1921
2005-10-01,257383,3682,1757,72,197328,5638,199885,1880
2005-11-01,273969,3375,1862,66,218959,5752,223383,1950
2005-12-01,286726,3103,1948,61,228149,4477,235856,1456
2006-01-01,292624,2629,1983,52,201130,3552,207932,1156
2006-02-01,254981,2325,1735,46,186268,3287,192230,1011
2006-03-01,297080,2677,2025,53,227976,4517,235461,1337
2006-04-01,270795,2721,1841,54,223293,3909,226102,1258
2006-05-01,279061,2871,1898,57,224811,5702,227159,1911
2006-06-01,261047,2822,1785,56,218565,5895,220930,1938
2006-07-01,250389,2770,1708,55,212850,5754,216738,1853
2006-08-01,264225,2923,1813,58,213161,7078,216698,2173
2006-09-01,248111,2629,1688,52,181487,5637,183103,1885
2006-10-01,261053,2677,1762,53,204378,5155,208060,1677
2006-11-01,245956,2576,1656,51,200710,5276,204200,1709
2006-12-01,258013,2629,1726,52,208134,4878,215153,1511
2007-01-01,256784,2730,1733,54,185191,3735,188824,1157
2007-02-01,223066,2374,1496,47,166161,4053,170299,1239
2007-03-01,249151,2428,1671,48,200658,4559,205958,1377
2007-04-01,250327,2838,1717,56,203943,5119,205202,1539
2007-05-01,264724,3103,1839,61,217854,5938,217515,1860
2007-06-01,246015,2808,1702,55,218011,6650,217258,2069
2007-07-01,254774,3007,1769,59,230592,7736,230675,2349
2007-08-01,265126,3010,1836,59,236901,7274,236407,2203
2007-09-01,255950,2543,1752,50,189957,4897,190147,1535
2007-10-01,265580,2647,1808,52,208597,5110,210039,1690
2007-11-01,255644,2646,1735,52,204171,4718,205862,1544
2007-12-01,252326,2552,1712,50,199190,4346,203672,1419
2008-01-01,259396,2760,1766,54,180966,3890,185647,1237
2008-02-01,226704,2300,1547,45,166795,4487,169855,1472
2008-03-01,255927,2553,1748,50,198366,4121,201383,1346
2008-04-01,244606,2442,1674,48,188315,3102,189416,1028
2008-05-01,259953,2654,1795,52,200336,4400,201822,1396
2008-06-01,231438,2193,1610,43,192023,4247,192778,1282
2008-07-01,253096,2596,1752,51,211045,4899,214561,1339
2008-08-01,254769,2458,1747,48,206570,5466,210448,1539
2008-09-01,241780,2592,1615,52,161138,3058,164013,1077
2008-10-01,257481,2642,1699,53,178727,2946,182703,1049
2008-11-01,223586,2187,1420,44,158108,3389,164409,1216
2008-12-01,227638,2241,1440,45,175800,3581,185401,1280
2009-01-01,220615,2092,1393,42,137224,2326,144591,832
2009-02-01,201449,2043,1270,41,133911,1792,140140,643
2009-03-01,227324,2392,1438,48,161890,2784,168657,998
2009-04-01,216905,2143,1382,43,164736,2196,171112,795
2009-05-01,218686,2293,1392,46,159901,2739,166231,982
2009-06-01,215756,2592,1379,52,172713,3268,177585,1177
2009-07-01,225440,2741,1440,55,192508,4982,199065,1780
2009-08-01,220901,2193,1420,44,189527,4041,194145,1447
2009-09-01,195456,,1285,,149364,,152542,
2009-10-01,200860,,1323,,163475,,166454,
2009-11-01,196077,,1273,,156754,,160730,
2009-12-01,209422,,1340,,166823,,174304,
2010-01-01,206112,,1311,,139756,,146389,
2010-02-01,173155,,1107,,125738,36,130581,
2010-03-01,214980,,1378,,172827,70,179741,
2010-04-01,210120,,1335,,165586,10,170206,
2010-05-01,209578,,1328,,173163,,178898,
2010-06-01,205464,,1311,,177388,,181530,
2010-07-01,214206,,1366,,187140,,192003,
2010-08-01,218002,,1400,,188864,230,193818,
2010-09-01,205021,,1336,,156197,761,160457,
2010-10-01,208784,,1361,,169469,928,174328,
2010-11-01,207274,,1321,,160846,553,167854,
2010-12-01,200362,,1255,,159190,300,168091,
2011-01-01,198202,,1259,,130438,172,137740,
2011-02-01,180559,,1152,,122418,176,129319,
2011-03-01,217380,,1400,,151987,228,160072,
2011-04-01,208792,,1332,,161502,423,167514,
2011-05-01,201322,,1291,,164112,404,170582,
2011-06-01,204898,,1310,,165230,219,170920,
