Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,145337,,984,,122502,271,115061,
2002-11-01,142158,,978,,118427,,111032,
2002-12-01,151760,,1041,,124198,,117425,
2003-01-01,153645,,1032,,126660,27,122331,
2003-02-01,132410,,916,,105757,16,101521,
2003-03-01,155395,,1061,,127097,55,124695,
2003-04-01,150626,,1033,,120114,25,118073,
2003-05-01,150857,,1046,,119741,122,118866,
2003-06-01,145068,,1006,,124078,103,122353,
2003-07-01,156102,,1082,,132952,225,131884,
2003-08-01,155493,,1077,,128948,235,129340,
2003-09-01,120921,,873,,88355,151,83996,
2003-10-01,126969,,895,,108567,186,103509,
2003-11-01,132697,,935,,114830,52,109965,
2003-12-01,137958,,955,,114449,243,108989,
2004-01-01,152500,,930,,134888,145,127578,
2004-02-01,149855,,880,,129571,190,123376,
2004-03-01,160232,,935,,141129,273,135294,
2004-04-01,153706,,913,,134444,318,127643,
2004-05-01,158561,,967,,135865,242,130435,
2004-06-01,164435,,988,,141464,297,138984,
2004-07-01,168810,,1034,,146070,411,144499,
2004-08-01,164510,,1010,,136806,405,135352,
2004-09-01,117714,,743,,87101,171,83599,
2004-10-01,167282,,1017,,137570,195,135165,
2004-11-01,157948,,957,,129193,33,126403,
2004-12-01,165132,,996,,129451,125,127506,
2005-01-01,157907,,960,,140391,339,133682,
2005-02-01,149788,,882,,126207,321,117799,
2005-03-01,165831,43,978,1,149722,254,141544,43
2005-04-01,161338,,942,,141696,351,134237,
2005-05-01,163795,,969,,145374,484,137380,
2005-06-01,153424,,963,,147174,233,139013,
2005-07-01,155957,,990,,148878,141,138095,
2005-08-01,149085,,948,,131114,137,121750,
2005-09-01,134846,,862,,116453,299,106422,
2005-10-01,139460,,877,,125845,472,116616,
2005-11-01,145006,,914,,134136,732,121981,
2005-12-01,151469,,961,,139451,639,126741,
2006-01-01,153716,,975,,148858,814,132245,
2006-02-01,140613,,895,,128148,584,115753,
2006-03-01,157249,,1009,,157852,676,142910,
2006-04-01,155757,,964,,152778,679,139561,
2006-05-01,160167,,995,,153254,978,140209,
2006-06-01,154386,,956,,154842,1200,140682,
2006-07-01,158179,,984,,156287,1394,141970,
2006-08-01,156362,,977,,141407,1415,129095,
2006-09-01,143257,,928,,120338,910,109165,
2006-10-01,146319,,953,,134837,1040,121848,
2006-11-01,140375,,913,,132757,981,119157,
2006-12-01,137722,,907,,132258,1311,116854,
2007-01-01,133368,,888,,134926,1357,115683,
2007-02-01,123935,,820,,121352,1155,106251,
2007-03-01,137580,,918,,136335,1908,122114,
2007-04-01,142200,,912,,137871,1105,123984,
2007-05-01,149607,,946,,142118,648,127957,
2007-06-01,143625,,915,,144390,532,131941,
2007-07-01,149385,,955,,148272,636,133853,
2007-08-01,149845,,950,,141339,551,126682,
2007-09-01,139817,,865,,118853,291,104315,
2007-10-01,144649,,894,,135833,442,118913,
2007-11-01,139381,,856,,135534,941,119655,
2007-12-01,141655,,906,,129036,770,113547,
2008-01-01,140701,,929,,144651,284,122583,
2008-02-01,127386,,855,,127347,547,108815,
2008-03-01,134919,,902,,135164,255,117785,
2008-04-01,134145,,877,,128192,325,112699,
2008-05-01,145189,,948,,139128,655,120916,
2008-06-01,136341,,890,,140364,741,124274,
2008-07-01,140584,,927,,144373,389,125732,
2008-08-01,136876,89,896,1,132636,724,114719,48
2008-09-01,110866,,782,,94438,476,73942,
2008-10-01,114159,,803,,111863,608,91672,
2008-11-01,101615,,766,,98235,53,79515,
2008-12-01,104984,,791,,101289,81,82376,
2009-01-01,104852,289,792,1,109432,61,88017,255
2009-02-01,97319,,726,,99184,,81796,
2009-03-01,106847,,796,,110907,,93623,
2009-04-01,100443,,728,,105867,155,88426,
2009-05-01,102835,,740,,103965,169,86973,
2009-06-01,93374,,712,,104412,183,84527,
2009-07-01,93804,,745,,106589,183,84317,
2009-08-01,92703,,724,,101193,369,80106,
2009-09-01,85456,,654,,83868,1125,66094,
2009-10-01,87495,,681,,95277,1258,76501,
2009-11-01,86851,,676,,93838,1117,74468,
2009-12-01,92734,,735,,97841,1001,75787,
2010-01-01,93204,,743,,109481,725,83817,
2010-02-01,82457,,662,,93565,504,71507,
2010-03-01,93093,,744,,102442,638,82027,
2010-04-01,87479,,700,,100053,789,79365,
2010-05-01,88355,,705,,98183,993,77668,
2010-06-01,86796,,679,,98014,280,78475,
2010-07-01,94526,,736,,104735,408,83139,
2010-08-01,93569,,730,,101775,458,81211,
2010-09-01,87288,,687,,92256,482,69314,
2010-10-01,89954,,708,,104119,532,81303,
2010-11-01,92782,,737,,103043,349,81437,
2010-12-01,102761,,823,,107106,495,84000,
2011-01-01,99651,,820,,113273,345,86545,
2011-02-01,87252,,705,,97856,402,74076,
2011-03-01,101592,169,794,1,111731,497,89499,167
2011-04-01,106319,,798,,109901,689,91126,
2011-05-01,110029,,811,,117836,763,97331,
2011-06-01,106098,,804,,109882,432,90647,
2011-07-01,109324,,832,,116536,531,95558,
2011-08-01,105853,,802,,109163,843,89923,
2011-09-01,101222,,760,,102097,806,81682,
2011-10-01,102451,,765,,110930,809,89919,
2011-11-01,102610,,768,,109165,574,88586,
2011-12-01,110087,,833,,107957,599,86518,
2012-01-01,107693,,829,,121604,576,94309,
2012-02-01,100542,,780,,109689,156,85064,
2012-03-01,112510,,859,,117836,9,93509,
2012-04-01,101085,,777,,114768,114,90072,
2012-05-01,105319,,808,,114775,157,90327,
2012-06-01,100747,115,797,1,112036,302,89019,100
2012-07-01,102828,,828,,114362,604,90023,
2012-08-01,103758,,819,,112798,641,89966,
2012-09-01,98318,,783,,104465,508,79072,
2012-10-01,102982,,815,,113153,530,90014,
2012-11-01,102654,,791,,110495,376,87180,
2012-12-01,105024,,811,,106475,112,83662,
2013-01-01,103247,,805,,118436,214,93275,
2013-02-01,93911,,737,,105340,257,82573,
2013-03-01,103444,,819,,111189,242,90469,
2013-04-01,98718,187,789,1,108239,181,86598,181
2013-05-01,102179,,828,,112962,183,89759,
2013-06-01,100694,,814,,112993,443,91160,
2013-07-01,104107,,835,,115653,768,92730,
2013-08-01,102514,,826,,116576,716,92057,
2013-09-01,86635,,746,,97215,8,68937,
2013-10-01,104179,,825,,114720,107,89744,
2013-11-01,101918,,798,,106791,198,85404,
2013-12-01,105204,158,809,1,108233,151,85077,146
2014-01-01,109267,,831,,124978,157,99101,
2014-02-01,101465,,757,,115138,203,92630,
2014-03-01,113913,,848,,123358,128,100932,
2014-04-01,105436,,801,,112364,67,92613,
2014-05-01,104330,,815,,117376,118,93535,
2014-06-01,103038,,811,,112617,77,91122,
2014-07-01,104832,,836,,114081,107,91885,
2014-08-01,98557,317,793,2,111880,105,88827,280
2014-09-01,86500,,706,,93560,,71964,
2014-10-01,98817,,818,,114138,98,86799,
2014-11-01,103520,,804,,109186,96,87365,
2014-12-01,124676,,926,,115177,95,93496,
2015-01-01,126937,199,936,1,130494,182,105666,188
2015-02-01,106694,,793,,115583,148,91596,
2015-03-01,119604,,886,,119649,200,97790,
2015-04-01,107273,,814,,113549,60,92734,
2015-05-01,108791,,836,,112541,158,91512,
2015-06-01,112441,,832,,120036,297,99401,
2015-07-01,228450,,1666,,245190,952,201242,
2015-08-01,215465,,1611,,244772,1363,197403,
2015-09-01,185190,,1426,,202393,881,159062,
2015-10-01,197153,,1515,,230877,1044,179688,
2015-11-01,209910,,1517,,226315,549,182861,
2015-12-01,236509,,1651,,230425,393,192783,
2016-01-01,230680,,1593,,240390,392,201611,
2016-02-01,226637,,1561,,223660,330,190203,
2016-03-01,257974,,1749,,254757,146,217289,
2016-04-01,236157,134,1651,1,250227,271,209615,85
2016-05-01,219997,,1588,,239999,461,192966,
2016-06-01,233299,,1636,,235918,545,199932,
