Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,544071,620498,3116,2312,306603,240339,340743,412485
2002-11-01,532663,620604,3038,2278,335328,263981,372766,449097
2002-12-01,574833,681873,3235,2495,363898,314158,409630,522961
2003-01-01,586170,695108,3319,2514,394534,275025,447167,485437
2003-02-01,523979,608247,2968,2167,332477,241158,375978,431872
2003-03-01,590805,666484,3342,2384,396183,259794,451718,455925
2003-04-01,571208,608215,3201,2204,360074,237587,412333,388230
2003-05-01,576960,599329,3173,2110,355509,243053,406737,415228
2003-06-01,571744,623905,3107,2222,357471,290029,405068,478218
2003-07-01,607363,691640,3281,2520,395700,339726,454649,547123
2003-08-01,602828,690016,3250,2506,398997,314115,465939,517041
2003-09-01,542153,637072,2955,2221,270416,233344,309285,414288
2003-10-01,572485,661092,3104,2282,318109,252842,359632,438097
2003-11-01,656914,681557,3422,2357,381227,280319,436211,489437
2003-12-01,682771,743549,3566,2552,390973,342059,449962,579182
2004-01-01,678000,753344,3557,2453,441284,296381,509362,533839
2004-02-01,649772,699520,3371,2250,393887,274678,451919,486083
2004-03-01,693663,736721,3608,2355,460011,293381,529856,517632
2004-04-01,664275,693312,3486,2257,442695,276481,507844,464089
2004-05-01,647126,724069,3455,2323,400903,278438,458754,486965
2004-06-01,625102,752804,3349,2451,403030,312251,459144,521561
2004-07-01,646806,803373,3483,2665,435904,371302,498952,607459
2004-08-01,637425,795031,3417,2634,418454,331431,491099,552005
2004-09-01,503018,605859,2671,1896,269009,213604,310485,384261
2004-10-01,614128,735126,3272,2271,350780,271949,397849,491072
2004-11-01,631836,769456,3345,2398,383390,297423,439309,529885
2004-12-01,660424,844313,3525,2588,393178,373456,453622,647096
2005-01-01,659437,853392,3524,2621,473708,335942,542271,610124
2005-02-01,608140,756665,3257,2369,396765,298375,452654,545042
2005-03-01,675665,833940,3616,2628,493584,356524,560453,620393
2005-04-01,645553,774283,3340,2452,459509,296694,524209,520378
2005-05-01,670345,750095,3434,2470,464628,316343,530183,539293
2005-06-01,660966,768478,3392,2582,465175,353984,524466,579006
2005-07-01,697327,810748,3578,2714,500365,400495,563676,658848
2005-08-01,645933,763091,3322,2519,446998,350677,513962,583896
2005-09-01,581152,713655,2983,2231,361084,279419,421936,495345
2005-10-01,556918,685841,2863,2135,356262,271160,409458,479574
2005-11-01,642686,757504,3286,2366,434018,312854,489808,538960
2005-12-01,685796,820056,3508,2622,460191,393218,520918,661867
2006-01-01,708720,856744,3622,2742,520618,352018,589181,622004
2006-02-01,633617,756448,3226,2492,443267,307562,500810,546742
2006-03-01,713499,827726,3642,2770,530901,353357,600789,618657
2006-04-01,661233,754182,3396,2537,508609,336499,573279,559031
2006-05-01,676426,767111,3473,2572,500113,349015,565721,588307
2006-06-01,656541,763472,3364,2573,495016,375740,552731,611101
2006-07-01,675139,802741,3472,2706,514007,409289,577478,656546
2006-08-01,656236,784612,3371,2640,464548,364460,532962,603385
2006-09-01,616988,733278,3132,2328,374534,295573,431185,524916
2006-10-01,643650,747925,3251,2356,425689,311183,486484,545345
2006-11-01,625253,755501,3150,2353,449176,341982,511025,597470
2006-12-01,679804,870631,3366,2658,467302,398868,535714,697405
2007-01-01,703363,895740,3465,2757,506030,376612,581870,671625
2007-02-01,629982,780069,3093,2421,433515,331016,499284,603100
2007-03-01,706214,861143,3468,2704,515919,377120,593400,660300
2007-04-01,664663,795609,3273,2579,502178,350590,581238,590113
2007-05-01,679144,807951,3354,2663,502062,365115,580402,619479
2007-06-01,652033,797254,3207,2605,501286,398376,575354,645431
2007-07-01,675679,854265,3331,2753,526392,441195,607781,719421
2007-08-01,677490,841007,3330,2713,510547,405566,594906,662647
2007-09-01,646283,774997,3191,2439,430895,337390,493397,589967
2007-10-01,673521,793283,3315,2475,474062,358403,539851,622201
2007-11-01,657487,801585,3223,2443,476195,373750,544649,655754
2007-12-01,687505,903263,3376,2750,471658,419841,545886,712625
2008-01-01,699974,939498,3435,2863,521882,406869,601037,731091
2008-02-01,649907,849098,3193,2628,454129,366334,526301,666809
2008-03-01,700082,885918,3436,2782,527047,423868,610762,730129
2008-04-01,680162,837821,3351,2734,504306,354210,583367,595710
2008-05-01,699925,851616,3466,2813,519999,400868,600249,669376
2008-06-01,665356,837780,3308,2739,500413,427649,576132,686270
2008-07-01,689207,891283,3424,2889,521932,462376,598788,744538
2008-08-01,696402,889270,3440,2913,517025,432622,597251,707996
2008-09-01,638577,776675,3231,2404,420383,340290,490073,600277
2008-10-01,663708,816913,3347,2468,467547,361334,540163,629815
2008-11-01,685057,895942,3428,2730,473238,389096,550044,667248
2008-12-01,706770,963630,3530,2901,485406,433766,569344,726975
2009-01-01,710411,981258,3542,2915,516896,409050,601673,740377
2009-02-01,636443,845449,3197,2569,446301,352898,523983,626000
2009-03-01,706069,933887,3546,2841,524348,390441,613783,688950
2009-04-01,677231,851145,3394,2714,515062,374840,598390,627481
2009-05-01,693380,875134,3480,2752,503241,371430,585089,625163
2009-06-01,656558,861177,3341,2799,490773,417547,563994,682164
2009-07-01,675203,906822,3469,2987,519688,457829,592980,758772
2009-08-01,667321,866931,3423,2888,510817,420614,586249,698415
2009-09-01,600464,740524,3138,2463,406381,332027,467046,576947
2009-10-01,623275,768180,3248,2561,451791,355914,517634,618628
2009-11-01,636387,807669,3278,2696,454112,377952,524313,661695
2009-12-01,709711,923434,3585,3110,471120,436113,549569,749021
2010-01-01,716995,924194,3609,3052,523335,411032,608127,746369
2010-02-01,634713,822230,3177,2754,436950,354909,510552,646527
2010-03-01,720311,913423,3638,3099,531146,399078,619365,700235
2010-04-01,691638,843473,3445,2944,527223,379576,614920,640269
2010-05-01,709558,867636,3531,3021,517826,396531,605631,676953
2010-06-01,673067,871323,3393,3034,501090,432851,586155,709523
2010-07-01,709160,968792,3605,3285,522830,479217,607840,797379
2010-08-01,691736,931297,3529,3148,526714,435353,610249,732566
2010-09-01,644996,810425,3306,2674,436183,351205,502082,628748
2010-10-01,670850,837380,3441,2773,488346,379565,560298,673556
2010-11-01,690016,871885,3529,2864,495239,401424,574396,709292
2010-12-01,755908,983209,3859,3194,507304,451311,594241,782150
2011-01-01,751779,999237,3847,3218,546812,446241,638825,811138
2011-02-01,678061,878734,3451,2907,463431,385979,542375,698999
2011-03-01,726035,913038,3704,3053,542805,423595,625393,747179
2011-04-01,728077,857833,3682,2912,534872,393056,627132,683140
2011-05-01,737765,874353,3741,2980,548804,414175,649247,724736
2011-06-01,736253,889826,3695,3048,539126,445241,629988,735251
2011-07-01,774309,959948,3882,3258,584872,507192,674656,834159
2011-08-01,731461,923965,3655,3048,550232,439375,637574,751647
2011-09-01,688418,829218,3489,2627,462827,360407,537626,658369
2011-10-01,699391,846090,3576,2692,504902,384029,583715,692772
2011-11-01,711183,905061,3655,2860,527615,422149,605339,755316
2011-12-01,801027,1042646,4051,3321,547861,484321,633170,828750
2012-01-01,803437,1083216,4069,3366,600155,479295,689255,886141
2012-02-01,747585,991370,3774,3091,521435,426742,601739,788877
2012-03-01,799502,1047621,4023,3280,600696,457488,690589,822622
2012-04-01,749173,898640,3771,3016,589760,428363,679936,734718
2012-05-01,773566,922024,3890,3101,574251,438235,666258,756968
2012-06-01,755304,933198,3778,3101,569809,470889,663730,788226
2012-07-01,785831,999569,3937,3340,596894,523661,695663,864866
2012-08-01,729550,933438,3671,3053,549245,451133,640622,773292
2012-09-01,670629,866406,3401,2734,456687,382744,528471,708324
2012-10-01,676689,897170,3442,2829,485379,391489,561553,723976
2012-11-01,728888,1002184,3688,3076,520468,447405,608082,816712
2012-12-01,803030,1110553,4082,3429,544375,487854,641944,862757
2013-01-01,799302,1116341,4114,3430,584929,479114,687108,906671
2013-02-01,716678,1005626,3703,3108,504792,431795,593961,835296
2013-03-01,799834,1111086,4135,3449,598123,475594,702277,875662
2013-04-01,731879,999279,3846,3203,555905,433630,654877,803136
2013-05-01,762241,1037727,4005,3345,558865,461469,658633,860644
2013-06-01,748352,1043299,3945,3417,553898,499368,655365,880451
2013-07-01,776304,1109505,4095,3646,582144,548044,687408,967474
2013-08-01,770482,1083782,4058,3536,569898,490605,672042,879113
2013-09-01,680490,917139,3593,2845,463366,387098,538054,751979
2013-10-01,712513,969661,3783,2957,501523,414106,579874,798469
2013-11-01,717408,1029466,3801,3101,500378,433232,583471,819901
2013-12-01,818587,1216773,4307,3663,563522,537665,666767,995759
2014-01-01,814320,1226209,4270,3634,591228,508959,694076,1009222
2014-02-01,738308,1095911,3875,3225,517296,440159,608607,876625
2014-03-01,823592,1171335,4337,3566,601071,470386,707742,915718
2014-04-01,755441,1071733,4035,3395,559645,438766,656188,820314
2014-05-01,769647,1121564,4127,3439,570487,464378,672099,920112
2014-06-01,746507,1122162,4037,3508,550906,485486,645546,907993
2014-07-01,757575,1158382,4031,3642,568806,517376,672933,924602
2014-08-01,726311,1082823,3885,3330,541140,463093,640727,871705
2014-09-01,629391,930289,3366,2756,420195,365740,497890,738490
2014-10-01,677481,967574,3606,2855,468139,389701,551836,779001
2014-11-01,735500,1099722,3842,3248,490646,429623,582234,842456
2014-12-01,829608,1237885,4252,3638,540679,516260,647716,979718
2015-01-01,823443,1217723,4258,3550,591410,492791,698801,988663
2015-02-01,735615,1071361,3806,3143,519872,435609,613200,876478
2015-03-01,856558,1130056,4412,3417,618730,446949,728813,840055
2015-04-01,840952,1037245,4341,3285,608000,426843,715334,792780
2015-05-01,840598,1103104,4387,3357,602047,446401,707086,863763
2015-06-01,803037,1154062,4237,3594,595960,494065,695660,904163
2015-07-01,862363,1203081,4691,3758,685046,550947,778372,980810
2015-08-01,854864,1147417,4613,3525,675449,496315,767520,947877
2015-09-01,772754,1023280,4195,3013,571031,401067,652337,803134
