Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,39116,,763,,38707,37,20505,
2002-11-01,34738,,688,,33232,35,17412,
2002-12-01,35889,,703,,40406,67,21664,
2003-01-01,33846,,663,,31534,48,16646,
2003-02-01,29419,,581,,31699,42,16610,
2003-03-01,33093,,646,,39529,68,21376,
2003-04-01,31820,,627,,30877,48,16249,
2003-05-01,32102,,644,,32297,53,16629,
2003-06-01,32829,,660,,35999,88,18571,
2003-07-01,33787,,675,,39470,68,20872,
2003-08-01,33278,,666,,36837,82,19427,
2003-09-01,32494,,657,,31042,68,16186,
2003-10-01,37611,,694,,36755,46,19135,
2003-11-01,34783,,509,,28289,,18633,
2003-12-01,36751,,537,,32660,9,22077,
2004-01-01,31616,,473,,25539,15,17218,
2004-02-01,28296,,431,,25497,6,16486,
2004-03-01,29782,,426,,29320,13,19686,
2004-04-01,29489,,418,,24416,8,16060,
2004-05-01,29210,,413,,23784,66,14904,
2004-06-01,29696,,417,,27668,34,17673,
2004-07-01,28783,,389,,27750,20,18752,
2004-08-01,29776,,409,,31791,18,20094,
2004-09-01,29972,,404,,34233,8,18517,
2004-10-01,32204,,425,,35219,111,20193,
2004-11-01,31052,,391,,29132,,18278,
2004-12-01,32123,,404,,33215,,21369,
2005-01-01,30561,,385,,28019,,18285,
2005-02-01,27998,,349,,26534,,17569,
2005-03-01,32734,,406,,35692,,23665,
2005-04-01,32857,,390,,32247,,20661,
2005-05-01,34056,,399,,35214,,22035,
2005-06-01,35512,,428,,43034,,26300,
2005-07-01,36664,,445,,46407,,28025,
2005-08-01,36602,,449,,48609,163,28387,
2005-09-01,35103,,424,,41566,465,25019,
2005-10-01,35218,,420,,43224,359,26518,
2005-11-01,34774,,411,,43168,,27069,
2005-12-01,33108,,364,,39058,49,26342,
2006-01-01,31827,,333,,35453,57,24911,
2006-02-01,28377,,297,,32873,46,23127,
2006-03-01,31816,,334,,41013,83,28489,
2006-04-01,31274,,332,,34499,173,23655,
2006-05-01,31544,,331,,37122,244,25315,
2006-06-01,30933,,329,,38994,252,26608,
2006-07-01,31548,,334,,39177,208,26795,
2006-08-01,31648,,336,,38303,347,25715,
2006-09-01,35573,,400,,42650,87,26731,
2006-10-01,37732,,432,,48131,56,30758,
2006-11-01,35669,1458,406,1,44020,37,28427,1202
2006-12-01,37356,,417,,44912,26,29927,
2007-01-01,38557,,434,,41943,8,28531,
2007-02-01,32475,,367,,40140,21,26768,
2007-03-01,36818,,418,,48459,14,31654,
2007-04-01,36637,,413,,42788,1,27491,
2007-05-01,38926,,440,,49267,,30907,
