Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,1099744,345971,9125,820,745908,82997,772619,259490
2002-11-01,993263,250280,8251,707,632464,61058,660685,178179
2002-12-01,1032067,261032,8459,738,702806,68975,749408,202033
2003-01-01,1016462,262469,8196,733,593528,63023,649180,181605
2003-02-01,888526,245006,6953,673,576371,59373,625722,165487
2003-03-01,995887,282526,7857,768,703227,74703,756309,209537
2003-04-01,968359,299696,7605,751,658383,67295,717241,205244
2003-05-01,970608,334125,7589,767,691705,82802,755361,278262
2003-06-01,976779,378647,7592,826,741451,103639,808985,341782
2003-07-01,997142,394918,7708,862,752228,99354,822133,310297
2003-08-01,1002121,393534,7688,861,727870,102499,795852,317894
2003-09-01,959984,383349,7453,796,629005,94820,677940,311526
2003-10-01,979901,355251,7736,749,688861,81633,740174,260946
2003-11-01,1005674,306019,7771,680,672110,72185,724679,227681
2003-12-01,1087755,307421,8280,721,728697,81069,811836,249695
2004-01-01,1056600,317744,7923,738,610159,71609,683025,215437
2004-02-01,1053566,301040,7781,713,670288,69378,754607,193322
2004-03-01,1132361,341908,8308,799,787134,94460,874497,276804
2004-04-01,1108266,336462,8218,790,757411,90490,831107,266489
2004-05-01,1107078,385736,7926,794,764918,101664,831506,326591
2004-06-01,1148734,382883,8097,783,853399,109140,949323,347943
2004-07-01,1142970,400658,8048,787,846443,106528,952555,332602
2004-08-01,1149324,399084,8055,787,815761,103767,910861,325440
2004-09-01,1068448,381192,7426,747,736418,101922,810822,323651
2004-10-01,1139683,353443,7805,681,818681,86870,906334,275311
2004-11-01,1048748,310405,7245,651,726858,76632,803649,234184
2004-12-01,1095250,315016,7563,684,743481,85239,829307,251199
2005-01-01,1030192,319606,6997,686,645658,73857,730323,216815
2005-02-01,975904,306650,6658,685,648038,73451,728365,201756
2005-03-01,1117575,365187,7586,786,840450,103210,927310,299528
2005-04-01,1041941,416357,7112,766,759990,98129,820162,316688
