Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,58245,,248,,28645,34,47670,
2002-11-01,52866,,234,,24395,,40681,
2002-12-01,55030,,245,,27306,,45444,
2003-01-01,53385,,237,,20220,,33701,
2003-02-01,47254,,209,,18074,,30069,
2003-03-01,52174,,231,,23233,,38685,
2003-04-01,50695,,225,,21584,24,36024,
2003-05-01,52850,,234,,25873,40,43183,
2003-06-01,55868,,245,,29932,10,49778,
2003-07-01,61600,,267,,32763,,54331,
2003-08-01,61502,,267,,33110,,54868,
2003-09-01,58599,,254,,27351,,45385,
2003-10-01,61626,,267,,28253,,46930,
2003-11-01,46698,,209,,22407,,36952,
2003-12-01,48627,,217,,24507,,40334,
2004-01-01,41378,,193,,18762,,30888,
2004-02-01,41971,,197,,18913,,31164,
2004-03-01,44827,,211,,22617,,37255,
2004-04-01,44729,,210,,22421,11,37065,
2004-05-01,45983,,216,,22880,11,37802,
2004-06-01,53595,,251,,29547,45,48987,
2004-07-01,58595,,274,,31925,39,52971,
2004-08-01,59637,,279,,33240,82,55210,
2004-09-01,51511,,243,,27854,14,46013,
2004-10-01,51641,,243,,27955,,46062,
2004-11-01,43655,,205,,24224,,39976,
2004-12-01,45620,,216,,24807,,40926,
2005-01-01,40130,,188,,20936,,34529,
2005-02-01,35387,,165,,17383,,28741,
2005-03-01,40025,,182,,20717,,34233,
2005-04-01,38085,,171,,21461,,35550,
2005-05-01,40013,,180,,22108,,36629,
2005-06-01,40089,,179,,23160,17,38381,
2005-07-01,48509,,216,,27577,23,45581,
2005-08-01,48477,,216,,27762,39,45898,
2005-09-01,46211,,206,,25484,,42059,
2005-10-01,47546,,212,,25157,8,41526,
2005-11-01,45533,,203,,23665,99,39208,
2005-12-01,46870,,209,,25528,36,42136,
2006-01-01,47649,,214,,23498,,38628,
2006-02-01,42847,,191,,21531,,35493,
2006-03-01,47546,,212,,26294,,43360,
2006-04-01,46763,,208,,25512,,42087,
2006-05-01,48729,,217,,26468,,43725,
2006-06-01,47176,,210,,27072,,44688,
2006-07-01,48287,,215,,27902,,46073,
2006-08-01,48720,,217,,28175,,46514,
2006-09-01,45584,,203,,24730,,40858,
2006-10-01,47369,,213,,25422,,41939,
2006-11-01,44932,,200,,24850,,41018,
2006-12-01,43005,,193,,23346,30,38627,
2007-01-01,40435,,179,,19638,47,32500,
2007-02-01,36092,,159,,18716,26,30989,
2007-03-01,41860,,185,,23238,47,38572,
2007-04-01,39543,,174,,22014,10,36465,
2007-05-01,41677,,183,,23571,,39042,
2007-06-01,40413,,177,,23193,,38370,
2007-07-01,42415,,185,,24158,,40001,
2007-08-01,41952,,183,,23854,,39513,
2007-09-01,40982,,178,,22674,,37595,
2007-10-01,42656,,185,,23413,,38807,
2007-11-01,40835,,177,,22094,,36614,
2007-12-01,32377,,142,,17756,,28999,
2008-01-01,26839,,119,,14950,,24159,
2008-02-01,25128,,112,,13969,,22464,
2008-03-01,25023,,112,,14774,,23721,
2008-04-01,37991,,166,,19986,,32818,
2008-05-01,49211,,214,,26117,,43131,
2008-06-01,47786,,208,,26402,,43545,
2008-07-01,49228,,214,,27010,,44622,
2008-08-01,49534,,215,,28116,,46424,
2008-09-01,41151,,178,,22998,,38112,
2008-10-01,42122,,183,,22717,,37669,
2008-11-01,25781,,114,,14018,,22684,
2008-12-01,26165,,118,,14982,,23741,
2009-01-01,26239,,118,,13813,,22303,
2009-02-01,24195,,107,,13430,,21703,
2009-03-01,26803,,119,,15170,,24430,
2009-04-01,31283,,139,,16961,,27273,
2009-05-01,33240,,147,,17566,,28410,
2009-06-01,33656,,149,,19001,,30673,
2009-07-01,40225,,178,,23437,,37874,
2009-08-01,39577,,175,,23278,,37617,
2009-09-01,33917,,150,,18455,,29823,
2009-10-01,34807,,154,,19063,,30775,
2009-11-01,30769,,136,,16879,,27276,
2009-12-01,27375,,121,,15453,,24972,
2010-01-01,27828,,123,,14007,,22635,
2010-02-01,24434,,108,,12539,,20263,
2010-03-01,28068,,124,,15298,,24734,
2010-04-01,31900,,141,,16891,,27296,
2010-05-01,32724,,145,,17747,,28600,
2010-06-01,33290,,147,,19034,19,30790,
2010-07-01,34873,,155,,20211,45,32523,
2010-08-01,34841,,154,,20462,19,33097,
2010-09-01,32807,,146,,18526,,29934,
2010-10-01,33680,,149,,19088,,30818,
2010-11-01,30008,,135,,16903,,27232,
2010-12-01,27514,,122,,15221,,24514,
2011-01-01,27396,,122,,13922,,22517,
2011-02-01,23755,,105,,12290,,19861,
2011-03-01,28054,,124,,14976,,24201,
2011-04-01,25853,,114,,14150,,22851,
2011-05-01,25557,,113,,14226,,22984,
2011-06-01,31447,,139,,18104,,29256,
2011-07-01,34980,,155,,20233,,32610,
2011-08-01,35067,,155,,20893,,33763,
2011-09-01,33674,,149,,19516,,31503,
2011-10-01,35049,,155,,19566,,31601,
2011-11-01,26696,,118,,15180,,24531,
2011-12-01,27375,,121,,15903,,25699,
2012-01-01,23076,,102,,13159,,21265,
2012-02-01,24070,,107,,13244,,21266,
2012-03-01,27351,,121,,15736,,25405,
2012-04-01,24727,,109,,13951,,22537,
2012-05-01,27149,,120,,15148,,24479,
2012-06-01,30090,,133,,17546,,28354,
2012-07-01,33545,,148,,19303,,31178,
2012-08-01,32106,,142,,19226,,31049,
2012-09-01,25791,,114,,14813,,23938,
2012-10-01,26923,,119,,15393,,24875,
2012-11-01,26244,,116,,15176,,24524,
2012-12-01,27597,,123,,15772,,25491,
2013-01-01,27836,,124,,14686,,23739,
2013-02-01,25331,,112,,13846,,22375,
2013-03-01,27533,,123,,15116,,24426,
2013-04-01,24952,,114,,14205,,22840,
2013-05-01,25363,,116,,14017,,22623,
2013-06-01,38553,,172,,21954,,35555,
2013-07-01,49581,,215,,27149,,44848,
2013-08-01,47897,,208,,27483,,45351,
2013-09-01,40289,,175,,22144,,36600,
2013-10-01,42510,,184,,22029,,36572,
2013-11-01,40382,,174,,19395,,32130,
2013-12-01,41000,,172,,21837,,36221,
2014-01-01,43269,,183,,19261,,31600,
2014-02-01,38033,,160,,18010,,29788,
2014-03-01,43536,,183,,22441,,37249,
2014-04-01,42771,,180,,21215,,35163,
2014-05-01,47060,,199,,23524,,38816,
2014-06-01,49432,,209,,25454,64,42181,
2014-07-01,49864,,211,,26672,65,44217,
2014-08-01,50543,,214,,28212,78,46759,
2014-09-01,47899,,203,,25420,91,42132,
2014-10-01,40936,,171,,22525,52,37487,
2014-11-01,29916,,125,,16512,51,27365,
2014-12-01,29411,,123,,16699,65,27515,
2015-01-01,26460,,113,,14547,39,23892,
2015-02-01,22550,,95,,13008,29,21450,
2015-03-01,28881,,120,,16021,52,26543,
2015-04-01,28465,,119,,15761,,26008,
2015-05-01,34852,,147,,17611,,28938,
2015-06-01,50048,,194,,26898,,44341,
2015-07-01,112385,,449,,67416,,101522,
2015-08-01,113727,,450,,70637,,107019,
2015-09-01,94322,,374,,57961,21,88070,
2015-10-01,85145,,359,,52851,29,75286,
2015-11-01,72886,,318,,43339,39,60409,
2015-12-01,72547,,319,,47980,,64778,
2016-01-01,64370,,270,,37689,,53763,
2016-02-01,57169,,241,,36349,,50810,
2016-03-01,73535,,304,,44906,,64084,
2016-04-01,68759,,286,,40886,,59789,
2016-05-01,78825,,327,,44425,95,66198,
2016-06-01,106538,,424,,59258,103,91900,
2016-07-01,111208,,441,,62861,64,97701,
2016-08-01,102518,,403,,59004,114,92643,
2016-09-01,81447,,329,,48794,202,74662,
2016-10-01,80500,,330,,47376,125,71215,
2016-11-01,72238,,303,,42554,41,62192,
2016-12-01,76138,,324,,45872,67,65704,
2017-01-01,61644,,261,,33776,,48987,
2017-02-01,58273,,246,,34310,,49437,
2017-03-01,78445,,327,,49591,,72379,
