Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,107538,53,866,1,65681,372,66636,36
2002-11-01,97843,,783,,60104,173,61874,
2002-12-01,98946,,781,,66358,86,69862,
2003-01-01,96371,,746,,50766,44,53028,
2003-02-01,78221,,613,,46922,176,49763,
2003-03-01,94986,,744,,56618,134,59648,
2003-04-01,93778,,738,,57006,165,59184,
2003-05-01,97295,,755,,59983,209,61659,
2003-06-01,95949,,756,,64064,186,66190,
2003-07-01,98774,,763,,67690,205,71342,
2003-08-01,97924,,757,,66932,197,69209,
2003-09-01,93117,,722,,49338,148,49405,
2003-10-01,100041,,774,,59510,398,60900,
2003-11-01,83194,,604,,49589,385,53638,
2003-12-01,86258,,629,,51594,452,57143,
2004-01-01,83519,,596,,42617,62,47407,
2004-02-01,80215,,571,,43843,37,47792,
2004-03-01,88442,,635,,51719,69,55596,
2004-04-01,87497,,639,,55802,215,59255,
2004-05-01,87735,,601,,53703,416,57709,
2004-06-01,87994,,603,,61996,270,66504,
2004-07-01,88214,,601,,63776,223,69584,
2004-08-01,91704,148,626,1,62683,222,67337,129
2004-09-01,82957,,570,,48569,180,51040,
2004-10-01,87262,390,597,1,58314,186,61408,322
2004-11-01,89367,,589,,54942,605,58975,
2004-12-01,93620,,621,,60153,322,65443,
2005-01-01,90551,,600,,52209,257,58077,
2005-02-01,84762,,543,,51770,67,56959,
2005-03-01,96039,,622,,66755,173,73233,
2005-04-01,89715,,601,,60631,12,63712,
2005-05-01,93581,,621,,66266,,69264,
2005-06-01,88858,,589,,69963,115,73208,
2005-07-01,95504,,624,,74804,203,80876,
2005-08-01,94457,932,619,1,72113,135,76442,636
2005-09-01,85653,,554,,56399,176,58952,
2005-10-01,85910,,554,,63244,319,67993,
2005-11-01,85407,,552,,65094,,70370,
2005-12-01,83438,,530,,62644,55,68989,
2006-01-01,80159,,490,,55374,355,62812,
2006-02-01,73755,,457,,52567,303,58844,
2006-03-01,86992,,539,,62914,292,69865,
2006-04-01,86620,,534,,63340,74,70967,
2006-05-01,89968,,556,,64059,108,70806,
2006-06-01,86648,,537,,67336,140,74960,
2006-07-01,88429,,551,,68901,139,77613,
2006-08-01,88479,148,550,1,65100,303,72634,110
2006-09-01,80995,148,515,1,56121,193,60213,82
2006-10-01,85291,,540,,64085,253,69761,
2006-11-01,80319,,509,,61274,131,66610,
2006-12-01,82037,,515,,58800,208,64879,
2007-01-01,80612,,512,,53657,192,59080,
2007-02-01,67466,,421,,49403,177,55071,
2007-03-01,81598,,511,,62377,235,69425,
2007-04-01,79455,,495,,61521,227,67742,
2007-05-01,85194,,530,,66336,179,72340,
2007-06-01,77348,,484,,64117,139,70950,
2007-07-01,79536,,498,,63975,161,70860,
2007-08-01,75694,,479,,61510,234,67453,
2007-09-01,79439,,509,,54568,21,59450,
2007-10-01,84599,,540,,64226,,70300,
2007-11-01,79620,,510,,61547,,66827,
2007-12-01,75051,,472,,54524,29,60911,
2008-01-01,72314,,454,,49502,20,55489,
2008-02-01,64984,,405,,45415,14,51288,
2008-03-01,70828,,447,,54853,23,60442,
2008-04-01,70563,,430,,52149,14,57310,
2008-05-01,77480,,472,,60073,36,65539,
2008-06-01,73784,,463,,60379,95,66261,
2008-07-01,76730,,476,,63045,74,68797,
2008-08-01,77012,,480,,61641,55,67229,
2008-09-01,72846,,466,,49472,2,53428,
2008-10-01,76117,,490,,56690,,61585,
2008-11-01,63119,,407,,44933,71,49738,
2008-12-01,65845,,420,,48727,143,55169,
2009-01-01,67020,,430,,42785,53,48496,
2009-02-01,59429,,380,,40534,80,45940,
2009-03-01,66096,,427,,47164,81,51901,
2009-04-01,65815,,428,,49712,173,54936,
2009-05-01,66634,,429,,49464,205,54706,
2009-06-01,66984,,433,,52157,106,57866,
2009-07-01,68824,,445,,55165,89,61127,
2009-08-01,70339,,449,,54568,120,60149,
2009-09-01,68088,,430,,45894,160,51334,
2009-10-01,70483,,449,,52117,164,57774,
2009-11-01,65762,116,416,1,47874,128,53832,96
2009-12-01,63632,,396,,45636,88,52654,
2010-01-01,66504,,418,,40915,73,47646,
2010-02-01,50865,,317,,33618,144,38984,
2010-03-01,66623,,422,,48185,205,55197,
2010-04-01,62756,,388,,42492,73,49452,
2010-05-01,61614,,380,,44749,84,51738,
2010-06-01,61722,,376,,45293,44,53353,
2010-07-01,64689,,393,,48017,67,56909,
2010-08-01,64311,,390,,47908,69,56160,
2010-09-01,61929,,380,,40124,159,47108,
2010-10-01,64414,,387,,46330,235,54253,
2010-11-01,60810,,363,,41953,216,49259,
2010-12-01,57712,,350,,40930,169,48328,
2011-01-01,58286,,353,,35765,179,42342,
2011-02-01,51473,,310,,33036,148,39080,
2011-03-01,60466,,365,,40986,115,48070,
2011-04-01,51716,,327,,38001,12,42696,
2011-05-01,50414,,323,,38665,,43010,
2011-06-01,51552,,334,,39233,45,44170,
2011-07-01,53247,,338,,40215,71,45286,
2011-08-01,50296,,317,,40098,172,45230,
2011-09-01,50119,,319,,35606,40,39764,
2011-10-01,51807,,326,,39686,51,44202,
2011-11-01,48711,,301,,37608,31,42322,
2011-12-01,48761,,295,,34808,49,40456,
2012-01-01,47034,,292,,30550,17,34392,
2012-02-01,47306,,297,,31576,43,35448,
2012-03-01,52580,,329,,38508,180,43368,
2012-04-01,49136,,309,,36979,142,40873,
2012-05-01,52027,,325,,39761,113,44420,
2012-06-01,51495,,326,,39556,130,44248,
2012-07-01,52003,,328,,37935,244,42962,
2012-08-01,47996,,293,,35885,129,40988,
2012-09-01,47183,,296,,31574,34,35521,
2012-10-01,47613,,286,,34471,54,39629,
2012-11-01,47918,,296,,35310,39,39757,
2012-12-01,48882,,310,,36218,,40261,
2013-01-01,49659,,307,,31303,,35951,
2013-02-01,45411,,286,,29763,,33885,
2013-03-01,51083,,330,,36835,,41329,
2013-04-01,48508,,309,,34499,51,38706,
2013-05-01,50075,,322,,39582,60,44021,
2013-06-01,48608,,318,,38756,19,43060,
2013-07-01,48742,,322,,39595,22,43829,
2013-08-01,52146,,337,,41798,37,46451,
2013-09-01,50446,,317,,36453,8,40578,
2013-10-01,53265,,333,,40714,,45195,
2013-11-01,50077,,323,,35908,53,39232,
2013-12-01,46459,,297,,35920,125,40012,
2014-01-01,46542,,288,,32894,207,38310,
2014-02-01,38185,,229,,26715,172,31797,
2014-03-01,47495,,286,,32725,130,38719,
2014-04-01,45405,,264,,32530,107,39298,
2014-05-01,46125,,266,,33154,78,40082,
2014-06-01,45690,,262,,33640,109,40760,
2014-07-01,46836,,272,,34473,172,41791,
2014-08-01,45930,,259,,33180,47,40328,
2014-09-01,48862,,292,,31472,,36648,
2014-10-01,49841,,308,,35956,,40564,
2014-11-01,46806,,280,,30494,,34139,
2014-12-01,53681,,329,,38590,,42268,
2015-01-01,45754,,268,,27207,,30978,
2015-02-01,40448,,241,,28392,,31466,
2015-03-01,49618,,291,,36745,,40118,
2015-04-01,69444,,445,,56147,,55021,
2015-05-01,64452,,397,,51201,,52025,
2015-06-01,60345,,357,,48462,,50806,
2015-07-01,798254,614952,4057,910,555706,145052,725123,469711
2015-08-01,785682,607975,4005,888,538681,145324,697330,483095
2015-09-01,691583,550971,3761,695,469526,117945,571057,438211
2015-10-01,672560,487683,3763,635,502436,100257,590673,352274
2015-11-01,645074,353222,3599,553,452319,78868,524930,241568
2015-12-01,656739,395965,3563,626,458059,97286,547607,288622
2016-01-01,616556,320987,3312,545,404028,71996,485090,210503
2016-02-01,605017,271091,3313,520,410642,61664,474128,147002
2016-03-01,709658,357898,3762,643,517529,95139,604547,252991
2016-04-01,676645,400540,3559,712,463808,103454,546294,287348
2016-05-01,719673,498841,3921,779,508679,119195,597389,373513
2016-06-01,737111,525130,3900,825,524306,132423,648768,410641
2016-07-01,775492,556712,4013,878,540780,128885,682118,388504
2016-08-01,747123,530438,3946,790,522502,119582,645137,375195
2016-09-01,616940,456992,3442,598,441836,98813,519070,348688
2016-10-01,641240,402560,3626,560,477822,85210,552338,277236
2016-11-01,626139,230368,3572,407,449329,61419,505451,166284
