Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,88630,,579,,64108,,72010,
2002-11-01,86244,,548,,59959,42,67295,
2002-12-01,88669,,575,,60732,30,68623,
2003-01-01,87264,,572,,59477,42,67640,
2003-02-01,79301,,513,,56615,59,64285,
2003-03-01,88342,,570,,70453,45,79083,
2003-04-01,82217,,531,,63557,20,72007,
2003-05-01,76494,,507,,61207,,66845,
2003-06-01,69508,,474,,55392,,60412,
2003-07-01,67347,,477,,52273,,56475,
2003-08-01,66912,,470,,47116,,51359,
2003-09-01,68333,,462,,43434,,47604,
2003-10-01,71559,,489,,55046,,59734,
2003-11-01,72875,,515,,53594,50,58034,
2003-12-01,76906,,547,,52003,42,56803,
2004-01-01,77497,,494,,53659,3,56838,
2004-02-01,97266,,510,,57640,41,68076,
2004-03-01,106678,,555,,70529,55,83411,
2004-04-01,96219,,510,,65194,74,76770,
2004-05-01,89212,,475,,62339,,71347,
2004-06-01,84259,,453,,59064,,68605,
2004-07-01,75400,,452,,54114,,61357,
2004-08-01,70471,,423,,43766,,49377,
2004-09-01,68634,,417,,44292,,50777,
2004-10-01,81930,,453,,58071,,68285,
2004-11-01,65758,,409,,52346,,57060,
2004-12-01,70894,,439,,55641,,59946,
2005-01-01,68970,,425,,52159,1,55120,
2005-02-01,61798,,376,,48287,39,50748,
2005-03-01,70188,,423,,59939,30,62927,
2005-04-01,71014,,420,,60765,44,65705,
2005-05-01,73255,,437,,60645,81,65506,
2005-06-01,59305,,396,,49988,34,53511,
2005-07-01,57179,,400,,45734,,49410,
2005-08-01,57693,,400,,42656,,46221,
2005-09-01,56126,,377,,44336,,46828,
2005-10-01,59233,,398,,49066,,51414,
2005-11-01,70470,,463,,57450,,61790,
2005-12-01,75852,,478,,58258,5,62796,
2006-01-01,80519,,491,,60541,71,65407,
2006-02-01,72566,,441,,57151,92,61713,
2006-03-01,80976,,488,,68114,127,74147,
2006-04-01,64713,,445,,57127,8,60863,
2006-05-01,66185,,460,,57850,,61578,
2006-06-01,64477,,448,,55673,,59376,
2006-07-01,65158,,457,,54214,,58161,
2006-08-01,66159,,460,,51502,,55554,
2006-09-01,74477,,455,,57112,,62319,
2006-10-01,83416,,489,,68356,,73760,
2006-11-01,79518,,461,,64325,,70077,
2006-12-01,82586,,475,,62860,,68348,
2007-01-01,84602,,477,,63533,,69824,
2007-02-01,74602,,422,,59441,,64854,
2007-03-01,85686,,484,,71468,,78214,
2007-04-01,78172,,469,,65885,,72235,
2007-05-01,72434,,448,,62129,32,66523,
2007-06-01,69583,,431,,58746,11,63083,
2007-07-01,72759,,453,,58335,13,62401,
2007-08-01,71622,,454,,55827,16,59975,
2007-09-01,77336,,460,,56748,1,62615,
2007-10-01,82727,,486,,66286,,72088,
2007-11-01,79422,,468,,63285,,68436,
2007-12-01,81103,,495,,58104,,65235,
2008-01-01,82744,,514,,58648,,67198,
2008-02-01,77234,,477,,56859,,65227,
2008-03-01,82063,,503,,65146,,75045,
2008-04-01,71022,,445,,55461,34,63407,
2008-05-01,76537,,487,,60280,108,68404,
2008-06-01,72040,,461,,57005,63,63864,
2008-07-01,75126,,478,,57579,100,64520,
2008-08-01,75801,,484,,55425,65,61564,
2008-09-01,73982,,472,,51052,46,57073,
2008-10-01,77118,,492,,60038,84,67487,
2008-11-01,72927,,461,,54397,21,60940,
2008-12-01,75960,,481,,54327,15,61566,
2009-01-01,75084,,475,,53661,11,60104,
2009-02-01,68484,,434,,49650,,55901,
2009-03-01,76100,,484,,61626,,69616,
2009-04-01,72002,,453,,57395,,65480,
2009-05-01,73698,,461,,56395,,64384,
2009-06-01,60211,,399,,49186,,53518,
2009-07-01,57555,,394,,47826,,50691,
2009-08-01,58986,,401,,44547,,47327,
2009-09-01,61387,,408,,43710,,47181,
2009-10-01,64966,,432,,50950,,55190,
2009-11-01,66744,,434,,51063,11,56308,
2009-12-01,76262,,483,,50672,70,58179,
2010-01-01,76586,,487,,52198,48,58636,
2010-02-01,69061,,431,,47829,172,54528,
2010-03-01,79478,,494,,63528,124,72462,
2010-04-01,74735,,457,,59066,16,68014,
2010-05-01,75916,,459,,56294,,65098,
2010-06-01,67414,,423,,52763,,59747,
2010-07-01,65865,,420,,47784,,54001,
2010-08-01,68513,,432,,43978,,50159,
2010-09-01,68332,,418,,43480,,50376,
2010-10-01,71577,,435,,52990,,60921,
2010-11-01,72214,,436,,52746,25,60219,
2010-12-01,78530,,481,,53090,61,59457,
2011-01-01,79803,,488,,54422,53,60205,
2011-02-01,69636,,422,,48859,8,55409,
2011-03-01,80024,,492,,64690,,72193,
2011-04-01,72416,,450,,56894,,64743,
2011-05-01,70379,,433,,54831,,63213,
2011-06-01,62865,,393,,50101,3,56548,
2011-07-01,64248,,401,,46367,22,53146,
2011-08-01,64918,,401,,44125,16,50634,
2011-09-01,69000,,416,,48016,26,55460,
2011-10-01,72676,,435,,54903,32,63400,
2011-11-01,70849,,430,,53149,40,61871,
2011-12-01,71556,,431,,47987,36,55979,
2012-01-01,69560,,428,,48734,31,55641,
2012-02-01,70914,,441,,52564,4,59315,
2012-03-01,78697,,492,,63918,9,72105,
2012-04-01,64069,231,399,1,51962,17,59060,200
2012-05-01,67272,,420,,53347,18,60141,
2012-06-01,54752,,334,,42220,9,48576,
2012-07-01,53815,,330,,39191,,45183,
2012-08-01,49710,,308,,36389,,41111,
2012-09-01,59842,,360,,42207,,48200,
2012-10-01,61730,,366,,47583,,55226,
2012-11-01,71310,,421,,52335,,61079,
2012-12-01,84916,,504,,56173,,65809,
2013-01-01,85116,,507,,57015,,65798,
2013-02-01,77189,,463,,54902,,64070,
2013-03-01,85733,,514,,65347,,76995,
2013-04-01,61286,,398,,50442,1,56461,
2013-05-01,64406,,421,,52582,3,59446,
2013-06-01,58453,,367,,45382,3,53154,
2013-07-01,57703,,351,,41424,,49352,
2013-08-01,58211,,356,,39621,,45840,
2013-09-01,61704,,400,,43690,30,48725,
2013-10-01,65487,,424,,50441,31,56626,
2013-11-01,68011,,422,,49897,12,57598,
2013-12-01,82030,,478,,59134,46,71688,
2014-01-01,83490,,495,,61745,17,71736,
2014-02-01,76398,,453,,57036,6,67224,
2014-03-01,85236,,502,,65780,16,77602,
2014-04-01,85133,,500,,65226,41,77612,
2014-05-01,80805,,465,,60032,75,73074,
2014-06-01,67085,,381,,48916,79,59893,
2014-07-01,86260,,480,,59923,48,73710,
2014-08-01,86515,,483,,59145,41,72027,
2014-09-01,82580,,467,,54820,,64466,
2014-10-01,94555,,516,,64453,,78707,
2014-11-01,95529,,511,,64607,,78894,
2014-12-01,105088,,551,,69182,,86100,
2015-01-01,98661,,509,,63309,,76312,
2015-02-01,85999,,433,,58793,,72514,
2015-03-01,104663,,532,,75533,,93203,
2015-04-01,89824,,440,,64249,,80789,
2015-05-01,84355,,399,,58869,49,75461,
2015-06-01,66533,,315,,46919,47,59842,
2015-07-01,1131532,85692,5644,544,784008,60291,987478,70913
2015-08-01,1063257,72749,5357,466,729076,50699,910825,58870
2015-09-01,885586,45519,4533,312,614577,32377,761096,35893
2015-10-01,1009021,60135,5098,395,700823,45002,882844,49407
