Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,156431,,831,,78428,264,112462,
2002-11-01,145039,,742,,71108,124,98773,
2002-12-01,141625,,682,,69255,175,103215,
2003-01-01,127949,,591,,54158,146,83546,
2003-02-01,106852,,515,,50261,140,76834,
2003-03-01,121045,,577,,60184,154,91560,
2003-04-01,118253,,573,,61032,283,93986,
2003-05-01,129347,103,625,1,63081,220,97323,69
2003-06-01,127118,,615,,68397,182,106488,
2003-07-01,130838,,633,,72690,206,112814,
2003-08-01,128791,,627,,73494,240,113519,
2003-09-01,125785,,606,,57720,322,91619,
2003-10-01,144943,,656,,68146,343,108572,
2003-11-01,129854,,580,,61722,300,97221,
2003-12-01,133808,,605,,65301,383,102049,
2004-01-01,119617,,568,,57910,218,87496,
2004-02-01,113039,,534,,57618,162,86918,
2004-03-01,137038,,606,,70311,221,110969,
2004-04-01,146677,,615,,73792,274,119916,
2004-05-01,150545,,622,,70600,198,115439,
2004-06-01,145177,,618,,72976,204,119235,
2004-07-01,146567,,633,,71231,243,115037,
2004-08-01,149010,,643,,76607,179,125634,
2004-09-01,129917,,581,,62951,44,102160,
2004-10-01,132654,,598,,69188,14,110373,
2004-11-01,126882,,579,,64025,,100237,
2004-12-01,131342,,601,,66301,,103671,
2005-01-01,128919,,593,,63264,,97650,
2005-02-01,118947,,540,,58515,96,92057,
2005-03-01,135787,,608,,74784,192,118613,
2005-04-01,143857,,615,,78474,2,124739,
2005-05-01,150964,,641,,80707,,128425,
2005-06-01,149691,,626,,86182,,136438,
2005-07-01,156001,,650,,88900,,140073,
2005-08-01,155763,,648,,87728,3,139720,
2005-09-01,149303,,619,,77815,12,124315,
2005-10-01,153344,,637,,82395,7,129736,
2005-11-01,148021,,614,,79788,,125925,
2005-12-01,148788,,615,,76473,,119948,
2006-01-01,146534,,608,,73483,,114126,
2006-02-01,130814,,545,,70959,,110309,
2006-03-01,147045,,610,,82798,,130553,
2006-04-01,137012,,566,,79011,,125444,
2006-05-01,140648,,581,,77261,,123234,
2006-06-01,137393,,567,,79125,,125694,
2006-07-01,139780,,579,,81670,,128864,
2006-08-01,141881,,585,,80056,,127721,
2006-09-01,130764,,561,,68917,61,110622,
2006-10-01,134514,,582,,73313,46,116610,
2006-11-01,127730,,551,,69934,90,111956,
2006-12-01,132253,,569,,70273,27,111855,
2007-01-01,132717,,571,,66663,,106103,
2007-02-01,117844,,507,,64881,,103283,
2007-03-01,130723,,566,,74834,,118883,
2007-04-01,131165,,557,,75223,,119943,
2007-05-01,136935,,573,,75610,,121358,
2007-06-01,130981,,553,,74705,,119365,
2007-07-01,136360,109,579,1,78022,,124289,95
2007-08-01,137482,,584,,79334,,126638,
2007-09-01,131424,,534,,68974,,109817,
2007-10-01,136263,,550,,71170,,112182,
2007-11-01,131379,,527,,71026,,112087,
2007-12-01,119555,,515,,62849,,96598,
2008-01-01,112271,,508,,59234,,90432,
2008-02-01,103761,,473,,57674,,87308,
2008-03-01,108897,,489,,64536,,98995,
2008-04-01,108281,,467,,62519,,97740,
2008-05-01,118059,,514,,65899,,101587,
2008-06-01,115234,,502,,67465,,104006,
2008-07-01,117317,,514,,68304,,104730,
2008-08-01,118701,,515,,70403,,108706,
2008-09-01,106181,,477,,60122,14,86732,
2008-10-01,108400,,488,,65480,21,93791,
2008-11-01,99520,,434,,58168,2,84258,
2008-12-01,102543,,448,,58274,,83936,
2009-01-01,102506,,447,,56572,,81193,
2009-02-01,93642,,407,,54215,,78583,
2009-03-01,104114,,454,,63727,,92743,
2009-04-01,113121,,467,,68343,,103810,
2009-05-01,119372,,486,,65818,,102228,
2009-06-01,114677,,472,,67452,,104484,
2009-07-01,118042,,490,,70726,,109016,
2009-08-01,116396,,495,,70425,,107424,
2009-09-01,111850,,477,,60828,,93812,
2009-10-01,117575,,494,,67135,,103039,
2009-11-01,103012,,445,,58731,5,88405,
2009-12-01,93969,,427,,53897,5,78485,
2010-01-01,95083,,434,,51882,24,74983,
2010-02-01,82862,,380,,46778,26,67541,
2010-03-01,97472,,431,,58990,23,85924,
2010-04-01,91507,,418,,56350,2,82314,
2010-05-01,93885,,425,,54610,,79274,
2010-06-01,89812,,414,,55759,213,81402,
2010-07-01,92927,,430,,58133,200,84961,
2010-08-01,93694,,433,,59562,154,87208,
2010-09-01,89969,,413,,54103,,79193,
2010-10-01,92703,,426,,57038,,83165,
2010-11-01,89258,,411,,54497,,78916,
2010-12-01,91169,,424,,53557,,77324,
2011-01-01,92666,,428,,50641,,72508,
2011-02-01,78744,,366,,45875,12,65696,
2011-03-01,94163,,434,,56943,49,83068,
2011-04-01,87687,,412,,55563,7,80383,
2011-05-01,86367,,404,,54045,,78557,
2011-06-01,94980,,428,,58373,,86732,
2011-07-01,101192,,453,,61155,2,90414,
2011-08-01,100107,,447,,61611,,91897,
2011-09-01,99131,,433,,58445,,87764,
2011-10-01,93863,,429,,57390,,83213,
2011-11-01,84762,,401,,53063,20,75915,
2011-12-01,83259,,391,,48869,37,69942,
2012-01-01,77247,,367,,45544,34,64759,
2012-02-01,84459,,381,,50111,11,71597,
2012-03-01,96998,,426,,59492,,86325,
2012-04-01,89561,,402,,56257,,82394,
2012-05-01,94140,,427,,57209,,83524,
2012-06-01,87706,,395,,54612,61,80729,
2012-07-01,91978,,419,,56252,57,81992,
2012-08-01,94384,,427,,60458,64,88501,
2012-09-01,89210,,399,,53420,,78413,
2012-10-01,84935,,390,,52298,,74645,
2012-11-01,84774,,384,,51433,,74227,
2012-12-01,91500,,412,,52871,,77673,
2013-01-01,81630,,392,,50759,,72383,
2013-02-01,77093,,364,,47763,,68623,
2013-03-01,90536,,418,,56349,,82479,
2013-04-01,86309,,407,,54670,,78390,
2013-05-01,89490,,422,,54976,,78792,
2013-06-01,93173,,434,,58477,41,85686,
2013-07-01,98803,,459,,61972,52,91742,
2013-08-01,100486,,462,,62756,62,93591,
2013-09-01,95496,,438,,54936,134,81554,
2013-10-01,99544,,457,,58845,111,87578,
2013-11-01,93323,,426,,54193,118,80754,
2013-12-01,92229,,419,,54009,115,81858,
2014-01-01,94018,,437,,53281,43,78427,
2014-02-01,86813,,398,,50435,100,75709,
2014-03-01,98735,,447,,59426,124,89543,
2014-04-01,94463,,434,,57632,111,86611,
2014-05-01,98116,,445,,59326,169,88464,
2014-06-01,106673,,479,,65554,228,97231,
2014-07-01,115275,,514,,68814,336,101718,
2014-08-01,110762,,490,,68895,325,102011,
2014-09-01,99086,,438,,58544,400,86006,
2014-10-01,103337,,456,,61450,295,90868,
2014-11-01,98909,,429,,56239,177,83899,
2014-12-01,106393,,460,,58734,235,87565,
2015-01-01,100585,,434,,56483,133,82333,
2015-02-01,85784,,367,,52105,108,76339,
2015-03-01,106244,,450,,64113,279,94620,
2015-04-01,113853,,456,,68225,277,102427,
2015-05-01,109600,,454,,64668,146,95760,
2015-06-01,109998,,472,,66255,262,98723,
2015-07-01,197674,,849,,127617,208,176258,
2015-08-01,195201,,826,,131774,137,182858,
2015-09-01,165308,,701,,107990,172,149453,
2015-10-01,165164,,714,,111943,112,150593,
2015-11-01,160171,,692,,107089,96,143327,
2015-12-01,183812,,770,,115185,120,160534,
2016-01-01,166970,,712,,102311,108,140437,
2016-02-01,162128,,680,,98024,69,137299,
2016-03-01,194455,,800,,122072,93,172098,
2016-04-01,186247,,763,,113737,85,162427,
2016-05-01,184534,,776,,108187,227,155448,
2016-06-01,208670,,847,,121928,236,181240,
2016-07-01,217650,,875,,125569,230,185345,
2016-08-01,208257,,831,,122994,186,182522,
2016-09-01,163570,,692,,105123,186,147282,
2016-10-01,168624,,724,,107843,134,149195,
2016-11-01,162484,,697,,105876,132,145337,
2016-12-01,192214,,782,,114435,130,164410,
2017-01-01,162048,,700,,96518,,131792,
2017-02-01,138418,,610,,89632,,117486,
2017-03-01,182299,,774,,118037,,161220,
