Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,177050,,645,,70101,134,126146,
2002-11-01,140054,,541,,55879,116,98594,
2002-12-01,142349,,549,,62889,138,111703,
2003-01-01,134661,,520,,46082,148,81298,
2003-02-01,117944,,457,,42553,161,74857,
2003-03-01,135117,,524,,52220,273,92584,
2003-04-01,131115,,512,,54503,142,97180,
2003-05-01,143923,,566,,64124,241,114417,
2003-06-01,157242,,603,,74088,362,135444,
2003-07-01,177470,,660,,83484,368,154261,
2003-08-01,174466,,661,,85765,306,158546,
2003-09-01,145538,,576,,64995,280,116735,
2003-10-01,149772,,596,,61264,150,109736,
2003-11-01,117399,,484,,49636,288,88832,
2003-12-01,123617,,512,,56107,213,100031,
2004-01-01,123355,,522,,45501,160,80924,
2004-02-01,117880,58,495,1,45418,132,80552,37
2004-03-01,128393,,540,,57173,188,101762,
2004-04-01,126408,,530,,57276,257,102530,
2004-05-01,136981,1054,574,1,60537,278,108286,1025
2004-06-01,155657,,626,,73287,436,134876,
2004-07-01,170698,,679,,81430,370,150522,
2004-08-01,171328,,682,,85102,352,158138,
2004-09-01,139662,,577,,69311,92,125534,
2004-10-01,134868,,568,,61933,,110126,
2004-11-01,124214,,520,,57584,,102271,
2004-12-01,124673,,524,,58483,,103774,
2005-01-01,110263,32,477,2,48138,,83753,20
2005-02-01,98959,,427,,44082,,76364,
2005-03-01,113371,,480,,54814,,94997,
2005-04-01,116293,,488,,59319,1,102617,
2005-05-01,124315,,515,,62244,3,108384,
2005-06-01,158069,,597,,82635,104,145784,
2005-07-01,177559,,655,,92312,173,163690,
2005-08-01,166721,,619,,89909,183,158544,
2005-09-01,138132,,524,,72388,,125374,
2005-10-01,140266,,530,,64975,2,112887,
2005-11-01,123675,,462,,60189,182,104863,
2005-12-01,121602,,463,,59706,250,104279,
2006-01-01,117579,,456,,53184,9,92642,
2006-02-01,104601,,407,,49841,56,86812,
2006-03-01,117184,,455,,61021,56,106446,
2006-04-01,151563,,560,,72699,30,126233,
2006-05-01,160166,,587,,73892,,128263,
2006-06-01,155377,,569,,82418,,142516,
2006-07-01,160032,,585,,85956,,148619,
2006-08-01,160589,,585,,84547,,146361,
2006-09-01,145144,,506,,73276,,127445,
2006-10-01,148460,,510,,65508,,114144,
2006-11-01,140909,17,481,1,66011,,114926,9
2006-12-01,132086,,466,,62840,42,109315,
2007-01-01,127177,1168,459,1,53681,85,93739,1073
2007-02-01,111962,,403,,50582,85,88005,
2007-03-01,128251,,461,,64596,138,112404,
2007-04-01,134649,,481,,67259,23,117068,
2007-05-01,145884,,519,,72814,,126512,
2007-06-01,139501,,494,,74859,,130142,
2007-07-01,143448,,515,,77294,,134341,
2007-08-01,144461,,517,,79154,,137903,
2007-09-01,126358,,492,,65753,,114967,
2007-10-01,129822,,513,,63207,,110096,
2007-11-01,123954,,490,,60739,,105848,
2007-12-01,120208,1173,453,1,58306,166,101855,792
2008-01-01,114347,,418,,51516,,89517,
2008-02-01,106223,,388,,48463,,84478,
2008-03-01,110281,,408,,57099,,99872,
2008-04-01,118578,,445,,57819,11,100932,
2008-05-01,131286,,496,,64266,32,112172,
2008-06-01,130594,,490,,68201,25,119041,
2008-07-01,138727,,519,,73147,18,127365,
2008-08-01,138908,,517,,76147,36,132960,
2008-09-01,123273,,464,,64889,17,113285,
2008-10-01,122384,,448,,60171,34,105065,
2008-11-01,96872,,371,,46641,,81499,
2008-12-01,100205,24,385,1,49723,,87102,23
2009-01-01,99161,,383,,42747,,74520,
2009-02-01,91852,,355,,41294,,72201,
2009-03-01,102594,,396,,52147,,91308,
2009-04-01,109692,,428,,53719,,93854,
2009-05-01,116218,,454,,58450,,102165,
2009-06-01,117893,,462,,63049,,110073,
2009-07-01,125501,,492,,69045,,120277,
2009-08-01,123039,19,481,1,67906,,118477,17
2009-09-01,113370,,441,,59734,,104520,
2009-10-01,118381,,453,,60166,,104836,
2009-11-01,107042,,409,,52573,,91696,
2009-12-01,102535,,389,,52584,,92206,
2010-01-01,102260,,386,,46001,,80389,
2010-02-01,90309,,343,,42618,,74079,
2010-03-01,102491,,388,,52777,,92334,
2010-04-01,113629,,434,,58697,,102119,
2010-05-01,118812,1168,455,1,59852,,104167,1154
2010-06-01,121028,,464,,64630,,112728,
2010-07-01,128300,1173,494,1,68922,,119831,944
2010-08-01,123532,,471,,68943,,119900,
2010-09-01,101775,,385,,54641,,95507,
2010-10-01,104338,,394,,53411,,92868,
2010-11-01,97792,,367,,49129,3,85745,
2010-12-01,95576,,358,,48906,112,85304,
2011-01-01,97121,,365,,43249,64,75146,
2011-02-01,84208,,312,,38215,162,66446,
2011-03-01,99914,,367,,50747,228,88628,
2011-04-01,115481,,426,,57181,47,99651,
2011-05-01,114790,1173,423,1,58390,169,101676,806
2011-06-01,121290,,457,,64746,12,112859,
2011-07-01,128698,,490,,69506,12,121010,
2011-08-01,122663,,465,,68618,30,119231,
2011-09-01,109611,,401,,59998,26,105088,
2011-10-01,107146,,401,,55258,27,95242,
2011-11-01,93431,,347,,48942,49,85437,
2011-12-01,93850,,352,,49249,51,85794,
2012-01-01,85623,,321,,42318,50,73777,
2012-02-01,78368,,295,,39204,26,68530,
2012-03-01,86647,24,327,1,46595,24,81493,15
2012-04-01,104875,,390,,55051,,95954,
2012-05-01,112881,,420,,58044,,100886,
2012-06-01,128054,,463,,67499,57,120429,
2012-07-01,144237,,515,,74511,86,134348,
2012-08-01,143002,,507,,76463,210,138354,
2012-09-01,132033,,457,,67625,167,122083,
2012-10-01,127257,,441,,61443,216,110790,
2012-11-01,115658,,403,,57166,127,104254,
2012-12-01,111548,,394,,55331,,101468,
2013-01-01,104311,,371,,49161,,89682,
2013-02-01,95489,,341,,46569,,85030,
2013-03-01,110187,,395,,54316,,98839,
2013-04-01,120982,,431,,58797,,106503,
2013-05-01,133675,,479,,64177,,115627,
2013-06-01,136743,,495,,69219,,124175,
2013-07-01,144216,,521,,75284,,135089,
2013-08-01,142839,,515,,76773,,137864,
2013-09-01,128972,,462,,65361,54,117722,
2013-10-01,125754,,447,,60815,43,110129,
2013-11-01,114618,,407,,53900,,98078,
2013-12-01,104872,,374,,53400,,98299,
2014-01-01,107975,1168,385,1,49418,,90639,1035
2014-02-01,97929,,349,,47607,,87244,
2014-03-01,109472,,390,,54300,,99651,
2014-04-01,114537,,411,,55541,,101324,
2014-05-01,130256,,466,,62267,66,112395,
2014-06-01,141595,,511,,70860,102,127504,
2014-07-01,156093,,578,,80317,86,141465,
2014-08-01,146509,1278,540,1,79214,68,140831,1028
2014-09-01,122727,,455,,63407,185,112703,
2014-10-01,126430,,459,,61920,78,111420,
2014-11-01,114259,,400,,55583,26,100711,
2014-12-01,124049,,417,,61211,56,113330,
2015-01-01,109136,,369,,51454,30,94255,
2015-02-01,92525,1278,314,1,45865,41,84284,1132
2015-03-01,106079,,366,,52684,43,96419,
2015-04-01,112093,,387,,57577,44,104870,
2015-05-01,120633,,419,,59842,52,108289,
2015-06-01,147901,,516,,74445,145,133142,
2015-07-01,294890,,970,,148529,152,267818,
2015-08-01,286102,,936,,151861,137,274554,
2015-09-01,226498,,756,,117952,158,211254,
2015-10-01,179199,,635,,94153,57,161202,
2015-11-01,169940,,616,,86282,116,148387,
2015-12-01,197503,,701,,101283,216,177704,
2016-01-01,166701,,598,,77233,79,133687,
2016-02-01,157768,,565,,70943,62,123148,
2016-03-01,184767,1168,644,1,95226,91,163395,1130
2016-04-01,178705,,617,,85986,37,149681,
2016-05-01,216893,,737,,104767,41,185507,
2016-06-01,297890,,1055,,151935,111,265665,
2016-07-01,320721,1073,1112,1,162885,97,284170,868
2016-08-01,299923,,1025,,158339,108,279458,
2016-09-01,225284,,753,,116477,112,207082,
2016-10-01,194277,,664,,97649,54,169242,
2016-11-01,182563,,628,,92784,45,159701,
2016-12-01,200093,,670,,96614,75,169268,
2017-01-01,175855,,598,,74177,,130403,
2017-02-01,155493,,538,,73647,,126489,
2017-03-01,181172,,625,,93810,,159701,
