Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,301061,,1129,,105965,1112,184792,
2002-11-01,278510,,1065,,93819,797,162208,
2002-12-01,268813,,1045,,107951,843,182886,
2003-01-01,261209,,1007,,83165,616,141074,
2003-02-01,224961,,874,,77669,602,133178,
2003-03-01,256710,,988,,93646,691,164648,
2003-04-01,250209,,973,,99082,811,173053,
2003-05-01,263813,1132,1015,1,107467,1064,187229,922
2003-06-01,271062,,1019,,122059,1614,217848,
2003-07-01,283434,,1062,,126443,1316,225725,
2003-08-01,280428,,1050,,128474,1495,230487,
2003-09-01,251543,,957,,96717,1280,170046,
2003-10-01,263265,,991,,105767,946,187508,
2003-11-01,254715,,928,,98078,596,172098,
2003-12-01,259707,,954,,101246,773,179619,
2004-01-01,261768,,964,,82327,572,146633,
2004-02-01,254706,,908,,87406,575,157920,
2004-03-01,288569,,1027,,110267,800,208192,
2004-04-01,282044,,998,,109042,1027,205658,
2004-05-01,299059,,1042,,115758,1093,219953,
2004-06-01,305755,,1078,,135403,1964,257109,
2004-07-01,316928,,1113,,134704,1642,253553,
2004-08-01,323396,1132,1130,1,139543,1784,264738,681
2004-09-01,285391,,1022,,119335,430,220614,
2004-10-01,285578,,1052,,128260,191,232209,
2004-11-01,269833,,978,,113374,,206678,
2004-12-01,285325,,1039,,119603,,216232,
2005-01-01,277614,,1005,,102723,,188607,
2005-02-01,257075,,911,,98029,65,181167,
2005-03-01,289944,,1028,,127727,138,235989,
2005-04-01,299820,,1055,,130645,33,243659,
2005-05-01,303152,,1077,,138079,182,254203,
2005-06-01,314423,,1088,,154967,331,288066,
2005-07-01,333495,,1144,,160452,438,299960,
2005-08-01,330907,,1127,,157340,360,294677,
2005-09-01,300235,,1036,,135768,176,251240,
2005-10-01,300813,,1057,,138465,87,251641,
2005-11-01,296297,,1030,,135008,,247653,
2005-12-01,297285,,1024,,130393,,241095,
2006-01-01,284083,,992,,110409,,203785,
2006-02-01,247712,,869,,101163,,186313,
2006-03-01,282551,,980,,124880,,232137,
2006-04-01,299223,,1070,,141469,248,257603,
2006-05-01,317648,,1125,,142812,316,261740,
2006-06-01,315281,,1098,,158496,283,288540,
2006-07-01,320767,,1131,,159649,196,286838,
2006-08-01,316641,,1130,,152328,268,276839,
2006-09-01,302830,,1044,,134775,378,244423,
2006-10-01,315222,,1077,,144525,339,261223,
2006-11-01,298488,,1020,,136867,256,245668,
2006-12-01,305184,,1041,,138692,430,248829,
