Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,35799,,247,,20031,,22302,
2002-11-01,34383,,237,,16671,,18612,
2002-12-01,35595,,246,,22357,,24739,
2003-01-01,35472,,245,,22107,,24546,
2003-02-01,34924,,245,,20837,,22882,
2003-03-01,39448,,276,,28183,,31370,
2003-04-01,37209,,260,,20971,,23204,
2003-05-01,39375,,276,,23169,,25739,
2003-06-01,37737,,265,,27340,,30246,
2003-07-01,39158,,275,,28717,,31921,
2003-08-01,38132,,269,,25707,,28361,
2003-09-01,36759,,259,,19790,,22044,
2003-10-01,38320,,270,,21626,,23856,
2003-11-01,28939,,205,,15035,,16378,
2003-12-01,32714,,233,,20489,,22242,
2004-01-01,33967,,243,,21718,,23338,
2004-02-01,31942,,229,,21963,,23793,
2004-03-01,34843,,247,,26271,,28837,
2004-04-01,33568,,240,,22162,,24176,
2004-05-01,33423,,240,,20009,,21473,
2004-06-01,33066,,237,,23453,8,25365,
2004-07-01,34019,,243,,25541,,27675,
2004-08-01,34580,,247,,24108,39,26499,
2004-09-01,28057,,204,,17714,10,19200,
2004-10-01,28006,,204,,16752,,18111,
2004-11-01,28253,,206,,16196,,17401,
2004-12-01,29434,,215,,19185,22,20496,
2005-01-01,29446,,215,,20135,66,21642,
2005-02-01,26751,,194,,18679,,19748,
2005-03-01,30424,,218,,23419,,24933,
2005-04-01,29584,,207,,20198,,21636,
2005-05-01,31179,,217,,18375,,19667,
2005-06-01,30347,,210,,21632,,23123,
2005-07-01,31331,,218,,24388,,25997,
2005-08-01,30092,,208,,22775,,24359,
2005-09-01,26499,,181,,17626,,19155,
2005-10-01,26924,,184,,17915,,19259,
2005-11-01,26146,,179,,16581,,17700,
2005-12-01,29079,,201,,20207,12,21571,
2006-01-01,31797,,220,,24638,109,26438,
2006-02-01,28055,,194,,21639,242,23154,
2006-03-01,31528,,218,,26493,295,28557,
2006-04-01,30517,,211,,24471,4,26144,
2006-05-01,31054,,215,,22962,,24478,
2006-06-01,30367,,210,,23787,,25469,
2006-07-01,30846,,214,,24909,,26438,
2006-08-01,31189,,216,,24574,,26163,
2006-09-01,29331,,203,,20825,,22242,
2006-10-01,30217,,209,,21892,,23339,
2006-11-01,28455,,197,,20418,,21635,
2006-12-01,30400,,211,,21998,,23194,
2007-01-01,30737,,214,,24672,,26434,
2007-02-01,26969,,186,,21976,,23412,
2007-03-01,31182,,215,,26412,,28059,
2007-04-01,29723,,204,,23869,25,25449,
2007-05-01,30486,98,209,1,23485,18,25210,66
2007-06-01,29122,,199,,24094,20,25616,
2007-07-01,31359,,213,,25712,36,27820,
2007-08-01,30918,,211,,26060,36,27841,
2007-09-01,30224,,203,,23057,5,25104,
2007-10-01,31336,,212,,23285,,24973,
2007-11-01,30815,,206,,20937,,22832,
2007-12-01,30919,,211,,20594,,21934,
2008-01-01,31072,,210,,23027,,24506,
2008-02-01,28684,,196,,22151,,23485,
2008-03-01,29628,,202,,23892,,25742,
2008-04-01,27180,,184,,18392,,19535,
2008-05-01,30151,,203,,20032,,21332,
2008-06-01,30435,,206,,23401,,25068,
2008-07-01,31157,,210,,24359,,26006,
2008-08-01,31128,,211,,25073,,26715,
2008-09-01,30487,,205,,21535,74,23098,
2008-10-01,31673,,213,,22172,40,23605,
2008-11-01,30207,,204,,17336,,18405,
2008-12-01,30993,,210,,21091,,22226,
2009-01-01,31072,,210,,21601,,22979,
2009-02-01,28314,,192,,20895,,22371,
2009-03-01,31542,,213,,24915,,26621,
2009-04-01,30422,,205,,22160,,23750,
2009-05-01,30947,,208,,20127,,21415,
2009-06-01,30742,,206,,22418,,24218,
2009-07-01,32552,,218,,25789,,27988,
2009-08-01,31984,,215,,25768,,27413,
2009-09-01,30462,,206,,22439,,24019,
2009-10-01,31720,,214,,22366,,23979,
2009-11-01,30053,,202,,18615,,19627,
2009-12-01,31746,,213,,21236,,22646,
2010-01-01,31810,,213,,23211,,24855,
2010-02-01,28227,,190,,20574,,21858,
2010-03-01,31182,,210,,24910,,26524,
2010-04-01,21704,,155,,16719,128,17004,
2010-05-01,19918,,144,,14141,129,14099,
2010-06-01,20031,,145,,16919,50,16744,
2010-07-01,20943,,152,,17883,7,18013,
2010-08-01,20886,,151,,18019,13,17948,
2010-09-01,20326,,147,,15184,23,15415,
2010-10-01,20610,,149,,15317,31,15164,
2010-11-01,20195,,146,,14208,18,14193,
2010-12-01,24047,,170,,17395,,17842,
2011-01-01,21999,,158,,17646,,17707,
2011-02-01,18540,,136,,15424,,15305,
2011-03-01,21340,,155,,18351,,18149,
2011-04-01,19794,,145,,15003,8,14887,
2011-05-01,18922,,137,,13889,,13710,
2011-06-01,20610,,149,,17371,,17163,
2011-07-01,21046,,152,,18019,,17821,
2011-08-01,21529,,155,,17615,,17578,
2011-09-01,20354,,147,,14901,,14737,
2011-10-01,21461,,155,,15370,,15201,
2011-11-01,20215,,146,,12861,9,12728,
2011-12-01,21063,,152,,15121,73,15135,
2012-01-01,21184,,153,,16655,60,16531,
2012-02-01,20350,,148,,16091,7,16167,
2012-03-01,21323,,154,,18629,,18424,
2012-04-01,18675,,135,,14059,,13893,
2012-05-01,20631,,149,,14587,,14417,
2012-06-01,20189,,146,,16874,,16665,
2012-07-01,20077,,145,,17023,,16836,
2012-08-01,19819,,144,,16956,,16790,
2012-09-01,16338,,118,,12789,,12648,
2012-10-01,17031,101,123,1,13515,,13366,38
2012-11-01,18277,,132,,13453,,13305,
2012-12-01,20902,,151,,14873,,14813,
