Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,75495,176,657,1,59531,67,51043,104
2002-11-01,72769,,629,,60734,69,52085,
2002-12-01,76943,,658,,66450,102,57228,
2003-01-01,75251,,647,,61353,130,52873,
2003-02-01,63069,,563,,56651,168,48346,
2003-03-01,71681,,635,,69407,110,59834,
2003-04-01,69371,,612,,65683,94,56866,
2003-05-01,64198,,574,,61880,133,53240,
2003-06-01,59453,,541,,57429,174,48934,
2003-07-01,59137,,547,,58515,77,49955,
2003-08-01,58580,,543,,54767,80,47040,
2003-09-01,56843,,525,,44674,178,37915,
2003-10-01,59767,,551,,52894,209,45095,
2003-11-01,65928,,593,,59531,235,49387,
2003-12-01,68462,,614,,62903,249,51515,
2004-01-01,70109,,625,,61743,159,51611,
2004-02-01,68138,,602,,63565,33,53674,
2004-03-01,73336,,647,,72996,60,61223,
2004-04-01,69256,,603,,67867,85,57010,
2004-05-01,71503,,647,,67362,196,56300,
2004-06-01,67767,,611,,67069,97,56184,
2004-07-01,70124,,627,,69144,283,57888,
2004-08-01,65194,,596,,59352,191,50035,
2004-09-01,51478,,462,,45733,148,37896,
2004-10-01,60680,,548,,56597,123,46232,
2004-11-01,65754,,588,,63283,451,51804,
2004-12-01,69659,,625,,69671,366,55998,
2005-01-01,72853,,651,,69827,187,57018,
2005-02-01,68039,,604,,66503,67,54468,
2005-03-01,76090,,672,,82066,113,67196,
2005-04-01,73406,,652,,77779,50,64080,
2005-05-01,76435,,677,,80375,104,66132,
2005-06-01,74741,,653,,79987,127,66263,
2005-07-01,76142,,664,,76934,209,64311,
2005-08-01,71037,,629,,64542,132,54228,
2005-09-01,57238,,530,,57506,152,46682,
2005-10-01,58066,,530,,59704,191,49138,
2005-11-01,60701,,560,,67473,35,53342,
2005-12-01,69034,,619,,72709,53,58614,
2006-01-01,74649,,660,,73572,44,60579,
2006-02-01,70997,,620,,71138,61,58414,
2006-03-01,79548,,697,,87467,71,71278,
2006-04-01,76397,,660,,80124,3,65829,
2006-05-01,78774,,688,,85107,,69873,
2006-06-01,76503,,661,,83174,,68301,
2006-07-01,77821,,673,,80821,,67058,
2006-08-01,78332,,672,,66863,,55876,
2006-09-01,76332,,657,,61036,193,50087,
2006-10-01,79426,,681,,70303,210,58018,
2006-11-01,75402,,649,,73636,246,59910,
2006-12-01,80238,,684,,75188,166,61521,
2007-01-01,78238,,670,,72420,43,59114,
2007-02-01,73084,,625,,69112,49,55558,
2007-03-01,82823,,705,,85957,66,70500,
2007-04-01,78097,,663,,80421,73,67295,
2007-05-01,75297,,640,,79864,78,65348,
2007-06-01,72439,,619,,79377,259,65466,
2007-07-01,75790,,642,,81077,412,67770,
2007-08-01,75986,,642,,74404,95,62023,
2007-09-01,65620,,586,,59109,137,47215,
2007-10-01,68280,,613,,68766,148,54981,
2007-11-01,68857,,602,,71213,96,57809,
2007-12-01,69570,,611,,67154,195,53475,
2008-01-01,68116,,611,,68573,194,54310,
2008-02-01,62440,,563,,63321,340,50286,
2008-03-01,65841,,595,,71700,444,57396,
2008-04-01,58609,,536,,64507,116,50688,
2008-05-01,64415,,583,,67775,87,53762,
2008-06-01,59655,,545,,70530,70,55407,
2008-07-01,64390,70,588,1,71796,130,57301,64
2008-08-01,63323,,577,,62020,64,49431,
2008-09-01,59191,,534,,49850,25,38797,
2008-10-01,61649,,554,,60264,27,47147,
2008-11-01,56765,,524,,54846,119,42364,
2008-12-01,58862,,540,,58057,145,44172,
2009-01-01,58597,,537,,55718,198,42900,
2009-02-01,54449,,497,,57820,326,44525,
2009-03-01,59979,,548,,65900,428,50758,
2009-04-01,51232,,487,,60323,326,46063,
2009-05-01,51356,,493,,57677,177,44112,
2009-06-01,49559,,471,,59756,318,45192,
2009-07-01,52735,,494,,61156,338,47061,
2009-08-01,52634,,492,,56529,170,43637,
2009-09-01,50943,,478,,49443,198,38292,
2009-10-01,52123,,490,,56129,193,42597,
2009-11-01,50711,,482,,56555,258,42895,
2009-12-01,53287,,520,,59901,436,43567,
2010-01-01,52906,145,514,1,59159,396,44144,96
2010-02-01,47404,,464,,53507,238,39839,
2010-03-01,53975,55,521,1,63420,210,46937,45
2010-04-01,52619,,486,,63016,79,47146,
2010-05-01,54273,,493,,62086,92,46718,
2010-06-01,51211,,475,,60756,148,45889,
2010-07-01,52432,,488,,59552,236,45302,
2010-08-01,53181,,496,,54989,262,42757,
2010-09-01,52023,,471,,50392,62,39069,
2010-10-01,54151,,489,,57799,112,44562,
2010-11-01,52253,,485,,57435,142,44125,
2010-12-01,53480,,519,,57904,297,42784,
2011-01-01,54945,,527,,55889,270,42883,
2011-02-01,50429,,458,,50891,218,39191,
2011-03-01,64057,175,529,1,65195,239,55692,149
2011-04-01,51668,,481,,59033,145,44538,
2011-05-01,50306,,476,,57524,213,42930,
2011-06-01,50534,,502,,60574,214,43915,
2011-07-01,52162,,523,,61871,278,44642,
2011-08-01,51145,,513,,55603,218,41144,
2011-09-01,49373,,495,,52789,146,38414,
2011-10-01,50859,,510,,59140,255,42609,
2011-11-01,48545,,490,,58815,229,41780,
2011-12-01,51420,,518,,58431,308,40530,
2012-01-01,47932,,495,,55886,302,39565,
2012-02-01,48102,,479,,56553,211,39561,
2012-03-01,53713,,525,,67157,207,47325,
2012-04-01,48480,,491,,62865,167,44018,
2012-05-01,52503,,523,,64052,172,45054,
2012-06-01,47742,,485,,61831,190,42379,
2012-07-01,51183,,518,,60816,238,42787,
2012-08-01,49870,,501,,56822,120,41222,
2012-09-01,49756,,490,,52482,63,37373,
2012-10-01,53187,,517,,60171,100,42566,
2012-11-01,50563,,497,,59368,28,41476,
2012-12-01,51832,,517,,58056,,39277,
2013-01-01,52143,,524,,58441,,41612,
2013-02-01,46943,,474,,56734,,39669,
2013-03-01,52395,,528,,64941,,45751,
2013-04-01,48485,,502,,60303,,43348,
2013-05-01,50028,,526,,62912,,44371,
2013-06-01,51709,,530,,65745,106,46357,
2013-07-01,54990,,556,,66235,167,47588,
2013-08-01,54406,,544,,61930,197,44829,
2013-09-01,45437,,469,,48891,,34162,
2013-10-01,47185,,488,,56268,,38720,
2013-11-01,44709,,462,,53554,,36773,
2013-12-01,45026,,466,,56957,,37263,
2014-01-01,46503,,480,,57818,,39234,
2014-02-01,42198,,437,,54597,,36927,
2014-03-01,47940,,492,,62721,,43298,
2014-04-01,46898,,478,,61417,,42754,
2014-05-01,46327,,492,,61347,,41683,
2014-06-01,45225,,479,,60966,,41190,
2014-07-01,44461,107,430,1,52734,,39285,78
2014-08-01,44063,,411,,48977,,37971,
2014-09-01,42903,,384,,41893,,33191,
2014-10-01,43930,,394,,45818,,36000,
2014-11-01,50764,,423,,46355,,36292,
2014-12-01,56478,,486,,52783,,40755,
2015-01-01,56608,,511,,56739,,42287,
2015-02-01,49209,,450,,54716,,39963,
2015-03-01,59139,,536,,65312,,48105,
2015-04-01,54504,,489,,63710,,46911,
2015-05-01,53311,,500,,61002,71,43434,
2015-06-01,47031,,479,,60851,260,43021,
2015-07-01,128334,,1128,,146670,1241,114037,
2015-08-01,118946,,1078,,139568,235,106832,
2015-09-01,101413,83,967,1,120903,140,87882,80
2015-10-01,107059,,1016,,134111,106,96072,
2015-11-01,104592,,986,,130088,11,92494,
2015-12-01,120184,,1045,,131742,30,99696,
2016-01-01,115477,,1014,,128413,39,96917,
2016-02-01,120964,,1012,,125436,24,96802,
2016-03-01,146243,,1173,,154008,6,122623,
2016-04-01,124482,,1049,,143656,,109418,
2016-05-01,118863,,1049,,142992,234,106253,
2016-06-01,112109,,1034,,135704,258,99685,
2016-07-01,114326,,1049,,131146,201,97453,
2016-08-01,109268,159,1016,1,123448,283,90565,143
2016-09-01,98671,,887,,113336,200,82878,
2016-10-01,107176,,954,,129234,164,95146,
2016-11-01,109018,,955,,126326,218,92404,
2016-12-01,116934,,1001,,121028,162,91913,
2017-01-01,108874,,954,,121228,,91646,
2017-02-01,105777,,907,,119568,,90175,
2017-03-01,130073,,1075,,147810,,113388,
