Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,2093602,887184,16535,1357,2120947,176671,1527419,597313
2002-11-01,1999098,823130,15658,1301,1993739,172111,1434927,566487
2002-12-01,2057104,783201,16038,1298,2159529,183952,1615439,579713
2003-01-01,2068740,780766,16316,1301,1880538,169462,1409105,536961
2003-02-01,1798127,633201,14080,1104,1776826,143114,1307159,431583
2003-03-01,2021094,747995,15890,1250,2075385,165644,1520997,535741
2003-04-01,1900306,725658,14675,1210,1898353,159452,1404156,497104
2003-05-01,1952156,701256,15383,1180,2008588,175694,1518488,564532
2003-06-01,2004486,734015,15677,1237,2120757,202051,1651085,636078
2003-07-01,2055686,797592,15926,1306,2196106,203743,1740328,637971
2003-08-01,2124666,818038,16347,1369,2133540,204476,1717332,652217
2003-09-01,2034915,773789,15846,1295,1803820,169384,1411215,589098
2003-10-01,2114708,775761,16688,1298,2100875,178709,1604412,575989
2003-11-01,2038504,727172,15895,1233,1943096,174495,1505121,563673
2003-12-01,2134769,757977,16645,1323,2038304,196546,1641379,618522
2004-01-01,2159176,730456,16872,1287,1854578,173115,1486135,545226
2004-02-01,2039448,671491,16176,1173,1889992,154015,1453585,467169
2004-03-01,2263289,721169,17818,1251,2202753,191400,1726662,604580
2004-04-01,2178725,793941,17204,1327,2109863,193399,1643700,619759
2004-05-01,2247707,862927,17675,1417,2158365,216217,1700687,714821
2004-06-01,2227212,877810,17409,1425,2267306,239187,1851878,778582
2004-07-01,2297263,907501,17841,1474,2340447,237825,1958342,747219
2004-08-01,2297674,898458,17867,1464,2162914,217865,1802321,695836
2004-09-01,2118043,849621,16319,1366,1764264,191700,1459701,661112
2004-10-01,2232453,795376,17757,1330,2148841,189056,1683544,609230
2004-11-01,2156718,764234,16992,1275,2077357,185443,1640302,588163
2004-12-01,2244714,869869,17475,1456,2137044,221837,1744602,700321
2005-01-01,2158223,859518,16583,1454,1944858,203907,1596318,642591
2005-02-01,2235216,751138,17417,1313,1967886,179816,1601946,548469
2005-03-01,2487231,863563,19279,1522,2429137,228436,1986012,697903
