Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,238123,6031,1765,31,195024,3441,182619,2656
2002-11-01,224140,5836,1625,30,170611,4235,154676,3269
2002-12-01,223279,4359,1584,31,171269,3030,166266,2339
2003-01-01,226227,4353,1691,31,154932,2424,149866,1871
2003-02-01,195103,4469,1452,28,151477,2410,148509,2177
2003-03-01,234592,4217,1668,30,175751,3543,173479,2735
2003-04-01,218422,5568,1390,30,168651,4813,164222,3716
2003-05-01,223486,5934,1390,31,168759,3573,160693,2758
2003-06-01,228437,6746,1453,31,176050,3617,168613,3659
2003-07-01,228958,5765,1459,31,175542,2808,169991,2168
2003-08-01,233207,5598,1460,31,181658,3697,177948,2854
2003-09-01,224087,4786,1414,26,149381,1771,136852,1367
2003-10-01,252835,5263,1525,31,201041,3030,198427,2339
2003-11-01,243755,5615,1443,30,177249,3727,173996,2877
2003-12-01,238148,3992,1379,28,176874,2953,181905,2280
2004-01-01,250153,4265,1514,30,165280,2441,169397,1884
2004-02-01,239441,4305,1465,27,179725,2486,181935,2340
2004-03-01,254018,5122,1575,32,194964,3385,197542,3339
2004-04-01,250407,4829,1564,31,194893,3833,191209,2971
2004-05-01,244350,5056,1519,31,174027,3817,170148,2947
2004-06-01,266763,5453,1594,30,196790,3421,196164,2641
2004-07-01,266967,5865,1582,31,197719,2983,205811,2303
2004-08-01,266551,6031,1594,31,199997,3545,208900,2737
2004-09-01,219488,5781,1399,30,154105,2853,149425,2203
2004-10-01,262638,5707,1604,31,200554,3468,198911,2677
2004-11-01,256336,5454,1552,30,186136,4087,182938,3155
2004-12-01,256268,4348,1546,31,177771,2790,179622,2154
2005-01-01,245149,3912,1472,28,168542,2539,176735,1952
2005-02-01,240080,3242,1498,28,178269,2374,182452,1719
2005-03-01,258129,3590,1615,31,198919,3339,204054,2422
2005-04-01,258220,3474,1631,30,206585,3868,206354,2900
2005-05-01,248336,3474,1613,30,187639,3383,185628,2541
2005-06-01,220297,3474,1437,30,170382,3151,168110,2388
2005-07-01,214709,3590,1428,31,179780,2528,182195,1950
2005-08-01,216014,3474,1462,30,175981,2716,176371,2097
2005-09-01,238704,5610,1425,33,155598,2863,161196,3947
2005-10-01,248519,3590,1479,31,176629,3669,186009,2832
2005-11-01,290818,3437,1609,29,188542,3511,200445,2710
2005-12-01,265455,3819,1446,32,164793,2877,184792,2013
2006-01-01,232138,3548,1415,31,155413,2382,165108,1799
2006-02-01,205617,3772,1266,30,158595,2489,164323,2125
2006-03-01,258690,4260,1535,35,191408,3202,204245,2724
2006-04-01,247867,5295,1455,36,177276,4262,188678,4196
2006-05-01,200720,5045,1317,36,148365,3960,149054,3813
2006-06-01,190178,5184,1270,38,150917,4381,153849,3991
2006-07-01,191695,5560,1240,40,147371,4030,159469,3866
2006-08-01,194821,5132,1310,38,143601,4169,155294,3704
2006-09-01,167604,3386,1179,28,114469,2824,114216,2212
2006-10-01,178602,4498,1278,32,136346,4090,138389,3459
2006-11-01,179939,4329,1258,34,136867,4318,137718,3451
2006-12-01,194633,5283,1277,38,131972,3936,142458,3733
2007-01-01,205854,4682,1381,35,124522,3420,135780,3038
2007-02-01,181418,4620,1212,29,128093,2733,136958,2978
2007-03-01,198850,5743,1368,36,153074,4112,164118,4434
2007-04-01,195624,5216,1349,34,150084,4591,156274,4563
2007-05-01,187775,4630,1335,35,142220,3474,144855,3236
2007-06-01,173954,4773,1249,35,146463,3594,149631,3368
2007-07-01,174431,6127,1230,37,144012,3044,154495,3931
2007-08-01,176320,6109,1276,36,144183,3451,155534,4154
2007-09-01,157419,3473,1167,30,115993,3104,114790,2396
2007-10-01,163586,3590,1231,31,139246,3267,136147,2522
2007-11-01,161176,4254,1178,33,124306,4387,122380,3758
2007-12-01,168570,4452,1168,32,119042,3479,125725,3281
2008-01-01,166897,4529,1214,34,108736,3514,114027,3227
2008-02-01,173118,4437,1225,33,124154,3340,129469,3115
2008-03-01,199186,5005,1367,36,144622,4507,155327,4174
2008-04-01,195628,5673,1365,35,145382,4887,153762,4894
2008-05-01,173955,5945,1293,37,134006,4048,135950,4412
2008-06-01,147353,4975,1163,34,129222,3546,121186,3381
2008-07-01,145835,4851,1162,33,129033,3129,125176,2878
2008-08-01,136930,4658,1121,33,124496,3672,119848,3188
2008-09-01,115679,4507,1037,31,101977,3497,88880,3272
2008-10-01,123812,5093,1067,34,115593,3937,103269,3690
2008-11-01,119302,5093,991,35,100966,4598,90775,4166
2008-12-01,135159,5479,1041,35,112575,3841,108415,4063
2009-01-01,132861,4361,1063,30,93022,3413,92999,3036
2009-02-01,130489,4212,1051,28,101758,2959,99697,2840
2009-03-01,143873,5845,1178,36,115932,3655,112485,4058
2009-04-01,147978,5718,1191,34,123404,4634,115711,4754
2009-05-01,128029,4846,1069,33,112225,4047,101273,3260
2009-06-01,101319,5598,948,35,96530,4654,81577,4549
2009-07-01,105109,4340,962,32,103259,3834,90396,3125
2009-08-01,109144,3706,1003,30,105594,3836,93751,2866
2009-09-01,102909,3212,961,26,95557,3410,79730,2543
