Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,41532,,430,,61941,70,33583,
2002-11-01,39397,,403,,58099,62,31456,
2002-12-01,40466,,402,,60232,,32940,
2003-01-01,41889,,416,,51572,,27919,
2003-02-01,32194,,326,,43672,,23753,
2003-03-01,41425,,420,,56252,,30458,
2003-04-01,36283,,357,,53606,,29252,
2003-05-01,35058,,366,,54583,,29652,
2003-06-01,38471,,404,,62575,,33556,
2003-07-01,37260,,389,,64106,,34243,
2003-08-01,38664,,420,,62476,,33422,
2003-09-01,36857,,400,,52235,,28090,
2003-10-01,37435,,418,,60687,,32512,
2003-11-01,35905,,397,,54948,,29533,
2003-12-01,37365,,423,,56521,,30437,
2004-01-01,38024,,417,,49215,,26950,
2004-02-01,38489,,419,,49102,,26678,
2004-03-01,41798,,459,,55790,,30339,
2004-04-01,40912,,449,,58756,,31755,
2004-05-01,43035,,463,,60095,,32507,
2004-06-01,40193,,440,,61121,,32821,
2004-07-01,40904,,458,,63016,,33860,
2004-08-01,40963,,463,,60256,,32406,
2004-09-01,38797,,437,,47091,,25352,
2004-10-01,41382,,467,,54202,,29437,
2004-11-01,39578,,443,,54453,,29446,
2004-12-01,40720,,444,,51040,,27965,
2005-01-01,39020,,427,,45140,,24721,
2005-02-01,43874,,436,,42844,144,27092,
2005-03-01,50768,,502,,58566,171,37520,
2005-04-01,47532,,485,,50487,96,31496,
2005-05-01,48826,,502,,51649,96,32561,
2005-06-01,43547,,450,,50772,275,33339,
2005-07-01,44927,,462,,55070,119,36184,
2005-08-01,46626,,482,,56795,78,37554,
2005-09-01,35468,,388,,42605,31,28649,
2005-10-01,37075,,408,,43808,75,29331,
2005-11-01,37647,,423,,45366,93,29640,
2005-12-01,38097,,362,,41796,,28607,
2006-01-01,38042,,361,,39101,,27139,
2006-02-01,33589,,327,,37422,,26261,
2006-03-01,37902,,374,,42713,,29984,
2006-04-01,34803,,338,,38944,,27618,
2006-05-01,37561,,372,,43425,16,29949,
2006-06-01,34857,,353,,43144,4,29710,
2006-07-01,34526,,348,,41512,2,28834,
2006-08-01,35654,,360,,42708,,29383,
2006-09-01,35094,,327,,38928,29,27495,
2006-10-01,38247,,348,,42339,22,30155,
2006-11-01,36693,,336,,40199,105,28464,
2006-12-01,37570,,337,,40040,136,28664,
2007-01-01,36888,,317,,36519,142,26093,
2007-02-01,32317,,277,,34530,127,24303,
2007-03-01,34830,,323,,43501,25,29863,
2007-04-01,35441,,314,,42024,107,29802,
2007-05-01,37225,,328,,42504,,30209,
2007-06-01,36796,,318,,47027,,33330,
2007-07-01,37659,,324,,48475,,34419,
2007-08-01,38015,,326,,48584,,34363,
2007-09-01,36221,,314,,41074,,29103,
2007-10-01,38270,,338,,45567,,31467,
2007-11-01,36447,,315,,42528,,29203,
2007-12-01,38090,,323,,41416,,29352,
2008-01-01,36704,,321,,38404,,27218,
2008-02-01,35096,,308,,37484,,26813,
2008-03-01,38003,,333,,48265,,33979,
2008-04-01,35986,,321,,43708,,31112,
2008-05-01,36567,,328,,45745,,32414,
2008-06-01,37450,,343,,48704,35,34392,
2008-07-01,38351,,339,,51177,24,35907,
2008-08-01,39107,,349,,51682,5,36337,
2008-09-01,39641,,356,,47436,,32722,
2008-10-01,39302,,359,,49253,7,33813,
2008-11-01,39692,,368,,47648,,31881,
2008-12-01,39910,,363,,47807,,32991,
2009-01-01,38709,,350,,44169,,30321,
2009-02-01,36174,,323,,38561,19,26780,
2009-03-01,44214,,368,,45666,6,35681,
2009-04-01,44864,,369,,50728,,38679,
2009-05-01,43512,,374,,47898,108,37267,
2009-06-01,44718,,396,,49821,9,39544,
2009-07-01,46891,,388,,53547,22,42651,
2009-08-01,44615,,370,,50020,6,38934,
2009-09-01,43947,,355,,44782,,34415,
2009-10-01,50374,,385,,50970,47,40948,
2009-11-01,46667,,366,,45819,8,36832,
2009-12-01,43141,,338,,40882,15,34123,
2010-01-01,60163,,592,,60034,12,44069,
2010-02-01,46477,,446,,46857,1,35215,
2010-03-01,63770,,620,,73701,,54868,
2010-04-01,67505,,635,,77947,172,56651,
2010-05-01,66841,,627,,77897,260,56083,
2010-06-01,69441,,669,,84019,288,62764,
2010-07-01,70007,,688,,85176,383,64223,
2010-08-01,72583,,709,,83119,337,62004,
2010-09-01,73975,,693,,76373,231,55007,
2010-10-01,75500,,709,,85258,237,60539,
2010-11-01,71839,,658,,78284,342,54876,
2010-12-01,66461,,611,,70911,196,51971,
2011-01-01,59427,,562,,56831,16,41737,
2011-02-01,56086,,535,,52611,40,38590,
2011-03-01,63574,,607,,69261,242,50076,
2011-04-01,61820,,584,,70919,228,50430,
2011-05-01,69059,,642,,78815,19,55718,
2011-06-01,67685,,636,,81636,,58131,
2011-07-01,67005,,654,,83213,,59256,
2011-08-01,70645,,656,,82878,,60120,
2011-09-01,69181,,628,,76074,,55409,
2011-10-01,73437,,669,,81131,,58566,
2011-11-01,66079,,631,,75275,,53202,
2011-12-01,63202,,584,,70754,,50766,
2012-01-01,56257,,523,,57452,,40531,
2012-02-01,52544,,495,,56441,,39812,
2012-03-01,63641,,599,,75738,,53728,
2012-04-01,63172,,592,,79502,,55878,
2012-05-01,64204,,601,,80832,,55851,
2012-06-01,67407,,625,,87746,,61728,
2012-07-01,67956,,627,,86288,,61208,
2012-08-01,72468,,670,,89703,,63806,
2012-09-01,68202,,617,,76762,,54589,
2012-10-01,68257,,622,,82926,,58910,
2012-11-01,65390,,606,,79691,,55133,
2012-12-01,57115,,522,,64580,43,46447,
2013-01-01,56456,729,529,1,62148,16,43021,419
2013-02-01,53913,,503,,56190,,39432,
2013-03-01,63301,,602,,74155,,51910,
2013-04-01,66219,,634,,74512,,51499,
2013-05-01,65423,,634,,79473,,54720,
2013-06-01,65655,,620,,81674,,56991,
2013-07-01,67540,,642,,85749,,59686,
2013-08-01,72315,,693,,88984,,61995,
2013-09-01,69816,,651,,77387,,54762,
2013-10-01,73378,,675,,82234,,58213,
2013-11-01,66146,,620,,74468,,51634,
2013-12-01,60247,,565,,70950,,50319,
2014-01-01,58627,,543,,60025,,43003,
2014-02-01,50749,,479,,54804,,38445,
2014-03-01,67556,,643,,76387,,54329,
2014-04-01,67040,,623,,82148,,57885,
2014-05-01,67461,,620,,83483,,59470,
2014-06-01,65926,,605,,82206,,58978,
2014-07-01,67104,,618,,85113,,61187,
2014-08-01,66823,,609,,82681,,59292,
2014-09-01,64241,,579,,72858,,52030,
2014-10-01,66466,,602,,78327,,55623,
2014-11-01,61698,,552,,70304,,49594,
2014-12-01,58266,,522,,65145,,47450,
2015-01-01,53175,,514,,55116,,39357,
2015-02-01,52155,,487,,55210,,40401,
2015-03-01,67685,,635,,78438,,56378,
2015-04-01,67333,,611,,78089,,56407,
2015-05-01,66838,,625,,80708,,57434,
2015-06-01,68247,827,614,4,83937,482,60933,669
2015-07-01,70671,827,646,4,87118,500,62922,694
2015-08-01,71178,826,644,4,85130,631,62155,680
2015-09-01,65583,,605,,74466,,52355,
2015-10-01,67535,,616,,81809,,58344,
2015-11-01,63842,,591,,76067,,52836,
2015-12-01,58208,414,538,2,65607,246,47000,341
2016-01-01,52375,829,492,4,59018,438,41620,608
2016-02-01,55492,827,522,4,57658,505,41461,701
2016-03-01,69700,827,632,4,81910,538,59428,747
2016-04-01,69466,1034,624,5,81209,560,57169,777
