Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,6026,,181,,17414,,3953,
2002-11-01,5593,,168,,15154,,3456,
2002-12-01,6297,,193,,16881,,3832,
2003-01-01,6494,,200,,13149,,2985,
2003-02-01,4454,,140,,12420,,2916,
2003-03-01,4654,,150,,14243,,3240,
2003-04-01,5324,,179,,13195,,2995,
2003-05-01,4912,,175,,13209,,3114,
2003-06-01,4909,,176,,13677,,3105,
2003-07-01,5293,,209,,13878,,3185,
2003-08-01,5176,,206,,13055,,2954,
2003-09-01,4711,,206,,13084,,2970,
2003-10-01,4916,,216,,15169,,3443,
2003-11-01,4680,,204,,12719,,2946,
2003-12-01,5314,,208,,13373,,3036,
2004-01-01,5921,,225,,12912,,2961,
2004-02-01,5447,,215,,12851,,2917,
2004-03-01,5936,,245,,15000,,3405,
2004-04-01,5372,,232,,16108,10,3659,
2004-05-01,5567,,242,,20223,28,4597,
2004-06-01,5517,,240,,21085,,4841,
2004-07-01,5293,,231,,19843,,4504,
2004-08-01,5405,,236,,17014,,3918,
2004-09-01,5169,,223,,13973,,3278,
2004-10-01,5270,,230,,17096,,3881,
2004-11-01,5115,,223,,14985,,3457,
2004-12-01,5192,,226,,15908,,3665,
2005-01-01,4881,,214,,14192,1,3222,
2005-02-01,6004,,264,,16018,12,3639,
2005-03-01,6617,,282,,21547,10,4893,
2005-04-01,6958,,277,,19921,14,4574,
2005-05-01,6050,,262,,19267,11,4503,
2005-06-01,5388,,236,,18494,9,4208,
2005-07-01,5895,,253,,17970,20,4486,
2005-08-01,5964,,259,,17464,,4158,
2005-09-01,6523,,213,,15406,,3497,
2005-10-01,7273,,239,,17367,,3958,
2005-11-01,5651,,191,,16640,,3777,
2005-12-01,6287,,195,,18651,,4256,
2006-01-01,6253,,194,,15361,,3487,
2006-02-01,5705,,177,,16065,,3647,
2006-03-01,6350,,197,,21507,,4882,
2006-04-01,5212,,162,,17829,,4047,
2006-05-01,5421,,168,,18424,,4206,
2006-06-01,4209,,136,,16706,,3792,
2006-07-01,3404,,105,,13562,2,3079,
2006-08-01,3618,,111,,12743,6,2915,
2006-09-01,4436,,138,,16276,,3702,
2006-10-01,5000,,155,,19589,,4447,
2006-11-01,4850,,148,,18819,,4393,
2006-12-01,4706,,146,,18915,,4294,
2007-01-01,4440,,137,,17937,,4118,
2007-02-01,4984,,141,,20372,,4624,
2007-03-01,14092,,205,,29921,38,13282,
2007-04-01,14181,,209,,30331,,13377,
2007-05-01,16273,,269,,37190,,14836,
2007-06-01,14311,,234,,31973,,13209,
2007-07-01,14764,,244,,33070,,13684,
2007-08-01,15402,,257,,33668,,14294,
2007-09-01,14823,,247,,30151,,12506,
2007-10-01,15911,,263,,32394,,13493,
2007-11-01,15102,,248,,28778,,11825,
2007-12-01,15387,,256,,30441,,12337,
2008-01-01,13957,,256,,26265,,10381,
2008-02-01,9954,,224,,26135,,7861,
2008-03-01,16392,,266,,33298,,14174,
2008-04-01,15737,,262,,28142,,11757,
2008-05-01,16182,,264,,29883,,12963,
2008-06-01,14930,,230,,29662,17,13112,
2008-07-01,15017,,224,,28251,35,13310,
2008-08-01,12757,,200,,25861,18,11282,
2008-09-01,8777,,247,,24571,,5604,
2008-10-01,9317,,260,,29328,,6657,
2008-11-01,8411,,238,,24331,23,5528,
2008-12-01,7248,,208,,25277,32,5805,
2009-01-01,7108,,219,,22609,9,5134,
2009-02-01,6229,,191,,18289,,4152,
2009-03-01,6721,,207,,21919,21,4980,
2009-04-01,6949,,215,,24374,,5573,
2009-05-01,7015,,214,,24794,15,5766,
2009-06-01,6302,,195,,23746,8,5413,
2009-07-01,5573,,172,,21055,,4888,
2009-08-01,5947,,184,,19537,,4492,
2009-09-01,7244,,220,,22712,,5279,
2009-10-01,8108,,248,,27260,,6188,
2009-11-01,6796,,207,,23723,,5385,
2009-12-01,4898,,150,,17740,28,4033,
2010-01-01,12696,,289,,28613,2,8928,
2010-02-01,11865,148,273,1,27339,,8283,147
2010-03-01,13441,,310,,34462,,10625,
2010-04-01,12583,,291,,33215,,10589,
2010-05-01,11903,,277,,31324,,10019,
2010-06-01,20064,,400,,45769,97,17884,
2010-07-01,20234,,415,,47069,114,17605,
2010-08-01,21023,,433,,44025,112,16295,
2010-09-01,20409,,444,,42452,17,14575,
2010-10-01,21344,,458,,46082,,15885,
2010-11-01,26349,,518,,45957,,16884,
2010-12-01,21422,,436,,42855,,15061,
2011-01-01,20916,,391,,33107,,11241,
2011-02-01,19425,,372,,31396,17,10083,
2011-03-01,24114,,449,,42890,,15414,
2011-04-01,23815,,462,,45669,,16373,
2011-05-01,20955,,455,,48512,,16311,
2011-06-01,22890,,451,,52977,,19388,
2011-07-01,18809,,390,,50151,,16287,
2011-08-01,18613,,390,,46504,,14554,
2011-09-01,17527,,360,,42258,,13640,
2011-10-01,18733,,378,,45924,,14799,
2011-11-01,20478,,397,,44248,,15182,
2011-12-01,18359,,379,,41161,,13274,
2012-01-01,14653,,344,,33531,,9448,
2012-02-01,15618,,336,,33524,,10221,
2012-03-01,24194,,401,,44540,,18395,
2012-04-01,28914,,441,,48522,,21989,
2012-05-01,28402,,448,,51504,,22527,
2012-06-01,28252,,460,,58153,,25394,
2012-07-01,30015,,466,,57997,,26535,
2012-08-01,30762,,483,,57450,,25548,
2012-09-01,29840,,472,,52523,,21743,
2012-10-01,29375,,489,,58398,,23149,
2012-11-01,25169,,420,,49962,,19312,
2012-12-01,21570,,373,,42672,,16705,
2013-01-01,25861,,411,,42104,,17242,
2013-02-01,25759,,395,,43975,,19426,
2013-03-01,27817,,468,,56511,,23366,
2013-04-01,31677,,500,,59143,,25826,
2013-05-01,30095,,480,,60244,,25708,
2013-06-01,30933,,492,,63394,,28252,
2013-07-01,32964,,522,,66743,,29826,
2013-08-01,31197,,501,,62597,,27368,
2013-09-01,28474,,450,,55811,,23516,
2013-10-01,33265,,505,,64031,,27055,
2013-11-01,30934,,458,,55861,,22826,
2013-12-01,23913,,365,,47443,,20027,
2014-01-01,25072,,373,,43810,,18645,
2014-02-01,22720,,347,,41909,,17920,
2014-03-01,28694,,470,,59666,,24013,
2014-04-01,35483,,527,,66780,,30240,
2014-05-01,36047,,529,,69010,,31803,
2014-06-01,35332,,535,,69839,,31542,
2014-07-01,34901,,527,,67817,,30283,
2014-08-01,33375,,508,,63611,,28099,
2014-09-01,30819,,487,,55197,,23710,
2014-10-01,31246,,509,,62424,,25807,
2014-11-01,32028,,482,,55535,,24054,
2014-12-01,28029,,427,,48643,,21516,
2015-01-01,31427,,516,,48801,,21222,
2015-02-01,28371,,466,,46314,,20090,
2015-03-01,34202,,563,,67379,,27904,
2015-04-01,36667,,579,,69695,,30434,
2015-05-01,37861,,589,,74359,,32847,
2015-06-01,40022,,597,,76623,,35168,
2015-07-01,39959,,601,,74434,,34645,
2015-08-01,39196,,591,,69352,,30665,
2015-09-01,34292,,523,,63284,,27133,
2015-10-01,35997,,550,,73709,,31661,
2015-11-01,35161,,541,,71788,,30529,
2015-12-01,27978,,435,,57526,,25266,
2016-01-01,28884,,453,,56867,82,23358,
2016-02-01,28811,,454,,46146,66,20396,
2016-03-01,34187,,569,,58916,69,26353,
2016-04-01,33239,,551,,58839,,26102,
2016-05-01,37105,,593,,71536,,32098,
2016-06-01,36260,,581,,68872,,32128,
2016-07-01,36002,,573,,61363,,29306,
2016-08-01,36784,,576,,53685,,26073,
2016-09-01,32473,,536,,53337,,24864,
2016-10-01,30912,,523,,54036,,23540,
2016-11-01,30117,,501,,50906,,22491,
2016-12-01,25178,,413,,43833,,19667,
2017-01-01,26577,,432,,39986,,18087,
2017-02-01,25477,,413,,39396,,17565,
2017-03-01,26541,,460,,50870,,21362,
