Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,72703,,1118,,101722,,44084,
2002-11-01,66357,,1018,,92581,,39797,
2002-12-01,63724,,963,,91385,,41338,
2003-01-01,68179,,1046,,73616,,31815,
2003-02-01,61446,,869,,71115,,35353,
2003-03-01,75296,,1053,,85319,,43677,
2003-04-01,59907,,917,,82761,,39019,
2003-05-01,60793,,944,,89342,,40979,
2003-06-01,59877,,976,,89365,,41077,
2003-07-01,59848,,969,,84867,,40510,
2003-08-01,60905,,984,,81900,,39599,
2003-09-01,56354,,950,,80909,,35606,
2003-10-01,61370,,1048,,96500,,43991,
2003-11-01,57924,,980,,91381,,41855,
2003-12-01,57890,,918,,84095,,41883,
2004-01-01,55737,,932,,68413,,32264,
2004-02-01,55363,,952,,81293,,37403,
2004-03-01,60578,,1044,,92531,,43243,
2004-04-01,58397,,1008,,95005,,43156,
2004-05-01,60043,,1033,,96552,,43999,
2004-06-01,57006,,987,,94589,,43572,
2004-07-01,57382,,979,,86345,,41815,
2004-08-01,58349,,998,,78688,,38720,
2004-09-01,57379,,984,,79766,,37203,
2004-10-01,60365,,1030,,96465,,45656,
2004-11-01,58012,,983,,92349,,43679,
2004-12-01,58580,,980,,90256,7,44618,
2005-01-01,57116,,963,,78689,29,38552,
2005-02-01,56295,,904,,83104,,40454,
2005-03-01,62962,,1005,,101590,,50194,
2005-04-01,61228,,982,,97198,,46719,
2005-05-01,63553,,1029,,103101,,49182,
2005-06-01,59100,,963,,99230,,47597,
2005-07-01,60023,,965,,94840,,46793,
2005-08-01,58279,,959,,83653,,41406,
2005-09-01,54751,,956,,86426,63,40209,
2005-10-01,57941,,987,,88170,99,42250,
2005-11-01,55352,,922,,86190,99,40638,
2005-12-01,65374,,963,,90526,,45861,
2006-01-01,66050,,994,,78408,322,38682,
2006-02-01,56837,,892,,80128,153,39239,
2006-03-01,66484,,1046,,101045,184,49290,
2006-04-01,63540,,999,,99444,366,47873,
2006-05-01,62468,,976,,94737,381,45712,
2006-06-01,57263,,891,,90265,267,44964,
2006-07-01,56734,,868,,80581,286,41975,
2006-08-01,59936,,933,,76626,291,41212,
2006-09-01,57486,,878,,75672,162,38016,
2006-10-01,61768,,944,,84524,159,43533,
2006-11-01,58915,,899,,85526,70,42681,
2006-12-01,59129,,878,,84304,85,43508,
2007-01-01,60780,,920,,67330,14,34449,
2007-02-01,49941,,751,,65136,40,33327,
