Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,85067,,554,,62199,,56984,
2002-11-01,80223,,519,,51270,,46648,
2002-12-01,83685,,579,,68178,,62429,
2003-01-01,81783,,578,,60855,,56833,
2003-02-01,73522,,519,,56341,,52197,
2003-03-01,77194,,545,,67883,,62718,
2003-04-01,73707,,491,,52205,,50838,
2003-05-01,71353,,494,,55471,,53400,
2003-06-01,71943,,477,,62142,,60057,
2003-07-01,73243,,486,,62845,,61605,
2003-08-01,73700,,490,,61206,,60072,
2003-09-01,78396,,507,,54598,,54148,
2003-10-01,80180,,522,,57792,,58012,
2003-11-01,75226,,497,,48807,,48489,
2003-12-01,76590,,521,,56509,,55785,
2004-01-01,81071,,523,,55992,,55259,
2004-02-01,76910,,490,,54523,,53871,
2004-03-01,82452,,532,,65454,,64963,
2004-04-01,90212,,562,,55768,,57455,
2004-05-01,93208,,581,,57978,,60833,
2004-06-01,93866,,571,,74659,,78893,
2004-07-01,95393,,581,,79190,,83461,
2004-08-01,96418,,584,,70681,,75763,
2004-09-01,90904,,551,,58691,,62837,
2004-10-01,94796,,576,,59266,,63295,
2004-11-01,88743,,554,,55746,,58641,
2004-12-01,91803,,574,,63102,,66806,
2005-01-01,89678,,563,,62140,,66682,
2005-02-01,87195,,524,,61106,,65560,
2005-03-01,97603,,576,,78957,,83252,
2005-04-01,76876,,483,,57874,,58422,
2005-05-01,80287,,503,,57413,,58091,
2005-06-01,80824,,481,,70388,,72567,
2005-07-01,79116,,491,,69544,,70092,
2005-08-01,79654,,493,,66295,,67465,
2005-09-01,72383,,463,,52854,,53548,
2005-10-01,74923,,485,,48620,,49460,
2005-11-01,65111,,441,,44135,,44223,
2005-12-01,54105,,334,,36875,11,41177,
2006-01-01,57225,,361,,39103,7,43757,
2006-02-01,50989,,334,,37177,9,40656,
2006-03-01,63532,,457,,57389,11,57841,
2006-04-01,60121,,452,,44786,17,44180,
2006-05-01,58493,,431,,45176,,44845,
2006-06-01,58095,,397,,51238,123,52779,
2006-07-01,59769,,409,,53013,90,53938,
2006-08-01,62666,,411,,51881,103,52463,
2006-09-01,58724,,348,,44304,67,47142,
2006-10-01,59129,,351,,45304,64,48081,
2006-11-01,57684,,340,,41227,6,44129,
2006-12-01,49946,,289,,35362,3,38048,
2007-01-01,53935,,302,,38227,,41655,
2007-02-01,49059,,275,,37199,,39667,
2007-03-01,58754,,306,,47344,,50570,
2007-04-01,56488,,324,,40696,4,43063,
2007-05-01,55431,,341,,44395,124,44442,
2007-06-01,55628,,318,,48065,117,50426,
2007-07-01,64987,,360,,54679,103,59968,
2007-08-01,65513,,357,,52835,100,58882,
2007-09-01,66529,,379,,46330,182,50878,
2007-10-01,69062,,382,,46643,102,52647,
2007-11-01,66554,,368,,40486,47,45166,
2007-12-01,70946,,410,,48463,55,52711,
2008-01-01,61418,,335,,41700,30,48323,
2008-02-01,63893,,350,,41097,41,48260,
2008-03-01,65233,,338,,48016,114,57512,
2008-04-01,62847,,340,,44451,73,50507,
2008-05-01,64549,,350,,46620,109,52254,
2008-06-01,66191,,330,,49044,119,56980,
2008-07-01,68381,,336,,52763,137,61286,
2008-08-01,61024,,313,,47718,209,55906,
2008-09-01,62394,,339,,49994,209,56772,
2008-10-01,64466,,351,,49128,106,55127,
2008-11-01,65657,,353,,45395,,51001,
2008-12-01,72381,,393,,52028,,59768,
2009-01-01,74768,,400,,49842,52,57293,
2009-02-01,61693,,334,,42026,16,48075,
2009-03-01,68275,,372,,51730,,59438,
2009-04-01,64220,,352,,46528,31,53279,
2009-05-01,66362,,352,,50098,46,56864,
2009-06-01,63977,,329,,50565,315,59543,
2009-07-01,69957,,338,,53239,376,64960,
2009-08-01,70441,,342,,52542,233,64010,
2009-09-01,59262,,285,,44012,56,53886,
2009-10-01,64347,,323,,48028,19,56616,
2009-11-01,60672,,302,,40946,5,48036,
2009-12-01,66388,,331,,45182,12,53282,
2010-01-01,108907,,668,,76710,12,79733,
2010-02-01,97603,,612,,71130,13,73960,
2010-03-01,112252,,697,,93218,17,97034,
2010-04-01,103221,,640,,85586,7,89741,
