Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,447611,,2694,,279823,,281859,
2002-11-01,426520,,2559,,269147,,270666,
2002-12-01,406749,,2573,,303967,,307921,
2003-01-01,404712,,2604,,246129,,251821,
2003-02-01,355144,,2283,,223326,,227462,
2003-03-01,403664,,2593,,277907,,279938,
2003-04-01,314826,,1977,,192032,,209597,
2003-05-01,280178,,1733,,190256,,208310,
2003-06-01,286873,,1790,,213237,48,236400,
2003-07-01,290468,,1809,,225943,72,252467,
2003-08-01,283888,,1775,,202115,155,226281,
2003-09-01,259662,,1621,,150409,196,166078,
2003-10-01,269587,,1681,,169999,128,188832,
2003-11-01,258982,,1622,,155409,121,173276,
2003-12-01,270174,,1675,,177458,,199294,
2004-01-01,285402,,1751,,153010,,173201,
2004-02-01,270796,,1660,,151359,,175036,
2004-03-01,291487,,1787,,180711,,206235,
2004-04-01,282516,,1726,,169307,,198777,
2004-05-01,293633,,1771,,187701,,218535,
2004-06-01,259404,,1608,,198969,,213332,
2004-07-01,258997,,1613,,206951,,220657,
2004-08-01,258492,,1605,,179249,,194113,
2004-09-01,242312,,1510,,154076,,165104,
2004-10-01,256649,,1604,,176385,,187398,
2004-11-01,248306,,1550,,166562,,175845,
2004-12-01,200317,,1296,,142962,,140604,
2005-01-01,180274,,1193,,115738,,112611,
2005-02-01,74245,,605,,61910,1,49387,
2005-03-01,81858,,667,,75130,14,60302,
2005-04-01,81679,,654,,67328,51,53720,
2005-05-01,82972,,674,,70504,,56242,
2005-06-01,77828,,624,,77037,,61202,
2005-07-01,80294,,637,,79535,36,63606,
2005-08-01,80741,,641,,67477,59,54683,
2005-09-01,73971,,555,,58154,,55535,
2005-10-01,64167,,558,,59225,,47393,
2005-11-01,59060,,523,,58014,,46484,
2005-12-01,46564,,375,,46246,,36697,
2006-01-01,46032,,371,,40418,22,32180,
2006-02-01,41439,,340,,38174,29,31235,
2006-03-01,48147,,399,,45227,79,36930,
2006-04-01,43069,,363,,39659,70,31210,
2006-05-01,44281,,376,,43114,,34126,
2006-06-01,46839,,409,,51605,,40223,
2006-07-01,49535,154,432,1,51457,,40288,123
2006-08-01,49662,,436,,44118,,34260,
2006-09-01,43182,,339,,36545,,28261,
2006-10-01,48050,,368,,42310,,33074,
2006-11-01,46296,,358,,42959,12,33233,
2006-12-01,38493,169,314,1,37248,,29500,163
2007-01-01,38424,,313,,33560,8,26152,
2007-02-01,35921,147,293,1,33254,18,26161,113
2007-03-01,37179,,313,,39083,,30293,
2007-04-01,38972,,322,,37499,6,29418,
2007-05-01,41652,,332,,42407,,33301,
2007-06-01,42176,,339,,47564,,37004,
2007-07-01,42743,,345,,47400,,36898,
2007-08-01,43228,,351,,44654,,34919,
2007-09-01,41079,,332,,37986,,29796,
2007-10-01,48824,,375,,45055,,34418,
2007-11-01,45175,,356,,43656,,33577,
2007-12-01,38329,,338,,37937,36,29744,
2008-01-01,40211,,352,,35946,32,28205,
2008-02-01,38598,,339,,36275,16,28446,
2008-03-01,38534,,337,,41721,16,32438,
2008-04-01,35817,,320,,37592,18,28824,
2008-05-01,37135,,331,,38034,12,29575,
2008-06-01,40649,,342,,46157,24,36128,
2008-07-01,41032,,346,,46999,33,36499,
2008-08-01,39634,,333,,41952,22,32451,
2008-09-01,35072,,281,,34916,30,25630,
2008-10-01,42010,,324,,42735,42,31599,
2008-11-01,38222,,309,,37346,83,27540,
2008-12-01,35097,,292,,37704,81,27946,
2009-01-01,32531,,291,,31229,45,23194,
2009-02-01,30099,,270,,27778,39,20843,
2009-03-01,36425,,321,,37403,39,28344,
2009-04-01,35499,,314,,38197,39,28811,
2009-05-01,37110,,322,,40167,70,30450,
2009-06-01,38480,,336,,45883,107,34982,
2009-07-01,39027,,351,,47140,98,35621,
2009-08-01,39726,,360,,42073,41,31941,
2009-09-01,35647,,323,,36706,52,27153,
2009-10-01,36529,,331,,39558,52,29112,
2009-11-01,33927,,305,,36125,41,26474,
2009-12-01,31743,,291,,34426,101,25274,
2010-01-01,38877,,368,,36054,42,27283,
2010-02-01,35161,,327,,32387,37,24498,
2010-03-01,44187,,408,,43080,47,32868,
2010-04-01,40677,,375,,42738,18,32105,
2010-05-01,44897,,411,,46835,11,35381,
2010-06-01,52445,,458,,59477,4,46430,
2010-07-01,49966,,424,,56915,,43958,
2010-08-01,52322,,443,,49794,,38519,
2010-09-01,49057,,421,,47451,,36109,
2010-10-01,49408,,423,,51790,,39239,
2010-11-01,53681,,441,,51906,,39924,
2010-12-01,47428,,410,,48845,,37354,
2011-01-01,38892,,332,,37539,,28547,
2011-02-01,37020,,317,,36963,,28181,
2011-03-01,41572,,379,,45002,,34020,
2011-04-01,43054,,387,,45114,,34623,
2011-05-01,48840,,423,,54519,,42238,
2011-06-01,52012,,438,,61081,,48123,
2011-07-01,51755,,438,,60840,,47524,
2011-08-01,55814,,462,,55124,,43653,
2011-09-01,44802,,364,,46292,,35055,
2011-10-01,44438,,361,,46164,,34687,
2011-11-01,44553,,364,,48059,24,36302,
2011-12-01,47889,,399,,46923,36,36139,
2012-01-01,43543,,375,,38755,42,29291,
2012-02-01,40122,,352,,37846,31,28245,
2012-03-01,40544,,369,,42611,57,31418,
2012-04-01,47231,,400,,46752,10,35927,
2012-05-01,47162,,403,,47733,89,36602,
2012-06-01,52386,,429,,59064,128,46530,
2012-07-01,60321,,490,,62236,165,50025,
2012-08-01,67497,,533,,60947,118,49212,
2012-09-01,57282,,468,,50225,106,40006,
2012-10-01,54906,,460,,53558,132,42577,
2012-11-01,52641,,439,,51301,5,40473,
2012-12-01,43596,,370,,44300,,34209,
2013-01-01,49007,,412,,41150,,32418,
2013-02-01,49993,,414,,43306,,34841,
2013-03-01,59324,,485,,54557,1,43583,
2013-04-01,58811,,490,,53337,73,43096,
2013-05-01,57582,,485,,54166,136,44337,
2013-06-01,61777,,523,,63074,212,51482,
2013-07-01,61584,,523,,62971,170,51384,
2013-08-01,62507,,530,,56912,207,46499,
2013-09-01,50232,,437,,43532,103,34300,
2013-10-01,53072,,455,,53898,154,42620,
2013-11-01,47982,,416,,46318,139,36330,
2013-12-01,41313,,367,,44398,200,34552,
2014-01-01,41948,,374,,38345,134,30185,
2014-02-01,42680,,372,,42759,96,34009,
2014-03-01,56540,,485,,63120,132,50498,
2014-04-01,56983,,472,,61745,122,49923,
2014-05-01,60579,,511,,67202,152,54227,
2014-06-01,61004,,501,,70524,118,56686,
2014-07-01,62756,,508,,72258,244,58247,
2014-08-01,62372,,507,,67371,229,54309,
2014-09-01,55410,,459,,56197,149,44760,
2014-10-01,61187,,505,,62847,70,50764,
2014-11-01,54310,,448,,52274,56,41255,
2014-12-01,54075,,448,,54497,56,42850,
2015-01-01,49662,,412,,49439,44,39265,
2015-02-01,47860,,408,,47032,11,37280,
2015-03-01,53028,,457,,58213,64,45767,
2015-04-01,50327,,445,,55689,121,43609,
2015-05-01,53950,,476,,60691,113,48251,
2015-06-01,61374,,518,,71355,149,57370,
2015-07-01,64652,168,540,1,71255,272,57782,121
2015-08-01,62535,,527,,63316,233,51075,
2015-09-01,59773,,497,,62313,129,50264,
2015-10-01,54964,,465,,60708,111,48252,
2015-11-01,46797,,403,,53679,75,41930,
2015-12-01,57599,,480,,58539,110,48523,
2016-01-01,50596,,427,,48845,62,39705,
2016-02-01,49898,,415,,45140,42,36793,
2016-03-01,53335,,464,,55178,61,43628,
2016-04-01,46759,,423,,53031,71,41085,
2016-05-01,51717,,467,,58062,151,45929,
2016-06-01,52237,,454,,60414,111,47768,
2016-07-01,62331,,529,,66747,132,53590,
2016-08-01,62065,154,523,1,53700,67,43363,144
2016-09-01,56223,,473,,56276,102,45337,
2016-10-01,57254,,494,,56683,84,45106,
2016-11-01,50854,,449,,52660,175,41844,
2016-12-01,45622,,410,,49292,162,38634,
2017-01-01,45744,,426,,45733,,36093,
2017-02-01,42671,,395,,45155,,35707,
2017-03-01,45325,,408,,50873,,40137,
