Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,22438,,242,,23585,,13307,
2002-11-01,21556,,232,,23984,,13553,
2002-12-01,21295,,237,,27425,79,15159,
2003-01-01,21758,,241,,20001,79,11290,
2003-02-01,19287,,215,,23149,85,12967,
2003-03-01,20530,,235,,22079,82,12377,
2003-04-01,16215,,183,,18624,,10895,
2003-05-01,16412,,181,,18275,,10861,
2003-06-01,17669,,201,,21426,,12722,
2003-07-01,18181,,207,,23664,,14047,
2003-08-01,17399,,206,,20744,,12322,
2003-09-01,16157,,201,,17298,,10237,
2003-10-01,17544,,208,,19402,,11525,
2003-11-01,15822,,195,,17623,,10468,
2003-12-01,18217,,208,,21252,,12624,
2004-01-01,25081,,243,,18093,,12400,
2004-02-01,28330,,265,,23425,,17398,
2004-03-01,31531,,297,,25191,,19185,
2004-04-01,30151,,287,,26677,,19728,
2004-05-01,31483,,292,,24247,,18108,
2004-06-01,30047,,283,,27901,,21688,
2004-07-01,31037,,297,,31022,,24117,
2004-08-01,30855,,295,,27461,,21414,
2004-09-01,29541,,281,,25676,,19556,
2004-10-01,31252,,300,,23989,,18050,
2004-11-01,30100,,287,,25648,,19191,
2004-12-01,29930,,293,,28188,,21069,
2005-01-01,26624,,271,,20502,,15611,
2005-02-01,27093,,278,,24297,,18121,
2005-03-01,30399,,309,,29406,,22527,
2005-04-01,28558,,296,,21760,,16333,
2005-05-01,30544,,315,,24353,,18597,
2005-06-01,29740,,296,,29793,,23448,
2005-07-01,30394,,297,,32259,,25668,
2005-08-01,31783,,316,,30841,,24677,
2005-09-01,11484,,161,,14207,,8439,
2005-10-01,12505,,174,,14764,,8770,
2005-11-01,13086,,183,,16803,,9981,
2005-12-01,14450,,169,,17946,,10660,
2006-01-01,14254,,169,,14313,4,8504,
2006-02-01,13410,,162,,17283,23,10045,
2006-03-01,14927,,177,,19393,11,11526,
2006-04-01,13675,,166,,16429,11,9765,
2006-05-01,11530,,137,,13993,25,8327,
2006-06-01,16927,,165,,19691,23,14498,
2006-07-01,14160,,157,,18204,31,11164,
2006-08-01,13474,,151,,16477,19,9788,
2006-09-01,19692,,192,,17448,,12842,
2006-10-01,21893,,209,,20613,62,15381,
2006-11-01,18612,,175,,18445,96,13538,
2006-12-01,19455,,183,,19830,64,15024,
2007-01-01,16084,,139,,12834,14,10648,
2007-02-01,13327,,118,,13546,,10699,
2007-03-01,13947,,118,,13804,,11340,
2007-04-01,15396,,140,,14477,5,11191,
2007-05-01,17476,,168,,17081,23,12738,
2007-06-01,18917,,175,,21392,18,16355,
2007-07-01,19026,,176,,22914,16,17461,
2007-08-01,18875,,177,,22617,10,16906,
2007-09-01,17753,,163,,16847,13,13204,
2007-10-01,20949,,198,,20037,17,15378,
2007-11-01,18136,,166,,18448,22,14128,
2007-12-01,12316,,105,,11868,,9904,
2008-01-01,10890,,85,,8670,,7963,
2008-02-01,12066,,101,,12337,,10152,
2008-03-01,12136,,93,,12000,,10812,
2008-04-01,12176,,104,,12386,,10311,
2008-05-01,12894,,112,,13226,,10968,
2008-06-01,16038,,141,,17716,,14246,
2008-07-01,16478,,145,,18803,,14967,
2008-08-01,16978,,149,,19186,,15320,
2008-09-01,23058,,220,,24629,,18463,
2008-10-01,24288,,231,,27085,24,19905,
2008-11-01,20187,,187,,20981,,15584,
2008-12-01,20275,,189,,23006,,17138,
2009-01-01,22894,,209,,25315,,18744,
2009-02-01,20581,,183,,24823,63,18333,
2009-03-01,24706,,193,,27232,,21534,
2009-04-01,43423,,373,,49299,,37163,
2009-05-01,44063,27763,394,30,48257,6693,36930,25018
2009-06-01,40732,27245,378,30,47326,7000,35563,25551
2009-07-01,42016,28720,368,31,49434,7135,38349,26049
2009-08-01,41518,28720,362,31,47224,7111,36489,26396
2009-09-01,33798,27793,313,30,39970,7112,27636,26200
2009-10-01,38284,40474,333,37,46243,8124,32842,34454
2009-11-01,41052,69083,339,51,41734,9755,31440,50524
2009-12-01,41357,71991,342,53,44207,11624,33692,61881
2010-01-01,603302,371030,5091,334,497948,67505,459070,304350
2010-02-01,547176,348692,4459,366,479307,63708,449206,256706
2010-03-01,642292,395901,5218,443,606815,84185,563112,334840
2010-04-01,621728,373765,5277,372,587364,72157,528190,309605
2010-05-01,644320,416817,5347,352,598899,82317,544348,378870
2010-06-01,697599,541570,5557,436,663837,104125,618891,510007
2010-07-01,715557,560279,5472,451,663165,99273,636709,483129
2010-08-01,697901,551132,5465,433,647413,95701,608623,470793
2010-09-01,631153,472074,4844,339,540636,80272,505132,410498
2010-10-01,648742,488639,4898,354,594596,83063,554237,432712
2010-11-01,612714,428875,4707,340,544183,68660,497933,339865
2010-12-01,621400,496915,4453,400,525235,83925,500642,416252
2011-01-01,595945,509746,4207,415,448766,79876,443476,391633
2011-02-01,523729,433056,3668,379,425644,62527,422723,290600
2011-03-01,628667,519759,4321,481,549273,82497,538362,375096
2011-04-01,585760,508754,4168,456,516178,82051,494353,378418
2011-05-01,594322,506676,4387,401,540993,92450,504467,455820
2011-06-01,633061,613861,4387,449,569652,108880,554796,553494
2011-07-01,680141,715114,4681,515,617793,109328,609367,561609
2011-08-01,644548,697712,4441,506,579999,109865,567582,563574
2011-09-01,571084,538596,3936,394,492491,85822,482478,438144
2011-10-01,602839,550159,4079,390,536985,84114,524826,447235
2011-11-01,579910,477511,4014,363,512322,71557,495608,362344
2011-12-01,594073,521261,4038,423,502427,88947,492637,443474
2012-01-01,540198,540173,3572,419,415358,77558,420128,393471
2012-02-01,508297,491823,3366,422,429555,71571,432741,349323
2012-03-01,599030,558653,3846,503,527484,93402,533130,436357
2012-04-01,566824,532028,3729,412,498489,75530,490412,388723
2012-05-01,561240,628364,3814,462,499906,102278,484356,549251
2012-06-01,623526,696029,4052,509,555414,121891,556563,635137
2012-07-01,650436,713698,4222,518,580818,108014,583982,561285
2012-08-01,639983,717995,4313,525,587570,112289,571695,594498
2012-09-01,577271,602511,3865,452,481963,97542,470557,501300
2012-10-01,603162,526935,4043,416,544037,88688,532284,446524
2012-11-01,593298,490801,4046,387,525429,80903,504247,399625
2012-12-01,577402,526903,3722,437,465780,96221,472732,465008
2013-01-01,559661,547433,3721,443,436884,86117,436081,426645
2013-02-01,517684,499124,3398,433,433127,76799,431528,368189
2013-03-01,664198,577830,4196,525,579587,103973,583844,477696
2013-04-01,632469,567813,4175,432,519415,86355,508071,440543
2013-05-01,618679,588771,4217,438,545441,105813,528303,545382
2013-06-01,662945,617426,4367,465,584649,113627,577839,571388
2013-07-01,687952,653046,4598,513,600785,109793,598895,546902
2013-08-01,672405,653668,4554,516,593564,116565,585664,577431
2013-09-01,593188,599517,4156,451,512583,100012,486521,503119
2013-10-01,633018,585303,4406,461,563278,98490,532378,500195
2013-11-01,599734,521877,4238,431,509455,83497,476067,407876
2013-12-01,585184,550210,3940,482,523950,103446,517092,498143
2014-01-01,569939,538580,3706,477,447550,90138,449380,437945
2014-02-01,513568,469008,3411,423,451099,78753,444968,375006
2014-03-01,664513,580933,4336,538,588281,100430,575767,463099
2014-04-01,627899,576151,4207,468,570510,93794,547001,453889
2014-05-01,648026,626663,4473,502,596925,115942,560252,571648
2014-06-01,636639,670407,4473,535,595675,126660,558959,606380
2014-07-01,655371,690034,4632,554,615069,111584,590433,538882
2014-08-01,647429,681966,4598,537,605200,116683,575667,575251
2014-09-01,586169,644934,4246,486,545745,106124,504741,524837
2014-10-01,624866,593762,4409,453,593074,92803,552344,473395
