Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,89512,,702,,76077,,65479,
2002-11-01,84447,,661,,69605,,58746,
2002-12-01,92554,,658,,80240,,69594,
2003-01-01,92643,,674,,59481,,53765,
2003-02-01,74198,,532,,57800,,51783,
2003-03-01,87540,,639,,60345,,54506,
2003-04-01,83498,,594,,65672,,56274,
2003-05-01,89887,,648,,65369,,56718,
2003-06-01,79089,,598,,66294,,58272,
2003-07-01,93351,,633,,81982,,74322,
2003-08-01,94743,,646,,87332,,78720,
2003-09-01,89219,,604,,53165,,46522,
2003-10-01,94168,,651,,69369,,61087,
2003-11-01,89522,,615,,70613,,61906,
2003-12-01,86972,,616,,74218,,66479,
2004-01-01,91836,,666,,58425,,53050,
2004-02-01,87737,,640,,62507,,56854,
2004-03-01,93083,,682,,67517,,61911,
2004-04-01,92723,,666,,72888,45,64054,
2004-05-01,84728,,628,,62652,13,54140,
2004-06-01,74378,,579,,66564,,58459,
2004-07-01,75275,,584,,75174,,65280,
2004-08-01,76312,,594,,69765,,60757,
2004-09-01,65485,,523,,50032,,43108,
2004-10-01,73161,,577,,59565,,50887,
2004-11-01,72523,,570,,60255,,50484,
2004-12-01,73699,,575,,64780,,56287,
2005-01-01,68056,,537,,55552,,49058,
2005-02-01,67626,,562,,54177,,48365,
2005-03-01,71666,,584,,59781,,54144,
2005-04-01,70941,,581,,59124,,50986,
2005-05-01,74608,,617,,58636,,50840,
2005-06-01,71843,,566,,61426,,54983,
2005-07-01,71968,,571,,68423,,60936,
2005-08-01,73122,,575,,66220,,60331,
2005-09-01,59327,,454,,45338,135,42158,
2005-10-01,59353,,454,,45760,96,42250,
2005-11-01,57332,,447,,47300,49,42696,
2005-12-01,54119,,436,,47566,,43048,
2006-01-01,54137,,424,,41137,,38277,
2006-02-01,49067,,387,,40109,,36977,
2006-03-01,58558,,448,,46969,,44712,
2006-04-01,55039,,416,,46009,,42356,
2006-05-01,53610,,385,,40513,,38548,
2006-06-01,53300,,363,,46428,68,45737,
2006-07-01,51332,,361,,46451,81,45574,
2006-08-01,53530,,375,,46112,85,45202,
2006-09-01,54971,,359,,37034,60,36701,
2006-10-01,61250,,397,,45036,91,44266,
2006-11-01,57583,,361,,45623,146,44223,
2006-12-01,57967,,365,,46911,,46178,
2007-01-01,52887,,326,,36628,61,38795,
2007-02-01,46390,,280,,32379,113,34384,
2007-03-01,51548,,304,,41009,208,43127,
2007-04-01,50992,,297,,40609,167,41210,
2007-05-01,47865,,282,,37812,36,38961,
2007-06-01,50487,,308,,45444,24,46156,
2007-07-01,51717,,322,,49138,19,49152,
2007-08-01,54611,,335,,50455,25,50687,
2007-09-01,50706,,314,,35835,5,36718,
2007-10-01,54610,,328,,42426,17,42091,
2007-11-01,52625,,313,,43257,,41627,
2007-12-01,51753,,316,,42136,,40992,
2008-01-01,50127,,313,,36800,,37869,
2008-02-01,48468,,299,,36172,,37664,
2008-03-01,53684,,325,,43893,,44851,
2008-04-01,50798,,308,,38800,,38610,
2008-05-01,47745,,306,,37683,,37852,
2008-06-01,49523,,309,,42128,150,43472,
2008-07-01,52271,,316,,48112,294,48811,
2008-08-01,52700,,319,,46759,258,47751,
2008-09-01,45346,,295,,37171,120,34900,
2008-10-01,47338,,307,,40290,174,37300,
2008-11-01,44759,,286,,37478,58,34165,
2008-12-01,48500,,305,,42129,38,39993,
2009-01-01,47157,,300,,33274,74,33627,
2009-02-01,44857,,284,,32102,48,32680,
2009-03-01,50291,,316,,35721,110,36730,
2009-04-01,47937,,305,,38772,20,38179,
2009-05-01,45953,794,308,1,37056,248,37009,753
2009-06-01,49170,23807,313,30,41056,5698,42257,20519
2009-07-01,52056,24601,331,31,47878,5730,49026,19229
2009-08-01,52349,24601,341,31,46952,6387,47794,21887
2009-09-01,45475,23014,323,29,37587,5984,35429,21500
2009-10-01,47145,23803,333,30,40537,6358,37667,22392
2009-11-01,45191,23006,318,29,36200,5683,33501,20556
2009-12-01,44749,24586,306,31,36885,6173,35799,22476
2010-01-01,51451,24590,418,31,37043,4468,34637,16127
2010-02-01,43211,21328,343,27,32289,3483,30949,12576
2010-03-01,53165,24487,418,31,45194,5101,42937,18391
2010-04-01,56905,19744,487,25,45741,4592,40407,16332
2010-05-01,58770,23697,475,30,47770,6213,43139,21964
2010-06-01,65228,23697,542,30,58487,6190,53624,22125
2010-07-01,65350,24491,522,31,64588,5740,59859,20625
2010-08-01,67283,24487,551,31,63278,6294,58364,22004
2010-09-01,61732,22911,525,29,46813,5986,42275,21298
2010-10-01,61041,24681,518,31,48207,6576,42976,23343
2010-11-01,58918,26660,500,30,45035,6921,39832,24571
2010-12-01,54173,25771,444,29,42441,6410,39444,23302
2011-01-01,48761,27749,394,31,32907,5013,31962,17963
2011-02-01,46231,23979,359,27,31178,4210,31258,14562
2011-03-01,51429,26802,398,31,37681,5815,37235,20490
2011-04-01,49736,22981,397,30,42689,5549,39819,20293
2011-05-01,53878,23694,442,31,45316,6094,41619,21971
2011-06-01,58430,25258,469,33,50684,6735,48460,22939
2011-07-01,65249,28267,513,37,61208,7080,58381,23403
2011-08-01,61926,21442,506,28,59586,6147,55316,19885
2011-09-01,57953,22960,491,30,47026,6247,42881,21388
2011-10-01,59914,22974,503,30,47778,6312,44128,21201
2011-11-01,57305,16046,500,21,48991,4007,43540,13922
2011-12-01,49671,16810,433,22,43019,4268,38441,14968
2012-01-01,47911,16046,387,21,33343,2991,32129,10569
2012-02-01,46121,15282,369,20,32567,2648,31769,9422
2012-03-01,50369,18474,397,24,40910,4318,39911,15341
2012-04-01,47096,22985,394,30,42672,5925,38865,20605
2012-05-01,49178,23775,414,31,45275,6269,40458,22155
2012-06-01,50150,22960,424,30,48317,6128,42880,21654
2012-07-01,50074,23680,430,31,50155,6337,44302,20985
2012-08-01,50874,23691,438,31,50687,6802,44902,21801
2012-09-01,48444,22996,421,30,41802,6297,35991,21150
2012-10-01,44359,19947,401,26,42552,5202,36214,18565
2012-11-01,48123,16807,433,22,43978,3817,36912,13348
2012-12-01,39166,15286,346,20,36834,4057,32469,14094
2013-01-01,32577,17578,272,23,28738,3944,26150,14032
2013-02-01,28648,14421,240,19,25289,2994,23368,10609
2013-03-01,35426,16788,316,22,35555,4259,30857,15030
2013-04-01,39943,22035,364,29,35685,5307,29950,19110
2013-05-01,40985,22821,376,30,40184,6114,33545,21472
2013-06-01,39416,45946,339,60,38084,11900,34366,42825
2013-07-01,40980,46734,338,61,41396,11177,38170,39787
2013-08-01,42401,47523,355,62,42096,12355,38507,43714
2013-09-01,47896,46000,421,60,41986,12257,35414,43242
2013-10-01,49870,45942,440,59,45427,11249,38752,40325
