Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,175563,,1185,,154504,,129003,
2002-11-01,182683,,1222,,161916,,138293,
2002-12-01,188228,,1224,,168112,,143077,
2003-01-01,198898,,1199,,167313,,144762,
2003-02-01,175664,,1066,,157353,,135431,
2003-03-01,197740,,1195,,186748,,162061,
2003-04-01,176225,,1053,,162189,,138174,
2003-05-01,169660,,994,,146042,,127368,
2003-06-01,152884,,893,,142443,,119872,
2003-07-01,167192,209,934,1,154204,,130901,192
2003-08-01,167214,,916,,156785,,134414,
2003-09-01,177597,,909,,117662,,100127,
2003-10-01,201465,,982,,147994,,132630,
2003-11-01,195944,,949,,154826,,140311,
2003-12-01,194935,,948,,149530,,137607,
2004-01-01,185690,,919,,159652,,145452,
2004-02-01,196667,,987,,163803,,146973,
2004-03-01,209669,,1050,,182901,,167961,
2004-04-01,203648,,1017,,171989,,159302,
2004-05-01,188946,,970,,160336,,144037,
2004-06-01,194957,,957,,163107,,153405,
2004-07-01,195546,70,967,1,169981,,159639,68
2004-08-01,194324,,963,,163550,,153363,
2004-09-01,135250,,696,,96813,,86394,
2004-10-01,190957,,963,,141984,,126726,
2004-11-01,188045,,948,,149605,,135132,
2004-12-01,193393,,947,,143647,,133553,
2005-01-01,196012,,941,,159845,,153633,
2005-02-01,193152,,961,,149690,,144071,
2005-03-01,211659,,1060,,187672,,181018,
2005-04-01,207749,,1039,,172994,,165613,
2005-05-01,211269,,1058,,164272,,162133,
2005-06-01,194824,208,951,1,154170,,156743,177
2005-07-01,197162,,967,,165563,,167321,
2005-08-01,192121,,944,,147656,,149392,
2005-09-01,155071,,741,,107873,,105724,
2005-10-01,153509,,720,,97246,,98631,
2005-11-01,223372,,1027,,137078,,141429,
2005-12-01,203256,26,976,1,135439,,141108,26
2006-01-01,198381,,964,,149375,,152587,
2006-02-01,179520,,875,,129669,,130817,
2006-03-01,216529,,1032,,162576,,168122,
2006-04-01,207670,,991,,155162,,162623,
2006-05-01,157803,26,805,1,122252,84,121292,23
2006-06-01,157312,,801,,126702,14,127596,
2006-07-01,161571,26,822,1,132194,,134403,19
2006-08-01,156363,,805,,116809,,118087,
2006-09-01,135505,,780,,90892,,86269,
2006-10-01,141651,,830,,104793,,99495,
2006-11-01,143330,,836,,117876,,112070,
2006-12-01,156350,249,907,1,124737,,121163,249
2007-01-01,157459,,927,,128521,,125474,
2007-02-01,138844,,819,,109598,,104738,
2007-03-01,152288,,903,,133112,,125637,
2007-04-01,139170,,846,,124475,55,117476,
2007-05-01,128795,,813,,111876,152,106491,
2007-06-01,130713,3938,808,25,111663,1173,109159,1523
2007-07-01,136715,4170,834,32,121573,1637,119860,1514
2007-08-01,134369,3578,824,28,115723,1203,113710,952
2007-09-01,114172,99,718,1,82464,118,76927,58
2007-10-01,119273,,778,,97565,98,88874,
2007-11-01,123903,,781,,100254,106,92960,
2007-12-01,141429,,879,,110485,62,104862,
2008-01-01,136681,853,870,1,119242,58,110503,837
2008-02-01,131166,155,831,1,110989,67,101696,155
2008-03-01,149670,46,925,1,140925,79,129517,6
2008-04-01,127307,214,821,1,120002,33,108237,151
2008-05-01,113357,,756,,109772,35,98280,
2008-06-01,95842,209,677,1,98236,118,83481,194
2008-07-01,95636,,682,,102180,150,86139,
2008-08-01,93556,,677,,99207,147,84129,
2008-09-01,74758,,579,,74611,77,56765,
2008-10-01,84543,,645,,91851,110,70434,
2008-11-01,89412,,663,,98763,199,75068,
2008-12-01,116317,,798,,109387,141,91545,
2009-01-01,124542,,844,,117564,218,102839,
2009-02-01,112591,299,761,1,103586,183,90746,292
2009-03-01,124666,299,836,1,119352,235,106218,297
2009-04-01,78707,,582,,88960,207,69887,
2009-05-01,72286,280,569,1,84721,155,62341,91
2009-06-01,76720,,542,,82328,75,68993,
2009-07-01,100640,,703,,102297,74,91798,
2009-08-01,102549,,726,,102307,99,91578,
2009-09-01,79635,,632,,75028,18,57878,
2009-10-01,82042,,642,,82165,33,62927,
2009-11-01,85681,187,645,1,88316,33,69465,172
2009-12-01,108250,,784,,95258,21,80926,
2010-01-01,166689,,1075,,146631,66,135825,
