Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,57330,,489,,54284,,38752,
2002-11-01,52575,,457,,48457,,33804,
2002-12-01,51930,,442,,51132,,38562,
2003-01-01,53192,,466,,41530,,30618,
2003-02-01,42304,,376,,37014,,25696,
2003-03-01,52200,,462,,42727,,30511,
2003-04-01,50017,,456,,45715,,30597,
2003-05-01,41751,,414,,45282,,29725,
2003-06-01,40136,,409,,46448,,31042,
2003-07-01,40760,,417,,47729,,32373,
2003-08-01,40825,,425,,46819,,31338,
2003-09-01,39005,,375,,36138,,23136,
2003-10-01,42374,,393,,45699,,29384,
2003-11-01,46400,,402,,42463,,28215,
2003-12-01,44866,,410,,44502,,30091,
2004-01-01,51537,,445,,35600,,25657,
2004-02-01,51246,,432,,37849,,27638,
2004-03-01,56202,,484,,45423,,33520,
2004-04-01,53962,,468,,45668,,32835,
2004-05-01,41076,,378,,35592,,25310,
2004-06-01,41911,,381,,41937,,30869,
2004-07-01,42419,,398,,47015,,33590,
2004-08-01,42676,,395,,37907,,28602,
2004-09-01,39268,,364,,26472,,19831,
2004-10-01,42113,,386,,35943,,25818,
2004-11-01,40365,,371,,36022,,25789,
2004-12-01,38418,,360,,35318,,26947,
2005-01-01,36195,,333,,27864,,21929,
2005-02-01,33717,,287,,27335,,21461,
2005-03-01,38093,,331,,37447,,29317,
2005-04-01,35772,,313,,31109,,23953,
2005-05-01,37018,,323,,32880,,25319,
2005-06-01,34950,,300,,35413,,28567,
2005-07-01,35206,,305,,38544,,30657,
2005-08-01,36397,,312,,35139,,28313,
2005-09-01,31097,,263,,25830,,20331,
2005-10-01,33110,,283,,28935,,22827,
2005-11-01,30668,,270,,28325,,21744,
2005-12-01,34370,,318,,33222,,24655,
2006-01-01,33144,,317,,29661,37,21385,
2006-02-01,28072,,256,,26147,41,19918,
2006-03-01,33680,,308,,34116,53,26311,
2006-04-01,32979,,300,,32924,107,24904,
2006-05-01,28071,,249,,24954,,18983,
2006-06-01,32548,812,288,4,33569,684,26612,738
2006-07-01,34990,812,314,4,34268,1076,27813,747
2006-08-01,35916,812,321,4,34611,897,27652,723
2006-09-01,31986,203,285,1,26951,104,19959,84
2006-10-01,32974,,298,,30471,77,22618,
2006-11-01,32874,385,304,2,31043,303,22706,307
2006-12-01,33300,959,306,5,31543,695,24440,842
2007-01-01,33481,769,273,4,24365,622,20334,720
2007-02-01,28823,577,243,3,23467,641,19005,559
2007-03-01,33209,961,286,5,33355,750,26876,902
2007-04-01,32369,769,267,4,30134,548,24430,681
2007-05-01,30240,769,243,4,27183,535,22757,658
2007-06-01,33573,961,292,5,36501,651,29667,868
2007-07-01,33254,769,290,4,35571,502,29750,680
2007-08-01,33917,577,291,3,34247,311,29103,421
2007-09-01,30427,,259,,23933,,19088,
2007-10-01,34935,,291,,31081,,24010,
2007-11-01,33423,577,270,3,29710,369,22714,500
2007-12-01,28497,961,251,5,27372,621,20660,841
2008-01-01,29351,769,254,4,23482,484,17889,655
2008-02-01,27507,769,221,4,21275,561,17230,760
2008-03-01,28086,961,221,5,26193,652,21168,883
2008-04-01,26952,769,215,4,21639,528,16554,715
2008-05-01,25812,960,193,5,21251,598,18281,810
2008-06-01,33011,769,242,4,29759,605,27188,693
2008-07-01,32939,769,240,4,32171,571,29781,670
2008-08-01,31725,769,243,4,29948,550,27198,672
2008-09-01,26909,,268,,26096,,18157,
2008-10-01,28273,,285,,31372,,21260,
2008-11-01,27217,577,267,3,27607,365,18263,494
2008-12-01,29383,769,259,4,29867,536,23595,689
2009-01-01,27527,961,255,5,25340,564,18568,764
2009-02-01,20972,769,192,4,17431,515,13071,697
2009-03-01,24887,769,221,4,22139,518,17330,701
2009-04-01,25085,769,230,4,25778,506,19459,685
2009-05-01,23826,960,210,5,23410,338,18644,458
2009-06-01,24758,769,222,4,26088,476,20251,645
2009-07-01,26562,769,242,4,28957,468,22163,634
2009-08-01,26799,577,251,3,28206,399,21511,540
2009-09-01,25052,,246,,23198,44,17385,
2009-10-01,24109,,244,,25902,,18486,
2009-11-01,23514,385,238,2,22898,209,15808,283
2009-12-01,17320,577,155,3,15328,514,12428,498
2010-01-01,20355,961,188,5,17086,569,12926,719
2010-02-01,17642,577,161,3,15921,382,12271,506
2010-03-01,24307,769,229,4,26804,528,19629,715
2010-04-01,24806,842,248,4,27645,530,19389,718
2010-05-01,22260,401,225,2,24894,324,17917,200
2010-06-01,23554,577,247,3,28691,792,20441,478
2010-07-01,24547,961,250,5,30710,1015,22150,867
2010-08-01,26155,385,263,2,29479,532,21540,343
2010-09-01,24888,,255,,25949,309,18696,
2010-10-01,25379,,258,,27612,347,19969,
2010-11-01,23901,,246,,25889,206,18201,
2010-12-01,21851,385,219,2,23003,423,17158,382
2011-01-01,21286,1003,211,5,19148,706,14662,686
2011-02-01,20956,795,216,4,19917,599,14941,650
2011-03-01,23635,779,240,4,24923,571,18482,653
2011-04-01,25310,971,250,5,27344,594,19702,720
2011-05-01,30017,779,287,4,29975,475,22096,643
2011-06-01,27643,769,267,4,29432,506,22246,685
2011-07-01,27976,990,263,5,31242,672,24093,910
2011-08-01,27840,385,272,2,30339,206,22909,279
2011-09-01,23360,,231,,23970,,18152,
2011-10-01,26383,343,269,1,28221,0,20464,198
2011-11-01,22665,,227,,24274,,17498,
2011-12-01,20614,604,181,3,17851,303,14523,410
2012-01-01,21614,,210,,19313,,14641,
2012-02-01,21152,394,202,2,18717,240,14219,325
2012-03-01,20377,1009,183,5,22052,683,17019,925
2012-04-01,22285,202,210,1,24388,71,18030,96
2012-05-01,23011,,215,,25784,,19284,
2012-06-01,17658,,212,,25493,,15149,
2012-07-01,15678,,209,,24306,,13206,
2012-08-01,15753,,210,,24299,,13076,
2012-09-01,11792,,154,,16595,,8926,
2012-10-01,11070,,145,,17758,,9486,
2012-11-01,12507,,162,,19304,,10278,
2012-12-01,8598,605,110,3,13054,393,7010,532
2013-01-01,12317,202,153,1,16724,74,8997,100
2013-02-01,10884,403,137,2,14932,258,8001,349
2013-03-01,8811,1009,116,5,13683,683,7333,925
2013-04-01,10310,,140,,15189,,8173,
2013-05-01,11571,,149,,17421,,9312,
2013-06-01,12110,,167,,18903,,10264,
2013-07-01,13211,,177,,20251,,10945,
2013-08-01,13870,,187,,20483,,11003,
2013-09-01,13578,,190,,18293,,9859,
2013-10-01,14487,,201,,19315,,10305,
2013-11-01,13784,,189,,19094,,10278,
2013-12-01,10648,403,151,2,16419,274,8856,371
2014-01-01,11811,807,155,4,15958,503,8520,681
2014-02-01,10198,807,143,4,14976,561,8173,760
2014-03-01,10915,1009,170,5,18204,586,9721,793
2014-04-01,13089,,175,,21710,70,11679,
2014-05-01,12372,,172,,21130,94,11389,
2014-06-01,15328,,202,,23949,90,13893,
2014-07-01,15170,,199,,23575,67,14041,
2014-08-01,15639,,203,,23723,91,13983,
2014-09-01,19118,,247,,25726,81,15459,
2014-10-01,20006,,260,,26729,,16030,
2014-11-01,17174,,218,,22977,44,13243,
2014-12-01,14450,403,190,2,19483,346,10721,372
2015-01-01,13503,1009,186,5,18627,517,9963,658
2015-02-01,12504,807,175,4,18000,512,9630,642
2015-03-01,13157,807,218,4,21707,644,11860,760
2015-04-01,14652,807,211,4,23317,597,12408,718
2015-05-01,16056,1009,220,5,24774,688,14014,814
2015-06-01,16527,807,230,4,26057,632,15233,726
2015-07-01,18518,806,241,4,27986,637,16577,735
2015-08-01,17530,1009,231,5,26437,727,15347,822
2015-09-01,19874,,244,,27150,156,16294,
2015-10-01,21815,,265,,31061,149,19200,
2015-11-01,16836,,211,,25029,126,14189,
2015-12-01,15280,403,212,2,23505,341,13057,370
2016-01-01,13266,802,191,4,19876,557,10568,612
2016-02-01,13616,807,189,4,18955,628,10249,678
2016-03-01,13107,807,195,4,21183,640,11358,772
2016-04-01,13736,1007,193,5,21751,651,11780,650
2016-05-01,18160,804,227,4,27537,527,15696,547
2016-06-01,17026,807,233,4,25309,602,14876,642
2016-07-01,17642,1009,231,5,26382,793,15616,907
2016-08-01,17647,807,228,4,24920,668,14707,616
2016-09-01,21158,,247,,27266,188,16634,
2016-10-01,21197,,245,,29064,205,17486,
2016-11-01,18269,,221,,26565,,15265,
2016-12-01,14460,1736,207,4,23481,368,12367,1608
