Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,27762,,241,,23744,,18858,
2002-11-01,26166,,228,,20879,,16269,
2002-12-01,26732,,240,,22606,,18413,
2003-01-01,26942,,242,,18554,,14748,
2003-02-01,23554,,211,,15600,,12485,
2003-03-01,26545,,234,,19222,,15486,
2003-04-01,20881,,182,,13448,,10928,
2003-05-01,24031,,212,,18049,,14734,
2003-06-01,26259,,233,,22536,,18161,
2003-07-01,26777,,236,,24417,,20172,
2003-08-01,27114,,240,,22090,,17984,
2003-09-01,26682,,239,,18640,,14886,
2003-10-01,27124,,241,,21394,,16866,
2003-11-01,25325,,230,,21150,,16891,
2003-12-01,29316,,274,,25520,,20513,
2004-01-01,27834,,273,,21746,,17702,
2004-02-01,25823,,255,,21340,,17718,
2004-03-01,28303,,282,,23508,,19491,
2004-04-01,26397,,269,,21204,,17090,
2004-05-01,27168,,269,,22293,,17950,
2004-06-01,26986,,272,,26030,,21146,
2004-07-01,29518,,294,,27837,,22827,
2004-08-01,29598,,295,,22217,,18296,
2004-09-01,28005,,281,,21439,,17284,
2004-10-01,29755,,298,,23791,,19169,
2004-11-01,28684,,287,,25159,,20253,
2004-12-01,30418,,299,,27460,,22606,
2005-01-01,27919,,261,,23305,,19802,
2005-02-01,29581,,274,,23112,,20577,
2005-03-01,32189,,293,,28138,,24788,
2005-04-01,31111,,288,,25053,,21721,
2005-05-01,30944,,290,,25182,,21768,
2005-06-01,24092,,229,,23751,,19873,
2005-07-01,23946,,228,,23230,,19362,
2005-08-01,24457,,234,,20086,,17218,
2005-09-01,25200,,215,,19592,13,17330,
2005-10-01,27875,,239,,21733,7,19180,
2005-11-01,22026,,182,,18013,,16606,
2005-12-01,28567,,245,,24928,5,21655,
2006-01-01,23549,,193,,18556,13,16933,
2006-02-01,23894,,199,,20296,,18159,
2006-03-01,25034,,213,,22655,,19461,
2006-04-01,23939,,203,,19868,,16838,
2006-05-01,24415,,202,,20922,,17646,
2006-06-01,17830,,158,,17700,,14480,
2006-07-01,16242,,148,,15430,,12615,
2006-08-01,16361,,150,,12092,,9716,
2006-09-01,17612,,156,,12533,,9857,
2006-10-01,18780,,170,,14958,,11393,
2006-11-01,19408,,172,,15845,,12184,
2006-12-01,18623,,163,,16352,,12884,
2007-01-01,16861,,155,,13187,,9894,
2007-02-01,14786,,132,,11456,,8802,
2007-03-01,14666,,124,,13588,,10770,
2007-04-01,15067,,132,,12903,,10084,
2007-05-01,13535,,117,,13440,27,10721,
2007-06-01,13601,,116,,14665,345,12301,
2007-07-01,13710,,116,,14515,553,12487,
2007-08-01,14232,122,120,1,13669,499,11771,91
2007-09-01,14641,116,130,1,12417,489,10222,70
2007-10-01,16928,,148,,14117,685,11766,
2007-11-01,16700,,145,,14340,473,11751,
2007-12-01,15366,116,156,1,14787,541,10594,109
2008-01-01,13390,,137,,11575,670,8437,
2008-02-01,10708,,109,,9091,573,6908,
2008-03-01,8298,,85,,9462,633,6939,
2008-04-01,8583,,88,,8662,638,6372,
2008-05-01,8739,,90,,9238,768,6925,
2008-06-01,8921,,91,,10504,933,7898,
2008-07-01,10646,,109,,12842,913,9460,
2008-08-01,9581,,98,,10266,753,7588,
2008-09-01,9001,,92,,7829,648,5841,
2008-10-01,11373,,115,,12250,765,9057,
2008-11-01,9360,,92,,9265,637,6822,
2008-12-01,8702,,87,,9767,504,7077,
2009-01-01,9098,,93,,8299,703,6226,
2009-02-01,8239,,84,,6912,659,5216,
2009-03-01,8921,,91,,8653,831,6599,
2009-04-01,8703,,90,,8624,628,6393,
2009-05-01,9167,,95,,9238,664,6936,
2009-06-01,8544,,88,,10207,622,7430,
2009-07-01,11072,,113,,12441,378,8832,
2009-08-01,10958,,112,,9742,549,7090,
2009-09-01,12535,,128,,11334,467,8131,
2009-10-01,13090,,136,,12045,717,8836,
2009-11-01,10188,,104,,9041,595,6639,
2009-12-01,9663,239,100,2,8807,651,6582,213
2010-01-01,24515,,229,,14830,619,13149,
2010-02-01,19986,116,185,1,12948,521,11745,95
2010-03-01,21730,233,206,2,16514,512,14612,227
2010-04-01,14390,,138,,12412,322,10366,
2010-05-01,13766,,127,,11877,260,9957,
2010-06-01,14577,,143,,16574,420,12617,
2010-07-01,14405,,141,,16337,336,12501,
2010-08-01,13125,,131,,12575,286,9211,
2010-09-01,13997,,144,,11641,231,8307,
2010-10-01,17423,,182,,15369,363,10873,
2010-11-01,18023,,174,,15526,240,11408,
2010-12-01,15492,,152,,13709,316,9964,
2011-01-01,16045,116,160,1,12151,362,8980,94
2011-02-01,15772,,154,,11815,262,8754,
2011-03-01,17480,,177,,16564,360,12258,
2011-04-01,14917,,169,,16434,227,11522,
2011-05-01,20695,,212,,21768,700,16657,
2011-06-01,22927,,227,,25260,543,19589,
2011-07-01,24077,96,227,1,25702,556,19946,93
2011-08-01,21764,,212,,19803,633,14788,
2011-09-01,17699,,179,,17398,487,12565,
2011-10-01,17115,,173,,17427,266,12226,
2011-11-01,16690,,170,,17513,269,12252,
2011-12-01,17280,,175,,17396,273,12189,
2012-01-01,15130,,153,,13730,193,9695,
2012-02-01,13923,,141,,13064,170,9176,
2012-03-01,15698,,153,,17701,242,12517,
2012-04-01,20064,,191,,20828,222,14943,
2012-05-01,19757,,180,,19768,236,14573,
2012-06-01,21409,,199,,25159,342,18706,
