Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,238514,370559,1015,463,106534,65002,155516,258766
2002-11-01,229123,308135,1020,390,100679,52666,141072,203682
2002-12-01,234248,294801,1028,375,119420,52492,176218,200512
2003-01-01,238618,275572,959,356,97775,42552,145458,163742
2003-02-01,214084,197569,817,257,93924,31488,130941,122536
2003-03-01,259936,224775,984,310,109213,37844,148268,150115
2003-04-01,238834,128102,878,185,96439,22399,135998,82977
2003-05-01,202206,186713,845,262,99762,41115,130845,156025
2003-06-01,201901,300834,840,397,115475,67758,146006,270985
2003-07-01,221481,315580,884,412,143046,64069,186788,254235
2003-08-01,216311,326954,869,430,135912,65814,175709,259256
2003-09-01,215449,342695,859,450,93956,67612,131538,269073
2003-10-01,233227,296227,923,399,119312,58838,160365,226680
2003-11-01,225999,264632,895,357,114338,51186,150959,194122
2003-12-01,222520,264835,878,356,125864,54833,168783,209414
2004-01-01,228823,259931,895,349,104613,45189,144711,172740
2004-02-01,225939,248339,901,331,111674,38563,150493,148075
2004-03-01,250304,289371,960,377,129385,59408,174581,232076
2004-04-01,294934,360450,1099,454,150657,69439,212626,273153
2004-05-01,317759,372475,1174,469,148928,78532,212527,310480
2004-06-01,326904,381643,1202,514,168208,90036,241648,341946
2004-07-01,343329,396065,1243,532,198226,85587,294323,313883
2004-08-01,348593,400371,1247,534,194172,87337,289890,322910
2004-09-01,315729,387169,1077,517,127786,78648,206131,306619
2004-10-01,356453,356229,1252,487,158350,69743,246042,260931
2004-11-01,351733,303904,1232,414,155398,63305,240346,230649
2004-12-01,349498,326160,1243,470,168364,73795,257195,251824
2005-01-01,340620,314242,1214,454,155900,61010,237932,215284
2005-02-01,309518,286119,1140,399,152264,54587,220090,191205
2005-03-01,341549,366638,1261,496,182023,82827,261180,300834
2005-04-01,329447,376095,1204,514,169983,79707,247344,293450
2005-05-01,366472,421112,1278,591,164191,99984,250587,370121
2005-06-01,384368,413483,1291,574,185450,98746,286108,358040
2005-07-01,421807,429476,1370,595,235958,99613,372246,346396
2005-08-01,426092,428664,1371,593,226970,94827,361024,334150
2005-09-01,372827,408959,1186,566,136575,85013,223137,324585
2005-10-01,380563,384242,1220,554,141620,78887,224035,288086
2005-11-01,347376,312835,1310,462,160582,68843,229296,240581
2005-12-01,313946,323784,1117,453,149010,73529,222140,254694
2006-01-01,294842,309311,1062,432,127957,59412,187462,207443
2006-02-01,250235,272646,920,392,114185,51684,160533,177595
2006-03-01,309856,356663,1125,502,147464,77023,209144,286826
2006-04-01,304491,347194,1114,491,151064,72748,223794,271385
2006-05-01,308889,447279,1015,598,118529,96720,194373,371619
2006-06-01,335083,518961,1082,660,148652,121946,243676,461640
2006-07-01,354612,551425,1122,698,183702,117125,308269,433114
2006-08-01,364700,576492,1138,723,174349,118190,302332,441080
2006-09-01,276594,556753,981,700,111779,113878,192358,441799
2006-10-01,294153,541978,1028,689,132993,100594,222603,382001
2006-11-01,294336,496197,1004,599,133516,93284,222888,376114
2006-12-01,313501,531948,1083,668,143562,106475,233843,423268
2007-01-01,314890,512194,1123,663,123568,90120,205949,360201
2007-02-01,280500,438785,1006,574,114853,74569,190300,289181
2007-03-01,333376,548695,1199,709,153773,111618,256085,432825
2007-04-01,333541,587074,1186,760,156021,111792,267423,435366
2007-05-01,340790,631718,1216,808,151682,120879,262693,494386
2007-06-01,355452,714748,1260,918,173538,151802,306011,601698
2007-07-01,380842,748819,1356,959,201028,150748,350416,577353
2007-08-01,389137,750572,1375,947,198810,152343,349210,585970
2007-09-01,376177,695779,1319,854,153501,137081,277800,564940
2007-10-01,390137,635272,1347,775,169245,113706,301567,469477
2007-11-01,384128,569365,1352,727,165803,107305,288408,430011
2007-12-01,376238,604140,1359,792,167143,125410,286947,491471
2008-01-01,341064,584306,1279,773,145610,103960,249113,407565
2008-02-01,322141,529573,1220,728,138117,94800,230954,354511
2008-03-01,367478,648338,1371,861,175799,133081,299010,508501
2008-04-01,359400,739332,1340,940,173360,142282,290987,554588
2008-05-01,375625,797803,1423,1003,183776,163021,311844,661605
2008-06-01,394961,879483,1437,1108,196185,182666,339160,729855
2008-07-01,407533,955629,1477,1235,219704,194004,376285,751895
2008-08-01,397356,949314,1438,1212,203661,194460,350171,764841
2008-09-01,367064,824504,1321,981,174689,161547,313229,671892
2008-10-01,377638,775788,1367,926,186788,143618,325092,608861
2008-11-01,361651,614620,1314,790,172217,116179,297810,455865
2008-12-01,358270,665650,1338,883,181022,137240,303811,518740
2009-01-01,372772,615249,1402,805,160523,105219,272194,413443
2009-02-01,352267,527815,1337,695,151133,84280,250674,325484
2009-03-01,406354,612720,1536,812,185652,116103,311861,452661
2009-04-01,406543,608464,1543,805,205809,126916,347135,489258
2009-05-01,411097,668829,1595,854,209293,143584,352867,575766
2009-06-01,421442,819831,1703,1017,224781,173030,369444,694859
2009-07-01,440099,923885,1714,1211,254316,204478,416355,781154
2009-08-01,437543,919945,1715,1193,245570,203026,401915,779428
2009-09-01,392752,833391,1457,1039,184125,176204,324138,706087
2009-10-01,406644,761371,1397,927,191904,157247,347308,636233
2009-11-01,392642,631368,1377,783,174194,125402,307492,493005
2009-12-01,398864,657135,1405,860,186335,147648,325990,549656
2010-01-01,424475,642150,1630,813,183802,114380,306766,448458
2010-02-01,374548,543633,1436,692,162902,98426,270998,376795
2010-03-01,440989,648789,1675,822,215011,135944,358825,526428
2010-04-01,432475,674064,1575,806,198093,139958,346823,555139
2010-05-01,452747,824281,1662,996,218157,181470,380040,729697
2010-06-01,454373,1064419,1604,1198,226348,233738,403591,948725
2010-07-01,479725,1110479,1668,1277,251951,240280,448374,943331
2010-08-01,466718,1113198,1634,1268,237360,238996,421780,950143
2010-09-01,439275,947230,1512,1054,193391,199053,355540,826954
2010-10-01,462439,926259,1583,1028,211815,183895,384313,759735
2010-11-01,426631,767096,1501,869,195380,145020,345446,594525
2010-12-01,416700,759371,1497,886,194290,157141,336674,623350
2011-01-01,419242,757449,1531,884,182286,125589,316213,510988
2011-02-01,397900,673655,1430,803,171150,102431,297373,402648
2011-03-01,478604,770463,1730,920,210623,142023,365337,563825
2011-04-01,453136,808459,1641,955,213361,159797,369800,626229
2011-05-01,463825,844177,1645,984,218834,180657,389701,735270
2011-06-01,469503,984032,1661,1165,220239,219418,394755,871064
2011-07-01,489351,1022636,1740,1221,251659,221932,447512,866812
2011-08-01,447961,950487,1577,1133,229210,212178,410218,831978
2011-09-01,436601,798302,1501,907,189642,174016,352855,708552
2011-10-01,443990,784139,1517,884,205786,155529,377350,637019
2011-11-01,419670,623280,1466,715,193902,123516,348687,503413
2011-12-01,411244,654012,1453,767,186174,139703,331631,552177
2012-01-01,408883,627181,1423,731,172370,109108,312355,449307
2012-02-01,392276,569511,1372,667,166377,94896,299436,384515
2012-03-01,463208,684689,1610,830,216485,142410,388381,559061
2012-04-01,447120,772420,1551,887,210788,159544,388140,623503
2012-05-01,463285,822923,1611,950,214813,177737,394130,713990
2012-06-01,506435,944332,1890,1140,254978,221510,438281,859841
2012-07-01,531366,992056,2025,1212,285879,223205,483689,842270
2012-08-01,524165,962723,2026,1181,283745,224073,477475,856320
2012-09-01,474212,801379,1834,940,224675,175561,386590,699175
2012-10-01,456306,716543,1752,811,235724,149719,402321,609058
2012-11-01,455507,606166,1743,742,220324,126974,368795,491861
2012-12-01,446894,628761,1682,807,220120,148810,375331,549885
2013-01-01,424608,615841,1527,813,187995,120870,334999,459564
2013-02-01,376370,537870,1352,714,163887,103836,291542,390223
2013-03-01,483897,633428,1715,853,230542,147397,411396,537703
2013-04-01,487705,702380,1705,900,207893,150950,378883,555284
2013-05-01,498685,787357,1749,992,224798,185009,410617,703084
2013-06-01,516062,952399,1826,1213,247525,231997,439352,859142
2013-07-01,542699,1035584,1928,1374,275414,249069,481988,883803
2013-08-01,544448,1018705,1938,1358,267450,249367,468435,900461
2013-09-01,495134,818420,1776,1044,217178,192313,386444,719375
2013-10-01,509706,757722,1832,988,236437,168944,412142,623086
2013-11-01,471785,619114,1631,854,201972,137609,357209,485537
2013-12-01,497536,653411,1687,943,235562,171018,425444,572054
2014-01-01,462237,633681,1555,917,202878,137641,367699,475252
