Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,146718,,624,,101822,,125565,
2002-11-01,141309,,601,,89797,,109413,
2002-12-01,159101,,644,,101008,,122254,
2003-01-01,161379,,650,,111125,,137508,
2003-02-01,145390,,589,,100699,,123330,
2003-03-01,156530,,587,,110513,,140713,
2003-04-01,147794,,565,,94520,,121146,
2003-05-01,152838,,562,,93393,,126267,
2003-06-01,156285,,630,,98514,,129817,
2003-07-01,176643,,677,,107416,,146735,
2003-08-01,192655,,719,,115401,,160826,
2003-09-01,196223,,687,,103953,,145770,
2003-10-01,225346,,776,,122059,,174314,
2003-11-01,219376,,742,,106830,,153015,
2003-12-01,236087,,789,,106259,,149974,
2004-01-01,208684,,722,,108797,,158719,
2004-02-01,196199,,680,,99751,,146988,
2004-03-01,235186,,798,,121780,,184483,
2004-04-01,216415,,700,,110369,,170534,
2004-05-01,216338,,703,,112596,,172269,
2004-06-01,225730,,752,,115635,,180239,
2004-07-01,226739,,759,,116414,,180139,
2004-08-01,223514,,756,,114340,,178198,
2004-09-01,208137,,675,,108157,,164936,
2004-10-01,223447,,713,,123162,,189053,
2004-11-01,213579,,686,,112759,,173029,
2004-12-01,212210,,714,,106819,,157053,
2005-01-01,225848,,742,,117494,1,178480,
2005-02-01,216136,,642,,103085,11,169805,
2005-03-01,241884,,710,,130691,12,216768,
2005-04-01,234357,,688,,122810,13,203054,
2005-05-01,214487,,650,,114091,10,186118,
2005-06-01,207443,,628,,105378,1,172221,
2005-07-01,209406,,645,,104230,,172467,
2005-08-01,207564,,646,,103739,,170684,
2005-09-01,191127,,652,,99013,,153431,
2005-10-01,191153,,638,,103561,,158121,
2005-11-01,184009,,624,,98992,,150808,
2005-12-01,171137,,545,,88419,,137773,
2006-01-01,171086,,555,,91608,32,141746,
2006-02-01,152085,,500,,86815,23,133113,
2006-03-01,188303,,581,,104677,43,171333,
2006-04-01,171501,,533,,92963,105,153284,
2006-05-01,180360,,586,,95915,,153504,
2006-06-01,192010,,613,,97481,141,163583,
2006-07-01,199404,,638,,101845,307,174916,
2006-08-01,193868,,617,,95959,411,165676,
2006-09-01,193982,,628,,99064,91,159294,
2006-10-01,202334,,646,,108891,,174330,
2006-11-01,198071,,632,,100501,,161945,
2006-12-01,185555,,590,,93210,,149283,
2007-01-01,174391,,542,,90958,,150140,
2007-02-01,160212,,505,,84352,,137258,
2007-03-01,196857,,617,,109869,12,179465,
2007-04-01,184863,,598,,101241,52,163934,
2007-05-01,200546,,641,,105081,56,170406,
2007-06-01,191297,,620,,107153,122,177081,
2007-07-01,202098,,631,,109356,104,185331,
2007-08-01,205207,,658,,111876,211,186071,
2007-09-01,207843,,672,,107594,120,175693,
2007-10-01,215553,,714,,113931,89,182692,
2007-11-01,206988,,688,,100219,88,161477,
2007-12-01,203458,,702,,99820,257,158745,
2008-01-01,185467,,648,,94743,300,150080,
2008-02-01,180394,,623,,97389,428,152206,
2008-03-01,198387,,641,,109214,523,177819,
2008-04-01,191803,,597,,104320,668,174882,
2008-05-01,186496,,574,,101614,603,169132,
2008-06-01,157825,,537,,91399,995,146584,
2008-07-01,163187,,564,,94529,743,150467,
2008-08-01,159298,,555,,92982,997,149198,
2008-09-01,165863,,574,,100127,774,153934,
2008-10-01,173462,,606,,103194,778,157145,
2008-11-01,168466,,553,,92350,928,145627,
2008-12-01,169319,,566,,90840,501,140938,
2009-01-01,164538,,595,,86269,583,132818,
2009-02-01,149758,,549,,80388,497,121913,
2009-03-01,166822,,613,,97034,491,145173,
2009-04-01,164233,,591,,98063,766,150824,
2009-05-01,154581,,606,,92942,1417,142892,
2009-06-01,149132,,595,,92655,1227,139732,
2009-07-01,157313,,608,,95220,868,145155,
2009-08-01,156947,,607,,95808,891,146197,
2009-09-01,155550,,566,,91183,1642,140428,
2009-10-01,163911,,583,,96200,1803,149497,
2009-11-01,158857,,563,,90000,1095,138064,
2009-12-01,164866,,566,,88023,639,134496,
2010-01-01,262531,,1058,,153985,792,224307,
2010-02-01,235369,,956,,147388,547,211119,
2010-03-01,272082,,1087,,182739,684,259866,
2010-04-01,287230,,1011,,171255,624,265951,
2010-05-01,296639,,1054,,174527,1132,275716,
2010-06-01,291384,,1062,,173438,896,272778,
2010-07-01,304370,,1103,,171950,566,273226,
2010-08-01,303906,,1104,,179202,478,284570,
2010-09-01,296093,,1061,,163824,735,259062,
2010-10-01,316457,,1145,,184545,1170,287871,
2010-11-01,277396,,1010,,159229,1554,245922,
2010-12-01,277291,,1044,,147720,563,220754,
