Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,404513,14979,1085,62,157868,5785,293977,8367
2002-11-01,391981,14574,1047,60,150065,6034,271498,8644
2002-12-01,399919,14967,1083,62,168651,7525,315874,11567
2003-01-01,397156,14821,1083,62,152462,5312,286738,8496
2003-02-01,346999,13378,954,56,131201,4105,244617,6135
2003-03-01,380170,14522,993,61,139518,5306,270609,7704
2003-04-01,372043,14315,1001,60,135804,6060,263749,8985
2003-05-01,359574,14785,1023,62,145472,6437,280286,9389
2003-06-01,376192,14331,1076,60,177499,6877,340347,10301
2003-07-01,406599,14788,1146,62,191455,8787,369629,12734
2003-08-01,430849,14757,1177,62,200038,8273,376029,11875
2003-09-01,438505,14301,1186,60,146412,5585,274746,7973
2003-10-01,465561,14487,1252,61,170619,6511,324424,9271
2003-11-01,427227,14315,1177,60,159268,7515,292189,10853
2003-12-01,432069,14786,1218,62,177135,8430,329156,12499
2004-01-01,402778,14488,1136,61,154735,6043,283772,8393
2004-02-01,377273,11281,1064,49,144870,4072,264343,5770
2004-03-01,461217,12235,1235,53,183355,4615,357701,6523
2004-04-01,456791,14306,1205,60,183549,6586,359206,9857
2004-05-01,471264,14782,1238,62,179567,7406,351965,10715
2004-06-01,452369,14310,1194,60,200621,8559,396430,12046
2004-07-01,462767,14550,1228,61,211263,9579,416646,13520
2004-08-01,460780,14850,1225,62,208067,8921,400561,12426
2004-09-01,406964,14403,1096,60,158329,5792,302573,7779
2004-10-01,450525,14874,1207,62,176136,5750,346016,7819
2004-11-01,440564,14408,1167,60,175162,6263,335658,8709
2004-12-01,452098,15108,1200,63,180942,8720,342791,12762
2005-01-01,451995,14599,1194,61,170816,7665,320239,10903
2005-02-01,389333,5489,965,28,144047,2672,284811,3554
2005-03-01,429692,6078,1068,31,183317,3696,367402,4882
2005-04-01,418458,5882,1039,30,169839,3035,336446,3950
2005-05-01,466061,6078,1105,31,177305,3252,363365,4248
2005-06-01,457732,5882,1071,30,194150,3037,399208,4297
2005-07-01,481762,6078,1115,31,214456,4117,437944,5749
2005-08-01,472368,6078,1106,31,210196,3519,424231,4829
2005-09-01,463731,5868,1118,30,162574,2149,329809,3172
2005-10-01,481659,6064,1155,31,166444,3043,339631,4175
2005-11-01,446299,5880,1081,30,166706,3309,335058,4620
2005-12-01,442439,6066,1055,31,167610,4141,335945,5127
2006-01-01,396321,5097,962,26,144256,2844,278619,3499
2006-02-01,343767,3137,850,16,130727,1918,253743,2141
2006-03-01,449270,6078,1084,31,181643,3195,361187,3743
2006-04-01,433720,6573,1069,33,172603,4091,346173,5018
2006-05-01,444161,7000,1135,35,160487,3386,315136,4165
2006-06-01,473085,8385,1189,38,199352,4495,402302,6075
2006-07-01,493247,10660,1213,41,213011,7161,429474,9634
2006-08-01,486599,10007,1219,39,209113,5777,421206,7151
2006-09-01,430735,9223,1095,40,152849,3900,306763,4330
2006-10-01,450988,8538,1144,39,170926,4860,343886,5511
2006-11-01,429807,8277,1093,37,168950,5741,336973,6726
2006-12-01,452232,28141,1152,109,176534,16053,355192,24741
2007-01-01,416842,39970,1098,151,150667,14760,292875,22273
2007-02-01,366895,34224,975,126,139256,12106,272709,18620
2007-03-01,439207,33994,1141,126,186792,14433,372783,23549
2007-04-01,412178,31151,1111,115,177578,13607,351966,20722
2007-05-01,409974,25196,1115,99,169634,12046,338167,17384
2007-06-01,455328,35402,1263,136,206111,18321,412059,28517
2007-07-01,491381,41753,1356,157,222675,23132,442844,36914
2007-08-01,482010,36379,1329,138,218708,19334,433278,29243
2007-09-01,436286,20034,1194,83,164986,9298,335461,12022
2007-10-01,455068,18654,1240,80,180257,9593,364195,12480
2007-11-01,456009,25315,1233,99,179147,13977,358532,20895
2007-12-01,459799,32860,1239,127,181780,19484,364216,30380
2008-01-01,407742,26727,1111,104,153492,13648,306428,20657
2008-02-01,358011,24015,978,89,135804,10370,271187,15670
2008-03-01,401651,32309,1100,120,172940,16509,347943,26225
2008-04-01,376543,24611,1020,90,160064,12124,326117,18580
2008-05-01,351418,24761,968,92,151302,13695,308748,19850
2008-06-01,425974,30510,1125,105,189740,17660,390807,27270
2008-07-01,445912,32048,1148,110,199851,18800,408949,29063
2008-08-01,420556,22427,1089,79,189540,13269,384890,18345
2008-09-01,355837,6723,933,30,150026,5013,303881,5233
2008-10-01,375537,9406,996,44,160830,6439,324394,6955
2008-11-01,368795,12390,982,52,156972,7486,312944,9106
2008-12-01,389302,23630,1027,87,171996,13674,343489,20892
2009-01-01,364834,18397,972,66,145251,8769,287875,12977
2009-02-01,320399,17691,871,61,129653,7849,257361,12222
2009-03-01,392190,18742,1029,58,166141,8330,332785,13752
2009-04-01,371753,15561,982,47,163342,7701,330543,12920
2009-05-01,364013,14045,982,46,160515,5657,328602,8730
2009-06-01,371844,16868,1013,60,176099,10553,354309,15100
2009-07-01,404125,99752,1119,108,191155,21746,378609,89066
2009-08-01,388735,86963,1089,89,185304,15855,363304,60931
2009-09-01,343822,62562,917,50,150309,8991,307185,46638
2009-10-01,366479,66699,967,56,159315,11629,326172,58810
2009-11-01,350393,76395,933,68,147522,12199,297067,57676
2009-12-01,368809,97166,973,113,156010,20647,313340,84118
2010-01-01,514585,167932,1526,130,214965,28157,408368,147735
2010-02-01,458475,149888,1392,108,198126,22362,373616,121170
2010-03-01,563372,145897,1668,104,261785,23435,498306,114790
2010-04-01,554875,140127,1557,98,250343,21230,493298,108549
2010-05-01,569975,146510,1555,97,248957,22109,492764,116254
2010-06-01,598457,119582,1689,116,289606,23807,562549,106974
2010-07-01,630367,127279,1794,134,299238,28316,580832,120934
2010-08-01,617716,127464,1765,132,298705,25495,578388,108239
2010-09-01,563310,111241,1622,83,245992,18071,481984,95853
2010-10-01,583440,117181,1689,84,258474,19790,502379,108503
2010-11-01,544141,138208,1577,96,239949,22520,462537,116121
2010-12-01,558840,149367,1627,124,250484,27836,479507,131337
2011-01-01,564944,151025,1631,134,233669,27095,450140,132710
2011-02-01,520251,162537,1521,141,218321,25438,422025,128488
2011-03-01,597260,193298,1787,177,274067,31053,526250,136282
2011-04-01,547070,124773,1601,128,250797,23289,489331,103148
2011-05-01,562395,147678,1629,128,258624,26078,506661,124087
2011-06-01,589235,171564,1683,156,278558,29790,541868,141086
2011-07-01,620443,177550,1734,164,291266,32633,569387,152605
2011-08-01,605519,177645,1693,162,291505,29860,566521,146480
2011-09-01,564344,160011,1600,130,253222,22869,500504,127693
2011-10-01,590302,167062,1652,130,261814,23146,521237,131021
2011-11-01,572695,153664,1569,130,251128,23058,505682,118771
2011-12-01,555369,164131,1495,172,241400,31423,489549,140391
2012-01-01,537691,158668,1473,141,226250,25869,462849,132774
2012-02-01,507870,146874,1387,120,210342,22060,433386,119464
2012-03-01,588562,166510,1642,152,264918,28931,535119,135803
2012-04-01,561576,172442,1595,140,255511,24392,507746,119423
2012-05-01,580084,179407,1639,127,258742,25952,516873,141043
2012-06-01,606124,166620,1696,150,283161,30781,564402,148568
2012-07-01,627049,166401,1759,161,289760,33419,574589,152998
2012-08-01,629950,169100,1786,163,296418,30859,584134,141530
2012-09-01,565770,154668,1615,121,239247,25284,472028,136528
2012-10-01,585996,161574,1661,127,259754,24953,514428,136818
2012-11-01,571629,158227,1588,130,253661,24552,502815,127989
2012-12-01,555231,172858,1516,179,243032,33112,486791,148949
2013-01-01,533737,161612,1587,141,236745,25645,457931,135317
2013-02-01,485658,143600,1414,113,213613,21707,412913,123006
2013-03-01,605698,163285,1796,134,284952,27294,546994,143146
2013-04-01,592145,152827,1737,128,278121,22445,531700,116811
2013-05-01,613471,156883,1809,128,288365,24971,546824,134410
2013-06-01,633241,155425,1907,141,316286,29186,587565,141295
2013-07-01,673123,190735,2086,252,330667,44875,607140,168901
2013-08-01,676732,189989,2103,253,335049,41576,614212,160803
2013-09-01,576021,176038,1743,209,263137,33660,490330,146597
2013-10-01,602415,176057,1837,210,276648,34206,516257,150275
2013-11-01,574818,175302,1706,217,248055,36703,465257,152501
2013-12-01,605390,184232,1810,235,281912,42539,531868,168300
2014-01-01,576143,208092,1695,256,260269,45249,497499,180941
2014-02-01,508976,188200,1470,231,228118,39694,439152,163115
2014-03-01,630674,219861,1766,263,296747,45846,570275,189165
2014-04-01,640183,205898,1795,224,299396,38284,578993,157487
2014-05-01,672000,213022,1855,231,304437,41305,598575,178548
2014-06-01,677054,208253,1906,240,324467,46045,624605,179986
2014-07-01,705475,239209,1972,320,333957,56171,643249,205934
2014-08-01,716852,239116,2030,321,337992,51936,645111,199072
2014-09-01,668696,225274,1900,295,291182,46223,564812,180218
2014-10-01,694120,224319,1985,311,310932,48097,604080,185717
2014-11-01,642431,246150,1860,336,282043,52378,545309,198190
2014-12-01,649239,272779,1887,414,296149,68464,572209,237917
2015-01-01,625218,285698,1823,457,269241,63325,513455,225819
2015-02-01,567549,237799,1623,365,254813,51688,488666,190923
2015-03-01,708019,268875,2091,412,340332,62593,639496,223598
2015-04-01,687734,248505,1990,354,319652,51244,601815,184661
2015-05-01,726128,263867,2126,362,338719,56368,638070,212035
2015-06-01,755958,270238,2474,403,396026,68867,699207,237811
2015-07-01,800228,324967,2659,445,413335,77834,727727,281516
2015-08-01,813808,333649,2722,423,413862,72256,721421,285576
2015-09-01,698318,299011,2506,340,349416,58268,605295,242697
2015-10-01,727316,281248,2649,328,372976,59186,642244,245287
2015-11-01,694619,257389,2636,311,352297,53969,599253,212937
2015-12-01,692310,298615,2535,386,348428,69870,599605,264692
2016-01-01,671875,299857,2618,390,335674,65159,562677,254740
2016-02-01,641909,271663,2518,338,319142,56348,532855,233992
2016-03-01,759179,292141,2970,361,403692,64777,676554,251056
2016-04-01,773380,282417,3071,348,406396,56324,670860,216940
2016-05-01,817048,274209,3174,326,428155,58633,714696,233872
2016-06-01,849431,284097,3323,346,473972,67496,778380,257109
2016-07-01,898965,294894,3462,361,491635,68450,804899,263600
2016-08-01,872330,282772,3381,345,461432,60706,758816,244837
2016-09-01,730868,260606,2842,296,388290,55046,649934,229890
2016-10-01,740289,261898,2888,297,395805,56619,662672,234622
2016-11-01,681631,218149,2629,260,365484,48635,610879,190207
2016-12-01,718751,263533,2714,367,375791,66516,639189,234504
2017-01-01,661694,,2326,,320928,,558906,
2017-02-01,613007,,2158,,298584,,522787,
2017-03-01,765187,,2666,,391799,,691275,
