Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,206414,6940,2071,35,225906,3658,144611,4038
2002-11-01,195626,9115,1938,35,217477,5274,139188,5822
2002-12-01,191899,9029,1798,34,219456,4812,150501,5312
2003-01-01,198840,9287,1947,35,183175,3859,120345,4260
2003-02-01,166877,7896,1653,30,167101,4818,112653,5319
2003-03-01,194177,9452,1940,36,189101,6945,127267,7667
2003-04-01,187204,9009,1750,34,204132,6195,138645,6839
2003-05-01,199234,7618,1857,30,205530,4233,136601,4673
2003-06-01,191876,8858,1922,34,210969,4461,140160,4925
2003-07-01,191815,6981,1913,35,222894,5177,155122,5715
2003-08-01,198328,6638,1887,34,228500,5213,166016,5755
2003-09-01,194603,6020,1854,30,182782,1872,118747,2067
2003-10-01,207652,6232,2024,31,226406,3620,152704,3996
2003-11-01,197023,6721,1905,35,215823,4564,149292,5039
2003-12-01,186194,6352,1742,33,208327,3902,152118,4308
2004-01-01,188056,5484,1836,29,176674,2966,126014,3274
2004-02-01,188951,6122,1865,31,192224,4358,135015,4811
2004-03-01,199482,7062,2008,35,209670,5210,145158,5752
2004-04-01,198474,7270,1984,34,228484,5798,155698,6160
2004-05-01,196885,6883,1970,36,215213,3858,146404,4160
2004-06-01,206098,6553,1973,34,228270,4118,156502,4546
2004-07-01,208956,6902,1946,36,223462,5266,163259,5814
2004-08-01,209716,7007,1981,35,225759,5542,167645,6118
2004-09-01,175752,5034,1794,25,172156,1492,110937,1647
2004-10-01,209742,5822,2028,29,216244,3435,145966,3635
2004-11-01,206986,6796,1949,34,216304,4156,148796,4588
2004-12-01,190944,6749,1857,35,213682,4062,150085,4484
2005-01-01,176834,6687,1769,35,179851,3523,126408,3889
2005-02-01,166450,6403,1646,32,178580,4088,124461,4455
2005-03-01,180298,6641,1798,33,205822,5175,142242,5650
2005-04-01,182054,7161,1823,35,213814,5368,143437,5846
2005-05-01,188643,6841,1888,35,207527,3851,138969,4252
2005-06-01,176170,6363,1789,33,206427,3681,137451,4064
2005-07-01,180469,6911,1789,36,218016,5317,154918,5870
2005-08-01,182321,6773,1843,35,211943,5153,151402,5689
2005-09-01,166190,6002,1718,30,174433,2673,110341,2951
2005-10-01,167530,6188,1733,30,176967,3698,111972,4083
2005-11-01,153177,6443,1584,30,177102,3843,109784,4243
2005-12-01,178601,4860,1689,31,185044,3120,131315,3366
2006-01-01,172697,4546,1715,29,168551,3159,117379,3055
2006-02-01,159230,148,1560,1,163307,369,112802,50
2006-03-01,192857,1340,1875,9,206723,1425,143749,1193
2006-04-01,187940,1784,1814,12,202295,1599,138155,1622
2006-05-01,175567,4860,1801,31,186616,3447,122352,3620
2006-06-01,171045,4703,1741,30,197457,3289,132341,3490
2006-07-01,173773,4860,1679,31,194398,4000,143761,4281
2006-08-01,177548,4860,1809,31,186694,3901,138074,4134
2006-09-01,151728,4381,1621,28,147231,2170,96478,2396
2006-10-01,155291,4859,1744,31,163837,2890,108704,3191
2006-11-01,146379,4546,1665,29,171567,3249,112219,3587
2006-12-01,160877,4677,1688,30,179134,3563,128033,3783
2007-01-01,162866,4860,1791,31,147476,2876,101266,3175
2007-02-01,141354,4684,1546,30,136430,3070,93320,3389
2007-03-01,156950,5443,1749,35,170923,4374,116533,4675
2007-04-01,152113,7889,1716,57,170255,5309,113864,5322
2007-05-01,143991,7514,1692,56,158615,4510,101569,4342
2007-06-01,135379,7859,1608,58,168310,5078,106790,4939
2007-07-01,138077,8453,1616,62,167561,5506,115889,5414
2007-08-01,144250,8329,1715,61,167713,6445,118313,6309
2007-09-01,137322,3170,1616,21,132433,1599,84944,1719
2007-10-01,144270,3292,1699,21,156972,1982,103568,2188
2007-11-01,141435,3919,1615,25,154181,2429,104536,2682
2007-12-01,147638,4076,1548,26,148703,2582,110771,2814
2008-01-01,156459,3605,1717,23,134146,2041,96685,2253
2008-02-01,151067,4528,1642,29,137834,3127,100274,3452
2008-03-01,164797,5599,1786,36,161506,4081,119420,4505
2008-04-01,153910,3761,1726,24,158869,2605,112114,2876
2008-05-01,150452,3606,1695,23,151558,2496,104875,2756
2008-06-01,126492,4076,1532,26,144439,3045,95591,3289
2008-07-01,126984,4860,1549,31,153067,4865,106761,4340
2008-08-01,130687,3135,1560,20,148763,3341,105312,2823
2008-09-01,120655,592,1501,4,120775,419,76904,269
2008-10-01,133895,601,1585,4,146102,503,98056,317
2008-11-01,138994,4233,1530,27,143946,2275,99827,2429
2008-12-01,160906,4703,1617,30,167416,3231,127396,3457
2009-01-01,159193,3292,1505,21,122378,1401,95743,1472
2009-02-01,146280,3135,1402,20,121495,1845,95651,1962
2009-03-01,155020,4076,1404,26,133136,2977,107033,3208
2009-04-01,132945,3762,1212,24,129448,2936,100232,3207
2009-05-01,130866,3606,1200,23,124944,2422,95159,2626
2009-06-01,111241,157,1063,1,115630,128,85130,81
