Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,237104,,1670,,228976,,184396,
2002-11-01,224881,,1574,,218287,,176141,
2002-12-01,224795,206,1562,1,215647,,179038,169
2003-01-01,218271,,1492,,209831,,172860,
2003-02-01,198387,,1314,,194579,,160442,
2003-03-01,226259,,1499,,234195,,196179,
2003-04-01,194587,,1297,,201598,,164268,
2003-05-01,205055,,1367,,213404,,172490,
2003-06-01,201849,,1322,,203444,,168547,
2003-07-01,215949,,1357,,222086,,188763,
2003-08-01,219703,,1315,,220518,,187369,
2003-09-01,226520,,1232,,158663,,135771,
2003-10-01,253748,,1351,,220817,,188670,
2003-11-01,250860,,1348,,220163,,189679,
2003-12-01,259138,,1379,,209825,,185313,
2004-01-01,249355,,1378,,219481,,184853,
2004-02-01,259904,,1433,,229570,,191370,
2004-03-01,277740,,1534,,259317,,221307,
2004-04-01,270229,,1495,,245145,,213300,
2004-05-01,247201,302,1369,1,237853,,205805,185
2004-06-01,248499,,1358,,217937,,195522,
2004-07-01,252034,,1388,,231967,,211601,
2004-08-01,244172,,1343,,216816,,196802,
2004-09-01,170723,,989,,137861,,117080,
2004-10-01,240803,,1335,,211523,,181032,
2004-11-01,239389,,1320,,213337,,186176,
2004-12-01,240815,,1325,,208273,,184640,
2005-01-01,243201,,1325,,221282,,197667,
2005-02-01,231662,,1266,,209000,,182346,
2005-03-01,256820,,1397,,251331,,220835,
2005-04-01,242079,,1338,,237344,,202155,
2005-05-01,259234,,1405,,247291,,217984,
2005-06-01,242469,94,1301,1,216672,,197631,36
2005-07-01,248512,181,1333,1,237094,,220355,180
2005-08-01,247935,302,1332,1,219170,,204102,302
2005-09-01,205863,,1123,,171504,,149011,
2005-10-01,219368,847,1179,1,190910,0,166640,728
2005-11-01,228909,302,1238,1,192912,,171710,216
2005-12-01,228837,255,1220,1,180816,,169969,236
2006-01-01,219360,623,1178,3,192234,,171198,518
2006-02-01,200232,,1071,,168257,,147666,
2006-03-01,246134,,1284,,216906,,200615,
2006-04-01,238199,,1251,,205890,,188878,
2006-05-01,210260,233,1151,1,192272,,171121,190
2006-06-01,201312,,1082,,185517,7,167401,
2006-07-01,205737,302,1097,1,195733,31,178876,292
2006-08-01,199482,,1075,,179845,48,158787,
2006-09-01,165502,,955,,137167,9,116105,
2006-10-01,173753,,1007,,158325,42,134766,
2006-11-01,167628,,1000,,163034,45,138253,
2006-12-01,183340,2688,1085,14,172210,1395,149782,1696
2007-01-01,187003,2496,1150,13,178192,1129,149732,1231
2007-02-01,169076,2304,1041,12,158538,682,131501,663
2007-03-01,192971,3534,1168,14,189355,1063,164373,2125
2007-04-01,185253,2789,1150,14,184340,1049,159807,1342
2007-05-01,178215,2496,1113,13,179027,1297,156674,1222
2007-06-01,168587,2688,1132,14,165695,1214,146068,1079
2007-07-01,173629,2496,1182,13,169646,2111,151823,1907
2007-08-01,169013,3290,1145,14,164687,2103,143414,2257
2007-09-01,148424,1289,995,3,129490,672,108517,929
2007-10-01,152180,,1058,,150153,499,120328,
2007-11-01,156575,2234,1063,8,151977,1742,124077,1480
2007-12-01,174379,2304,1152,12,151334,2190,131021,1745
2008-01-01,165848,1728,1072,9,164489,1884,134395,1226
2008-02-01,158810,2103,1036,13,158950,1749,126362,937
2008-03-01,181083,2190,1148,14,188403,2439,156489,1343
2008-04-01,163362,1963,1053,12,175873,2512,145446,686
2008-05-01,157853,2398,1055,14,162035,2832,135565,1434
2008-06-01,147271,1988,1013,12,155738,2263,125510,1117
2008-07-01,148472,3738,1036,19,160457,3688,132785,2796
2008-08-01,142822,2720,1015,15,157127,3813,127946,2124
2008-09-01,118378,,870,,124838,1171,93439,
2008-10-01,130984,,941,,147451,1368,111623,
2008-11-01,132645,812,958,5,145466,1628,108797,319
2008-12-01,149099,2442,1072,14,151954,2508,119308,1789
2009-01-01,153407,1312,1069,9,159820,2346,122329,874
2009-02-01,140499,361,988,4,142216,1216,110713,237
2009-03-01,159968,350,1110,4,168190,1279,135154,257
2009-04-01,147908,350,1060,4,155275,2138,125434,216
2009-05-01,143700,262,1076,3,150378,998,122972,104
2009-06-01,133339,1602,995,10,144798,1342,115423,771
2009-07-01,136669,1843,1022,9,150362,1889,122168,1372
2009-08-01,140473,818,1050,4,152992,1368,124597,746
2009-09-01,119753,,922,,119424,650,93581,
2009-10-01,129721,,985,,136859,368,107023,
2009-11-01,128957,175,1006,2,133827,378,102393,88
2009-12-01,144740,262,1115,3,139104,474,110825,236
2010-01-01,226855,761,1532,2,224902,685,196976,703
