Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,45448,,313,,49872,,31769,
2002-11-01,44227,,300,,52356,,33450,
2002-12-01,48189,,308,,55415,,35449,
2003-01-01,48256,201,310,1,57262,,36645,49
2003-02-01,43703,,280,,53258,,34235,
2003-03-01,48790,,312,,60782,,38916,
2003-04-01,46138,,300,,54159,,33731,
2003-05-01,46028,,314,,51660,,31950,
2003-06-01,39683,,300,,48278,,29724,
2003-07-01,41469,,304,,51052,,31371,
2003-08-01,46760,,340,,56236,,35200,
2003-09-01,44491,,326,,44375,,27564,
2003-10-01,48220,,342,,54132,,33848,
2003-11-01,46302,,329,,54046,,33960,
2003-12-01,51155,,367,,54439,,33957,
2004-01-01,52954,,371,,63685,,39811,
2004-02-01,50030,,346,,60069,,37685,
2004-03-01,52982,,372,,65513,,41173,
2004-04-01,49350,,359,,59127,,37284,
2004-05-01,48364,268,368,1,55704,0,34943,130
2004-06-01,40141,201,351,1,49283,,30683,160
2004-07-01,41509,,368,,50860,,31755,
2004-08-01,40979,228,365,1,49339,,30636,122
2004-09-01,35448,,310,,35144,,21918,
2004-10-01,43164,,363,,50309,,31252,
2004-11-01,42026,,345,,50466,,31453,
2004-12-01,47277,,360,,51604,,32012,
2005-01-01,45924,,348,,59024,,36649,
2005-02-01,40938,,332,,50375,,30779,
2005-03-01,45725,,371,,60920,,37257,
2005-04-01,43788,,361,,55358,,33842,
2005-05-01,43738,,369,,50774,,31108,
2005-06-01,37181,,322,,45277,,27822,
2005-07-01,37733,,329,,46221,,28298,
2005-08-01,36533,,321,,41644,,25359,
2005-09-01,30137,,246,,33156,,19728,
2005-10-01,29404,,238,,31436,,18704,
2005-11-01,31476,,278,,38345,,22794,
2005-12-01,37334,,295,,41460,24,27115,
2006-01-01,42522,,315,,48338,,33773,
2006-02-01,44295,,317,,46804,,33210,
2006-03-01,54475,,399,,56133,,41303,
2006-04-01,52700,,382,,54363,,39232,
2006-05-01,48492,,371,,48253,,34980,
2006-06-01,45456,151,339,1,44835,,33188,143
2006-07-01,45999,,333,,46178,,35607,
2006-08-01,46044,,339,,41685,,31773,
2006-09-01,30474,,258,,32246,,20137,
2006-10-01,28960,,260,,35839,,21324,
2006-11-01,29152,,259,,38540,,23176,
2006-12-01,38903,851,325,1,42600,,28189,802
2007-01-01,47314,,384,,50387,,34848,
2007-02-01,44427,,350,,43873,,30094,
2007-03-01,49750,,392,,56457,,38421,
2007-04-01,45681,,381,,55047,68,38567,
2007-05-01,32976,,323,,41013,113,26328,
2007-06-01,32620,477,323,1,42167,178,26839,475
2007-07-01,32519,,322,,42897,249,27470,
2007-08-01,32617,,328,,43315,314,27973,
2007-09-01,31847,,296,,34203,202,22135,
2007-10-01,36362,,337,,41511,219,26492,
2007-11-01,36694,,333,,43533,213,27850,
2007-12-01,39093,,351,,43249,256,28376,
2008-01-01,39202,,347,,47742,325,31742,
2008-02-01,38190,,340,,44145,405,29527,
2008-03-01,40927,,370,,52678,444,35383,
2008-04-01,39867,,354,,47386,228,32236,
2008-05-01,37849,,335,,44797,204,30770,
2008-06-01,37046,,352,,44569,159,30206,
2008-07-01,36647,,358,,45416,379,30886,
2008-08-01,38502,,372,,48284,535,33782,
2008-09-01,41035,,369,,41923,317,29567,
2008-10-01,43212,,382,,47800,222,33142,
2008-11-01,44542,,391,,51784,346,35523,
2008-12-01,45396,668,401,1,50711,421,35226,464
2009-01-01,45258,,410,,54825,738,38131,
2009-02-01,41353,,381,,47201,397,32717,
2009-03-01,46345,,417,,54570,354,37810,
2009-04-01,49129,899,438,1,58907,531,42182,807
2009-05-01,49354,,445,,57139,428,41503,
2009-06-01,44868,,408,,52188,382,37796,
2009-07-01,46116,,420,,56203,335,41148,
2009-08-01,47352,,429,,57292,547,42797,
2009-09-01,50871,,431,,50616,242,37321,
2009-10-01,54071,,452,,56108,138,41063,
2009-11-01,54097,,459,,58651,211,42378,
2009-12-01,58304,94,496,1,58396,196,43007,83
2010-01-01,94500,,704,,92558,334,79213,
2010-02-01,89704,,651,,81122,168,71117,
2010-03-01,99209,,736,,98813,191,87109,
2010-04-01,89415,,666,,90431,212,77774,
2010-05-01,89012,,674,,83713,480,71690,
2010-06-01,80676,,623,,80755,646,70177,
2010-07-01,80252,,625,,78855,527,69087,
2010-08-01,81513,,633,,79511,400,69474,
2010-09-01,80299,,606,,66039,285,55396,
2010-10-01,86070,,632,,74003,373,63167,
2010-11-01,92078,,682,,78569,188,66953,
2010-12-01,98880,,740,,77938,381,67327,
2011-01-01,98535,,737,,87559,417,76978,
2011-02-01,93331,,705,,79919,384,69655,
2011-03-01,106267,7135,794,7,98061,1486,85836,4677
2011-04-01,86746,32484,640,30,82607,6349,71043,26948
2011-05-01,90284,34211,667,34,83974,7086,71925,30792
2011-06-01,91013,32510,649,30,75871,7098,70251,30342
2011-07-01,95839,33608,678,31,81579,5992,78136,24439
2011-08-01,92023,33037,654,31,81615,7221,75184,28998
2011-09-01,87082,28361,615,27,67536,4838,59493,20761
2011-10-01,90939,32011,628,30,78083,5158,69500,22009
2011-11-01,92237,30351,618,28,81469,5466,73283,22895
2011-12-01,97163,33590,648,31,78078,5059,71371,22067
2012-01-01,95398,33577,634,31,86212,4967,78649,21576
2012-02-01,90480,31311,600,29,77042,3971,69350,16908
2012-03-01,107549,30143,729,30,94124,5144,86482,22133
2012-04-01,102112,14794,688,17,97348,3077,89754,13042
2012-05-01,92610,109,641,1,82101,278,73213,91
2012-06-01,88376,153,626,1,79803,373,72151,143
2012-07-01,89538,27,638,1,82301,622,76609,25
2012-08-01,91613,,651,,85590,650,79243,
2012-09-01,80835,222,588,1,66734,218,56567,175
2012-10-01,82721,187,597,1,74572,356,64256,164
2012-11-01,89812,,612,,80254,95,70232,
2012-12-01,99414,985,677,3,81679,158,74901,922
2013-01-01,103119,184,700,1,94987,359,86922,149
2013-02-01,94025,,641,,84186,344,75871,
2013-03-01,113852,,772,,105780,258,98963,
2013-04-01,105547,,735,,101892,324,93714,
2013-05-01,100938,,725,,91892,410,82415,
2013-06-01,96983,,698,,88200,450,80864,
2013-07-01,94785,2123,693,3,87813,562,80640,1612
2013-08-01,97812,,703,,92375,1089,84904,
2013-09-01,88539,,664,,73250,230,63689,
2013-10-01,91810,,693,,79355,238,69588,
2013-11-01,92964,,657,,84681,491,73837,
2013-12-01,104171,84,717,1,90898,334,83231,83
2014-01-01,102175,84,695,1,93801,451,87214,46
2014-02-01,93200,,638,,84454,497,77160,
2014-03-01,122318,1066,806,1,113295,451,106010,1031
2014-04-01,107734,,741,,103984,465,95319,
2014-05-01,103224,176,722,1,98358,316,87371,79
2014-06-01,100288,,709,,92866,293,84326,
2014-07-01,101821,,724,,95659,388,87924,
2014-08-01,101489,1202,724,2,101643,755,93567,1098
2014-09-01,88515,,660,,79410,396,69869,
2014-10-01,96086,218,707,1,85470,579,75849,152
2014-11-01,97869,,681,,89871,623,80180,
2014-12-01,110656,810,753,1,97399,319,90232,756
2015-01-01,105912,,738,,102081,679,94563,
2015-02-01,96479,,665,,90947,523,83334,
2015-03-01,123526,86,836,1,115929,565,109226,86
2015-04-01,118590,259,806,2,111220,708,104933,208
2015-05-01,110749,,776,,104244,440,95006,
2015-06-01,106662,276,751,1,96206,269,92047,250
2015-07-01,110781,,769,,104008,680,100436,
2015-08-01,110911,,772,,108573,999,105258,
2015-09-01,85338,361,699,2,84797,458,75141,196
2015-10-01,97414,86,758,1,95319,375,86461,29
2015-11-01,103292,,761,,98350,198,89946,
2015-12-01,120097,,890,,108527,311,100395,
2016-01-01,115693,,839,,114912,378,105893,
2016-02-01,111164,,800,,103118,665,95541,
2016-03-01,127157,,897,,124015,734,116329,
2016-04-01,122080,,854,,119539,936,111617,
2016-05-01,123127,,864,,119810,977,113315,
2016-06-01,117542,,830,,105396,939,101548,
2016-07-01,120176,,851,,112708,1017,109498,
2016-08-01,112028,,826,,104808,1369,99437,
2016-09-01,84962,,748,,85333,622,72059,
2016-10-01,87013,,740,,89600,543,74858,
2016-11-01,91992,136,728,1,93064,174,78373,136
2016-12-01,118477,1152,862,31,109876,3705,100280,807
2017-01-01,121495,,846,,113022,,105930,
2017-02-01,103849,,727,,93606,,86621,
2017-03-01,131221,,879,,120905,,116222,
