Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,42234,,339,,31498,,27204,
2002-11-01,39409,,316,,25512,,22193,
2002-12-01,39633,,317,,31000,,27006,
2003-01-01,40155,,325,,26614,,23401,
2003-02-01,35176,,285,,25026,,22055,
2003-03-01,39260,,319,,31504,,27415,
2003-04-01,31731,,259,,20379,,17519,
2003-05-01,37969,,316,,25096,,21774,
2003-06-01,36891,,316,,30529,,26474,
2003-07-01,37357,,321,,32599,,28253,
2003-08-01,37229,,328,,30905,,26795,
2003-09-01,35909,,317,,24695,,21452,
2003-10-01,37137,,328,,27357,,23836,
2003-11-01,35073,,309,,25188,,22085,
2003-12-01,35335,,325,,28520,,24937,
2004-01-01,41668,,357,,26729,,23889,
2004-02-01,39667,,334,,25599,,23256,
2004-03-01,43498,,368,,32378,,29332,
2004-04-01,40124,,356,,25115,,22566,
2004-05-01,40805,,364,,23983,,21421,
2004-06-01,38409,,350,,30112,,27044,
2004-07-01,39622,,362,,33545,,30218,
2004-08-01,39590,,362,,30356,,27061,
2004-09-01,37833,,346,,25790,,23025,
2004-10-01,39600,,362,,29915,,26860,
2004-11-01,37942,,348,,27530,,24680,
2004-12-01,40102,,356,,31484,,28413,
2005-01-01,38398,,340,,28166,,25343,
2005-02-01,30105,,243,,21617,,19993,
2005-03-01,34004,,274,,28748,,26591,
2005-04-01,28752,,233,,18228,,16686,
2005-05-01,29462,,238,,16873,,15531,
2005-06-01,29537,,239,,23761,,21797,
2005-07-01,31140,,247,,25402,,24302,
2005-08-01,30383,,246,,24610,,22561,
2005-09-01,30107,,247,,19476,,17862,
2005-10-01,31448,,261,,20931,,19178,
2005-11-01,27396,,228,,19535,,18043,
2005-12-01,23580,,224,,18536,,16556,
2006-01-01,22112,,204,,16687,,14734,
2006-02-01,17513,,139,,14074,,13542,
2006-03-01,16794,,126,,15678,,14977,
2006-04-01,14787,,120,,10799,,10293,
2006-05-01,11415,,85,,8565,,7966,
2006-06-01,8461,,65,,8089,,7375,
2006-07-01,8125,,63,,7903,,7291,
2006-08-01,7848,,61,,7267,,6584,
2006-09-01,16944,,128,,11999,,11128,
2006-10-01,19502,,147,,15479,,14328,
2006-11-01,22394,,170,,18150,82,16768,
2006-12-01,19253,1595,145,1,15507,,14336,1357
2007-01-01,12025,,89,,10311,,9607,
2007-02-01,12088,,90,,11023,,10234,
2007-03-01,15796,,118,,15030,,13946,
2007-04-01,11704,,88,,9120,,8390,
2007-05-01,13508,,105,,10402,,9424,
2007-06-01,13133,,102,,13217,,11934,
2007-07-01,13633,,106,,13960,,12753,
2007-08-01,13046,,102,,12801,,11541,
2007-09-01,15150,,114,,12255,,11305,
2007-10-01,25752,,190,,20203,,18755,
2007-11-01,26805,,199,,20085,,18417,
2007-12-01,22915,,169,,17497,,16298,
2008-01-01,19019,,143,,15575,,14361,
2008-02-01,16082,,121,,13985,,12908,
2008-03-01,16241,,121,,15320,,14130,
2008-04-01,15890,,121,,13088,,11893,
2008-05-01,14595,,110,,12720,,11524,
2008-06-01,15184,,118,,14433,,13113,
