Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,55501,,568,,52106,,33448,
2002-11-01,52100,,537,,46818,,29914,
2002-12-01,49638,,497,,51665,,34463,
2003-01-01,50718,,525,,38894,,25418,
2003-02-01,38444,,396,,39071,,25593,
2003-03-01,45869,,485,,51933,,34013,
2003-04-01,43226,,469,,45803,,29774,
2003-05-01,45453,,481,,51462,,33926,
2003-06-01,46143,,487,,58073,,38655,
2003-07-01,46148,,479,,58238,,38880,
2003-08-01,46708,,499,,55024,,36999,
2003-09-01,41406,,483,,45916,,28853,
2003-10-01,42760,,503,,50102,,31525,
2003-11-01,39775,,449,,43927,,27876,
2003-12-01,40929,,481,,44550,,29599,
2004-01-01,41012,,499,,33759,,21649,
2004-02-01,37418,,465,,34749,,23117,
2004-03-01,42145,,518,,47073,,30909,
2004-04-01,41846,,526,,43423,,26748,
2004-05-01,44771,,535,,50232,,31280,
2004-06-01,43494,,547,,57591,,37545,
2004-07-01,43968,,540,,57603,,37511,
2004-08-01,44699,,546,,53318,,35030,
2004-09-01,42556,,529,,45904,,29087,
2004-10-01,44491,,548,,52928,,33949,
2004-11-01,43395,,528,,48407,,31268,
2004-12-01,41320,,528,,48964,,32455,
2005-01-01,39694,,491,,39425,,25841,
2005-02-01,40060,,513,,40744,,26862,
2005-03-01,46354,,592,,57918,,37734,
2005-04-01,44048,,572,,45974,,29025,
2005-05-01,43182,,503,,48026,,32552,
2005-06-01,42021,,469,,52487,,37057,
2005-07-01,42565,,473,,54967,,39192,
2005-08-01,43618,,484,,52348,,37861,
2005-09-01,39642,,396,,42321,29,30365,
2005-10-01,41442,,415,,44999,13,31923,
2005-11-01,38698,,386,,42015,14,29983,
2005-12-01,44850,,460,,51382,,35877,
2006-01-01,44840,,461,,38965,,27676,
2006-02-01,40137,,416,,38232,,27509,
2006-03-01,44927,,440,,51839,29,37950,
2006-04-01,40592,,396,,39768,38,29060,
2006-05-01,40577,,398,,40619,,29943,
2006-06-01,40319,,398,,47308,107,34379,
2006-07-01,39958,,393,,47429,133,34943,
2006-08-01,41250,,407,,47170,98,34413,
2006-09-01,34414,,304,,34734,3,27563,
2006-10-01,34719,,302,,36277,,28729,
2006-11-01,34621,,302,,34897,,27166,
2006-12-01,34319,,296,,34952,,28001,
2007-01-01,35838,,312,,29382,75,23828,
2007-02-01,29739,,259,,28265,91,22483,
2007-03-01,32741,,308,,39403,159,28777,
2007-04-01,32502,,296,,31751,,23429,
2007-05-01,34168,,293,,34359,97,27496,
2007-06-01,36062,,326,,41783,1,31898,
2007-07-01,36326,,328,,41666,,32118,
2007-08-01,37576,,343,,41866,,32214,
2007-09-01,33439,,307,,32389,,25478,
2007-10-01,34606,,318,,35068,,26819,
2007-11-01,33518,,309,,33020,,24733,
2007-12-01,34076,,313,,34306,,25999,
2008-01-01,35331,,317,,29357,,22891,
2008-02-01,29372,,268,,27788,,21254,
2008-03-01,27914,,255,,31339,,23698,
2008-04-01,28782,,257,,28447,,21783,
2008-05-01,28136,,251,,30381,,23591,
2008-06-01,33010,,321,,41651,,30044,
2008-07-01,34421,,336,,42811,,30945,
2008-08-01,33313,,327,,41638,,29788,
2008-09-01,33785,,316,,38064,,28644,
2008-10-01,33730,,319,,40572,,29500,
2008-11-01,29171,,271,,30984,,22871,
2008-12-01,27427,,249,,29714,,22615,
2009-01-01,24141,,226,,23065,,17513,
2009-02-01,20307,,190,,19187,,14303,
2009-03-01,23813,,201,,24990,27,20151,
2009-04-01,22491,,196,,23414,15,18422,
2009-05-01,22446,,191,,22581,,18391,
2009-06-01,25733,,224,,29570,,22983,
2009-07-01,30759,,277,,35678,54,27344,
2009-08-01,31392,,283,,34283,102,26395,
