Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,111836,3380,404,3,48064,7,69192,3211
2002-11-01,107762,,385,,48577,5,70239,
2002-12-01,84062,,337,,47102,8,70940,
2003-01-01,84999,,340,,38722,6,57587,
2003-02-01,76625,,308,,32852,12,47291,
2003-03-01,84806,,340,,41585,6,61838,
2003-04-01,84111,,330,,36080,3,53364,
2003-05-01,82548,,310,,38403,,59508,
2003-06-01,97150,,357,,51826,17,80314,
2003-07-01,99338,,366,,54730,9,84216,
2003-08-01,100357,,369,,57743,,88930,
2003-09-01,97234,,358,,44774,,67931,
2003-10-01,96714,,369,,44688,,67160,
2003-11-01,92897,,355,,40285,,60988,
2003-12-01,77826,,338,,41798,,62793,
2004-01-01,68648,1292,285,1,29375,0,46052,989
2004-02-01,58752,,260,,27923,,42774,
2004-03-01,75633,,308,,35403,,56571,
2004-04-01,75093,,298,,34247,,55186,
2004-05-01,86678,,339,,38535,,63460,
2004-06-01,76428,,270,,40472,,68052,
2004-07-01,77153,,272,,41796,,69910,
2004-08-01,78099,,275,,43421,,72116,
2004-09-01,73450,,263,,35286,,58415,
2004-10-01,76792,,275,,35352,,58709,
2004-11-01,73466,,265,,34898,,58620,
2004-12-01,60510,,245,,32366,,51971,
2005-01-01,59790,,240,,30383,,49278,
2005-02-01,57770,,248,,28785,67,44744,
2005-03-01,67373,,275,,36184,52,57739,
2005-04-01,63755,,234,,34961,119,58162,
2005-05-01,72810,,269,,37521,117,62393,
2005-06-01,74604,,270,,42900,,69721,
2005-07-01,94055,,338,,52053,,84496,
2005-08-01,96239,,342,,54038,,87758,
2005-09-01,97241,,358,,45684,,72533,
2005-10-01,98636,,370,,46134,,73128,
2005-11-01,88864,,342,,42024,,65884,
2005-12-01,68880,,276,,36803,,57851,
2006-01-01,69676,,277,,31103,,49284,
2006-02-01,58141,,209,,24711,,42543,
2006-03-01,70226,,240,,33717,,59659,
2006-04-01,67168,,229,,28912,,52146,
2006-05-01,68283,,225,,29416,,50656,
2006-06-01,66930,,229,,34414,,60783,
2006-07-01,67766,,239,,36429,,63316,
2006-08-01,74026,,244,,39466,,68728,
2006-09-01,58060,,206,,31320,,52496,
2006-10-01,57255,,208,,31175,,52331,
2006-11-01,55272,,202,,29604,,49029,
2006-12-01,59448,,229,,34629,,54116,
2007-01-01,58793,,223,,29250,,47723,
2007-02-01,52829,,195,,25496,,42383,
2007-03-01,55612,,199,,30935,,51998,
2007-04-01,58294,,204,,30382,7,52103,
2007-05-01,65008,,213,,30218,12,54809,
2007-06-01,85264,,294,,42619,52,75687,
2007-07-01,89005,,319,,47099,22,80937,
2007-08-01,94314,,336,,52449,38,88739,
2007-09-01,80038,,297,,43098,75,71100,
2007-10-01,73560,,247,,37062,34,65384,
2007-11-01,72972,,237,,33206,,58636,
2007-12-01,71803,,237,,34778,,62178,
2008-01-01,60967,,207,,26951,,47297,
2008-02-01,55039,,189,,25206,,44645,
2008-03-01,60240,,203,,31382,,55021,
2008-04-01,60156,,201,,30625,2,53668,
2008-05-01,62477,,210,,31974,19,55372,
2008-06-01,75787,,259,,40508,97,68830,
2008-07-01,87161,,297,,46829,111,80266,
2008-08-01,86440,,297,,46267,91,79692,
2008-09-01,58145,,204,,29154,151,52087,
2008-10-01,49419,,176,,25926,58,45121,
2008-11-01,48546,,170,,24098,34,42477,
2008-12-01,46704,,168,,24784,40,42440,
2009-01-01,48625,,180,,23982,20,41319,
2009-02-01,42843,,156,,21497,12,36146,
2009-03-01,47971,,176,,25946,146,43741,
2009-04-01,48286,,172,,24984,,42668,
2009-05-01,49029,1081,175,1,25689,168,43362,841
2009-06-01,59528,58465,200,55,30874,10400,54401,51026
2009-07-01,65188,60636,212,57,34267,10345,59824,50790
2009-08-01,62384,61746,218,58,35768,10889,58610,53488
2009-09-01,52500,49841,214,47,32668,8442,48615,41353
2009-10-01,51682,53064,215,50,31515,8863,47785,43416
2009-11-01,51008,49851,213,47,29843,7581,45132,37072
2009-12-01,50751,50893,200,48,28912,8888,45991,43411
2010-01-01,78868,51974,308,49,39094,7199,64186,35208
2010-02-01,72719,46413,296,44,37000,6137,59957,29981
2010-03-01,102942,53842,396,51,54465,9071,90990,44413
2010-04-01,98887,53935,373,51,51475,7905,84952,38786
2010-05-01,106647,60395,389,57,55711,10892,91455,53389
2010-06-01,131217,68059,468,60,72446,12894,121331,63164
2010-07-01,144892,69178,508,60,77173,11350,128993,55174
2010-08-01,131540,68839,471,61,74245,12602,121428,61694
2010-09-01,93526,67856,377,60,56573,11899,84005,58555
2010-10-01,93544,60251,402,54,58040,8974,82976,44033
2010-11-01,72886,54949,323,49,44990,7274,64121,35597
2010-12-01,76873,56691,336,51,47091,8067,67950,39491
2011-01-01,65061,59585,255,53,32705,7524,52912,36843
2011-02-01,59954,51143,237,46,30340,5405,49058,26422
2011-03-01,82772,58536,346,53,46967,7509,72686,36872
2011-04-01,78367,62147,322,55,43913,8382,68790,41398
2011-05-01,84417,62141,359,55,49460,10303,75759,50853
2011-06-01,113341,66727,454,60,67486,11820,104769,58103
2011-07-01,126328,68984,494,62,74296,11163,116065,54840
2011-08-01,111523,69308,453,62,71640,12469,106253,61146
2011-09-01,91181,65747,383,59,58409,11483,86298,56391
2011-10-01,89732,48560,392,44,56669,8158,82878,39842
2011-11-01,74559,43178,326,42,47982,6941,69704,33785
2011-12-01,79625,49592,361,48,50559,8198,71921,39678
2012-01-01,71235,46800,312,45,42429,6822,62242,33027
2012-02-01,66177,42186,300,41,39452,5330,57268,25872
2012-03-01,87709,50404,397,48,55357,8410,80086,40982
2012-04-01,83610,58687,375,52,51844,8503,75132,41954
2012-05-01,86845,68898,388,61,54336,10564,78792,52055
2012-06-01,118393,71422,469,60,69347,13119,107578,64640
2012-07-01,132437,76437,505,61,77255,12189,121929,59339
2012-08-01,118616,77469,475,62,75815,14232,113768,70161
2012-09-01,96148,69139,404,59,60105,11930,88728,58907
2012-10-01,81808,55419,368,51,54373,9265,76417,45442
2012-11-01,74208,43925,326,43,47999,7563,69163,36874
2012-12-01,85313,46124,358,45,52756,8136,78932,39983
2013-01-01,72843,44395,318,43,43282,6990,64215,34342
2013-02-01,63199,42065,279,40,38878,6297,57181,30906
2013-03-01,92406,48867,403,45,55319,8466,81760,40818
2013-04-01,84862,65235,379,50,53178,9361,76536,46246
2013-05-01,90155,72087,394,55,56825,12875,81774,62495
2013-06-01,121195,77824,485,60,71500,14091,109455,69420
2013-07-01,139794,79796,545,62,80293,12516,125486,61751
2013-08-01,132534,79761,522,62,79870,14832,122845,73088
2013-09-01,102515,76225,406,59,62868,13463,93642,66464
2013-10-01,94573,74288,405,59,58276,11475,85211,56456
2013-11-01,82985,49096,362,43,48805,7939,72534,39061
2013-12-01,103353,50587,413,44,60934,8757,96620,43079
2014-01-01,89222,47892,371,43,48581,7609,76570,37456
2014-02-01,76421,40573,314,38,42205,6016,64702,29615
2014-03-01,103606,54242,421,46,60088,9279,92041,45621
2014-04-01,109718,65211,427,50,60497,9069,94194,46676
2014-05-01,120539,72201,452,56,65607,11454,103876,59391
2014-06-01,130368,72575,501,60,75118,12595,118368,63929
2014-07-01,150556,76577,563,62,82650,11925,132939,60672
2014-08-01,144849,76169,544,62,83492,13819,132320,69582
2014-09-01,104682,74094,401,60,65408,12579,97621,65345
2014-10-01,97680,64264,403,53,63465,10187,91790,49905
2014-11-01,84049,46799,353,44,53969,7529,79370,38117
2014-12-01,103258,44662,409,42,65185,7966,96676,39057
2015-01-01,80814,50101,338,47,50244,7861,73342,38586
2015-02-01,67747,43743,290,41,44228,6433,63716,32468
2015-03-01,104228,53427,448,45,66037,9051,95971,46010
2015-04-01,98141,65008,403,50,63395,9947,94121,49401
2015-05-01,108914,68813,416,54,65375,11909,99682,58038
2015-06-01,154806,76282,599,60,91460,13956,142170,67299
2015-07-01,180011,77692,711,61,103956,12200,159503,62747
2015-08-01,171504,78832,678,62,104095,13966,157764,71479
2015-09-01,113707,73623,509,57,77544,13241,106697,65923
2015-10-01,116290,66714,531,54,79797,10999,108087,55507
2015-11-01,98265,53843,507,52,68875,8653,90681,43769
2015-12-01,120464,51779,536,50,77048,8964,110406,45067
2016-01-01,94430,54920,467,53,61245,8656,83707,44117
2016-02-01,83868,47505,433,46,56113,7168,74374,37142
