Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,60381,,483,,55700,,41624,
2002-11-01,56319,,453,,53141,,39730,
2002-12-01,58791,,470,,56109,,44409,
2003-01-01,59825,,485,,47082,,36948,
2003-02-01,46607,,377,,42272,,33711,
2003-03-01,52844,,456,,48487,,37393,
2003-04-01,52092,,428,,48824,,35969,
2003-05-01,52596,,433,,47823,,37246,
2003-06-01,52593,,428,,50661,,40290,
2003-07-01,52509,,426,,51779,,41867,
2003-08-01,53952,,448,,53146,,43088,
2003-09-01,50627,,420,,42578,,32658,
2003-10-01,51571,,447,,49121,,37936,
2003-11-01,48277,,426,,44262,,34286,
2003-12-01,51198,,430,,48723,,38990,
2004-01-01,57383,,499,,43262,16,33244,
2004-02-01,53921,,470,,42755,25,33527,
2004-03-01,58901,,522,,49221,51,38769,
2004-04-01,57989,,501,,54779,29,41008,
2004-05-01,59716,,509,,54985,,42009,
2004-06-01,66586,,612,,66201,,51449,
2004-07-01,67629,,620,,69535,,53761,
2004-08-01,68828,,633,,67619,,52078,
2004-09-01,66342,,588,,50558,,39382,
2004-10-01,69909,,623,,59617,,46146,
2004-11-01,68502,,596,,59141,,45754,
2004-12-01,66754,,604,,60158,,47430,
2005-01-01,59260,,545,,50544,,40682,
2005-02-01,59455,,558,,48582,,39236,
2005-03-01,65684,2442,617,11,63578,1374,50812,2034
2005-04-01,64580,,603,,55465,,43986,
2005-05-01,67109,,634,,61645,,48828,
2005-06-01,62293,,609,,65001,,51493,
2005-07-01,60679,,588,,65379,,51477,
2005-08-01,61009,,593,,64304,,51025,
2005-09-01,54498,,488,,52532,15,43791,
2005-10-01,56929,,510,,52857,50,44002,
2005-11-01,47935,,430,,47159,,38940,
2005-12-01,43426,,326,,41185,,36438,
2006-01-01,43005,,311,,37786,,34580,
2006-02-01,39451,,286,,34908,,30987,
2006-03-01,44362,,318,,41757,,37166,
2006-04-01,40751,,299,,35518,,30030,
2006-05-01,42748,,315,,37176,,32646,
2006-06-01,45870,,337,,47085,,41273,
2006-07-01,49753,,356,,48694,,43208,
2006-08-01,51713,,365,,50998,,45304,
2006-09-01,45100,,309,,40479,2,36422,
2006-10-01,46781,,317,,46085,30,40774,
2006-11-01,44261,,304,,43108,67,38040,
2006-12-01,47547,,323,,44818,64,39935,
2007-01-01,47349,,329,,41747,117,36964,
2007-02-01,41075,,287,,38323,81,34141,
2007-03-01,50014,,326,,50710,189,46092,
2007-04-01,47117,,324,,48650,97,43279,
2007-05-01,45788,,325,,45814,,40217,
2007-06-01,48944,,319,,49993,,45818,
2007-07-01,51130,,318,,51792,,48292,
2007-08-01,51498,,328,,53430,,48734,
2007-09-01,49821,,317,,44643,,40458,
2007-10-01,52270,,341,,51040,,45083,
2007-11-01,49073,,320,,46350,,40566,
2007-12-01,47768,,315,,43313,,38824,
2008-01-01,48874,,319,,41716,,38599,
2008-02-01,47332,,306,,40525,19,37744,
2008-03-01,49726,,331,,47107,2,44506,
2008-04-01,47515,,317,,42318,,39506,
2008-05-01,47363,,315,,44294,,41212,
2008-06-01,49809,,332,,49679,148,46395,
2008-07-01,51096,,341,,52379,81,48499,
2008-08-01,51071,,349,,51198,28,47418,
2008-09-01,47713,,331,,46134,,40124,
2008-10-01,50410,,348,,51185,,43691,
2008-11-01,47049,,328,,47637,,40058,
2008-12-01,48260,,332,,47531,,41631,
2009-01-01,46785,,340,,43236,,37636,
2009-02-01,45647,,322,,39472,10,35819,
2009-03-01,48940,,327,,42669,38,39938,
2009-04-01,43873,,309,,41946,73,37700,
2009-05-01,44864,,315,,42922,,38335,
2009-06-01,47331,,338,,47547,46,42795,
2009-07-01,49580,,361,,51778,27,46160,
2009-08-01,50958,,368,,52328,35,46570,
2009-09-01,44819,,340,,41798,,35301,
2009-10-01,48331,10766,358,17,46306,2517,39355,8446
2009-11-01,47309,12671,348,20,44087,2646,36889,9345
2009-12-01,44902,12037,341,19,41105,2430,35421,8976
2010-01-01,67204,12660,586,20,56127,2284,48897,7738
2010-02-01,48034,9477,415,15,43339,1317,37205,4827
2010-03-01,62460,13943,529,22,61489,2967,52566,10784
2010-04-01,60560,10777,534,17,61880,2162,50104,7876
2010-05-01,61966,19652,555,31,67196,4379,54301,16930
2010-06-01,65070,17750,583,28,72682,4542,58452,16848
2010-07-01,66694,19652,586,31,74119,4390,60384,16370
2010-08-01,70085,19018,611,30,75686,4400,61907,15751
2010-09-01,73883,19014,613,30,69434,4619,57105,17135
2010-10-01,71048,19641,610,31,73002,3966,57820,14681
