Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,92766,,406,,48006,,71999,
2002-11-01,88215,,387,,45046,,67422,
2002-12-01,97369,,368,,48879,,74163,
2003-01-01,96410,,369,,46303,,70150,
2003-02-01,85981,,331,,42360,,63962,
2003-03-01,95001,,367,,52884,,80015,
2003-04-01,84262,,310,,41152,,64212,
2003-05-01,81466,,280,,37864,,61887,
2003-06-01,65160,,264,,32712,15,53829,
2003-07-01,67855,,275,,30830,16,50263,
2003-08-01,65895,,276,,26835,22,44183,
2003-09-01,63133,,264,,24641,32,40431,
2003-10-01,73317,,305,,32641,70,53572,
2003-11-01,70045,,294,,29880,42,49244,
2003-12-01,76250,,305,,33028,,54469,
2004-01-01,84102,,332,,35212,,55061,
2004-02-01,80708,,318,,36673,,56263,
2004-03-01,86386,,341,,45870,,70974,
2004-04-01,73131,,329,,41144,,58966,
2004-05-01,71656,,328,,37619,,53495,
2004-06-01,63892,,299,,39674,,56112,
2004-07-01,64418,,296,,37805,,53075,
2004-08-01,64220,,295,,30656,,43885,
2004-09-01,63395,,291,,29163,,41808,
2004-10-01,73057,,322,,38662,,56016,
2004-11-01,72866,,322,,39816,,57247,
2004-12-01,79951,,314,,39516,,58430,
2005-01-01,75903,,288,,39284,,59027,
2005-02-01,69983,,273,,37312,,56684,
2005-03-01,79652,,308,,48201,,72089,
2005-04-01,74458,,297,,43313,,65733,
2005-05-01,75642,,301,,41346,,62882,
2005-06-01,72808,,297,,41782,,63328,
2005-07-01,70927,,298,,41765,,62175,
2005-08-01,71040,,306,,37392,,56586,
2005-09-01,64253,,263,,33166,,50141,
2005-10-01,57783,,240,,32637,,48551,
2005-11-01,69429,,277,,38454,,57155,
2005-12-01,79615,,376,,47382,,59982,
2006-01-01,80412,,371,,47950,,61760,
2006-02-01,70655,,333,,44694,,56835,
2006-03-01,81318,,382,,56737,,72724,
2006-04-01,71190,,344,,48670,,61346,
2006-05-01,70847,,336,,46393,,58742,
2006-06-01,69563,,344,,49504,,62582,
2006-07-01,72369,,357,,49079,,62649,
2006-08-01,72321,,356,,43918,,55378,
