Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,111673,,461,,57580,,83914,
2002-11-01,103965,,431,,56037,,80882,
2002-12-01,115045,,455,,63219,,90665,
2003-01-01,116700,,460,,55094,,78788,
2003-02-01,104104,,415,,53004,,74118,
2003-03-01,115667,,458,,62912,,88981,
2003-04-01,110480,,445,,58164,,83642,
2003-05-01,114130,,463,,54856,,80165,
2003-06-01,117509,,446,,61768,,89850,
2003-07-01,116410,,452,,66069,,97279,
2003-08-01,117290,,458,,64372,,94919,
2003-09-01,111771,,442,,49390,,71842,
2003-10-01,112907,,459,,55517,,80841,
2003-11-01,109094,,444,,52167,,75885,
2003-12-01,117310,,454,,58538,,87268,
2004-01-01,106534,,427,,50899,,75774,
2004-02-01,97502,,401,,50211,,73377,
2004-03-01,106295,,432,,56844,,84876,
2004-04-01,103270,,414,,56782,,85415,
2004-05-01,105083,,431,,53367,,80675,
2004-06-01,102058,,419,,57921,,87360,
2004-07-01,126775,,482,,68199,,108527,
2004-08-01,126665,,485,,67666,,107814,
2004-09-01,118801,,464,,51940,,81870,
2004-10-01,127271,,485,,60055,,96877,
2004-11-01,123010,,467,,57405,,92757,
2004-12-01,124664,,455,,57404,,94537,
2005-01-01,119043,,435,,54540,,87603,
2005-02-01,105882,,391,,53124,,80638,
2005-03-01,117051,,434,,68566,,105385,
2005-04-01,107421,,365,,57001,,92468,
2005-05-01,107495,,337,,51350,,87042,
2005-06-01,107941,,389,,59481,,94621,
2005-07-01,110290,,402,,61599,,97680,
2005-08-01,113035,,401,,66447,,105373,
2005-09-01,104374,,356,,51288,,81567,
2005-10-01,106217,,338,,51178,,84534,
2005-11-01,106488,,330,,51829,,85711,
2005-12-01,105846,,373,,52078,,83433,
2006-01-01,102391,,369,,49434,,78483,
2006-02-01,91705,,334,,48617,,76789,
2006-03-01,110551,,386,,57189,,92157,
2006-04-01,106030,,376,,54328,,86025,
2006-05-01,102600,,342,,48924,,80429,
2006-06-01,112732,,360,,55952,92,94749,
2006-07-01,124562,,413,,65328,49,107529,
2006-08-01,127812,,417,,64481,55,106083,
2006-09-01,109321,,338,,50518,88,85719,
2006-10-01,110782,,346,,55302,116,93430,
2006-11-01,106499,,328,,52121,125,87706,
2006-12-01,102280,,309,,46925,74,80398,
2007-01-01,93158,,292,,45692,63,77385,
2007-02-01,83206,,269,,43710,65,74493,
2007-03-01,88264,,300,,47780,132,81351,
2007-04-01,90147,,291,,47095,82,80479,
2007-05-01,97925,,287,,47935,72,84038,
2007-06-01,109685,,350,,57109,88,96539,
2007-07-01,120373,,397,,63590,190,105304,
2007-08-01,123108,,417,,66259,218,108877,
2007-09-01,114012,,392,,56869,231,92961,
2007-10-01,117887,,406,,60299,62,98297,
2007-11-01,111145,,382,,58227,94,94529,
2007-12-01,105222,,335,,52758,55,88349,
2008-01-01,101394,,353,,50598,58,82323,
2008-02-01,95114,,337,,50639,40,82093,
2008-03-01,99914,,359,,56096,77,92896,
2008-04-01,101039,,347,,56743,79,95368,
2008-05-01,95651,,336,,51430,128,84553,
2008-06-01,103243,,393,,58832,253,92548,
2008-07-01,106477,,403,,62514,366,98458,
2008-08-01,106107,,407,,63610,322,99164,
2008-09-01,94736,,331,,52862,289,86942,
2008-10-01,97790,,337,,55220,376,90661,
2008-11-01,94253,,325,,51997,313,84256,
2008-12-01,81420,,288,,45116,283,74561,
2009-01-01,80105,,275,,40851,225,69858,
2009-02-01,72017,,246,,37945,251,64176,
2009-03-01,80091,,293,,45431,431,73889,
2009-04-01,80282,,284,,45557,310,75818,
2009-05-01,97701,,325,,51670,395,88679,
2009-06-01,107735,,377,,60855,229,100345,
2009-07-01,117478,,398,,66470,298,108642,
2009-08-01,116920,,393,,66260,367,109976,
2009-09-01,98626,,360,,52989,347,88492,
2009-10-01,99511,,349,,52698,354,90725,
2009-11-01,91531,,301,,44887,156,79994,
2009-12-01,82441,,277,,40459,44,70111,
2010-01-01,114066,,385,,54337,34,96345,
2010-02-01,110065,,380,,55390,20,95867,
2010-03-01,134042,,462,,72250,53,124196,
2010-04-01,139329,,520,,78524,38,128599,
2010-05-01,159109,,617,,84939,83,139096,
2010-06-01,181502,,662,,99519,31,167739,
2010-07-01,185917,,679,,102865,,171343,
2010-08-01,167745,,628,,96398,,158121,
2010-09-01,140981,,538,,75731,,123501,
2010-10-01,144319,,546,,78589,7,128574,
2010-11-01,124252,,483,,69070,155,111704,
2010-12-01,119298,,462,,65393,133,105658,
2011-01-01,111264,,424,,57056,1,92408,
2011-02-01,101675,,384,,53276,,86247,
2011-03-01,141492,,516,,77354,138,128090,
2011-04-01,131268,,503,,74400,172,121115,
2011-05-01,148078,,557,,81352,108,133454,
2011-06-01,165152,,604,,91307,285,151022,
2011-07-01,174056,,628,,97082,355,160553,
2011-08-01,156589,,593,,90742,401,148808,
2011-09-01,138280,,524,,76068,422,124727,
2011-10-01,143496,,548,,78194,406,128608,
2011-11-01,129360,,497,,71419,169,116208,
2011-12-01,128655,,494,,70040,240,111630,
2012-01-01,115007,,461,,62049,191,98142,
2012-02-01,109098,,431,,61738,225,96143,
2012-03-01,130332,,499,,78081,132,121976,
2012-04-01,123096,,478,,73195,141,115341,
2012-05-01,134967,,515,,74308,256,121130,
2012-06-01,160927,,589,,91799,269,149412,
2012-07-01,169298,,614,,96194,307,157367,
2012-08-01,153003,,574,,91558,179,147252,
2012-09-01,122452,,474,,67839,124,109474,
2012-10-01,127596,,489,,73586,48,118010,
2012-11-01,123677,,460,,69092,89,111139,
2012-12-01,127875,,478,,70069,43,110357,
2013-01-01,112230,,444,,63078,44,99033,
2013-02-01,100230,,402,,58821,47,90647,
2013-03-01,131571,,520,,76986,49,119433,
2013-04-01,125985,,495,,72272,66,114262,
2013-05-01,133379,,519,,74156,68,119339,
2013-06-01,159242,,577,,89984,35,147758,
2013-07-01,171390,,622,,97098,,158731,
2013-08-01,160677,,586,,92873,,151326,
2013-09-01,124158,,475,,68581,,109855,
2013-10-01,131566,,496,,71531,40,115079,
2013-11-01,123531,,459,,66426,23,106358,
2013-12-01,125093,,449,,69605,,113918,
2014-01-01,115056,,432,,61972,,97995,
2014-02-01,101775,,392,,59026,,90860,
2014-03-01,144260,,535,,84459,,134842,
2014-04-01,133129,,501,,78224,196,125338,
2014-05-01,135772,,478,,77195,217,124635,
2014-06-01,152048,,544,,88413,28,143321,
2014-07-01,178905,,634,,98165,86,162381,
2014-08-01,185489,,699,,109679,89,174850,
2014-09-01,134033,,494,,76520,5,121083,
2014-10-01,137680,,523,,79494,,125766,
2014-11-01,123766,,466,,69828,15,111811,
2014-12-01,135104,,513,,77437,,122853,
2015-01-01,118141,,454,,67307,,104503,
2015-02-01,104376,,392,,61448,81,95257,
2015-03-01,144762,1683,552,13,85419,1393,133487,824
2015-04-01,138911,385,525,3,81799,647,130813,214
2015-05-01,145281,,517,,82205,316,133555,
2015-06-01,176899,,589,,100168,335,164159,
2015-07-01,192462,,631,,103758,611,171135,
2015-08-01,189985,,645,,104676,373,168482,
2015-09-01,145433,,500,,78663,540,129025,
2015-10-01,146185,,514,,82422,494,135084,
2015-11-01,136636,,496,,76098,,123715,
2015-12-01,150232,,546,,83321,,133704,
2016-01-01,125436,,499,,72610,,111176,
2016-02-01,123056,,490,,71580,,108073,
2016-03-01,154580,,613,,93352,47,142475,
2016-04-01,160339,,633,,94038,197,146134,
2016-05-01,165182,,615,,95976,207,149538,
2016-06-01,174475,,631,,102687,239,161626,
2016-07-01,206240,,721,,112730,303,182166,
2016-08-01,189191,,676,,104453,309,168811,
2016-09-01,151877,,547,,86716,344,140850,
2016-10-01,152434,,571,,87162,258,141477,
2016-11-01,138516,,524,,81965,205,129352,
2016-12-01,150397,,550,,86224,249,137809,
2017-01-01,133588,,509,,73200,,116319,
2017-02-01,125165,,474,,72142,,113201,
2017-03-01,160987,,632,,95391,,147804,
