Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,165753,,528,,63377,28,101945,
2002-11-01,152858,,503,,62988,,98532,
2002-12-01,147845,,498,,73912,,120463,
2003-01-01,146114,,492,,53094,,85471,
2003-02-01,130140,,444,,49445,,78178,
2003-03-01,144963,,495,,60128,,95033,
2003-04-01,142419,,478,,59893,,96721,
2003-05-01,140899,,436,,61634,,106983,
2003-06-01,158404,,482,,80436,,137166,
2003-07-01,165933,,492,,87728,,150443,
2003-08-01,161816,,494,,89433,,151116,
2003-09-01,159425,,477,,70477,,117620,
2003-10-01,139789,,485,,56740,,94323,
2003-11-01,136281,,472,,53480,,89578,
2003-12-01,139463,,489,,63204,,105290,
2004-01-01,139120,,463,,45349,,77950,
2004-02-01,129855,,434,,44421,,77669,
2004-03-01,137819,,464,,55529,,99390,
2004-04-01,145633,,473,,58278,10,105746,
2004-05-01,155682,,494,,59360,13,108825,
2004-06-01,174639,,534,,80007,18,144257,
2004-07-01,182550,,548,,88258,25,160431,
2004-08-01,183695,1278,549,1,92802,41,169137,854
2004-09-01,175924,,529,,74789,35,135022,
2004-10-01,162085,,513,,62828,20,111310,
2004-11-01,154261,,492,,61261,28,107820,
2004-12-01,127450,,425,,55644,,97823,
2005-01-01,121839,,414,,51078,,89117,
2005-02-01,129170,,433,,50962,,87630,
2005-03-01,142332,1278,481,1,63286,,113185,1159
2005-04-01,140762,,468,,66761,,117956,
2005-05-01,152231,,487,,73480,,131240,
2005-06-01,179626,,508,,87271,,158843,
2005-07-01,200687,,555,,96363,,180139,
2005-08-01,201236,,555,,101915,,189699,
2005-09-01,174779,,499,,78309,,142393,
2005-10-01,178206,,520,,65856,,117393,
2005-11-01,149649,,445,,63734,,112732,
2005-12-01,128301,,385,,60048,,105720,
2006-01-01,109954,,363,,48383,,82573,
2006-02-01,97773,,325,,45495,,77162,
2006-03-01,116979,,387,,60046,,105158,
2006-04-01,119423,,383,,54314,,97609,
2006-05-01,153887,,488,,63085,,112907,
2006-06-01,168426,,497,,86666,109,156092,
2006-07-01,175502,,513,,91579,113,164807,
2006-08-01,187568,,535,,97188,133,175593,
2006-09-01,136615,,412,,71545,21,127161,
2006-10-01,138025,,412,,63450,,114827,
2006-11-01,127254,,388,,60338,34,108107,
2006-12-01,130940,,393,,62020,24,112821,
2007-01-01,125045,,370,,52255,,96733,
2007-02-01,113971,,338,,48392,,89801,
2007-03-01,138666,,398,,67365,227,127877,
2007-04-01,144685,,410,,69005,92,129595,
2007-05-01,160235,,452,,73429,233,136049,
2007-06-01,182760,,512,,92092,273,171325,
2007-07-01,204346,,615,,104810,284,188409,
2007-08-01,200863,,595,,107617,296,194076,
2007-09-01,180053,1278,548,1,91853,271,165188,1187
