Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,185635,,580,,62526,446,122596,
2002-11-01,176483,,543,,55848,154,106181,
2002-12-01,181339,,559,,67867,107,128832,
2003-01-01,175862,,559,,51248,57,99455,
2003-02-01,156351,,499,,46180,20,88300,
2003-03-01,182130,,572,,57713,55,110350,
2003-04-01,171088,,531,,53945,45,107578,
2003-05-01,161640,,514,,58057,73,115921,
2003-06-01,161251,,506,,67465,236,135051,
2003-07-01,161526,,513,,71450,4,140664,
2003-08-01,174515,,549,,77594,,149125,
2003-09-01,168365,,531,,56503,,109727,
2003-10-01,178573,,550,,59932,,116754,
2003-11-01,171046,,524,,58611,,114737,
2003-12-01,182075,,577,,64464,,130122,
2004-01-01,186006,,589,,51498,,104849,
2004-02-01,176273,,565,,49468,,97415,
2004-03-01,190955,,607,,64496,,126766,
2004-04-01,206763,,646,,72816,,144780,
2004-05-01,215518,,672,,77648,,154709,
2004-06-01,199982,,592,,87493,,179922,
2004-07-01,204656,,602,,85836,,179580,
2004-08-01,205265,,600,,82813,,168237,
2004-09-01,208906,,602,,67811,,139640,
2004-10-01,215522,,623,,78844,,166739,
2004-11-01,207115,,597,,71308,,148925,
2004-12-01,204405,,617,,71581,,150380,
2005-01-01,187722,,543,,55981,,119543,
2005-02-01,167861,,429,,50042,,110112,
2005-03-01,190719,,484,,68949,,152621,
2005-04-01,183426,,442,,65134,,143580,
2005-05-01,205814,,485,,72262,,159975,
2005-06-01,217328,,514,,85084,,189438,
2005-07-01,237673,,550,,92135,,208721,
2005-08-01,242011,,551,,95783,,214582,
2005-09-01,269874,,604,,82496,,183458,
2005-10-01,276239,,628,,82370,,182637,
2005-11-01,233579,,537,,77112,,169088,
2005-12-01,232489,,527,,78158,,172545,
2006-01-01,191661,,451,,55985,,123138,
2006-02-01,179030,,440,,53567,,113153,
2006-03-01,215052,,520,,75969,,162243,
2006-04-01,216595,,524,,77807,,164385,
2006-05-01,207879,,523,,69102,,143925,
2006-06-01,205215,,515,,84924,33,179540,
2006-07-01,210290,,500,,84188,27,181699,
2006-08-01,215476,,506,,84617,48,180381,
2006-09-01,171565,,381,,61017,82,137980,
2006-10-01,178314,,379,,65246,99,151539,
2006-11-01,171767,,370,,57993,61,134861,
2006-12-01,161541,,351,,54257,69,128991,
2007-01-01,155845,,341,,42884,64,102103,
2007-02-01,142135,,309,,42659,74,99902,
2007-03-01,165440,,348,,58633,6,136881,
2007-04-01,165772,,357,,62190,170,140886,
2007-05-01,186254,,439,,70961,547,152567,
2007-06-01,203976,,486,,89047,748,192572,
2007-07-01,223594,,548,,95263,1022,202014,
2007-08-01,218175,,538,,94452,1131,197920,
2007-09-01,183311,,478,,70685,1256,147853,
2007-10-01,180833,,472,,71220,682,149929,
2007-11-01,171691,,447,,64817,397,134829,
2007-12-01,160378,,432,,60578,504,126654,
2008-01-01,137245,,366,,45247,317,96221,
2008-02-01,130074,,341,,44578,282,93669,
2008-03-01,146253,,363,,58520,465,126066,
2008-04-01,144508,,357,,55217,696,120301,
2008-05-01,148097,,368,,58627,973,128278,
2008-06-01,176944,,424,,76106,1484,163438,
2008-07-01,186251,,442,,80283,1765,171786,
2008-08-01,183095,,443,,79533,1900,170973,
2008-09-01,156795,,363,,63593,1976,147184,
2008-10-01,160118,,368,,64502,1256,148235,
2008-11-01,152668,,356,,60483,396,136830,
2008-12-01,157101,,379,,63164,404,139787,
2009-01-01,139252,,374,,50955,207,108748,
2009-02-01,128734,,346,,44212,180,93078,
2009-03-01,143107,,390,,55600,297,118477,
2009-04-01,155767,,412,,64247,603,137253,
2009-05-01,161051,,424,,65881,1034,141641,
2009-06-01,172874,,441,,76609,938,162760,
2009-07-01,191998,,496,,83865,680,177340,
2009-08-01,186721,,486,,81391,778,173548,
2009-09-01,154209,,364,,62950,814,144859,
2009-10-01,163522,,378,,65443,646,150225,
2009-11-01,155626,,360,,58462,254,133107,
2009-12-01,160989,,369,,58370,226,132581,
2010-01-01,237346,39726,657,31,83703,5714,179477,28361
2010-02-01,211311,34864,591,28,76266,5278,161163,26189
2010-03-01,251466,38599,685,31,103045,6363,218011,31605
2010-04-01,245771,36109,678,29,105435,4482,220336,22546
2010-05-01,277315,39163,731,31,117000,7279,243247,34843
2010-06-01,299196,33260,851,30,145050,7202,285670,31507
2010-07-01,316576,34377,936,31,150795,6496,292159,28423
2010-08-01,313449,34367,941,31,150856,6537,292067,28136
2010-09-01,282574,33280,834,30,127129,5829,252917,25215
2010-10-01,280405,34362,850,31,130432,5735,255468,26937
2010-11-01,248209,33265,739,30,110502,6079,217707,27542
2010-12-01,241166,34526,726,31,106221,6383,208755,29540
2011-01-01,228981,34392,662,31,87751,5122,180554,25574
2011-02-01,208070,30969,596,28,80768,4115,165652,20245
2011-03-01,243520,32340,699,30,105708,4103,215949,18706
2011-04-01,244058,26896,656,25,104827,3589,219717,16310
2011-05-01,258671,27839,675,26,112594,5216,236513,24570
2011-06-01,285942,32056,780,30,130966,6486,267761,29868
2011-07-01,307985,32102,836,30,137653,6133,280487,26261
2011-08-01,301835,33188,833,31,138891,6506,281645,27501
2011-09-01,278921,31497,790,29,124154,5662,254180,24436
2011-10-01,270562,24636,787,23,120055,4314,245410,19538
2011-11-01,243002,22505,701,21,105808,3360,215834,16397
2011-12-01,234849,27859,678,26,99012,4877,200632,24708
2012-01-01,220028,25712,623,24,83126,4320,173346,21377
2012-02-01,203417,22505,575,21,78151,3986,163377,19845
2012-03-01,234382,22484,665,21,101552,3905,212033,18021
2012-04-01,235767,23581,683,22,105307,3099,214550,14819
2012-05-01,247650,32127,715,30,110019,5737,222365,27337
2012-06-01,311767,32133,881,30,144841,6773,289549,31031
2012-07-01,334344,33649,956,31,151565,5981,298479,25102
2012-08-01,316968,33178,919,31,151368,7407,297647,30964
2012-09-01,268388,32112,762,30,120438,5233,244505,21685
2012-10-01,270402,32230,780,30,123164,6207,250543,26261
2012-11-01,245032,22756,689,21,106541,4092,219152,18949
2012-12-01,235277,24672,653,23,97224,4894,201488,22484
2013-01-01,216664,22693,608,21,84026,3960,175090,17856
2013-02-01,193955,22038,539,20,74627,3816,153345,17488
2013-03-01,240036,25799,649,23,102700,4905,210632,22182
