Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,617512,,3693,,404421,538,424427,
2002-11-01,580220,,3471,,369667,512,379536,
2002-12-01,613970,,3642,,433749,898,447722,
2003-01-01,615402,,3689,,393061,896,419337,
2003-02-01,553572,,3311,,361719,466,379522,
2003-03-01,615740,,3622,,431514,608,463517,
2003-04-01,569741,,3303,,351478,445,377937,
2003-05-01,535382,,3182,,364564,292,389006,
2003-06-01,564397,,3467,,435851,431,458068,
2003-07-01,570113,,3526,,463329,93,483060,
2003-08-01,573435,,3578,,458517,108,476740,
2003-09-01,559466,,3372,,365241,126,385325,
2003-10-01,571359,,3412,,378450,167,399069,
2003-11-01,550924,,3274,,334467,312,350951,
2003-12-01,548902,,3407,,368644,547,383174,
2004-01-01,501345,1461,2985,1,309127,208,340808,1287
2004-02-01,455504,,2732,,299758,169,330020,
2004-03-01,488356,,2928,,336253,194,382413,
2004-04-01,472547,,2770,,293721,235,334785,
2004-05-01,488816,,2847,,292420,218,337708,
2004-06-01,502770,,2869,,362498,,419765,
2004-07-01,511990,,2912,,376610,,438421,
2004-08-01,517029,,2925,,364956,,424213,
2004-09-01,500448,,2737,,312719,,361847,
2004-10-01,508258,,2811,,322824,,368756,
2004-11-01,494011,1202,2697,4,307098,593,349629,1188
2004-12-01,528550,1202,2966,4,339983,907,384391,1128
2005-01-01,541140,1503,3103,5,360598,918,408806,1409
2005-02-01,540354,6804,3099,32,352532,3943,407329,5583
2005-03-01,602360,8087,3436,39,429926,5356,508412,7228
2005-04-01,580417,8204,3144,39,370117,4682,447371,6673
2005-05-01,634095,8388,3202,40,373085,4306,475477,6132
2005-06-01,631250,12078,3191,60,426579,6931,541727,9531
2005-07-01,647580,12180,3308,61,457645,6727,572145,9018
2005-08-01,650071,12481,3307,62,444151,7180,556614,10153
2005-09-01,566728,12078,3183,60,376528,5684,447957,7567
2005-10-01,591078,8874,3266,50,369638,3850,443733,5115
2005-11-01,541873,9234,3005,57,344567,5383,408417,6151
2005-12-01,529080,15125,2635,89,322749,9240,397535,11287
2006-01-01,526439,14996,2710,87,342882,8121,421761,9796
2006-02-01,484079,13418,2438,70,311682,7805,385477,10217
2006-03-01,557956,16109,2788,83,376839,9959,476117,13318
2006-04-01,533154,15717,2598,80,325131,9272,411501,12665
2006-05-01,517766,12473,2571,70,304879,7975,380835,9905
2006-06-01,537590,21036,2596,99,357964,11103,461095,16254
2006-07-01,554271,26073,2672,119,381834,13081,486656,19810
2006-08-01,567417,25999,2715,118,375337,13249,471904,20308
2006-09-01,494797,10758,2434,57,320569,5650,395728,6952
2006-10-01,493784,9412,2437,53,329527,5217,407190,6343
2006-11-01,475386,16033,2306,74,303262,7599,376513,11786
2006-12-01,525614,25318,2450,117,322157,13815,412827,20800
2007-01-01,517786,22762,2397,100,323106,11291,415769,16668
2007-02-01,451089,21729,2104,95,279460,11184,357053,16752
2007-03-01,520277,26184,2468,117,358106,14490,457846,21279
2007-04-01,493199,20985,2416,94,330864,10552,412770,15378
2007-05-01,505476,21814,2522,107,338523,12111,417982,15410
2007-06-01,546099,21391,2676,103,379710,12943,488547,17318
2007-07-01,572963,21169,2811,101,402194,13273,513338,17973
2007-08-01,570386,18028,2838,87,404746,11181,508555,14322
2007-09-01,495854,11116,2608,60,336461,6832,410897,7031
2007-10-01,485037,9239,2542,41,325947,5429,399919,7136
2007-11-01,477688,12634,2470,53,304273,7158,370523,10302
2007-12-01,489938,18675,2502,74,305253,10336,371265,16068
2008-01-01,518065,17751,2532,68,328026,8758,414151,13635
2008-02-01,489960,15776,2343,59,312336,8261,393865,13302
2008-03-01,522400,17319,2440,67,360957,9951,469748,15625
2008-04-01,469878,14584,2212,54,307337,7943,397311,12115
2008-05-01,486638,12600,2319,48,325578,7530,415738,10424
2008-06-01,538178,52466,2552,112,363563,16816,474253,43364
2008-07-01,549739,59000,2609,128,388696,16870,493702,43261
2008-08-01,524078,50198,2499,102,371238,15039,473233,40287
2008-09-01,400609,37646,2021,47,280040,8363,347737,31761
2008-10-01,412121,24602,2103,40,289517,6750,354149,19197
2008-11-01,390490,27362,1977,53,255952,7334,313785,18405
2008-12-01,428021,36803,2125,88,280723,11992,353730,26533
2009-01-01,444035,32761,2161,77,276958,9706,360572,22319
2009-02-01,419319,29409,2013,70,259974,8848,339402,18902
2009-03-01,488092,27456,2374,56,334764,9126,429624,22988
2009-04-01,452621,33206,2274,66,309860,9540,388317,25554
2009-05-01,459265,36344,2314,63,309261,8887,393451,28223
2009-06-01,531272,47061,2632,80,372382,13942,473475,42440
2009-07-01,564127,37214,2813,47,410727,8885,510005,29349
2009-08-01,546623,35545,2744,37,398984,7220,492379,29362
2009-09-01,394772,23895,2090,25,291976,5185,345715,22126
2009-10-01,392857,27557,2052,36,286033,6144,338155,23569
2009-11-01,378602,29840,1951,46,254152,6398,306219,21410
2009-12-01,403347,37006,2007,86,261913,12309,325867,30066
2010-01-01,439186,36524,2158,66,276423,8312,361421,26017
2010-02-01,391830,32401,1919,64,249009,9082,325982,25063
2010-03-01,442126,41103,2170,83,305431,12522,396160,35510
2010-04-01,420611,30529,2189,60,298314,8840,370493,25819
2010-05-01,440707,61201,2395,76,312732,13918,380736,55532
2010-06-01,481259,73500,2627,107,364836,19313,439678,69907
2010-07-01,516792,82208,2815,134,391867,19616,466978,64950
2010-08-01,520770,79471,2845,127,388472,18310,465974,65502
2010-09-01,468798,65803,2591,69,338930,11509,398316,55667
2010-10-01,476716,55873,2712,71,357097,10580,407019,46097
2010-11-01,443333,31978,2559,62,322606,7442,369114,24415
2010-12-01,466282,34547,2681,75,335724,10387,382356,28499
2011-01-01,418207,42376,2292,95,292619,10591,352367,28878
2011-02-01,391126,37752,2136,86,272735,9898,326610,25763
2011-03-01,453983,40614,2539,92,341776,11703,406540,32766
2011-04-01,427287,44052,2416,79,324272,10661,370776,35726
2011-05-01,444900,48963,2494,103,331406,13032,387495,40151
2011-06-01,469878,69728,2684,95,367189,15594,420060,59911
2011-07-01,487533,69200,2830,90,399242,13558,441525,50640
2011-08-01,483154,69167,2803,84,394670,13173,439881,53607
2011-09-01,440034,58571,2493,73,338848,11533,383860,46819
2011-10-01,443520,39135,2531,63,342601,9686,384037,32970
2011-11-01,417812,29413,2431,50,322765,6757,357671,22949
2011-12-01,435159,31570,2504,69,318439,10122,352751,27934
2012-01-01,424236,36798,2354,82,306259,9356,355354,27240
2012-02-01,395510,35242,2185,82,286723,9194,329821,23905
2012-03-01,455068,40703,2506,96,357533,12583,414613,34410
2012-04-01,435524,43066,2418,86,336552,11363,384943,35126
2012-05-01,441517,38427,2437,58,338526,8280,389508,33343
2012-06-01,477157,39989,2639,70,377637,11387,434905,37414
2012-07-01,504269,42642,2817,79,403400,10845,455380,33874
2012-08-01,510482,39113,2915,69,420380,10819,470238,34455
2012-09-01,449894,31705,2575,36,351553,6906,388378,30083
2012-10-01,447895,31847,2585,30,361607,5445,395523,27224
2012-11-01,423419,18049,2452,17,331189,3448,362977,15174
2012-12-01,451558,26990,2574,43,335898,6735,374105,22896
2013-01-01,415004,23308,2405,27,319855,4361,353537,18685
2013-02-01,379315,23571,2244,38,298800,5655,327316,17739
2013-03-01,476734,32082,2692,63,374035,9903,427022,28681
2013-04-01,450280,33466,2545,39,346627,6960,389388,28517
2013-05-01,468249,33137,2659,31,364846,6752,406817,30937
2013-06-01,506994,37925,2940,56,402741,12257,451277,35830
2013-07-01,542855,41586,3127,67,423354,13268,478290,34682
2013-08-01,537459,40103,3122,67,430016,13090,480557,36698
2013-09-01,474014,39783,2746,60,365756,11902,403315,38079
2013-10-01,483296,35978,2796,37,372445,8814,410698,31930
2013-11-01,431983,22191,2484,29,312028,5764,344532,17315
2013-12-01,441203,27389,2492,43,331884,7912,375648,24085
2014-01-01,436983,23629,2512,30,326720,6130,368686,19836
2014-02-01,407848,21635,2309,37,309864,6658,348053,17043
2014-03-01,513615,32500,2898,63,411063,11427,464348,30275
2014-04-01,483464,44142,2725,63,385295,12096,428030,38932
2014-05-01,491716,38517,2830,37,394355,9386,437104,36736
2014-06-01,525661,38630,3128,53,433914,11103,476138,36926
2014-07-01,543920,39927,3250,46,446719,10331,485571,35155
2014-08-01,539839,41671,3224,59,439547,11927,477933,38648
2014-09-01,481559,36494,2982,35,393603,9110,418232,35030
2014-10-01,497242,35268,3094,36,419126,7597,436210,32090
2014-11-01,451090,23355,2686,30,354841,5957,378973,20154
2014-12-01,461116,31648,2740,60,365350,9259,391409,28308
2015-01-01,439878,38043,2681,96,352072,12479,373071,32137
2015-02-01,412903,32298,2543,79,342998,10816,359162,27007
2015-03-01,520811,42056,3172,93,448256,14296,473096,38807
2015-04-01,475708,47806,2868,97,394000,15290,418753,43788
2015-05-01,490239,79120,2900,130,401415,21401,431958,70034
2015-06-01,536447,82438,3298,141,467506,22832,486394,74080
2015-07-01,577435,84825,3527,144,493651,21577,513221,67695
2015-08-01,572032,87559,3490,163,481354,24713,504501,74528
2015-09-01,483229,70636,3021,96,416123,17034,427165,65868
2015-10-01,508965,66182,3117,94,443213,15390,457284,58208
2015-11-01,463502,41826,2894,75,393266,11465,409860,36362
2015-12-01,469121,48595,2912,96,390614,14543,407839,42520
2016-01-01,449831,44550,2835,97,368284,14137,388861,39036
2016-02-01,448962,37770,2795,82,363294,12188,382086,33052
2016-03-01,556183,56211,3436,100,467743,15728,494137,48730
2016-04-01,498048,93287,3139,134,414514,20341,435978,74105
2016-05-01,528346,119372,3313,163,447106,25604,468501,98889
2016-06-01,575695,122245,3616,188,496506,30228,514226,109804
2016-07-01,616505,125465,3719,195,513151,29433,533977,101463
2016-08-01,601536,120299,3662,187,483114,28550,508650,99619
2016-09-01,508816,109801,3247,152,441223,24176,449210,93237
2016-10-01,541505,98983,3452,152,464487,22303,478978,76452
2016-11-01,515451,77345,3299,134,443930,18112,458027,56648
2016-12-01,522452,88359,3245,168,422995,23793,450550,72164
2017-01-01,514812,,3302,,412490,,437936,
2017-02-01,480141,,3105,,389082,,408389,
2017-03-01,616922,,3984,,526365,,552760,
