Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,139990,,1137,,141836,,99883,
2002-11-01,127985,,1020,,133600,,94982,
2002-12-01,134156,,1067,,146464,,102247,
2003-01-01,131879,,1085,,131777,,91576,
2003-02-01,120755,,969,,130165,,90551,
2003-03-01,138662,,1107,,165030,,116308,
2003-04-01,127999,,975,,146482,,102700,
2003-05-01,112833,,892,,131473,,85050,
2003-06-01,125329,,917,,134428,,95649,
2003-07-01,131730,,989,,142439,,103004,
2003-08-01,128773,,911,,130872,,94570,
2003-09-01,145354,,935,,109175,,77083,
2003-10-01,154223,,976,,132603,,95141,
2003-11-01,149459,,943,,136821,,102034,
2003-12-01,149966,,957,,139572,,105668,
2004-01-01,146194,,945,,128346,,96221,
2004-02-01,147989,,950,,138513,,103158,
2004-03-01,160326,,1024,,171686,,130834,
2004-04-01,154979,,987,,161934,,124381,
2004-05-01,150966,,981,,155832,,118858,
2004-06-01,149269,,978,,147542,,116575,
2004-07-01,149345,195,983,1,148888,,117021,186
2004-08-01,142187,68,943,1,132284,,103756,23
2004-09-01,106761,,768,,105005,,77182,
2004-10-01,147487,,981,,139196,,103522,
2004-11-01,146599,,956,,142895,,109639,
2004-12-01,142688,,903,,136015,,107579,
2005-01-01,146304,,909,,132365,,106391,
2005-02-01,144411,218,871,1,128955,,105184,206
2005-03-01,160224,,963,,167669,,136661,
2005-04-01,155618,,936,,157113,,125526,
2005-05-01,152353,,934,,150423,,122918,
2005-06-01,151442,,924,,140506,,120695,
2005-07-01,154163,,936,,145964,,128757,
2005-08-01,152712,,913,,129771,,113670,
2005-09-01,109861,1756,709,2,98854,,80076,1032
2005-10-01,131207,,806,,109277,,92330,
2005-11-01,138632,,837,,118071,,101139,
2005-12-01,145814,,808,,113276,,102351,
2006-01-01,136915,,776,,112787,,98159,
2006-02-01,122433,,682,,104432,,89742,
2006-03-01,149258,,816,,138655,,123809,
2006-04-01,138848,,775,,123085,,109875,
2006-05-01,118524,,713,,111863,73,97075,
2006-06-01,119632,,735,,117160,23,102749,
2006-07-01,123251,,763,,117731,,104534,
2006-08-01,120698,,757,,104318,,90476,
2006-09-01,107168,,696,,88289,,71766,
2006-10-01,115301,896,769,1,107678,178,86050,763
2006-11-01,108068,,740,,107463,,84970,
2006-12-01,121097,,808,,108986,,89703,
2007-01-01,124645,,843,,104536,,83496,
2007-02-01,109121,78,746,1,96678,6,76671,78
2007-03-01,124771,,853,,124718,71,101660,
2007-04-01,112274,,787,,114492,71,94368,
2007-05-01,104685,,749,,107483,295,89113,
