Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,3682,,350,,8661,,2651,
2002-11-01,3125,,288,,6690,,2062,
2002-12-01,2839,,253,,5648,,1727,
2003-01-01,3774,,298,,6338,,2043,
2003-02-01,3113,,250,,5923,,1952,
2003-03-01,3981,,325,,7332,,2431,
2003-04-01,4149,,317,,8491,,2857,
2003-05-01,3020,,210,,5932,,2195,
2003-06-01,2893,,203,,6006,,2223,
2003-07-01,3029,,213,,6215,,2306,
2003-08-01,2894,,199,,5524,,2037,
2003-09-01,2724,,188,,4936,,1827,
2003-10-01,3017,,210,,6857,,2540,
2003-11-01,2663,,182,,5415,,2004,
2003-12-01,2518,,172,,4634,,1715,
2004-01-01,2554,,176,,4665,,1726,
2004-02-01,2708,,188,,4820,,1781,
2004-03-01,3009,,208,,5763,,2139,
2004-04-01,2973,,199,,6225,,2303,
2004-05-01,2976,,211,,6280,,2324,
2004-06-01,3172,,216,,6245,,2311,
2004-07-01,2907,,195,,5380,,2015,
2004-08-01,2955,,200,,5132,,1903,
2004-09-01,2774,,186,,4956,,1835,
2004-10-01,2966,,188,,5630,,2082,
2004-11-01,3047,,184,,5617,,2078,
2004-12-01,2943,,181,,4188,,1557,
2005-01-01,2918,,172,,4713,,1740,
2005-02-01,3049,,183,,4953,,1830,
2005-03-01,3619,,209,,6744,,2499,
2005-04-01,3113,,199,,6087,,2252,
2005-05-01,3458,,209,,7168,,2652,
2005-06-01,2475,,147,,5441,,2017,
2005-07-01,2275,,130,,5073,,1878,
2005-08-01,1969,,137,,4326,,1606,
2005-09-01,1856,,128,,4095,,1515,
2005-10-01,2033,,134,,4296,,1652,
2005-11-01,4459,,197,,7672,,3693,
2005-12-01,4110,,184,,5993,,2906,
2006-01-01,4595,,198,,6373,,3147,
2006-02-01,3911,,169,,5917,,2870,
2006-03-01,4710,,202,,7572,,3718,
2006-04-01,4722,,228,,8521,,3955,
2006-05-01,4096,,236,,7711,,3348,
2006-06-01,3934,,225,,7910,,3412,
2006-07-01,4050,,233,,7861,,3416,
2006-08-01,4086,,236,,7677,,3327,
2006-09-01,5304,,229,,8555,,4276,
2006-10-01,5852,,245,,9117,,4665,
2006-11-01,5715,,231,,8605,,4450,
2006-12-01,4603,,183,,6078,,3162,
2007-01-01,4080,,155,,4874,,2666,
2007-02-01,3315,,126,,4151,,2276,
2007-03-01,3891,,145,,5789,,3204,
2007-04-01,3856,,143,,5961,,3315,
2007-05-01,4049,,153,,6639,,3569,
2007-06-01,3570,,136,,6056,,3213,
2007-07-01,3936,,148,,6175,,3392,
2007-08-01,3930,,149,,5835,,3165,
2007-09-01,3968,,148,,5516,,2971,
2007-10-01,4043,,149,,5857,,3279,
2007-11-01,3978,,150,,5710,,3178,
2007-12-01,3714,,140,,5159,,2788,
2008-01-01,3963,,148,,5172,,2930,
2008-02-01,3139,,118,,4071,,2290,
2008-03-01,3810,,143,,5668,,3094,
2008-04-01,3738,,141,,5365,,2951,
2008-05-01,3924,,148,,6105,,3310,
2008-06-01,3786,,145,,6149,,3312,
2008-07-01,3881,,146,,5887,,3249,
2008-08-01,3780,,141,,5547,,3097,
2008-09-01,3759,,141,,5438,,2974,
2008-10-01,3974,,150,,5798,,3172,
2008-11-01,2859,,113,,4139,,2208,
2008-12-01,2872,,114,,3920,,2057,
2009-01-01,2969,,116,,3896,,2043,
2009-02-01,2711,,107,,3813,,2008,
2009-03-01,2958,,115,,4821,,2512,
2009-04-01,2917,,113,,4817,,2596,
2009-05-01,2995,,119,,5025,,2627,
2009-06-01,2898,,117,,4988,,2594,
2009-07-01,3014,,119,,5322,,2730,
2009-08-01,2950,,114,,4903,,2609,
2009-09-01,2880,,114,,4686,,2369,
2009-10-01,3053,,121,,5095,,2640,
2009-11-01,2854,,113,,4591,,2374,
2009-12-01,2871,,114,,4442,,2326,
2010-01-01,2940,,117,,4155,,2166,
2010-02-01,2312,,90,,3401,,1821,
2010-03-01,3033,,119,,4648,,2476,
2010-04-01,4290,,159,,6589,,3648,
2010-05-01,4575,,168,,7009,,3915,
2010-06-01,4282,,158,,7123,,3874,
2010-07-01,4805,,171,,7561,,4187,
2010-08-01,4788,,177,,7680,,4201,
2010-09-01,4630,,168,,7166,,3999,
2010-10-01,4783,,177,,7848,,4340,
2010-11-01,4284,,159,,6901,,3777,
2010-12-01,3534,,133,,5560,,3007,
2011-01-01,3701,,137,,5224,,2876,
2011-02-01,3216,,121,,4583,,2547,
2011-03-01,3941,,148,,6104,,3323,
2011-04-01,4381,,162,,7063,,3939,
2011-05-01,4505,,168,,7457,,4083,
2011-06-01,4211,,155,,6893,,3808,
2011-07-01,4505,,164,,7336,,4047,
2011-08-01,4352,,157,,6956,,3916,
2011-09-01,4599,,167,,7220,,3964,
2011-10-01,4723,,173,,7814,,4308,
2011-11-01,4101,,153,,6778,,3689,
2011-12-01,3724,,141,,5913,,3144,
2012-01-01,3806,,145,,5152,,2786,
2012-02-01,3527,,134,,5240,,2847,
2012-03-01,3833,,145,,6257,,3338,
2012-04-01,4502,,166,,7429,,4100,
2012-05-01,4653,,172,,7643,,4166,
2012-06-01,4546,,168,,7661,,4173,
2012-07-01,4437,,163,,7199,,3948,
2012-08-01,4707,,172,,7318,,3995,
2012-09-01,4498,,166,,6791,,3753,
2012-10-01,4408,,161,,6802,,3733,
2012-11-01,4092,,152,,6426,,3465,
2012-12-01,3528,,135,,5252,,2696,
2013-01-01,3746,,143,,5141,,2686,
2013-02-01,3054,,117,,4115,,2164,
2013-03-01,3626,,138,,5343,,2806,
2013-04-01,4225,,153,,5944,,3316,
2013-05-01,4699,,172,,7262,,3952,
2013-06-01,4102,,153,,6682,,3644,
2013-07-01,4458,,167,,7109,,3860,
2013-08-01,4580,,171,,7150,,3922,
2013-09-01,4525,,166,,6992,,3822,
2013-10-01,4818,,176,,7458,,4084,
2013-11-01,4244,,157,,6614,,3640,
2013-12-01,3496,,137,,5650,,2963,
2014-01-01,2840,,116,,4139,,2206,
2014-02-01,3025,,119,,4556,,2491,
2014-03-01,2144,,89,,3537,,1699,
2014-04-01,1977,,84,,3550,,1697,
2014-05-01,2801,,106,,4705,,2379,
2014-06-01,2178,,86,,3835,,1837,
2014-07-01,2147,,82,,3652,,1755,
2014-08-01,2238,,89,,3805,,1844,
2014-09-01,1151,,57,,2410,,1029,
