Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,2752,,148,,3856,,1929,
2002-11-01,2366,,125,,2868,,1437,
2002-12-01,2474,,132,,3075,,1538,
2003-01-01,2109,,107,,1934,,1015,
2003-02-01,1607,,77,,1835,,986,
2003-03-01,2310,,115,,2409,,1300,
2003-04-01,2611,,133,,3085,,1623,
2003-05-01,2765,,141,,3825,,1987,
2003-06-01,2593,,133,,3797,,1979,
2003-07-01,2463,,131,,3527,,1674,
2003-08-01,2508,,126,,3543,,1866,
2003-09-01,2604,,133,,3581,,1880,
2003-10-01,2739,,140,,3462,,1816,
2003-11-01,2427,,116,,2757,,1526,
2003-12-01,2210,,108,,2774,,1493,
2004-01-01,2360,,113,,2344,,1360,
2004-02-01,2722,,119,,2573,,1586,
2004-03-01,2640,,122,,2959,,1720,
2004-04-01,2147,,112,,2835,,1452,
2004-05-01,2482,,130,,3536,,1767,
2004-06-01,2908,,140,,4119,,2169,
2004-07-01,2569,,116,,3087,,1792,
2004-08-01,2712,,122,,3214,,1847,
2004-09-01,2629,,128,,3486,,1885,
2004-10-01,2791,,137,,3582,,1923,
2004-11-01,2036,,104,,2772,,1405,
2004-12-01,2084,,104,,2929,,1467,
2005-01-01,2360,,117,,2431,,1219,
2005-02-01,2330,,116,,2832,,1419,
2005-03-01,2656,,134,,3800,,1899,
2005-04-01,2845,,135,,3665,,1836,
2005-05-01,2816,,138,,4127,,2087,
2005-06-01,2569,,125,,4020,,2014,
2005-07-01,2740,,133,,4215,,2112,
2005-08-01,2759,,139,,4266,,2133,
2005-09-01,2693,,134,,4136,,2072,
2005-10-01,2727,,136,,3956,,1982,
2005-11-01,2399,,128,,3853,,1926,
2005-12-01,2883,,166,,5300,,2300,
2006-01-01,3247,,195,,5649,,2258,
2006-02-01,2886,,175,,5629,,2233,
2006-03-01,3333,,201,,6124,,2466,
2006-04-01,3190,,189,,5986,,2372,
2006-05-01,3384,,200,,6727,,2755,
2006-06-01,3254,,193,,7087,,2861,
2006-07-01,3644,,214,,7095,,2915,
2006-08-01,3883,,227,,7401,,3070,
2006-09-01,3909,,214,,7374,,2964,
2006-10-01,4130,,220,,7787,,3142,
2006-11-01,3985,,208,,7363,,2891,
2006-12-01,3725,,196,,6799,,2662,
2007-01-01,3488,,190,,5946,,2248,
2007-02-01,3015,,163,,5620,,2175,
2007-03-01,3512,,190,,6579,,2557,
2007-04-01,3792,,205,,7334,,2917,
2007-05-01,4206,,228,,7913,,3118,
2007-06-01,3748,,198,,7925,,3131,
2007-07-01,4207,,222,,8580,,3452,
2007-08-01,4332,,230,,9243,,3763,
2007-09-01,4084,,219,,8035,,3225,
2007-10-01,4202,,225,,8014,,3182,
2007-11-01,4108,,218,,8134,,3319,
2007-12-01,3519,,191,,6886,,2757,
2008-01-01,3326,,187,,5725,,2310,
2008-02-01,2952,,174,,5082,,2038,
2008-03-01,3245,,191,,6096,,2450,
2008-04-01,3247,,192,,6136,,2474,
2008-05-01,3331,,200,,6662,,2702,
2008-06-01,3451,,218,,7624,,2866,
2008-07-01,3524,,222,,7831,,2899,
2008-08-01,3590,,223,,7820,,2899,
2008-09-01,3675,,221,,7340,,2749,
2008-10-01,3887,,233,,7904,,2987,
2008-11-01,3994,,228,,9856,,2994,
2008-12-01,3853,,218,,9790,,3001,
2009-01-01,4009,,229,,9161,,2688,
2009-02-01,3729,,213,,9040,,2629,
2009-03-01,4057,,231,,10149,,2947,
2009-04-01,3662,,227,,9694,,2945,
2009-05-01,3760,,240,,9525,,2894,
2009-06-01,3915,,241,,10164,,3232,
2009-07-01,4301,,262,,10467,,3374,
2009-08-01,4677,,280,,12210,,3777,
2009-09-01,5621,,345,,15028,,4325,
2009-10-01,5658,,355,,15776,,4497,
2009-11-01,5553,,342,,14788,,4203,
2009-12-01,5555,,335,,15193,,4440,
2010-01-01,5317,,323,,12696,,3694,
2010-02-01,4644,,282,,12021,,3399,
2010-03-01,5417,,328,,12819,,3671,
2010-04-01,4528,,289,,11261,,3419,
2010-05-01,4442,,289,,11227,,3515,
2010-06-01,4273,,277,,11203,,3561,
2010-07-01,4779,,309,,12519,,3749,
2010-08-01,5180,,326,,13598,,4114,
2010-09-01,4997,,316,,12536,,3704,
2010-10-01,5052,,321,,12963,,3846,
2010-11-01,5045,,315,,12191,,3722,
2010-12-01,4825,,303,,11817,,3651,
2011-01-01,5482,,338,,11203,,3358,
2011-02-01,4300,,286,,9716,,2890,
2011-03-01,5143,,355,,12469,,3887,
2011-04-01,4899,,343,,12401,,3919,
2011-05-01,4940,11,347,1,12685,,3984,9
2011-06-01,4787,,338,,12377,,3777,
2011-07-01,5011,,349,,13110,,4093,
2011-08-01,5184,,341,,13702,,4319,
2011-09-01,6183,,334,,13526,,4471,
2011-10-01,6473,,346,,14016,,4638,
2011-11-01,5645,,329,,12406,,3977,
2011-12-01,5308,,344,,12509,,3983,
2012-01-01,5242,,337,,10652,,3258,
2012-02-01,4818,,327,,10543,,3211,
2012-03-01,5006,,344,,11665,,3756,
2012-04-01,5841,,390,,13525,,4372,
2012-05-01,5793,,386,,13872,,4546,
2012-06-01,5837,,392,,14438,,4702,
2012-07-01,5884,,393,,14108,,4538,
2012-08-01,6070,,410,,15494,,4979,
2012-09-01,5709,,383,,13082,,4230,
2012-10-01,5642,,383,,13460,,4262,
2012-11-01,5621,,375,,12980,,4134,
2012-12-01,5694,11,380,1,13172,,4253,8
2013-01-01,6072,,400,,11873,,3695,
2013-02-01,5157,,340,,11093,,3457,
2013-03-01,5704,,383,,12603,,4093,
2013-04-01,5204,,345,,11304,,3612,
2013-05-01,5611,,378,,13734,,4447,
2013-06-01,5645,,373,,14029,,4480,
2013-07-01,6592,,422,,14741,,4809,
2013-08-01,6702,,422,,15516,,4984,
2013-09-01,7377,,394,,15001,,4951,
2013-10-01,8012,0,427,0,17729,,5913,0
2013-11-01,7197,,389,,14947,,4883,
2013-12-01,6470,,372,,14543,,4934,
2014-01-01,5650,,288,,10503,,3568,
2014-02-01,5614,,289,,11455,,3770,
2014-03-01,6696,,328,,12336,,4130,
2014-04-01,5549,,260,,11364,,4014,
2014-05-01,6241,,312,,14032,,4756,
2014-06-01,6090,,305,,14033,,4804,
2014-07-01,6276,,324,,14039,,4601,
2014-08-01,6587,,315,,14617,,5083,
2014-09-01,6659,,314,,14165,,4820,
2014-10-01,7145,,346,,16065,,5325,
2014-11-01,5856,,264,,12381,,4371,
2014-12-01,6831,,336,,15347,,5070,
2015-01-01,7136,,358,,14172,,4226,
2015-02-01,5632,,270,,11432,,3628,
2015-03-01,5876,,263,,10169,,3491,
2015-04-01,4937,,191,,7839,,3072,
2015-05-01,5426,,226,,11029,,4061,
2015-06-01,4343,,159,,8265,,3711,
2015-07-01,4873,,183,,10243,,4442,
2015-08-01,3490,,143,,7856,,3207,
2015-09-01,3267,,133,,7080,,2870,
2015-10-01,3589,,172,,9744,,3221,
2015-11-01,1595,,95,,5050,,1326,
2015-12-01,1941,,137,,7342,,1727,
2016-01-01,1682,,118,,6234,,1466,
2016-02-01,647,,45,,2347,,552,
2016-03-01,1121,,76,,3001,,732,
2016-04-01,1009,,70,,3387,,804,
2016-05-01,1173,,80,,4346,,1021,
2016-06-01,1402,,108,,5701,,1340,
2016-07-01,1502,,111,,5967,,1402,
2016-08-01,1663,,121,,5881,,1393,
2016-09-01,1749,,118,,5515,,1296,
2016-10-01,2246,,146,,6952,,1625,
2016-11-01,1766,,117,,4911,,1154,
2016-12-01,1353,,90,,4464,,1049,
2017-01-01,972,,52,,2140,,727,
2017-02-01,591,,27,,1043,,430,
2017-03-01,2079,,86,,3218,,1527,
