Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,9543,1525,1183,124,26228,3252,6012,1083
2002-11-01,8553,1418,1024,115,23475,2620,5454,872
2002-12-01,8008,1434,955,114,22633,2796,5257,931
2003-01-01,7674,1562,895,123,20177,3233,4452,1077
2003-02-01,5841,1289,681,102,15289,2593,3314,863
2003-03-01,7604,1533,882,121,21437,3391,4672,1121
2003-04-01,7274,1525,827,117,19003,2731,4265,904
2003-05-01,3748,1491,438,121,10876,2906,2461,968
2003-06-01,3626,1497,420,120,11429,3173,2635,1057
2003-07-01,3448,1509,398,121,11784,3371,2716,1123
2003-08-01,3191,1443,371,115,10035,3209,2276,1069
2003-09-01,3269,1483,380,120,9223,2715,2092,904
2003-10-01,3049,1529,341,123,9303,2974,2176,990
2003-11-01,2675,1122,285,89,7740,1979,1821,659
2003-12-01,2397,1035,257,84,6565,1892,1588,630
2004-01-01,2584,1135,275,91,7360,2306,1716,768
2004-02-01,2487,1052,271,85,6962,1936,1614,645
2004-03-01,2645,1101,284,89,8195,2591,1935,852
2004-04-01,3309,1443,343,116,9861,3421,2422,1139
2004-05-01,3963,1532,387,123,10421,3797,2686,1264
2004-06-01,4404,2787,405,176,11948,4797,3219,1934
2004-07-01,4479,3415,417,205,12458,6097,3336,2640
2004-08-01,4451,3513,417,207,11484,5847,3034,2520
2004-09-01,4566,3523,411,206,11693,5312,3079,2247
2004-10-01,4263,3675,385,214,11458,5368,2996,2258
2004-11-01,3847,2827,370,176,9993,4416,2673,1773
2004-12-01,4012,2863,385,180,10155,4570,2766,1868
2005-01-01,3717,2685,354,165,9749,4611,2592,1880
2005-02-01,3692,2724,349,167,8967,4269,2352,1766
2005-03-01,3988,2980,380,181,11269,5541,2980,2294
2005-04-01,4024,2817,380,172,11130,5025,2986,2060
2005-05-01,8533,3099,632,185,17230,5479,5590,2314
2005-06-01,7859,3469,563,199,17229,5733,5857,2468
2005-07-01,8439,4492,609,262,19603,8595,6566,3688
2005-08-01,8321,4497,623,272,18459,8478,6010,3618
2005-09-01,8297,4426,632,267,17053,7392,5549,3148
2005-10-01,8487,4502,653,273,18802,7237,6225,2985
2005-11-01,7258,3761,564,236,16474,6153,5321,2436
2005-12-01,7996,3747,590,233,16621,6557,5619,2586
2006-01-01,8118,3661,572,234,15829,6230,5424,2442
2006-02-01,7172,3331,503,212,13866,5537,4830,2244
2006-03-01,8356,3827,585,245,17376,7367,6049,2964
2006-04-01,9463,3779,621,239,19390,6928,7145,2765
2006-05-01,10023,3966,660,245,20676,7938,7693,3186
2006-06-01,9473,3908,614,240,20266,7429,7730,3012
2006-07-01,9760,4426,645,266,20916,8319,7875,3500
2006-08-01,10047,4579,654,275,19760,8694,7436,3673
2006-09-01,9458,3795,620,237,17831,7166,6700,2903
2006-10-01,9686,3863,633,243,19142,7385,7311,2932
2006-11-01,9609,3641,621,233,18880,6442,7280,2531
2006-12-01,9281,3953,622,255,17737,6852,6467,2742
2007-01-01,8929,4299,616,275,17196,6749,6056,2637
2007-02-01,7689,3621,522,231,14387,5528,5148,2147
2007-03-01,8676,4071,595,262,17386,7814,6184,3100
2007-04-01,8418,3945,585,261,17661,6965,6304,2760
2007-05-01,9460,4135,662,274,20245,7673,7010,3024
2007-06-01,8797,3800,614,249,19627,7158,6975,2811
2007-07-01,9158,3800,627,252,20853,7881,7576,3117
2007-08-01,9096,4010,630,265,19791,8256,7115,3299
2007-09-01,8284,3955,610,263,17468,7319,5835,2880
2007-10-01,8128,4006,598,266,18077,7090,6133,2786
2007-11-01,8249,3960,606,262,17637,6340,5941,2478
2007-12-01,8319,3892,613,258,16875,6293,5685,2514
2008-01-01,8907,3989,648,265,18036,6411,6120,2536
2008-02-01,7760,3555,573,237,15122,5862,5097,2326
2008-03-01,8171,3949,613,262,17948,6853,5986,2771
2008-04-01,8172,3926,605,261,17694,6182,6006,2494
2008-05-01,8492,4046,626,272,18936,7073,6398,2823
2008-06-01,7725,3950,570,270,17514,7379,6034,2916
2008-07-01,8238,4352,612,294,19313,8348,6577,3318
2008-08-01,7943,3817,584,251,17600,7625,6026,3100
2008-09-01,8344,4083,595,261,17039,7416,5803,2965
2008-10-01,7827,4458,592,275,17640,7268,5424,2868
2008-11-01,7938,3932,668,229,20703,5907,5697,2359
2008-12-01,8016,4028,673,231,19563,6453,5450,2559
2009-01-01,8216,4053,688,235,20477,6728,5535,2645
2009-02-01,7583,3698,636,214,18409,5663,4955,2306
2009-03-01,8032,4031,675,234,22109,7100,6005,2908
2009-04-01,7713,3883,644,229,22151,6484,6117,2641
2009-05-01,8376,4061,701,238,24255,7316,6696,2964
2009-06-01,8137,4212,684,246,23275,7749,6369,3130
2009-07-01,8398,4473,708,262,25130,9393,6971,3765
2009-08-01,8444,4465,709,258,24491,9305,6726,3780
2009-09-01,8137,4139,685,240,22373,7575,6080,3152
2009-10-01,8486,4239,709,245,24531,6935,6759,2877
2009-11-01,8124,4058,685,237,23229,6339,6380,2656
2009-12-01,7913,3904,665,230,21857,6123,6097,2539
2010-01-01,7997,4091,681,239,21890,6155,5944,2520
2010-02-01,6575,3490,548,204,16677,4975,4604,2057
2010-03-01,8005,4022,681,235,22181,7381,6026,3029
2010-04-01,8359,4006,685,235,22320,6508,6287,2656
2010-05-01,8455,3994,689,236,23088,6665,6543,2731
2010-06-01,8204,3960,669,231,22905,6554,6489,2665
2010-07-01,11022,3967,790,231,27974,7598,9228,3099
2010-08-01,11372,4172,814,241,28003,8473,9263,3458
2010-09-01,10734,3890,769,226,25088,6779,8191,2779
2010-10-01,11439,3957,821,239,28103,6664,9114,2700
2010-11-01,10472,3908,725,246,23626,6455,8017,2572
2010-12-01,9261,3718,619,243,20026,6490,6867,2634
2011-01-01,9686,3937,647,255,19560,6622,6587,2659
2011-02-01,10812,4615,605,235,18762,6384,6480,2631
2011-03-01,13496,5662,723,270,26146,9556,9138,3791
2011-04-01,16847,5164,813,252,31142,7970,12185,3155
2011-05-01,18505,5284,878,257,34379,9497,13590,3769
2011-06-01,17298,5188,816,248,33929,8682,13816,3422
2011-07-01,18695,5456,876,260,37996,10780,15445,4308
2011-08-01,16106,4927,752,233,31565,9866,12778,3946
2011-09-01,18615,5450,870,260,33126,9642,13150,3806
2011-10-01,19027,5647,892,268,36557,9726,14533,3841
2011-11-01,15154,5589,747,266,28593,8517,10983,3361
2011-12-01,10660,5620,573,267,19712,8738,7195,3475
2012-01-01,10711,5579,577,264,19666,9094,7175,3581
2012-02-01,10167,5287,548,252,17687,7933,6476,3099
2012-03-01,10689,5754,576,271,20971,10201,7707,4027
2012-04-01,10435,3971,540,212,20978,7965,7782,2844
2012-05-01,10495,3884,541,209,21219,8620,8002,3058
2012-06-01,10089,3756,520,202,21486,8298,8225,2936
2012-07-01,10030,3737,520,202,21760,8020,8400,2832
2012-08-01,10338,3838,539,206,21713,9090,8228,3218
2012-09-01,10552,3821,561,205,20138,8242,7366,2922
2012-10-01,9775,3463,518,186,19689,7082,7301,2508
2012-11-01,10317,3691,548,199,20570,7224,7491,2552
2012-12-01,10843,3940,577,212,21743,7626,7957,2697
2013-01-01,10667,3945,570,213,20423,8166,7395,2886
2013-02-01,9329,3192,496,172,16702,6099,6026,2156
2013-03-01,10347,3961,560,214,21225,8649,7717,3057
2013-04-01,10125,3651,536,197,20362,7561,7442,2677
2013-05-01,10726,3908,571,209,22192,8498,8177,3012
2013-06-01,10067,3608,528,194,21507,8302,8175,2941
2013-07-01,10483,3782,554,204,23076,8578,8711,3039
2013-08-01,11412,3987,585,214,23240,9497,8909,3358
2013-09-01,13978,3709,601,200,21880,8083,9487,2860
2013-10-01,14908,3874,642,210,25099,8204,11232,2896
2013-11-01,14266,3680,613,198,23430,7471,10363,2644
2013-12-01,14121,3663,603,196,23544,7489,10701,2653
2014-01-01,12892,2804,546,147,19766,5919,8813,2083
2014-02-01,11752,2775,504,146,18590,5680,8251,1996
2014-03-01,14345,3182,615,168,23893,7279,10710,2560
2014-04-01,13964,3268,600,172,23976,7218,10648,2538
2014-05-01,11508,3382,559,178,22521,7814,8981,2751
2014-06-01,9920,3243,512,171,20829,7344,7943,2587
2014-07-01,9623,3223,501,170,21661,7564,8144,2668
2014-08-01,10428,3472,542,181,22147,8649,8285,3050
2014-09-01,10120,3422,525,179,20049,8171,7322,2883
2014-10-01,10626,3426,549,180,21382,7267,7977,2556
2014-11-01,9486,3307,488,174,18710,6857,6920,2416
2014-12-01,9941,3340,511,176,19709,7210,7381,2544
2015-01-01,9067,2926,460,154,17113,5994,6429,2106
2015-02-01,7848,2646,400,141,14523,5420,5490,1903
2015-03-01,8345,2971,423,159,16006,6741,6175,2369
2015-04-01,7568,2644,356,161,12767,6012,5791,2107
2015-05-01,7751,2814,359,171,13313,6761,6104,2371
2015-06-01,6404,2697,307,164,11559,6585,5169,2311
2015-07-01,6655,2728,320,166,12437,6493,5524,2275
2015-08-01,4828,2099,223,122,8414,5251,3767,1876
2015-09-01,3684,538,156,31,5109,1315,2477,473
2015-10-01,3699,,151,,5925,,2953,
2015-11-01,3322,,136,,4828,,2387,
2015-12-01,2684,1598,105,90,3580,3907,1892,1392
2016-01-01,2597,,102,,3485,,1785,
2016-02-01,2796,,110,,3346,,1801,
2016-03-01,2997,,119,,4232,,2185,
2016-04-01,3028,,121,,4906,,2530,
2016-05-01,4037,,179,,6899,,3195,
2016-06-01,2988,,117,,4829,,2576,
2016-07-01,3373,,136,,5826,,2962,
2016-08-01,3855,,162,,6057,,2962,
2016-09-01,5525,,236,,8540,,4123,
2016-10-01,5672,,242,,9743,,4655,
2016-11-01,4547,,187,,7243,,3601,
2016-12-01,4664,,188,,6988,,3541,
2017-01-01,4720,,193,,6887,,3443,
2017-02-01,3833,,153,,5216,,2654,
2017-03-01,3211,,124,,4908,,2601,
