Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,84611,3630,5458,122,165863,3314,54507,2171
2002-11-01,82577,3411,4946,114,145862,2676,51151,1753
2002-12-01,82508,3546,4983,118,153237,2830,53874,1854
2003-01-01,87304,3808,5134,123,139711,2692,48821,1763
2003-02-01,82337,3351,4763,110,142736,2664,51860,1745
2003-03-01,92765,3459,5318,118,173988,3045,63380,1994
2003-04-01,90508,3509,5232,116,170973,2870,62388,1894
2003-05-01,95761,3521,5558,120,185291,3151,68038,2064
2003-06-01,95364,3553,5578,120,191217,3283,69755,2150
2003-07-01,36693,,3395,,190549,3877,26654,
2003-08-01,95604,3489,5585,116,190362,3810,70180,2496
2003-09-01,94648,3607,5565,120,168708,3394,61954,2223
2003-10-01,99410,3824,5834,123,183723,3683,67910,2412
2003-11-01,100530,2697,5871,88,191285,2500,69872,1627
2003-12-01,113239,2920,6553,93,204996,2700,74594,1769
2004-01-01,105654,2854,6045,88,175365,2465,62823,1615
2004-02-01,110092,2735,6182,87,196549,2763,71166,1810
2004-03-01,119603,2799,6628,91,228553,2995,83950,1962
2004-04-01,120846,2739,6646,90,225653,2844,83649,1863
2004-05-01,115815,3458,6287,111,220179,3609,82974,2364
2004-06-01,125416,4250,6709,135,252637,4501,95864,3019
2004-07-01,135195,5830,7008,175,265376,6118,103307,4223
2004-08-01,138469,6094,7123,181,261174,6600,100563,4562
2004-09-01,137502,6003,6970,176,243158,6597,93381,4566
2004-10-01,141551,6147,7135,179,261146,6967,99996,4799
2004-11-01,127896,4699,6444,142,223186,4214,85714,2918
2004-12-01,132494,5048,6718,150,228162,4315,86989,2982
2005-01-01,123563,5067,6319,147,200623,4484,74530,3073
2005-02-01,124219,4725,6297,137,206335,4412,75980,3037
2005-03-01,139568,5646,7013,149,256744,5509,97414,3826
2005-04-01,140651,7391,6956,177,254690,6589,97919,4673
2005-05-01,143646,7397,7114,179,271251,7071,104976,4989
2005-06-01,141305,8883,6920,192,281272,7546,111730,5946
2005-07-01,144650,10430,6961,210,281122,8761,113275,7087
2005-08-01,150167,9227,7267,215,276120,8164,110445,6560
2005-09-01,143788,8933,6906,208,258662,7535,104340,5809
