Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,145504,15025,8103,366,287356,11510,104699,10219
2002-11-01,139679,17057,7750,404,275335,11267,101315,10152
2002-12-01,142375,18002,7835,424,281789,11858,105728,10898
2003-01-01,153616,18111,8153,428,258995,12349,98106,11190
2003-02-01,143016,16387,7321,384,256793,10926,97768,9969
2003-03-01,162982,18026,8281,427,305991,12544,117212,11419
2003-04-01,148271,14371,7640,336,272881,8115,103251,7690
2003-05-01,147508,14404,7493,337,280881,8692,105465,8247
2003-06-01,135688,12623,7042,300,276627,8463,100910,7927
2003-07-01,137537,12747,7130,305,280953,9841,103255,9174
2003-08-01,138595,15234,7327,364,272747,11679,99317,11053
2003-09-01,137320,14904,7355,355,250671,10126,89598,9611
2003-10-01,144605,14957,7685,368,289494,11452,104449,10686
2003-11-01,137482,13647,7267,343,267425,5315,97699,8986
2003-12-01,139998,13440,7328,337,264218,10244,98789,9609
2004-01-01,127569,12331,6857,310,225017,8371,81223,7680
2004-02-01,115739,11546,6235,289,219390,8214,77818,7476
2004-03-01,122270,12080,6719,309,248624,9274,86361,8417
2004-04-01,121009,11719,6616,299,252533,8664,87943,7868
2004-05-01,125899,11587,6878,297,260669,8489,90430,7751
2004-06-01,125575,9127,6772,238,275440,7433,97263,6675
2004-07-01,139792,9489,7344,244,299203,8449,107924,7593
2004-08-01,147409,9721,7556,247,291834,8157,107365,7475
2004-09-01,141217,8543,7030,190,253301,5047,95234,5135
2004-10-01,156136,11693,7667,269,316112,8018,118584,7747
2004-11-01,175136,17645,8171,421,332025,13334,131237,12272
2004-12-01,189297,18097,8646,431,337423,14123,137651,12894
2005-01-01,187195,17606,8329,423,311817,13276,128941,12011
2005-02-01,183970,13290,8183,325,309360,11535,134927,10248
2005-03-01,212108,14843,9313,363,368832,13497,162608,11858
2005-04-01,212800,14135,9395,351,368437,13210,160170,11629
2005-05-01,225930,14903,10132,360,389176,13278,168575,11803
2005-06-01,212775,17108,9522,412,377292,15677,164005,13832
2005-07-01,205485,16574,9247,386,359637,15021,156433,13508
2005-08-01,207443,16518,9317,383,350889,14319,153809,12961
2005-09-01,217043,15449,9286,364,344557,13180,156443,11713
2005-10-01,228563,16240,9776,379,370080,13509,169017,12035
2005-11-01,224755,16225,9619,374,373083,13398,170632,11815
2005-12-01,247695,16498,10002,364,393631,13412,189629,12190
2006-01-01,241702,16024,9751,356,375025,13721,180279,12459
2006-02-01,228589,14004,9184,310,373295,12705,179085,11344
2006-03-01,269072,17323,10669,386,460942,16006,223312,14489
2006-04-01,258966,16644,10379,373,435337,14511,206456,13125
2006-05-01,271293,17445,10707,403,451061,16049,218868,14301
2006-06-01,261017,20597,10287,431,442546,18065,216732,16942
2006-07-01,274264,21143,10931,455,460736,18379,225895,17045
2006-08-01,280905,22154,11149,469,426396,17232,210097,16193
2006-09-01,247437,26541,9751,501,349512,18293,173489,18190
2006-10-01,259811,29384,10161,539,394047,21171,196560,20858
2006-11-01,256145,30274,10038,541,390877,21998,194706,21598
2006-12-01,251680,31169,9626,553,369547,23768,189640,22882
2007-01-01,249498,28883,9603,544,346777,21921,174759,20718
2007-02-01,233895,27093,8927,506,342445,20704,173798,19668
2007-03-01,247200,31365,9616,561,407462,26318,204299,25022
2007-04-01,248539,32043,9701,561,407232,23892,201305,22779
2007-05-01,259130,30791,10154,534,425507,23908,206056,22799
2007-06-01,287363,32716,11305,580,489477,26620,236260,24838
2007-07-01,297041,33749,11620,602,499030,27902,243781,26147
2007-08-01,299242,32241,11808,571,498481,25645,242775,24065
2007-09-01,269322,26180,10536,454,427219,19859,204152,19306
2007-10-01,305098,27893,11790,499,498193,22372,237631,21211
2007-11-01,283259,28746,11007,507,453269,22177,214929,20978
2007-12-01,281755,29947,10883,514,440474,24054,212242,22963
2008-01-01,274679,29021,10672,523,428881,24277,206467,21752
2008-02-01,266977,28870,10482,508,433877,25617,206682,22685
2008-03-01,290660,30481,11513,580,506259,30807,239473,25783
2008-04-01,281045,25984,11072,493,494647,24666,232765,20702
2008-05-01,271064,25413,10651,471,489279,24452,227754,20805
2008-06-01,279895,25777,11057,473,508728,23644,237683,20049
2008-07-01,272165,22550,10807,426,504630,21179,234471,17840
2008-08-01,261704,22119,10527,406,481588,21671,220739,18481
2008-09-01,233622,16199,9497,291,402890,14055,182778,11908
2008-10-01,240239,16799,9844,303,436982,15753,196572,13122
2008-11-01,252030,15005,10501,262,429473,12745,191905,10622
2008-12-01,258335,14498,10576,258,447335,13683,204280,11382
2009-01-01,255552,13999,10638,241,436449,12672,196632,10677
2009-02-01,239649,10900,10025,204,420728,10070,187428,8391
2009-03-01,270197,12287,11480,238,487981,12941,214963,10766
2009-04-01,264647,12929,11240,249,480749,12215,210082,10102
2009-05-01,280436,12828,11832,251,530000,12400,231208,10225
2009-06-01,306437,12744,12960,260,602303,12838,259877,10484
2009-07-01,325192,16535,13848,321,642144,17571,277909,14261
2009-08-01,312859,15245,13376,295,597594,15973,258031,13217
2009-09-01,256008,13737,11151,258,490803,12750,202502,10731
2009-10-01,254457,15014,11136,278,504157,14071,206065,12146
2009-11-01,252059,15448,11286,270,480609,13258,194149,11193
2009-12-01,251926,13629,11291,250,463028,13031,189749,10335
2010-01-01,262320,12053,11633,218,471381,11258,193399,9463
2010-02-01,232740,14847,10420,253,440396,13385,180368,11432
2010-03-01,267552,19685,12047,327,550621,19001,224458,16228
2010-04-01,231418,16875,10870,298,488314,16813,192913,14045
2010-05-01,224375,12766,10567,237,474873,13248,188856,10856
2010-06-01,237240,11488,10893,208,492243,11353,200592,9282
2010-07-01,245664,12331,11121,220,505009,12507,207074,10323
2010-08-01,242377,13024,10942,237,481103,13484,196077,11007
2010-09-01,201419,9693,9381,180,402351,9647,158023,7664
2010-10-01,198552,11233,9484,187,424493,10068,164995,9063
2010-11-01,196678,10876,9419,183,409822,9440,159312,8190
2010-12-01,200650,12604,9397,214,404286,10451,161203,8882
2011-01-01,174991,10552,8636,187,345561,9223,133636,7929
2011-02-01,166342,10946,8337,188,339539,8998,129400,7856
2011-03-01,196926,13505,9821,221,429194,13205,162657,11696
2011-04-01,172906,8642,8514,141,377750,8007,144303,6988
2011-05-01,181989,11520,8767,183,400260,10803,154220,9334
2011-06-01,180229,8077,8671,133,400475,7388,155273,6427
2011-07-01,186135,4039,9007,74,411376,3735,160190,3035
2011-08-01,184955,4046,8853,74,393356,3618,154845,2870
2011-09-01,165611,9831,7911,152,350849,6857,136961,6158
2011-10-01,168453,12768,8288,197,372231,8811,142150,7912
2011-11-01,165319,12507,7933,187,350887,8294,138130,7770
2011-12-01,164270,14035,8023,213,339788,9082,131290,8555
2012-01-01,176118,13376,8244,214,333202,9406,133725,8293
2012-02-01,172268,13491,8101,216,348062,9805,137752,8619
2012-03-01,201418,16685,9528,254,425685,14579,168417,12869
2012-04-01,181612,16102,8739,250,379709,14140,149528,12508
2012-05-01,184052,15536,8861,241,389457,13798,152833,12126
2012-06-01,192345,13158,9255,199,411323,11180,161133,9882
2012-07-01,186537,15237,9070,228,397280,14327,153990,12868
2012-08-01,178198,17198,8765,257,375115,15955,144469,14206
2012-09-01,150365,13614,7154,213,299919,11758,118904,10225
2012-10-01,154450,15752,7325,244,318635,13848,126792,12222
2012-11-01,152093,11948,7106,180,311238,10641,125083,9655
2012-12-01,170677,13576,7785,203,335775,12605,137033,11314
2013-01-01,167767,15983,7618,237,305585,13661,126393,12058
2013-02-01,149709,15987,6855,246,284140,14831,115696,12656
2013-03-01,190738,13923,8368,217,368283,13601,154147,11332
2013-04-01,191976,15575,8198,241,358209,15585,154648,13299
2013-05-01,196519,24444,8429,370,373654,23615,159794,20819
2013-06-01,197077,23048,8482,345,378492,21413,162624,19201
2013-07-01,199955,23799,8820,353,387865,22656,162225,20504
2013-08-01,200993,22473,8790,332,383631,22332,161260,20294
2013-09-01,176541,19709,7701,299,330130,18016,140078,16448
2013-10-01,182713,25201,7949,396,343749,23322,148119,20373
2013-11-01,170481,24573,7381,387,315411,23291,135642,20303
2013-12-01,177587,27532,7427,428,333618,26340,147050,23416
2014-01-01,168514,29148,6917,444,296629,25104,133115,22451
2014-02-01,147452,27847,6063,414,268446,23784,119646,21380
2014-03-01,177042,33575,7315,493,337299,29726,151288,27077
2014-04-01,164680,32704,6423,496,300035,29913,138869,26399
2014-05-01,157862,33306,6196,500,293875,32150,135616,28377
2014-06-01,151017,33142,5992,491,279723,32253,127742,28911
