Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,9332,,58,,5774,,6923,
2002-11-01,8076,,51,,4441,,5321,
2002-12-01,9684,,60,,5912,,7084,
2003-01-01,9513,,59,,4254,,5096,
2003-02-01,8941,,55,,2060,,5961,
2003-03-01,9477,,58,,5591,,6704,
2003-04-01,9551,,60,,5248,,6292,
2003-05-01,9971,,63,,5653,,6778,
2003-06-01,9496,,60,,6166,,7393,
2003-07-01,9654,,61,,7067,,8472,
2003-08-01,9496,,60,,7033,,8431,
2003-09-01,9496,,60,,6019,,7214,
2003-10-01,9820,,62,,6681,,8006,
2003-11-01,8623,,58,,5273,,6320,
2003-12-01,9338,,59,,6556,,7862,
2004-01-01,9654,,61,,5714,,6855,
2004-02-01,8475,,58,,5722,,6862,
2004-03-01,9218,,62,,6511,,7805,
2004-04-01,8662,,60,,6238,,7477,
2004-05-01,9274,,63,,6114,,7573,
2004-06-01,10407,,70,,7825,,9382,
2004-07-01,13666,,92,,10889,,13056,
2004-08-01,13880,,92,,8730,,11173,
2004-09-01,11249,,78,,5906,,7081,
2004-10-01,12520,,88,,7658,3,9186,
2004-11-01,11431,,81,,6232,,7472,
2004-12-01,11064,,77,,6448,,7731,
2005-01-01,9286,,62,,5040,,6044,
2005-02-01,8460,,56,,4857,,5825,
2005-03-01,9218,,62,,4857,,7535,
2005-04-01,12043,,81,,7859,,9423,
2005-05-01,13530,,91,,9683,,11620,
2005-06-01,13530,,91,,10460,,12546,
2005-07-01,13678,,92,,10380,,12447,
2005-08-01,13827,,93,,8705,,10440,
2005-09-01,17680,,119,,7936,,12677,
2005-10-01,13764,,92,,8761,,10511,
2005-11-01,12539,,85,,8184,,9781,
2005-12-01,13381,,90,,8357,,10027,
2006-01-01,13232,,89,,6998,,8389,
2006-02-01,12340,,83,,7898,,9473,
2006-03-01,12163,,86,,8273,,9922,
2006-04-01,11877,,84,,8957,,10750,
2006-05-01,13678,,92,,10620,,12720,
2006-06-01,12935,,87,,10480,,12564,
2006-07-01,14086,,89,,10840,,13001,
2006-08-01,14719,,93,,10239,,12279,
2006-09-01,13615,,91,,8658,,10383,
2006-10-01,13530,,91,,9439,,11321,
2006-11-01,13611,,86,,9183,,11013,
2006-12-01,12277,,82,,8218,,9846,
2007-01-01,13928,,88,,8576,,10283,
2007-02-01,14719,,93,,9891,,11859,
2007-03-01,18834,,119,,12734,,15268,
2007-04-01,18043,,113,,13591,,16296,
2007-05-01,19288,,121,,14372,,17235,
2007-06-01,19129,,121,,14776,,17716,
2007-07-01,20023,,126,,15407,,18479,
2007-08-01,19625,,124,,14633,,17545,
2007-09-01,18885,,119,,12061,,14462,
2007-10-01,20084,,126,,12391,,14858,
2007-11-01,18805,,118,,11219,,13453,
2007-12-01,17086,,110,,10649,,12770,
2008-01-01,19932,,126,,10722,,12859,
2008-02-01,18063,,113,,11612,,13924,
2008-03-01,20629,,129,,12884,,15459,
2008-04-01,21651,,138,,13130,,15748,
2008-05-01,24018,,156,,14844,,17802,
2008-06-01,15206,,98,,11748,,14087,
2008-07-01,18610,,126,,13466,,16148,
2008-08-01,18630,,126,,12188,,14615,
2008-09-01,14379,,92,,9978,,11965,
2008-10-01,14454,,94,,10138,,12160,
2008-11-01,13888,,89,,8794,,10546,
2008-12-01,15529,,96,,10477,,12587,
2009-01-01,14237,,93,,8013,,9610,
2009-02-01,12623,,83,,7746,,9290,
2009-03-01,14177,,88,,9285,,11135,
2009-04-01,14316,,88,,9994,,11983,
2009-05-01,15100,,93,,10340,,12399,
2009-06-01,14321,,88,,11038,,13236,
2009-07-01,15141,,93,,12306,,14756,
2009-08-01,14546,,93,,11277,,13521,
2009-09-01,13702,,89,,9914,,11887,
2009-10-01,14354,,93,,9518,,11412,
2009-11-01,9911,,61,,5383,,6454,
2009-12-01,11295,,71,,7633,,9152,
2010-01-01,13937,,89,,7992,,9582,
2010-02-01,12163,,78,,6837,,8198,
2010-03-01,14139,,90,,9538,,11436,
2010-04-01,13899,,87,,9428,,11304,
2010-05-01,15100,,92,,10472,,12556,
2010-06-01,14546,,90,,11260,,13501,
2010-07-01,15163,,93,,12045,,14440,
2010-08-01,14671,,90,,9796,,11741,
2010-09-01,14004,,86,,8892,,10662,
2010-10-01,14187,,87,,9343,,11202,
2010-11-01,13208,,83,,8402,,10074,
2010-12-01,13966,,86,,9740,,11718,
2011-01-01,12151,,77,,7597,,9210,
2011-02-01,11613,,75,,7373,,8840,
2011-03-01,13755,,88,,8793,,10543,
2011-04-01,13551,,85,,9208,,11040,
2011-05-01,14556,,89,,10964,,13146,
2011-06-01,14251,,86,,10972,,13155,
2011-07-01,13544,,82,,10936,,13110,
2011-08-01,14750,,89,,11285,,13526,
2011-09-01,13731,,83,,10314,,12364,
2011-10-01,13129,,83,,9642,,11561,
2011-11-01,13021,,79,,9922,,11896,
2011-12-01,13532,,82,,10256,,12297,
2012-01-01,12820,,81,,9207,,11039,
2012-02-01,10727,,68,,8201,,9739,
2012-03-01,14402,,89,,9946,,11925,
2012-04-01,13172,,83,,9855,,11816,
2012-05-01,14294,,88,,11024,,13218,
2012-06-01,14230,,86,,11374,,13637,
2012-07-01,14259,,87,,11449,,13642,
2012-08-01,15036,,92,,11892,,14148,
2012-09-01,12884,,78,,10175,,12200,
2012-10-01,13474,,81,,10689,,12816,
2012-11-01,13237,,80,,10366,,12429,
2012-12-01,9597,,58,,7747,,9289,
2013-01-01,5827,,35,,4602,,5518,
2013-02-01,3806,,23,,2944,,3530,
2013-03-01,4302,,26,,3239,,3884,
2013-04-01,5394,,38,,4779,,4889,
2013-05-01,7036,,50,,6476,,6584,
2013-06-01,5850,,42,,5460,,5524,
2013-07-01,6871,,49,,6354,,6449,
2013-08-01,6374,,46,,5941,,5946,
2013-09-01,8710,,53,,7045,,8184,
2013-10-01,9316,,55,,7320,,8777,
2013-11-01,9203,,61,,7983,,8649,
2013-12-01,9885,,65,,8421,,8981,
2014-01-01,9076,,56,,6997,,7236,
2014-02-01,7698,,54,,6791,,7016,
2014-03-01,8416,,60,,7570,,7657,
2014-04-01,8862,,63,,8261,,8401,
2014-05-01,12854,,93,,12268,,11969,
2014-06-01,15682,,110,,15725,,14533,
2014-07-01,18633,,129,,18500,,16713,
2014-08-01,18413,,135,,19096,,16883,
2014-09-01,19008,,144,,19670,,16918,
2014-10-01,22034,,173,,23047,,18746,
2014-11-01,19375,,148,,19530,,16321,
2014-12-01,21108,,181,,23658,,18689,
2015-01-01,20805,,189,,20354,,15982,
2015-02-01,19633,,161,,19256,,14859,
2015-03-01,29458,,283,,31099,,24889,
2015-04-01,34543,,322,,36439,,29066,
2015-05-01,72921,,548,,65928,,57678,
2015-06-01,64733,,533,,63592,,58167,
2015-07-01,63021,,526,,64178,,56824,
2015-08-01,65846,,539,,59136,,52956,
2015-09-01,67731,,540,,66163,,56806,
2015-10-01,69162,,538,,68478,,60035,
2015-11-01,60498,,422,,57736,,52510,
2015-12-01,62056,,433,,60344,,54944,
2016-01-01,37162,,217,,31664,,32369,
2016-02-01,31150,,172,,27452,,28321,
2016-03-01,30757,,162,,25949,,28432,
2016-04-01,47979,,300,,38414,,39612,
2016-05-01,64459,,430,,56859,,56936,
2016-06-01,64558,,419,,59041,,58981,
2016-07-01,68730,,457,,65975,,63104,
2016-08-01,69404,,463,,63906,,60943,
2016-09-01,70063,,421,,57407,,60545,
