Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,6119,,31,,2833,,4159,
2002-11-01,6034,,30,,2603,,3836,
2002-12-01,6303,,32,,3262,,4793,
2003-01-01,6255,,32,,2373,,3477,
2003-02-01,5086,,26,,426,,3311,
2003-03-01,5656,,29,,2926,,4319,
2003-04-01,5845,,30,,3193,,4714,
2003-05-01,6235,,32,,3295,,4863,
2003-06-01,5857,,30,,3374,,4980,
2003-07-01,6040,,31,,3634,,5320,
2003-08-01,6040,,31,,3560,,5235,
2003-09-01,5650,,29,,3048,,4496,
2003-10-01,6040,,31,,3579,,5283,
2003-11-01,5755,,31,,3177,,4684,
2003-12-01,5438,,32,,2963,,4365,
2004-01-01,6430,,33,,2754,,4048,
2004-02-01,5260,,29,,2705,,3990,
2004-03-01,5674,,31,,3535,,5201,
2004-04-01,5402,,30,,3301,,4872,
2004-05-01,5674,,31,,3298,,4868,
2004-06-01,5491,,30,,3251,,4798,
2004-07-01,12431,,68,,6846,,10105,
2004-08-01,16428,,90,,8738,,12897,
2004-09-01,15167,,83,,7853,,11591,
2004-10-01,16062,,88,,10209,,15068,
2004-11-01,14698,,82,,8646,,12761,
2004-12-01,15539,,87,,9296,,13721,
2005-01-01,15401,,86,,8283,,12226,
2005-02-01,14654,,82,,8605,,12701,
2005-03-01,17190,,96,,8605,,15097,
2005-04-01,15708,,88,,9945,,14679,
2005-05-01,16201,,89,,10687,,15774,
2005-06-01,16289,,89,,10483,,15471,
2005-07-01,16289,,89,,10728,,15835,
2005-08-01,16289,,89,,10414,,15371,
2005-09-01,15740,,86,,9302,,13730,
2005-10-01,16106,,88,,10388,,15333,
2005-11-01,15008,,82,,9651,,14245,
2005-12-01,15557,,85,,9854,,14545,
2006-01-01,16106,,88,,8827,,13029,
2006-02-01,14459,,79,,8962,,13226,
2006-03-01,15923,,87,,10466,,15448,
2006-04-01,15923,,87,,10766,,15891,
2006-05-01,16655,,91,,11168,,16484,
2006-06-01,16289,,89,,11020,,16266,
2006-07-01,16472,,90,,11045,,16302,
2006-08-01,16289,,89,,10704,,15799,
2006-09-01,15557,,85,,9561,,14112,
2006-10-01,16289,,89,,10719,,15821,
2006-11-01,15976,,82,,9557,,14106,
2006-12-01,14093,,77,,8313,,12270,
2007-01-01,17145,,88,,8453,,12481,
2007-02-01,15197,,78,,8525,,12589,
2007-03-01,17145,,88,,10587,,15626,
2007-04-01,16756,,86,,10694,,15786,
2007-05-01,18119,,93,,11592,,17110,
2007-06-01,16561,,85,,10889,,16072,
2007-07-01,18119,,93,,11690,,17259,
2007-08-01,18119,,93,,11806,,17427,
2007-09-01,17429,,90,,10380,,15321,
2007-10-01,18040,,93,,11443,,16890,
2007-11-01,16915,,87,,10038,,14816,
2007-12-01,16977,,87,,10109,,14925,
2008-01-01,18137,,92,,9677,,14283,
2008-02-01,17373,,87,,10221,,15086,
2008-03-01,21423,,93,,13123,,19371,
2008-04-01,20679,,88,,13010,,19203,
2008-05-01,21700,,93,,13556,,20009,
2008-06-01,21051,,89,,13578,,20041,
2008-07-01,22237,,93,,14256,,21042,
2008-08-01,22237,,93,,13977,,20630,
2008-09-01,21482,,90,,12614,,18618,
2008-10-01,22122,,93,,13767,,20320,
2008-11-01,21122,,89,,11674,,17234,
2008-12-01,21801,,92,,13266,,19588,
2009-01-01,21925,,93,,10941,,16153,
2009-02-01,19817,,84,,10174,,15017,
2009-03-01,22084,,93,,12615,,18620,
2009-04-01,21127,,89,,13051,,19263,
2009-05-01,22122,,93,,13802,,20372,
2009-06-01,22219,,92,,14050,,20739,
2009-07-01,22122,,93,,14159,,20899,
