Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,256572,,2215,,152918,,144522,
2002-11-01,242273,,2136,,144206,,126973,
2002-12-01,263584,3101,2317,15,185278,1482,164174,2285
2003-01-01,262848,8201,2326,40,153584,1852,141590,2793
2003-02-01,238597,7387,2124,36,120179,927,137191,3372
2003-03-01,255788,7608,2264,37,185408,3035,171059,4784
2003-04-01,272053,7099,2392,35,174574,3141,165026,5103
2003-05-01,272093,7319,2455,36,191005,3706,176682,5888
2003-06-01,272304,6947,2359,34,219766,3684,203989,5959
2003-07-01,288743,5508,2493,25,250279,2789,232890,4685
2003-08-01,285644,5948,2480,27,244396,2563,227115,4304
2003-09-01,272761,3525,2401,16,212784,1164,191391,1943
2003-10-01,285983,3745,2527,17,233547,2014,210404,3361
2003-11-01,274365,8646,2448,48,216456,5108,199182,7441
2003-12-01,311978,14879,2640,78,244702,8329,228537,12040
2004-01-01,305172,14749,2627,78,222511,8350,205908,11969
2004-02-01,283205,13735,2496,78,206269,9284,187396,13420
2004-03-01,323492,15494,2796,86,259101,9981,247885,14501
2004-04-01,291667,14884,2582,81,224694,8538,216670,12612
2004-05-01,312618,15551,2664,86,222571,8893,214909,13108
2004-06-01,325359,14977,2791,82,267090,8636,259803,12795
2004-07-01,362211,14782,3095,83,306661,7732,298060,11513
2004-08-01,354369,9130,3016,51,275284,4006,270466,6027
2004-09-01,320680,5274,2730,29,223597,2555,217982,3838
2004-10-01,324775,12058,2838,68,258094,7333,251551,10617
2004-11-01,309604,20751,2679,119,242046,11224,235151,15970
2004-12-01,338047,26930,2915,153,258357,14366,250163,20772
2005-01-01,321901,26234,2828,151,239224,13799,231029,19717
2005-02-01,285001,22567,2520,131,229968,13253,219493,18705
2005-03-01,351433,27956,3058,161,229968,13253,299445,23738
2005-04-01,318193,22778,2820,129,266602,12861,258974,18545
2005-05-01,353296,21093,3136,120,294077,11572,285305,16651
2005-06-01,360435,18047,3213,102,324968,10554,312205,15350
2005-07-01,403717,12654,3557,69,367299,6078,353064,8990
2005-08-01,389050,6812,3469,37,333639,2957,318976,4455
2005-09-01,361193,4301,3277,24,289141,2310,272946,3435
2005-10-01,371288,8392,3365,50,302041,5600,281508,7610
2005-11-01,354428,13887,3200,81,295442,7776,276371,10919
2005-12-01,380500,28595,3403,161,300122,15297,280824,21888
2006-01-01,377953,27967,3458,159,287425,13821,263513,19482
2006-02-01,338712,25933,3124,148,282391,15011,259491,21326
2006-03-01,384942,34548,3509,196,363682,22572,337385,32224
2006-04-01,375878,28956,3439,163,343133,16262,322049,23700
2006-05-01,420963,23137,3850,128,381315,15221,350556,22401
2006-06-01,421576,23737,3831,131,402284,15625,370493,23003
2006-07-01,439238,18359,3998,104,433686,9920,397491,14460
