Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,7936,,95,,7170,,4597,
2002-11-01,8814,,103,,8005,,5126,
2002-12-01,9744,,114,,12154,,7780,
2003-01-01,10046,,118,,10693,,6845,
2003-02-01,8823,,103,,9313,,5963,
2003-03-01,9382,,109,,10657,,6831,
2003-04-01,9870,,114,,9724,,6233,
2003-05-01,3977,,47,,11864,,2677,
2003-06-01,11989,,139,,14341,,9193,
2003-07-01,12161,,141,,15993,,10252,
2003-08-01,11778,,137,,13629,,8731,
2003-09-01,9436,,111,,9247,,5927,
2003-10-01,9919,,117,,11026,,7068,
2003-11-01,8915,,107,,10047,,6440,
2003-12-01,10432,,121,,12811,,8211,
2004-01-01,9860,,117,,11302,,7245,
2004-02-01,9669,,109,,10811,,6930,
2004-03-01,10365,,125,,12232,,7841,
2004-04-01,9687,,119,,11881,,7615,
2004-05-01,10738,,129,,13316,,8530,
2004-06-01,12561,,149,,15932,,10212,
2004-07-01,13184,,154,,16810,,10775,
2004-08-01,12761,,151,,13518,,8666,
2004-09-01,11429,,137,,11683,,7490,
2004-10-01,11179,,138,,12296,,7882,
2004-11-01,10700,,130,,11441,,7334,
2004-12-01,12041,,146,,14046,,9003,
2005-01-01,11541,,146,,10779,,6909,
2005-02-01,10194,,129,,11488,,7365,
2005-03-01,11584,,148,,11488,,8916,
2005-04-01,10876,,138,,11565,,7415,
2005-05-01,11553,,147,,12916,,8280,
2005-06-01,11253,,144,,14883,,9540,
2005-07-01,12672,,160,,16493,,10571,
2005-08-01,12917,,164,,13855,,8883,
2005-09-01,11187,,143,,11875,,7613,
2005-10-01,11651,,148,,13260,,8502,
2005-11-01,10373,,133,,14273,,9874,
2005-12-01,12592,,161,,16435,,10536,
2006-01-01,14158,,178,,13764,,8945,
2006-02-01,12347,,158,,13153,,8430,
2006-03-01,13124,,166,,15284,,9798,
2006-04-01,13633,,172,,15302,,9809,
2006-05-01,14772,,185,,17836,,11360,
2006-06-01,14307,,180,,18954,,12151,
2006-07-01,14997,,189,,21273,,13639,
2006-08-01,16802,,213,,17519,,11230,
2006-09-01,16288,,205,,14054,,9009,
2006-10-01,16771,,211,,16709,,10711,
2006-11-01,16572,,196,,16635,,10663,
2006-12-01,13713,,174,,14726,,9440,
2007-01-01,14726,,178,,13863,,8707,
2007-02-01,13153,,159,,13193,,8457,
2007-03-01,16518,,198,,17392,,11153,
2007-04-01,15107,,181,,13406,,8593,
2007-05-01,16568,,196,,16089,,10315,
2007-06-01,15845,1271,191,11,19079,713,12332,694
2007-07-01,17034,1502,204,13,22268,562,14354,583
2007-08-01,17337,693,206,6,19501,206,12547,242
2007-09-01,13895,,179,,14032,,8997,
2007-10-01,14403,809,182,7,15791,192,10244,436
2007-11-01,13153,1502,168,13,15285,374,10010,687
2007-12-01,12771,1617,159,14,14388,527,9327,640
2008-01-01,13890,1509,170,13,13408,361,8978,807
2008-02-01,13087,1390,160,12,13723,442,9172,998
2008-03-01,14486,1631,173,14,17379,601,11546,1052
2008-04-01,13930,697,166,6,15383,108,9975,122
2008-05-01,15026,,177,,15369,,9852,
2008-06-01,15115,,175,,20632,,13225,
2008-07-01,16671,,197,,23292,,14931,
2008-08-01,15165,,177,,19136,,12271,
2008-09-01,12246,,148,,14615,,9372,
2008-10-01,12675,,153,,15623,,10017,
2008-11-01,11728,,140,,14540,,9322,
2008-12-01,12819,,150,,16812,,10786,
2009-01-01,13116,,154,,13900,,8912,
2009-02-01,11879,,140,,13402,,8594,
2009-03-01,12187,,143,,14304,,9172,
2009-04-01,12030,,142,,12918,,8280,
2009-05-01,14702,,170,,14943,,9581,
2009-06-01,15216,,176,,19386,,12430,
2009-07-01,15328,,180,,21038,,13486,
2009-08-01,15566,,179,,18267,,11710,
2009-09-01,14964,,174,,16952,,10866,
2009-10-01,13232,,154,,14827,,9504,
2009-11-01,11871,,144,,14436,,9253,
2009-12-01,12466,,148,,15064,,9656,
2010-01-01,12160,,150,,12810,,8211,
2010-02-01,10898,,132,,11951,,7661,
2010-03-01,11975,,146,,14361,,9205,
2010-04-01,11912,,147,,14187,,9094,
2010-05-01,12092,,147,,13819,,8846,
2010-06-01,10846,,127,,13811,,8853,
2010-07-01,11353,,131,,14805,,9448,
2010-08-01,11944,,138,,14959,,9589,
2010-09-01,13082,,153,,14286,,9157,
2010-10-01,13060,,152,,15477,,9949,
2010-11-01,10368,,119,,11474,,7367,
2010-12-01,8897,,103,,10627,,6813,
2011-01-01,10991,,126,,9548,,6120,
2011-02-01,10006,,115,,9865,,6423,
2011-03-01,10879,,130,,12306,,7888,
2011-04-01,10661,,123,,12533,,8034,
2011-05-01,10975,,124,,14128,,9056,
2011-06-01,12132,,134,,17187,,11017,
2011-07-01,8957,,100,,12972,,8315,
2011-08-01,10119,,111,,13566,,8696,
2011-09-01,12049,,137,,14356,,9162,
2011-10-01,11046,,122,,13611,,8725,
2011-11-01,10507,,120,,14199,,9102,
2011-12-01,11423,,129,,15788,,10120,
2012-01-01,11826,,133,,13917,,8921,
2012-02-01,11242,,125,,12848,,8236,
2012-03-01,11880,,133,,13459,,8627,
2012-04-01,11565,,130,,13950,,8942,
2012-05-01,12719,,147,,15387,,9863,
2012-06-01,10711,,120,,16040,,10282,
2012-07-01,11965,,132,,16773,,10751,
2012-08-01,12823,,138,,17108,,10966,
2012-09-01,10634,,117,,13712,,8789,
2012-10-01,12030,,134,,15374,,9855,
2012-11-01,10923,,120,,13720,,8795,
2012-12-01,10300,,112,,13294,,8521,
2013-01-01,10834,,119,,13151,,8430,
2013-02-01,9684,,106,,13568,,8697,
2013-03-01,10088,,112,,13261,,8500,
2013-04-01,10230,,111,,13200,,8461,
2013-05-01,10661,,114,,15245,,9772,
2013-06-01,10307,,110,,15295,,9804,
2013-07-01,11139,,121,,16670,,10679,
2013-08-01,11261,,121,,16581,,10628,
2013-09-01,12600,,133,,17884,,11455,
2013-10-01,14153,,150,,20570,,13185,
2013-11-01,12676,,137,,18437,,11818,
2013-12-01,12873,,138,,18644,,11951,
2014-01-01,12238,,120,,15863,,10168,
2014-02-01,9811,,107,,14608,,9364,
2014-03-01,11434,,121,,16490,,10570,
2014-04-01,11076,,124,,16298,,10447,
2014-05-01,12534,,138,,17991,,11532,
2014-06-01,13949,,151,,20509,,13146,
2014-07-01,15749,,168,,23031,,14763,
2014-08-01,16649,,176,,23099,,15358,
2014-09-01,17658,,183,,22687,,15374,
2014-10-01,16534,,170,,19294,,13189,
2014-11-01,16862,,174,,20671,,14336,
2014-12-01,15061,,159,,19401,,13375,
2015-01-01,13407,,137,,15577,,11110,
2015-02-01,9658,,86,,10173,,7243,
2015-03-01,11791,,118,,14877,,10203,
2015-04-01,11600,,116,,14613,,10053,
2015-05-01,12626,,118,,13052,,10065,
2015-06-01,10620,,112,,12664,,10074,
2015-07-01,11759,,123,,13782,,10998,
2015-08-01,12207,,124,,13185,,10411,
2015-09-01,12073,,119,,14748,,10301,
2015-10-01,15104,,147,,19335,,13090,
2015-11-01,12111,,116,,15829,,10810,
2015-12-01,13056,,119,,16677,,11371,
2016-01-01,9710,,93,,12855,,8337,
2016-02-01,8150,,81,,11034,,7073,
2016-03-01,9350,,92,,12408,,7954,
2016-04-01,9671,,90,,11355,,7795,
2016-05-01,11214,,93,,12542,,9258,
2016-06-01,12945,,97,,15415,,11780,
2016-07-01,12588,,106,,15388,,11596,
2016-08-01,14662,,106,,15103,,11576,
2016-09-01,15538,,100,,15166,,11586,
2016-10-01,14791,,103,,15164,,11614,
2016-11-01,5421,,48,,6093,,4460,
2016-12-01,4696,,42,,5761,,4241,
2017-01-01,3699,,32,,4979,,3278,
2017-02-01,3231,,28,,4730,,3032,
2017-03-01,3231,,28,,4730,,3032,
