Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,7119,,31,,2932,,4995,
2002-11-01,6744,,30,,2961,,5026,
2002-12-01,8781,,39,,4453,,7573,
2003-01-01,6969,,31,,3386,,5760,
2003-02-01,6097,,27,,65,,5082,
2003-03-01,6526,,29,,3456,,5884,
2003-04-01,7207,,32,,3544,,6032,
2003-05-01,7200,,32,,3624,,6172,
2003-06-01,6751,,30,,3417,,5819,
2003-07-01,6975,,31,,3742,,6368,
2003-08-01,6301,,31,,3190,,5433,
2003-09-01,6720,,30,,2781,,4736,
2003-10-01,6969,,31,,3671,,6252,
2003-11-01,12481,,59,,6225,,10605,
2003-12-01,14612,,64,,7223,,12289,
2004-01-01,14387,,64,,7270,,12379,
2004-02-01,12214,,58,,6082,,10358,
2004-03-01,14131,,67,,7270,,12369,
2004-04-01,12221,,60,,5977,,10177,
2004-05-01,10852,,53,,4649,,7916,
2004-06-01,6546,,31,,3808,,6485,
2004-07-01,6546,,31,,3772,,6424,
2004-08-01,6335,,30,,3211,,5468,
2004-09-01,5279,,25,,2506,,4268,
2004-10-01,6546,,31,,3298,,5616,
2004-11-01,8396,,40,,4550,,7749,
2004-12-01,10981,,52,,6185,,10533,
2005-01-01,7813,,37,,4509,,7679,
2005-02-01,7602,,36,,3963,,6749,
2005-03-01,14782,,70,,3963,,12146,
2005-04-01,8658,,41,,4681,,7972,
2005-05-01,6546,,31,,3804,,6478,
2005-06-01,6546,,31,,3767,,6415,
2005-07-01,6546,,31,,3737,,6364,
2005-08-01,6546,,31,,3461,,5894,
2005-09-01,6124,,29,,3110,,5298,
2005-10-01,5913,,28,,2777,,4729,
2005-11-01,6969,,33,,3577,,6092,
2005-12-01,10347,,49,,5880,,10014,
2006-01-01,13515,,64,,7162,,12197,
2006-02-01,11826,,56,,6687,,11388,
2006-03-01,13093,,62,,7320,,12466,
2006-04-01,12037,,57,,6728,,11461,
2006-05-01,6758,,32,,3894,,6631,
2006-06-01,6546,,31,,3810,,6488,
2006-07-01,6546,,31,,3821,,6509,
2006-08-01,6124,,29,,3203,,5455,
2006-09-01,6512,,31,,2929,,4988,
2006-10-01,6758,,32,,3535,,6024,
2006-11-01,7193,,32,,3733,,6357,
2006-12-01,9080,,43,,5208,,8878,
2007-01-01,14131,,63,,6721,,11446,
2007-02-01,12589,,56,,6594,,11230,
2007-03-01,13907,,62,,7010,,11938,
2007-04-01,13488,,59,,6672,,11362,
2007-05-01,9666,,42,,4778,,8137,
2007-06-01,6744,,30,,3774,,6427,
