Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,9671,,118,,9663,,6067,
2002-11-01,8892,,105,,8833,,5502,
2002-12-01,8247,,101,,8702,,5467,
2003-01-01,9313,,111,,9754,,6131,
2003-02-01,9002,,108,,9760,,6119,
2003-03-01,9678,,115,,11267,,7087,
2003-04-01,9752,,115,,9619,,6050,
2003-05-01,10046,,119,,10593,,6663,
2003-06-01,9966,,118,,10818,5,6808,
2003-07-01,10321,,123,,10666,,6723,
2003-08-01,9887,,121,,11346,,7137,
2003-09-01,14311,,169,,13831,,8684,
2003-10-01,14420,,172,,15630,,9832,
2003-11-01,12895,,154,,14037,,8839,
2003-12-01,11038,,130,,11756,,7406,
2004-01-01,11678,,140,,13076,,8224,
2004-02-01,12448,,145,,13121,,8249,
2004-03-01,15712,,178,,17929,,11278,
2004-04-01,12219,,153,,15202,,9560,
2004-05-01,11498,,150,,13430,,8444,
2004-06-01,10709,,139,,12613,,7934,
2004-07-01,10270,,132,,11238,,7069,
2004-08-01,12442,,160,,11935,,7503,
2004-09-01,13047,,167,,13460,,8468,
2004-10-01,14081,,180,,17685,,11125,
2004-11-01,13217,,164,,15554,,9783,
2004-12-01,14366,,179,,16627,,10458,
2005-01-01,13883,,178,,16952,,10660,
2005-02-01,11901,,152,,15618,,9824,
2005-03-01,14517,,184,,15618,,12736,
2005-04-01,12837,,164,,18422,,11587,
2005-05-01,14462,,184,,20082,,12633,
2005-06-01,14111,,181,,18461,,11611,
2005-07-01,14423,,185,,18125,,11396,
2005-08-01,13867,,179,,17043,,10720,
2005-09-01,13188,,172,,16757,,10532,
2005-10-01,14199,,182,,19206,,12081,
2005-11-01,13196,,170,,18063,,11362,
2005-12-01,13259,,170,,15735,,9897,
2006-01-01,16529,,212,,21166,,13309,
2006-02-01,15287,,196,,20926,,13162,
2006-03-01,16738,,215,,24125,,15173,
2006-04-01,15958,,205,,22664,,14246,
2006-05-01,16601,,213,,22447,,14119,
2006-06-01,16048,,206,,22057,,13875,
2006-07-01,14415,,187,,19550,,12307,
2006-08-01,14417,,185,,17733,,11154,
2006-09-01,16067,,206,,19109,,12012,
2006-10-01,16535,,212,,21453,,13494,
2006-11-01,16240,,196,,19246,,12108,
2006-12-01,13630,,183,,16357,,10069,
2007-01-01,18602,,233,,21636,,13320,
2007-02-01,16925,,213,,21361,,13199,
2007-03-01,19002,,240,,25084,,15555,
2007-04-01,18726,,246,,25852,,15711,
2007-05-01,20755,,275,,26814,,16450,
2007-06-01,20481,,273,,28020,,17268,
2007-07-01,18854,,234,,25160,,16239,
2007-08-01,18499,,223,,24260,,15874,
2007-09-01,20488,,226,,23519,,15772,
2007-10-01,23340,,243,,25722,,17601,
2007-11-01,16843,,192,,20421,,13632,
