Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,13406,,119,,8769,,7552,
2002-11-01,12403,,108,,8948,,7820,
2002-12-01,13457,,117,,10818,,9309,
2003-01-01,13660,,119,,8922,,7674,
2003-02-01,12691,,109,,8336,,7605,
2003-03-01,12892,,111,,10359,,8929,
2003-04-01,13266,,116,,10179,,8774,
2003-05-01,18336,,161,,12857,,11076,
2003-06-01,18890,,166,,16599,,14303,
2003-07-01,19914,,175,,19218,,16559,
2003-08-01,19519,,172,,20375,,17563,
2003-09-01,19014,,167,,15230,,13121,
2003-10-01,19202,,169,,15411,,13282,
2003-11-01,16787,,157,,14973,,12899,
2003-12-01,19413,,169,,16093,,13873,
2004-01-01,18930,,167,,14451,,12454,
2004-02-01,16842,,159,,12908,,11127,
2004-03-01,18950,,177,,15669,,13504,
2004-04-01,39787,,289,,22206,,23328,
2004-05-01,54570,,364,,25961,,29084,
2004-06-01,59933,,377,,34793,,44010,
2004-07-01,58850,,377,,38051,,47204,
2004-08-01,47701,,318,,32490,,38455,
2004-09-01,35940,,251,,17317,,18878,
2004-10-01,30764,,221,,18578,,19417,
2004-11-01,26968,,197,,17375,,18606,
2004-12-01,30463,,224,,19500,,21072,
2005-01-01,29386,,216,,18612,,20877,
2005-02-01,23084,,180,,15811,,16763,
2005-03-01,19507,,185,,15811,,14151,
2005-04-01,18135,,172,,14817,,12772,
2005-05-01,19760,,185,,15560,,13419,
2005-06-01,19017,,178,,17325,,14927,
2005-07-01,19633,,184,,18492,,15943,
2005-08-01,19205,,180,,18677,,16101,
2005-09-01,18735,,176,,16134,,13908,
2005-10-01,19304,,181,,17033,,14681,
2005-11-01,18167,,171,,17344,,14953,
2005-12-01,19796,,184,,17761,,15307,
2006-01-01,19798,,184,,16929,,14678,
2006-02-01,17577,,164,,14990,,12920,
2006-03-01,18795,,176,,17066,,14607,
2006-04-01,18492,,173,,19147,,16505,
2006-05-01,19873,,186,,19347,,16677,
2006-06-01,19723,,190,,21124,,17936,
2006-07-01,28445,,352,,30195,,22321,
2006-08-01,28399,,354,,29422,,21606,
2006-09-01,26629,,329,,21216,,15157,
2006-10-01,28145,,355,,21684,,16020,
2006-11-01,28132,,334,,24000,,17500,
2006-12-01,24441,2595,315,23,20626,2058,15033,2159
2007-01-01,26818,3724,324,31,18832,993,13881,1099
2007-02-01,23685,3363,287,28,18782,1005,13248,1120
2007-03-01,26099,3604,317,28,25308,2014,18180,2048
2007-04-01,23658,3604,265,30,23387,2207,17739,2269
2007-05-01,22882,3724,239,31,21008,2545,17012,2546
2007-06-01,21464,3604,229,30,22188,2890,17852,2916
2007-07-01,23573,3724,221,31,24564,3225,20981,3108
2007-08-01,23864,3724,213,31,25801,3376,22374,3219
2007-09-01,20828,3483,184,29,18040,1848,15968,2011
2007-10-01,20766,3724,184,31,19239,2133,17184,2685
2007-11-01,19293,3604,174,30,19015,2381,16906,2725
2007-12-01,18338,3727,166,31,17382,2439,15150,2341
2008-01-01,20426,3363,186,31,18113,864,15893,969
2008-02-01,20535,2244,187,21,17886,806,15733,1249
2008-03-01,21586,2508,195,23,21542,1652,18990,2027
2008-04-01,22690,1006,201,9,21344,755,18464,743
2008-05-01,24486,,215,,22288,,19213,
2008-06-01,21200,,181,,21556,,18583,
2008-07-01,21152,,183,,22290,,19214,
2008-08-01,21031,,183,,22704,,19571,
2008-09-01,19733,,172,,17623,,15191,
2008-10-01,20721,,178,,18264,,15745,
2008-11-01,18975,,163,,17184,,14818,
2008-12-01,19771,,171,,18338,,15809,
2009-01-01,19635,,171,,15785,,13610,
2009-02-01,17550,,153,,15506,,13367,
