Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,12570,,57,,4944,,7993,
2002-11-01,11686,,53,,4725,,7637,
2002-12-01,11874,,54,,5979,,9672,
2003-01-01,12751,,58,,4713,,7622,
2003-02-01,10847,,50,,388,,7613,
2003-03-01,12159,,57,,5607,,9078,
2003-04-01,12395,,58,,5763,,9330,
2003-05-01,12181,,57,,5807,,9402,
2003-06-01,12395,,58,,6319,,10230,
2003-07-01,13664,,63,,6999,,11322,
2003-08-01,13467,,62,,7095,,11485,
2003-09-01,11689,,56,,4845,,7828,
2003-10-01,11395,,57,,4807,,7781,
2003-11-01,10600,,56,,4983,,7936,
2003-12-01,10967,,58,,5507,,8906,
2004-01-01,12560,,60,,5181,,8385,
2004-02-01,11821,,59,,5160,,8348,
2004-03-01,17249,,86,,8946,,14440,
2004-04-01,16996,,86,,7600,,12301,
2004-05-01,17586,,88,,6868,,11114,
2004-06-01,17376,,86,,8129,,13163,
2004-07-01,17835,,89,,8922,,14443,
2004-08-01,14655,,73,,7957,,12882,
2004-09-01,11845,,59,,5464,,8846,
2004-10-01,12246,,61,,6590,,10669,
2004-11-01,11644,,58,,6001,,9716,
2004-12-01,12447,,62,,6909,,11186,
2005-01-01,12045,,60,,6957,,11263,
2005-02-01,11042,,55,,6380,,10329,
2005-03-01,12246,,61,,6380,,11835,
2005-04-01,11845,,59,,7139,,11558,
2005-05-01,12447,,62,,7454,,12068,
2005-06-01,12045,,60,,7206,,11667,
2005-07-01,12648,,63,,7718,,12495,
2005-08-01,12447,,62,,7668,,12416,
2005-09-01,12045,,60,,7093,,11484,
2005-10-01,12246,,61,,7336,,11877,
2005-11-01,11644,,58,,6919,,11226,
2005-12-01,12447,,62,,7066,,11440,
2006-01-01,12447,,62,,6467,,10470,
2006-02-01,10702,,54,,6009,,9721,
2006-03-01,12447,,62,,7459,,12076,
2006-04-01,12246,,61,,7519,,12172,
2006-05-01,15257,,76,,8965,,14514,
2006-06-01,17867,,89,,10372,,16802,
2006-07-01,18871,,94,,11533,,18675,
2006-08-01,18670,,93,,10974,,17767,
2006-09-01,12848,,64,,7168,,11603,
2006-10-01,12447,,62,,7264,,11760,
2006-11-01,14960,,70,,7773,,12584,
2006-12-01,16060,,80,,7790,,12612,
2007-01-01,19875,,92,,8539,,13825,
2007-02-01,17951,,84,,8212,,13295,
2007-03-01,19447,,90,,9332,,15113,
2007-04-01,19234,,90,,9314,,15081,
