Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,7590,,85,,7584,,5155,
2002-11-01,7213,,81,,6204,,4209,
2002-12-01,7760,,88,,7836,,5317,
2003-01-01,7562,,87,,6954,,4721,
2003-02-01,7128,,80,,7069,,4794,
2003-03-01,7821,,86,,9206,,6260,
2003-04-01,8006,,87,,9145,,6219,
2003-05-01,7959,,88,,9831,,6685,
2003-06-01,7893,,88,,10326,,7022,
2003-07-01,8420,,92,,11476,,7804,
2003-08-01,8435,,92,,11620,,7902,
2003-09-01,7874,,85,,10219,,6950,
2003-10-01,8238,,89,,10349,,7038,
2003-11-01,7639,,82,,9050,,6153,
2003-12-01,8516,,92,,10519,,7152,
2004-01-01,8367,,92,,9542,,6489,
2004-02-01,7624,,86,,8114,,5518,
2004-03-01,9294,,93,,10199,,6935,
2004-04-01,15148,,129,,10390,24,8953,
2004-05-01,19159,,151,,10765,26,9731,
2004-06-01,19151,,152,,13489,,12876,
2004-07-01,19570,,155,,14670,,13478,
2004-08-01,13259,,122,,12343,,10041,
2004-09-01,7184,,85,,8818,,5996,
2004-10-01,8110,,92,,10473,,7122,
2004-11-01,7725,,86,,9400,,6392,
2004-12-01,8413,,93,,9218,,6268,
2005-01-01,7662,,90,,8118,,5520,
2005-02-01,7252,,85,,8593,,5845,
2005-03-01,7934,,94,,8593,,7372,
2005-04-01,7420,,88,,9130,,6208,
2005-05-01,7757,,92,,10072,,6849,
2005-06-01,7589,,90,,9994,,6797,
2005-07-01,8179,,97,,11146,,7580,
2005-08-01,8601,,102,,12405,,8433,
2005-09-01,7751,,92,,10315,,7014,
2005-10-01,7842,,93,,10656,,7243,
2005-11-01,7336,,87,,9467,,6430,
2005-12-01,7598,,91,,9881,,6643,
2006-01-01,7598,,91,,9496,,6438,
2006-02-01,6940,,84,,9601,,6528,
2006-03-01,7631,,93,,10807,,7349,
2006-04-01,7476,,91,,9836,,6688,
2006-05-01,7631,,93,,10376,,7056,
2006-06-01,7567,,92,,10286,,6994,
2006-07-01,9591,,116,,13076,,8892,
2006-08-01,9233,,112,,12711,,8639,
2006-09-01,7476,,91,,10073,,6839,
2006-10-01,7545,,94,,10226,,6954,
2006-11-01,7519,,91,,8799,,5985,
2006-12-01,7012,,84,,8182,,5566,
2007-01-01,7980,,93,,8528,,5802,
2007-02-01,7258,,84,,8337,,5669,
2007-03-01,7801,,91,,9820,,6679,
2007-04-01,7736,,90,,8718,,5928,
2007-05-01,10404,,120,,13118,,8921,
2007-06-01,11104,,123,,14011,,9531,
