Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,11379,,86,,6434,,6371,
2002-11-01,10605,,81,,5983,,5914,
2002-12-01,12086,,92,,8604,,8511,
2003-01-01,11953,,91,,5548,,5487,
2003-02-01,10293,,78,,5042,,5098,
2003-03-01,10800,,82,,6432,,6370,
2003-04-01,11391,,86,,6230,,6174,
2003-05-01,13489,,103,,8105,,8032,
2003-06-01,14498,,112,,10690,,10594,
2003-07-01,16227,,125,,12025,,11915,
2003-08-01,16480,,124,,13300,,13178,
2003-09-01,11488,,87,,8864,,8784,
2003-10-01,11620,,88,,8361,,8285,
2003-11-01,10293,,84,,7263,11,7208,
2003-12-01,11972,,90,,8630,,8666,
2004-01-01,9773,,80,,5783,,5732,
2004-02-01,9525,,82,,6556,,6501,
2004-03-01,6889,,58,,4659,,4617,
2004-04-01,6112,,52,,4423,,4333,
2004-05-01,7125,,60,,5690,,5636,
2004-06-01,9783,,81,,9637,,9550,
2004-07-01,10394,,87,,10291,,10198,
2004-08-01,10935,,91,,10745,7,10655,
2004-09-01,10719,,89,,9352,3,9271,
2004-10-01,11058,,92,,10154,,10063,
2004-11-01,10205,,87,,9004,1,8922,
2004-12-01,11060,,95,,9388,,9302,
2005-01-01,11527,,92,,8363,,8288,
2005-02-01,10766,,85,,8067,,7994,
2005-03-01,11860,,94,,8067,,10249,
2005-04-01,10970,,88,,10736,,10639,
2005-05-01,14122,,115,,12582,,12471,
2005-06-01,14929,,121,,13906,,13791,
2005-07-01,15208,,124,,13909,,13788,
2005-08-01,15105,,123,,15088,,14951,
2005-09-01,14736,,120,,13232,,13113,
2005-10-01,15238,,124,,12712,,12526,
2005-11-01,13999,,114,,12151,,12044,
2005-12-01,12931,,107,,10221,,10128,
2006-01-01,10879,,92,,7937,,7868,
2006-02-01,9847,,84,,8145,,8074,
2006-03-01,10810,,92,,10200,,10108,
2006-04-01,10996,,94,,10339,,10248,
2006-05-01,14702,,124,,12342,,12234,
2006-06-01,14088,,119,,12836,,12720,
2006-07-01,15184,,128,,13820,,13703,
2006-08-01,16605,,139,,15989,,15845,
2006-09-01,14469,,120,,12290,,12180,
2006-10-01,14970,,124,,12138,,12030,
2006-11-01,14264,,116,,11265,,11164,
2006-12-01,12732,,107,,10210,,10124,
2007-01-01,11202,,93,,7772,,7702,
2007-02-01,10019,,83,,7711,,7643,
2007-03-01,11077,,93,,10091,,10001,
2007-04-01,12754,,105,,10941,,10843,
2007-05-01,15525,,124,,13592,,13470,
2007-06-01,15626,,120,,14404,,14276,
2007-07-01,16203,,124,,15059,,14924,
2007-08-01,16167,,124,,15436,,15297,
2007-09-01,15555,,120,,13944,,13819,
2007-10-01,13943,,107,,12762,,12652,
2007-11-01,11684,,90,,10829,,10736,
2007-12-01,11795,,91,,10361,,10277,
2008-01-01,13323,,103,,10914,,10818,
2008-02-01,13763,,108,,11802,,11700,
2008-03-01,12497,,94,,10728,,10631,
2008-04-01,17584,,136,,14078,,13954,
2008-05-01,20066,,155,,16437,,16292,
2008-06-01,18940,,146,,16412,,16264,
2008-07-01,19235,,150,,17545,,17390,
2008-08-01,19761,,151,,18162,,17999,
2008-09-01,14936,,116,,13425,,13305,
2008-10-01,15804,,124,,13353,,13234,
2008-11-01,13931,,108,,11320,,11220,
2008-12-01,11103,,83,,9240,,9160,
2009-01-01,11289,,85,,7388,,7323,
2009-02-01,9973,,75,,7186,,7123,
2009-03-01,11630,,92,,9276,,9194,
2009-04-01,11317,,90,,9095,,9013,
2009-05-01,15119,,114,,12641,,12528,
2009-06-01,16165,,120,,15260,,15123,
2009-07-01,16760,,124,,15882,,15739,
2009-08-01,16708,,124,,16391,,16244,
2009-09-01,16437,,122,,15598,,15458,
2009-10-01,16195,,120,,15309,,15171,
2009-11-01,13257,,102,,12350,,12216,
2009-12-01,15939,,122,,14460,,14330,
2010-01-01,15468,,119,,9999,,9909,
2010-02-01,14033,,108,,9696,,9609,
2010-03-01,15468,,119,,13215,,13096,
2010-04-01,16080,,117,,13198,,13079,
2010-05-01,19051,,136,,16573,,16424,
2010-06-01,21120,,146,,19673,,19496,
2010-07-01,21798,,150,,20786,,20599,
2010-08-01,21421,,149,,20720,,20534,
2010-09-01,20983,,145,,19523,,19408,
2010-10-01,20111,,141,,18163,,18000,
2010-11-01,18712,,131,,16810,,16659,
2010-12-01,19305,,135,,17062,,16987,
2011-01-01,16556,,119,,12883,,12767,
2011-02-01,14274,,102,,10726,,10629,
2011-03-01,18544,,131,,15220,,15083,
2011-04-01,18615,,129,,16381,,16234,
2011-05-01,21913,,151,,20249,,20067,
2011-06-01,21671,,148,,20643,,20457,
2011-07-01,22922,,158,,21826,,21630,
2011-08-01,22238,,153,,21653,,21458,
2011-09-01,21114,,145,,20096,,19915,
2011-10-01,21489,,146,,20121,,19940,
2011-11-01,21186,,145,,19523,,19347,
2011-12-01,20972,,145,,19402,,19227,
2012-01-01,17021,,118,,14404,,14274,
2012-02-01,15507,,108,,14084,,13957,
2012-03-01,17160,,119,,15713,,15572,
2012-04-01,18361,,128,,16551,,16402,
2012-05-01,23274,,157,,21310,,21137,
2012-06-01,24517,,166,,22654,17,22515,
2012-07-01,25241,,171,,23724,11,23580,
2012-08-01,25402,,168,,24445,30,24311,
2012-09-01,22510,,145,,20246,4,20031,
2012-10-01,21465,,140,,19776,,19598,
2012-11-01,17707,,116,,17029,,16876,
2012-12-01,18106,,120,,17382,,17226,
2013-01-01,14490,,99,,13306,,13186,
2013-02-01,13616,,90,,12119,,12010,
2013-03-01,16583,,109,,15552,,15412,
2013-04-01,16262,,110,,15247,,15110,
2013-05-01,18884,,127,,17389,,17232,
